point, dist
5116.000000,0.244036 
5054.000000,0.115723 
5054.000000,0.179461 
5158.000000,0.210783 
5117.000000,0.080751 
5150.000000,0.167139 
5124.000000,0.087778 
1661.000000,0.241784 
7001.000000,0.256506 
7001.000000,0.296694 
2282.000000,0.284632 
1664.000000,0.233288 
1654.000000,0.303857 
93.000000,0.219142 
1649.000000,0.349286 
9989.000000,0.217559 
9736.000000,0.109272 
9990.000000,0.265593 
8565.000000,0.394771 
9904.000000,0.265291 
8564.000000,0.126916 
5117.000000,0.261225 
7043.000000,0.130367 
9759.000000,0.115433 
9798.000000,0.324163 
9749.000000,0.068690 
9812.000000,0.164220 
9744.000000,0.156782 
9754.000000,0.072086 
9815.000000,0.201543 
7032.000000,0.150516 
7055.000000,0.179616 
7040.000000,0.151000 
7007.000000,0.066333 
7058.000000,0.145056 
7037.000000,0.210752 
7011.000000,0.232445 
7026.000000,0.239553 
7020.000000,0.167150 
9904.000000,0.441060 
8559.000000,0.329948 
9907.000000,0.776483 
9909.000000,0.330134 
9907.000000,0.243199 
8612.000000,0.710600 
5117.000000,0.218148 
8591.000000,0.289200 
6482.000000,0.184220 
6483.000000,0.226235 
6437.000000,0.193269 
3628.000000,0.217740 
4064.000000,0.293397 
3621.000000,0.286285 
4024.000000,0.233622 
9972.000000,0.196569 
9968.000000,0.569912 
9968.000000,0.143774 
9968.000000,0.286351 
9972.000000,0.288270 
9887.000000,0.230766 
9883.000000,0.247786 
9884.000000,0.113063 
1025.000000,0.239231 
7885.000000,0.488626 
1018.000000,0.290693 
4109.000000,0.253398 
3963.000000,0.235228 
3815.000000,0.237354 
3900.000000,0.232588 
3753.000000,0.309722 
3986.000000,0.251233 
7060.000000,0.163963 
7018.000000,0.071162 
7039.000000,0.231652 
7024.000000,0.067878 
7053.000000,0.103801 
1782.000000,0.221966 
2630.000000,0.286632 
2477.000000,0.250015 
9861.000000,1.001255 
9865.000000,0.142104 
9861.000000,0.563958 
2263.000000,0.296045 
2511.000000,0.285385 
2509.000000,0.272636 
2008.000000,0.256667 
2511.000000,0.248833 
2114.000000,0.230403 
4905.000000,0.093271 
4877.000000,0.241224 
4850.000000,0.185573 
4858.000000,0.081474 
4857.000000,0.186774 
4894.000000,0.200701 
3289.000000,0.272844 
1350.000000,0.238480 
3190.000000,0.200971 
1589.000000,0.231445 
5007.000000,0.245132 
5161.000000,0.216694 
5164.000000,0.264982 
4988.000000,0.196629 
4925.000000,0.391167 
4909.000000,0.191615 
4925.000000,0.284838 
4909.000000,0.328311 
4918.000000,0.297042 
1105.000000,0.277372 
7793.000000,0.311219 
7795.000000,0.264169 
9701.000000,0.241474 
9736.000000,0.142727 
9430.000000,0.054394 
9433.000000,0.330162 
9499.000000,0.445028 
7057.000000,0.224283 
7014.000000,0.133964 
7067.000000,0.096607 
7034.000000,0.199334 
9503.000000,0.335733 
9504.000000,0.845429 
9504.000000,0.328531 
1071.000000,0.256093 
7865.000000,0.443667 
3696.000000,0.194962 
3890.000000,0.215110 
4047.000000,0.247849 
3754.000000,0.255612 
3759.000000,0.252405 
4020.000000,0.230305 
9908.000000,0.780609 
9909.000000,0.446685 
9935.000000,0.899479 
9917.000000,0.844031 
8767.000000,0.736102 
8734.000000,0.378659 
6018.000000,0.266536 
6987.000000,0.186190 
6995.000000,0.233588 
3129.000000,0.238575 
4885.000000,0.116983 
6026.000000,0.274278 
8016.000000,0.501693 
6526.000000,0.226047 
6035.000000,0.175310 
9756.000000,0.022348 
6770.000000,0.231236 
3870.000000,0.198087 
3786.000000,0.274566 
3861.000000,0.273583 
820.000000,0.239274 
3920.000000,0.255855 
3783.000000,0.194271 
202.000000,0.410839 
9845.000000,0.230616 
9804.000000,0.252711 
9817.000000,0.238339 
9466.000000,0.622542 
9985.000000,0.888230 
9985.000000,0.450771 
9971.000000,0.912720 
9504.000000,0.965936 
7099.000000,0.221741 
7128.000000,0.132523 
7068.000000,0.140133 
3700.000000,0.201184 
7666.000000,0.499012 
7721.000000,0.304569 
1145.000000,0.293388 
7721.000000,0.284883 
8332.000000,0.346086 
8337.000000,0.191087 
7922.000000,0.221357 
9707.000000,0.162038 
7183.000000,0.235325 
7986.000000,0.093196 
7201.000000,0.267598 
3787.000000,0.267954 
3772.000000,0.253496 
3967.000000,0.328686 
737.000000,0.332292 
687.000000,0.262617 
2373.000000,0.199434 
1725.000000,0.218387 
2645.000000,0.193617 
4309.000000,0.276288 
9343.000000,0.216710 
9385.000000,0.143576 
7126.000000,0.186340 
7042.000000,0.136998 
7035.000000,0.071144 
7048.000000,0.154220 
6776.000000,0.257451 
6331.000000,0.111977 
9755.000000,0.139863 
9743.000000,0.142149 
6366.000000,0.256445 
9903.000000,0.267005 
6171.000000,0.206854 
6202.000000,0.267931 
9861.000000,0.928237 
4717.000000,0.250102 
1513.000000,0.297019 
4926.000000,0.214354 
1481.000000,0.263004 
4926.000000,0.355076 
4840.000000,0.165116 
1527.000000,0.247649 
1528.000000,0.293506 
1.000000,0.267934 
