point, dist
4002.000000,0.293534 
4313.000000,0.444158 
3833.000000,0.313668 
4992.000000,0.284232 
4497.000000,0.367075 
4673.000000,0.143388 
4522.000000,0.301037 
2703.000000,0.568509 
2703.000000,0.259007 
2703.000000,0.247370 
5028.000000,0.241324 
4625.000000,0.297541 
7962.000000,0.316216 
9936.000000,0.286293 
9930.000000,0.287603 
9920.000000,0.244786 
9933.000000,0.272328 
1755.000000,0.323312 
1365.000000,0.210931 
9183.000000,0.347080 
5417.000000,0.415325 
6105.000000,0.391050 
4303.000000,0.351372 
5725.000000,0.479033 
3819.000000,0.231833 
4023.000000,0.313699 
4313.000000,0.199568 
6105.000000,0.420538 
3697.000000,0.304996 
9561.000000,0.456222 
7850.000000,0.269006 
2715.000000,0.310886 
2731.000000,0.292656 
2983.000000,0.249018 
5028.000000,0.355000 
1609.000000,0.243593 
9231.000000,0.322158 
9193.000000,0.393449 
9220.000000,0.384644 
9015.000000,0.440255 
8639.000000,0.397476 
8710.000000,0.277636 
9625.000000,0.292743 
9582.000000,0.316761 
9625.000000,0.396647 
9578.000000,0.386491 
9521.000000,0.343151 
9504.000000,0.226022 
9617.000000,0.226032 
4303.000000,0.612283 
9730.000000,0.439416 
3982.000000,0.283187 
4303.000000,0.265329 
3979.000000,0.203047 
4342.000000,0.262500 
3681.000000,0.490999 
3681.000000,0.205813 
4491.000000,0.295919 
9561.000000,0.465495 
4422.000000,0.353207 
4677.000000,0.340691 
2577.000000,0.199887 
9520.000000,0.602911 
9212.000000,0.484063 
9260.000000,0.242925 
1337.000000,0.191155 
9219.000000,0.254843 
9300.000000,0.337324 
1682.000000,0.288885 
1602.000000,0.051654 
9297.000000,0.362604 
5356.000000,0.884987 
5663.000000,0.360992 
3453.000000,0.589488 
9618.000000,0.262576 
2775.000000,0.768781 
2775.000000,0.738005 
2652.000000,0.638822 
2775.000000,0.725675 
8639.000000,0.280166 
4562.000000,0.462589 
4562.000000,0.765099 
4822.000000,0.707316 
3059.000000,0.642785 
2742.000000,2.098575 
3005.000000,2.112961 
3059.000000,1.000682 
3042.000000,1.006853 
6653.000000,1.348815 
2304.000000,1.746797 
6503.000000,1.324725 
1894.000000,1.687843 
2343.000000,1.276687 
1980.000000,1.222835 
2398.000000,1.312822 
1980.000000,1.190332 
9554.000000,0.340107 
9487.000000,0.359786 
9514.000000,0.387807 
9489.000000,0.304392 
9528.000000,0.343771 
9934.000000,0.276354 
9622.000000,0.281452 
9535.000000,0.246771 
9533.000000,0.359789 
9577.000000,0.321425 
2887.000000,0.663388 
2686.000000,0.668967 
2625.000000,0.695947 
2887.000000,0.724303 
5417.000000,0.807875 
5073.000000,0.467917 
4914.000000,0.481423 
4562.000000,0.390557 
4914.000000,0.436540 
4412.000000,0.422632 
4829.000000,0.410650 
4955.000000,0.448146 
4312.000000,0.321618 
3615.000000,0.431532 
3979.000000,0.330677 
3607.000000,0.339851 
3712.000000,0.331755 
4300.000000,0.256304 
3673.000000,0.293241 
3697.000000,0.402898 
4191.000000,0.224860 
3661.000000,0.273912 
4026.000000,0.355853 
7974.000000,0.319689 
4382.000000,0.227003 
4898.000000,0.281284 
4382.000000,0.312250 
7945.000000,0.307967 
8214.000000,0.408391 
8211.000000,0.376461 
4301.000000,0.410795 
4301.000000,0.439598 
4495.000000,0.123131 
4908.000000,1.268721 
5040.000000,0.858032 
4490.000000,1.316736 
8576.000000,0.499422 
8001.000000,1.300280 
7872.000000,0.448445 
4600.000000,0.239636 
8576.000000,0.508214 
9552.000000,0.431018 
7898.000000,0.324300 
7942.000000,0.314151 
7858.000000,0.306107 
9934.000000,0.265372 
9541.000000,0.379740 
9566.000000,0.470525 
9551.000000,0.380872 
7999.000000,0.332387 
4876.000000,0.062834 
4537.000000,0.172529 
4649.000000,0.273664 
7745.000000,0.265228 
7700.000000,0.365432 
7731.000000,0.333026 
7700.000000,0.351919 
7747.000000,0.328751 
1304.000000,0.397294 
1304.000000,0.587893 
1391.000000,0.434687 
9312.000000,0.325466 
9459.000000,0.364323 
9222.000000,0.429900 
9215.000000,0.261853 
9236.000000,0.270844 
9235.000000,0.305842 
2457.000000,0.864070 
2352.000000,0.806198 
2475.000000,0.795763 
2415.000000,0.787295 
1283.000000,0.243198 
8552.000000,0.328893 
8578.000000,0.311700 
8578.000000,0.456486 
9015.000000,0.431954 
8811.000000,0.488328 
8867.000000,0.266764 
8711.000000,0.395414 
9328.000000,0.278008 
7556.000000,0.464409 
7556.000000,0.354262 
7597.000000,0.257724 
1283.000000,0.449559 
5872.000000,0.409713 
5612.000000,0.367840 
6039.000000,0.338225 
5872.000000,0.347448 
7152.000000,0.316672 
6648.000000,0.357929 
7031.000000,0.396012 
6626.000000,0.307401 
2078.000000,1.274346 
6414.000000,0.318714 
6653.000000,0.380929 
7144.000000,0.606532 
6984.000000,0.350752 
7144.000000,0.362333 
6285.000000,0.499362 
7174.000000,0.409473 
92.000000,0.507752 
296.000000,0.427729 
7132.000000,0.423460 
6434.000000,0.303663 
6392.000000,0.345744 
6001.000000,0.475632 
6001.000000,0.438210 
5542.000000,0.283388 
5835.000000,0.318616 
5818.000000,0.197664 
5806.000000,0.334353 
7101.000000,0.431127 
2507.000000,0.238841 
7101.000000,0.392111 
3014.000000,0.558776 
3008.000000,0.643838 
2783.000000,0.551242 
2932.000000,0.704517 
9453.000000,0.346184 
9376.000000,0.397206 
1360.000000,0.233946 
1571.000000,0.272672 
8808.000000,0.318001 
9011.000000,0.292508 
8926.000000,0.330102 
3416.000000,0.582726 
3453.000000,0.484045 
2866.000000,0.576811 
2911.000000,0.600958 
2994.000000,0.530456 
2659.000000,0.534451 
4822.000000,0.372374 
4775.000000,0.447956 
4775.000000,0.451979 
4775.000000,0.766415 
4562.000000,0.557666 
2819.000000,2.124508 
4632.000000,2.221299 
2821.000000,2.480152 
4822.000000,2.198402 
