point, dist
625.000000,0.252278 
7393.000000,0.180908 
616.000000,0.472415 
729.000000,0.500191 
1141.000000,0.556671 
1618.000000,0.441856 
1348.000000,0.543424 
5525.000000,0.554831 
5544.000000,0.572798 
5657.000000,0.538039 
6819.000000,0.274532 
5888.000000,0.252037 
6819.000000,0.309887 
5888.000000,0.223783 
2851.000000,0.224730 
2928.000000,0.358893 
2699.000000,0.250967 
729.000000,0.528326 
6702.000000,0.318221 
7832.000000,0.341788 
7809.000000,0.411475 
8187.000000,0.329737 
8569.000000,0.211296 
8220.000000,0.227635 
8692.000000,0.343147 
1430.000000,0.530540 
1530.000000,0.554530 
1530.000000,0.990916 
1530.000000,0.498737 
5898.000000,0.240149 
5466.000000,0.195615 
5181.000000,0.246978 
5181.000000,0.381316 
5137.000000,0.284942 
5812.000000,0.225738 
5687.000000,0.104251 
5095.000000,0.227435 
7106.000000,0.361262 
6819.000000,0.211807 
5438.000000,0.940226 
5556.000000,1.426963 
5556.000000,0.937937 
5438.000000,0.300512 
5438.000000,0.497507 
3802.000000,1.029772 
3762.000000,1.006148 
4272.000000,0.974634 
4200.000000,0.990407 
374.000000,0.277567 
7519.000000,0.317029 
2465.000000,0.184692 
9913.000000,0.250046 
2653.000000,0.151937 
2102.000000,0.578038 
1923.000000,0.910475 
2102.000000,0.630405 
2070.000000,0.915169 
7025.000000,0.434932 
7204.000000,0.371620 
7011.000000,0.351180 
7011.000000,0.424930 
7167.000000,0.408016 
9914.000000,0.197909 
6996.000000,0.304769 
6862.000000,0.441193 
9747.000000,0.195193 
9753.000000,0.289557 
9748.000000,0.246215 
9740.000000,0.292716 
1760.000000,0.539781 
2138.000000,0.537582 
2292.000000,0.917681 
3069.000000,0.191694 
2770.000000,0.422258 
2770.000000,0.186674 
825.000000,0.212494 
825.000000,0.353247 
1016.000000,0.383728 
1490.000000,1.560846 
1191.000000,1.605959 
1506.000000,1.521939 
1534.000000,1.570803 
626.000000,0.555203 
487.000000,0.571651 
970.000000,0.245847 
1647.000000,0.536332 
1165.000000,0.547817 
1514.000000,0.464881 
540.000000,0.617169 
1465.000000,0.536566 
1313.000000,0.530085 
1465.000000,0.526605 
5844.000000,0.301881 
7393.000000,0.266464 
5556.000000,0.461374 
5556.000000,0.174557 
2649.000000,0.641615 
2914.000000,0.104617 
1618.000000,0.560488 
1466.000000,0.587146 
1091.000000,0.549429 
1394.000000,0.502391 
1430.000000,0.497197 
5034.000000,0.365850 
5034.000000,0.555875 
4728.000000,0.265221 
7895.000000,0.347627 
4728.000000,0.498085 
5034.000000,0.206368 
5241.000000,0.916860 
5246.000000,0.562916 
5166.000000,0.282559 
5448.000000,0.192196 
5230.000000,0.282992 
5689.000000,0.390517 
5351.000000,0.171823 
5133.000000,0.217041 
6568.000000,0.310466 
5831.000000,0.247045 
5809.000000,0.227968 
5819.000000,0.146132 
6551.000000,0.382176 
6604.000000,0.372129 
5640.000000,0.264625 
5640.000000,0.208534 
5599.000000,0.339871 
5640.000000,0.506660 
39.000000,0.488218 
4880.000000,0.450723 
73.000000,0.573066 
6092.000000,0.294318 
3691.000000,0.314999 
9855.000000,0.174781 
6102.000000,0.280512 
7106.000000,0.316234 
7392.000000,0.273771 
7395.000000,0.303662 
7386.000000,0.274138 
7785.000000,0.303754 
7599.000000,0.272512 
7779.000000,0.344737 
7681.000000,0.334428 
1587.000000,0.986213 
1587.000000,0.553091 
1659.000000,1.436645 
1530.000000,1.459726 
5640.000000,0.966576 
3951.000000,0.456458 
4360.000000,0.644695 
4137.000000,0.554219 
3951.000000,0.464825 
4184.000000,0.523231 
3244.000000,1.507036 
3527.000000,1.545346 
3202.000000,1.588414 
3401.000000,1.512908 
4219.000000,1.087648 
4180.000000,1.071522 
3802.000000,0.999056 
4032.000000,1.072965 
3320.000000,1.528909 
3320.000000,1.566314 
4006.000000,0.972177 
7508.000000,0.255608 
5905.000000,0.213610 
5890.000000,0.349050 
2433.000000,0.149172 
2906.000000,0.369981 
2956.000000,0.508661 
2522.000000,0.590060 
2522.000000,0.666763 
2893.000000,0.186798 
2958.000000,0.227731 
2910.000000,0.289518 
2486.000000,1.426138 
2644.000000,1.076108 
2916.000000,1.107340 
2770.000000,0.445186 
2772.000000,0.444083 
2772.000000,0.184030 
3607.000000,0.469194 
4355.000000,0.586029 
3172.000000,0.535807 
3694.000000,0.564184 
2838.000000,0.519876 
3006.000000,0.548050 
1871.000000,0.539809 
2463.000000,0.647779 
370.000000,0.172623 
7869.000000,0.275927 
7478.000000,0.273737 
379.000000,0.267753 
7464.000000,0.281738 
7483.000000,0.315046 
5910.000000,0.117936 
390.000000,0.179232 
1785.000000,0.550833 
2355.000000,0.446349 
2314.000000,0.605697 
7502.000000,0.194413 
7470.000000,0.332947 
5887.000000,0.142704 
6091.000000,0.395137 
6297.000000,0.394628 
6091.000000,0.368988 
7118.000000,0.284538 
6769.000000,0.396089 
7073.000000,0.426481 
7378.000000,0.254453 
7300.000000,0.323755 
6843.000000,0.316426 
7256.000000,0.262741 
7014.000000,0.346892 
6875.000000,0.312104 
7199.000000,0.405190 
7180.000000,0.327727 
7180.000000,0.410558 
6934.000000,0.289954 
7776.000000,0.492586 
7776.000000,0.413724 
7574.000000,0.298906 
7679.000000,0.321723 
7679.000000,0.375867 
7704.000000,0.312705 
7792.000000,0.400641 
7827.000000,0.308339 
7574.000000,0.463133 
7102.000000,0.467531 
7102.000000,0.295467 
7008.000000,0.317032 
1016.000000,0.227489 
992.000000,0.268840 
864.000000,0.224077 
7037.000000,0.398206 
6755.000000,0.390857 
7288.000000,0.418087 
7218.000000,0.336367 
6949.000000,0.380894 
6949.000000,0.376931 
6923.000000,0.302692 
3475.000000,1.062569 
3214.000000,1.116678 
3565.000000,1.091584 
9730.000000,0.588412 
114.000000,0.591567 
9629.000000,0.586011 
6252.000000,0.362386 
6291.000000,0.358447 
6170.000000,0.312568 
6895.000000,0.293575 
6885.000000,0.277100 
6931.000000,0.344981 
6948.000000,0.403582 
6948.000000,0.395450 
6948.000000,0.401079 
6862.000000,0.419009 
6775.000000,0.339650 
7493.000000,0.302555 
7867.000000,0.270650 
6927.000000,0.273121 
7262.000000,0.397022 
7262.000000,0.297034 
6938.000000,0.277142 
6983.000000,0.314699 
7288.000000,0.308142 
2906.000000,0.255957 
2864.000000,1.520634 
2988.000000,1.444538 
2586.000000,1.411129 
2988.000000,1.516407 
8032.000000,0.137820 
8236.000000,0.167491 
8032.000000,0.357191 
8602.000000,0.307054 
9348.000000,0.233227 
9392.000000,0.288119 
9387.000000,0.102393 
3.000000,0.444913 
8183.000000,0.321149 
17.000000,0.579782 
8582.000000,0.378450 
902.000000,0.337449 
5519.000000,0.178357 
5184.000000,0.213162 
5578.000000,0.423741 
1452.000000,1.507492 
1094.000000,1.519237 
1375.000000,1.507486 
1539.000000,1.570314 
1243.000000,1.603959 
1198.000000,1.509228 
1094.000000,1.528079 
1319.000000,1.516690 
1306.000000,1.522268 
1489.000000,0.145637 
1067.000000,0.156682 
1303.000000,0.345760 
1525.000000,0.331706 
1149.000000,0.240753 
1244.000000,0.451400 
1658.000000,0.489527 
1658.000000,0.206917 
8961.000000,0.202300 
9020.000000,0.559643 
1658.000000,0.542891 
1658.000000,0.970955 
2525.000000,1.011092 
1852.000000,1.015398 
2089.000000,1.083731 
2112.000000,1.128190 
2593.000000,0.538841 
2569.000000,0.543248 
2616.000000,0.592214 
461.000000,0.189868 
1030.000000,0.275155 
1030.000000,0.194654 
1658.000000,0.303346 
464.000000,0.269527 
1084.000000,0.295116 
664.000000,0.254375 
1612.000000,1.608934 
9314.000000,1.117856 
1281.000000,1.604925 
9314.000000,1.076340 
9310.000000,1.061498 
9310.000000,0.528366 
135.000000,0.415410 
9093.000000,1.077250 
9489.000000,1.061313 
1700.000000,1.510626 
1700.000000,1.544515 
9282.000000,0.156848 
8808.000000,0.337136 
9038.000000,0.278479 
9489.000000,0.543335 
9310.000000,0.196688 
9227.000000,0.296050 
8856.000000,0.182451 
9093.000000,0.289037 
1722.000000,0.579766 
