point, dist
9990.000000,0.202545 
6209.000000,0.169803 
9987.000000,0.102787 
9987.000000,0.133113 
9990.000000,0.221962 
9996.000000,0.205272 
9962.000000,0.356196 
9992.000000,0.143289 
9631.000000,0.151685 
3674.000000,0.144026 
6291.000000,0.140828 
9489.000000,0.127895 
9442.000000,0.134348 
9523.000000,0.158267 
9415.000000,0.143069 
9981.000000,0.130973 
9949.000000,0.142842 
9742.000000,0.111498 
9736.000000,0.078660 
9747.000000,0.340104 
9743.000000,0.348452 
9961.000000,0.353277 
9888.000000,0.231893 
9891.000000,0.280720 
9890.000000,0.101321 
6204.000000,0.133605 
1108.000000,0.054368 
9601.000000,0.368532 
499.000000,0.183313 
9614.000000,0.114984 
6225.000000,0.363716 
6207.000000,0.379585 
9603.000000,0.394759 
1107.000000,0.112887 
9214.000000,0.107012 
3628.000000,0.361482 
261.000000,0.167605 
3061.000000,0.105718 
3625.000000,0.192207 
4044.000000,0.289138 
4040.000000,0.314760 
9707.000000,0.141226 
9730.000000,0.086924 
9701.000000,0.150213 
4372.000000,0.153642 
4377.000000,0.135653 
4213.000000,0.156227 
4214.000000,0.191290 
9910.000000,0.345447 
9917.000000,0.375227 
9925.000000,0.091335 
5994.000000,0.196019 
9929.000000,0.122163 
9953.000000,0.141081 
9952.000000,0.142470 
9738.000000,0.468394 
6151.000000,0.091543 
1352.000000,0.288348 
3463.000000,0.198221 
2067.000000,0.048458 
1367.000000,0.293066 
9924.000000,0.120862 
9893.000000,0.069343 
9899.000000,0.152631 
9946.000000,0.149981 
6239.000000,0.029101 
6232.000000,0.042883 
6232.000000,0.355160 
6230.000000,0.360258 
6212.000000,0.422829 
1139.000000,0.124128 
9647.000000,0.368884 
9674.000000,0.201671 
9641.000000,0.120671 
6231.000000,0.105132 
6236.000000,0.134950 
9611.000000,0.363384 
9567.000000,0.091943 
1113.000000,0.083092 
1081.000000,0.067395 
6520.000000,0.105840 
9869.000000,0.120430 
9920.000000,0.080230 
9871.000000,0.129466 
8767.000000,0.130491 
9752.000000,0.068344 
9775.000000,0.120187 
9755.000000,0.118549 
9774.000000,0.179248 
3049.000000,0.075205 
3051.000000,0.087131 
3048.000000,0.084503 
3035.000000,0.089220 
3069.000000,0.115937 
3506.000000,0.060476 
3649.000000,0.116464 
3545.000000,0.387748 
3507.000000,0.127167 
3507.000000,0.172411 
3505.000000,0.079817 
3634.000000,0.093148 
3626.000000,0.119326 
3607.000000,0.105264 
3624.000000,0.126409 
3601.000000,0.182201 
4167.000000,0.166125 
4199.000000,0.114187 
4169.000000,0.160370 
4066.000000,0.152656 
4104.000000,0.165516 
4069.000000,0.135534 
4069.000000,0.215886 
9730.000000,0.145303 
4385.000000,0.139878 
3506.000000,0.138373 
3562.000000,0.095831 
3559.000000,0.109669 
3674.000000,0.148046 
9635.000000,0.087830 
9412.000000,0.145987 
9434.000000,0.102201 
6128.000000,0.183518 
1157.000000,0.250241 
5004.000000,0.202642 
9800.000000,0.128015 
9827.000000,0.157949 
5165.000000,0.171403 
9808.000000,0.324683 
5111.000000,0.231661 
5110.000000,0.123778 
9777.000000,0.038306 
9666.000000,0.191911 
9665.000000,0.161278 
9664.000000,0.130175 
9667.000000,0.200728 
9672.000000,0.137207 
9690.000000,0.377734 
9686.000000,0.120325 
9695.000000,0.117995 
9744.000000,0.456355 
4522.000000,0.195847 
6174.000000,0.148569 
6115.000000,0.100268 
6175.000000,0.149047 
9901.000000,0.156948 
1754.000000,0.206971 
1739.000000,0.204703 
1300.000000,0.136459 
1745.000000,0.225305 
9606.000000,0.143125 
9626.000000,0.299300 
9997.000000,0.164753 
1101.000000,0.092231 
1354.000000,0.298809 
3280.000000,0.299605 
433.000000,0.141618 
504.000000,0.147326 
3458.000000,0.197606 
430.000000,0.152091 
1402.000000,0.264847 
1407.000000,0.261171 
6224.000000,0.423909 
1095.000000,0.160110 
9759.000000,0.047613 
4682.000000,0.146654 
1833.000000,0.298757 
1848.000000,0.248672 
460.000000,0.131501 
9914.000000,0.092923 
8888.000000,0.135926 
9915.000000,0.377113 
9942.000000,0.131436 
9160.000000,0.158324 
9971.000000,0.378301 
9971.000000,0.331938 
9941.000000,0.226014 
9154.000000,0.124910 
9969.000000,0.122650 
230.000000,0.133554 
222.000000,0.150728 
1931.000000,0.259622 
7804.000000,0.198007 
8054.000000,0.223064 
7819.000000,0.245444 
9790.000000,0.497174 
9784.000000,0.061687 
9785.000000,0.494684 
9791.000000,0.116496 
9769.000000,0.216332 
9768.000000,0.169557 
9817.000000,0.266107 
9807.000000,0.081104 
9813.000000,0.113093 
8052.000000,0.329795 
9809.000000,0.289999 
8053.000000,0.243407 
8035.000000,0.094459 
8031.000000,0.074126 
8046.000000,0.261642 
9611.000000,0.066690 
3768.000000,0.125992 
3671.000000,0.130380 
3771.000000,0.175937 
6289.000000,0.127425 
6303.000000,0.157475 
6284.000000,0.115769 
3766.000000,0.155766 
3530.000000,0.358808 
3699.000000,0.266684 
2117.000000,0.185279 
4061.000000,0.174315 
3914.000000,0.190019 
3914.000000,0.061852 
4432.000000,0.110270 
9679.000000,0.158772 
9793.000000,0.094125 
8097.000000,0.156001 
7871.000000,0.136361 
9772.000000,0.153022 
7643.000000,0.130638 
7736.000000,0.123065 
3733.000000,0.177706 
3770.000000,0.086973 
3715.000000,0.197967 
6519.000000,0.124038 
6395.000000,0.323060 
3041.000000,0.099462 
13.000000,0.222621 
3025.000000,0.094497 
3039.000000,0.127840 
3042.000000,0.105108 
3027.000000,0.099244 
3028.000000,0.053934 
1871.000000,0.329722 
3327.000000,0.177275 
3325.000000,0.262073 
1854.000000,0.294643 
3135.000000,0.196088 
3132.000000,0.163278 
4325.000000,0.087885 
4356.000000,0.363386 
4320.000000,0.189765 
3555.000000,0.130296 
3538.000000,0.179327 
3941.000000,0.180767 
3651.000000,0.105818 
9686.000000,0.102546 
9711.000000,0.176472 
9639.000000,0.078902 
9643.000000,0.337848 
9642.000000,0.257638 
4009.000000,0.138884 
4032.000000,0.306315 
4358.000000,0.316107 
4342.000000,0.274831 
4330.000000,0.057246 
700.000000,0.148065 
4679.000000,0.384365 
9737.000000,0.104615 
9737.000000,0.472167 
1807.000000,0.129822 
4222.000000,0.174736 
4512.000000,0.117412 
4503.000000,0.053911 
4487.000000,0.143789 
3519.000000,0.125870 
3519.000000,0.167040 
3008.000000,0.097039 
3773.000000,0.106120 
3777.000000,0.160985 
3707.000000,0.130987 
3694.000000,0.133260 
3697.000000,0.365589 
2068.000000,0.082737 
3705.000000,0.151505 
3657.000000,0.094935 
2115.000000,0.095066 
2119.000000,0.193029 
1962.000000,0.283432 
3092.000000,0.282449 
35.000000,0.157594 
3098.000000,0.199181 
84.000000,0.139908 
