point, dist
5607.000000,0.211899 
5692.000000,0.179569 
5692.000000,0.107378 
5618.000000,0.121692 
9758.000000,0.151696 
6695.000000,0.077113 
9707.000000,0.080564 
1156.000000,0.158638 
317.000000,0.091614 
5115.000000,0.082028 
350.000000,0.073368 
9615.000000,0.130931 
9609.000000,0.066694 
6125.000000,0.352560 
1671.000000,0.158148 
1730.000000,0.165145 
5072.000000,0.129825 
1465.000000,0.165939 
4927.000000,0.095708 
1460.000000,0.176679 
255.000000,0.044681 
9556.000000,0.131766 
9538.000000,0.098687 
1154.000000,0.179171 
1188.000000,0.188884 
5113.000000,0.084129 
3216.000000,0.114232 
5134.000000,0.114462 
4103.000000,0.196274 
2733.000000,0.262345 
2760.000000,0.259399 
2171.000000,0.181142 
2167.000000,0.172270 
9854.000000,0.153988 
8140.000000,0.066684 
7664.000000,0.090900 
8140.000000,0.093102 
2085.000000,0.159522 
2091.000000,0.175793 
2136.000000,0.156863 
2116.000000,0.175439 
2291.000000,0.267358 
4251.000000,0.174596 
6693.000000,0.081472 
6051.000000,0.089799 
6124.000000,0.321996 
6135.000000,0.345848 
9624.000000,0.229109 
6036.000000,0.092832 
6153.000000,0.201026 
6151.000000,0.211551 
4108.000000,0.196727 
2944.000000,0.264516 
6600.000000,0.073056 
6601.000000,0.081120 
6673.000000,0.069656 
494.000000,0.059629 
5698.000000,0.151370 
5585.000000,0.116426 
5698.000000,0.144112 
9624.000000,0.216154 
9936.000000,0.149823 
9922.000000,0.080344 
9938.000000,0.358990 
9939.000000,0.356696 
8542.000000,0.047538 
9875.000000,0.112418 
9882.000000,0.036218 
9536.000000,0.104313 
9981.000000,0.179689 
9991.000000,0.150413 
9929.000000,0.235498 
806.000000,0.151996 
3605.000000,0.068235 
9290.000000,0.157493 
1892.000000,0.157106 
190.000000,0.054386 
4486.000000,0.060472 
3147.000000,0.115119 
4984.000000,0.082830 
8321.000000,0.056038 
5060.000000,0.129799 
120.000000,0.092925 
115.000000,0.092634 
622.000000,0.115780 
5108.000000,0.096437 
651.000000,0.107539 
911.000000,0.266242 
871.000000,0.265225 
683.000000,0.156062 
5577.000000,0.132776 
5632.000000,0.083782 
5515.000000,0.130284 
3892.000000,0.137225 
3010.000000,0.284443 
2995.000000,0.323099 
2966.000000,0.260842 
5229.000000,0.182693 
3780.000000,0.042821 
3721.000000,0.172887 
5260.000000,0.171609 
9641.000000,0.107033 
9704.000000,0.184027 
6896.000000,0.222438 
1954.000000,0.175798 
2190.000000,0.181707 
3177.000000,0.144882 
4773.000000,0.100531 
2176.000000,0.168027 
9808.000000,0.221410 
8268.000000,0.134613 
8277.000000,0.101817 
8342.000000,0.142019 
4341.000000,0.076125 
4334.000000,0.063959 
7323.000000,0.137018 
2005.000000,0.265801 
7308.000000,0.132211 
6901.000000,0.217803 
1700.000000,0.168885 
4914.000000,0.109118 
1903.000000,0.177905 
1851.000000,0.258753 
4454.000000,0.179093 
4936.000000,0.153140 
1749.000000,0.258826 
4958.000000,0.178427 
165.000000,0.076846 
6633.000000,0.066142 
9667.000000,0.118935 
7126.000000,0.273045 
9675.000000,0.066949 
9674.000000,0.062480 
9664.000000,0.133228 
7091.000000,0.300068 
7046.000000,0.107911 
7097.000000,0.310998 
8581.000000,0.091034 
8045.000000,0.262636 
8047.000000,0.271447 
52.000000,0.089488 
61.000000,0.088369 
6923.000000,0.102270 
6213.000000,0.077497 
5873.000000,0.044920 
6215.000000,0.104461 
9589.000000,0.198360 
2208.000000,0.265457 
2193.000000,0.165021 
7016.000000,0.083876 
9708.000000,0.072531 
9723.000000,0.276175 
6605.000000,0.081134 
5593.000000,0.109761 
5600.000000,0.107384 
5632.000000,0.293156 
5627.000000,0.253840 
5613.000000,0.082842 
97.000000,0.101757 
106.000000,0.131762 
5608.000000,0.210784 
6150.000000,0.213771 
4040.000000,0.285454 
2341.000000,0.167615 
4755.000000,0.090533 
9931.000000,0.236455 
9055.000000,0.331993 
9063.000000,0.323731 
8554.000000,0.083198 
9881.000000,0.045000 
8553.000000,0.077935 
9887.000000,0.126119 
9074.000000,0.325066 
43.000000,0.046423 
567.000000,0.069533 
9099.000000,0.327290 
9514.000000,0.210796 
9975.000000,0.065487 
9519.000000,0.147813 
3633.000000,0.067185 
9512.000000,0.223213 
436.000000,0.127383 
9234.000000,0.104466 
9230.000000,0.133012 
9293.000000,0.131733 
8364.000000,0.140971 
8848.000000,0.078992 
8841.000000,0.084610 
8622.000000,0.079901 
1432.000000,0.168357 
1640.000000,0.169374 
4464.000000,0.096233 
4467.000000,0.070443 
3838.000000,0.121929 
3913.000000,0.176765 
3835.000000,0.118866 
3917.000000,0.157839 
689.000000,0.146776 
3865.000000,0.135656 
3890.000000,0.164825 
3824.000000,0.130731 
2899.000000,0.260238 
7806.000000,0.213691 
8280.000000,0.088971 
1913.000000,0.163870 
8150.000000,0.123146 
3049.000000,0.204552 
3075.000000,0.177687 
1205.000000,0.158547 
3277.000000,0.134650 
5370.000000,0.134421 
5304.000000,0.102425 
3131.000000,0.166069 
8024.000000,0.260693 
7921.000000,0.151307 
453.000000,0.090774 
7900.000000,0.148848 
488.000000,0.106924 
536.000000,0.093446 
4367.000000,0.144273 
8093.000000,0.296436 
4891.000000,0.141470 
1987.000000,0.269189 
7975.000000,0.093374 
8000.000000,0.064565 
555.000000,0.084039 
9746.000000,0.149982 
4907.000000,0.085254 
8576.000000,0.087038 
8091.000000,0.297040 
7943.000000,0.142118 
1831.000000,0.263130 
1581.000000,0.268656 
34.000000,0.052080 
6962.000000,0.166742 
588.000000,0.069074 
7154.000000,0.264423 
6971.000000,0.192527 
7064.000000,0.301849 
9726.000000,0.293010 
9715.000000,0.329857 
6220.000000,0.093996 
6230.000000,0.057551 
2441.000000,0.260083 
2432.000000,0.263421 
6356.000000,0.164472 
2489.000000,0.262761 
4193.000000,0.130245 
2514.000000,0.258089 
6212.000000,0.063442 
2700.000000,0.262841 
2607.000000,0.176809 
2643.000000,0.158537 
3262.000000,0.161082 
6912.000000,0.212695 
4660.000000,0.120874 
2490.000000,0.275062 
3198.000000,0.117864 
3213.000000,0.116466 
6118.000000,0.323648 
6563.000000,0.058216 
7155.000000,0.266790 
6956.000000,0.161554 
7095.000000,0.303630 
7158.000000,0.267600 
7004.000000,0.120511 
6543.000000,0.060751 
6609.000000,0.083443 
6659.000000,0.071690 
6602.000000,0.091581 
6557.000000,0.092872 
4254.000000,0.157020 
4245.000000,0.174421 
2433.000000,0.267064 
6425.000000,0.109920 
2598.000000,0.157762 
2583.000000,0.173048 
186.000000,0.083839 
6188.000000,0.209188 
5567.000000,0.114203 
6181.000000,0.216176 
5529.000000,0.108185 
5608.000000,0.098997 
5541.000000,0.094847 
6154.000000,0.206306 
5660.000000,0.289200 
279.000000,0.077062 
263.000000,0.068902 
6136.000000,0.352910 
6143.000000,0.327093 
8524.000000,0.037833 
8977.000000,0.094642 
9024.000000,0.215904 
9030.000000,0.217027 
9046.000000,0.330468 
9079.000000,0.324561 
8521.000000,0.062849 
8891.000000,0.155149 
8890.000000,0.170577 
9435.000000,0.105833 
8871.000000,0.141047 
9112.000000,0.058375 
966.000000,0.261491 
947.000000,0.267297 
686.000000,0.130935 
671.000000,0.111297 
701.000000,0.136215 
9427.000000,0.088080 
9539.000000,0.115068 
9548.000000,0.111590 
9497.000000,0.066437 
396.000000,0.086814 
291.000000,0.083034 
958.000000,0.266977 
5089.000000,0.195300 
9497.000000,0.279824 
414.000000,0.083909 
9511.000000,0.254355 
9474.000000,0.246126 
9485.000000,0.267396 
9474.000000,0.077610 
8809.000000,0.202802 
8817.000000,0.211199 
8748.000000,0.180601 
3188.000000,0.139669 
8361.000000,0.147395 
7808.000000,0.223906 
8779.000000,0.222464 
7877.000000,0.035181 
8286.000000,0.112514 
232.000000,0.058580 
4523.000000,0.108698 
134.000000,0.063167 
9068.000000,0.328257 
9900.000000,0.210090 
9956.000000,0.171175 
9978.000000,0.149637 
9505.000000,0.099364 
1624.000000,0.156696 
1675.000000,0.160861 
1705.000000,0.175912 
5055.000000,0.130103 
1232.000000,0.164937 
4971.000000,0.073514 
4898.000000,0.087007 
4902.000000,0.127951 
8740.000000,0.348864 
3171.000000,0.131066 
3950.000000,0.129606 
3873.000000,0.150884 
3874.000000,0.156959 
3391.000000,0.159349 
3951.000000,0.125851 
3263.000000,0.123038 
3085.000000,0.174375 
3111.000000,0.170637 
653.000000,0.121741 
5399.000000,0.126484 
5681.000000,0.186869 
5674.000000,0.111543 
5314.000000,0.092041 
2905.000000,0.264411 
4363.000000,0.061106 
3212.000000,0.132973 
8143.000000,0.061132 
1615.000000,0.274026 
4458.000000,0.180763 
7789.000000,0.217237 
6405.000000,0.071771 
6822.000000,0.269409 
8448.000000,0.060714 
8595.000000,0.068633 
8088.000000,0.306951 
7496.000000,0.055339 
7634.000000,0.047907 
7067.000000,0.295198 
8561.000000,0.085777 
8051.000000,0.261076 
6782.000000,0.071998 
1982.000000,0.064042 
7380.000000,0.129552 
7846.000000,0.268356 
7837.000000,0.273784 
7752.000000,0.069916 
8050.000000,0.260273 
1570.000000,0.267838 
1527.000000,0.262744 
1599.000000,0.271530 
4759.000000,0.110962 
2363.000000,0.162711 
4203.000000,0.096817 
6938.000000,0.160783 
7054.000000,0.295193 
47.000000,0.041129 
7621.000000,0.084942 
9731.000000,0.138667 
6242.000000,0.102799 
9652.000000,0.167594 
4669.000000,0.139673 
5423.000000,0.113866 
5416.000000,0.126401 
5933.000000,0.213618 
4127.000000,0.202877 
2562.000000,0.157664 
4215.000000,0.094380 
4214.000000,0.077121 
2893.000000,0.168623 
3248.000000,0.160484 
6883.000000,0.293781 
6883.000000,0.206583 
4657.000000,0.120048 
1246.000000,0.191716 
6084.000000,0.092935 
6034.000000,0.349474 
481.000000,0.090063 
321.000000,0.082433 
6582.000000,0.093715 
7106.000000,0.275008 
7094.000000,0.295454 
6545.000000,0.090253 
20.000000,0.074867 
147.000000,0.069023 
6537.000000,0.093898 
6578.000000,0.072238 
6679.000000,0.074564 
6672.000000,0.048050 
7593.000000,0.068668 
7062.000000,0.306197 
7597.000000,0.074305 
2024.000000,0.265817 
2046.000000,0.258792 
1973.000000,0.267232 
2282.000000,0.258954 
6858.000000,0.033909 
6414.000000,0.136864 
4212.000000,0.087349 
5581.000000,0.102095 
112.000000,0.113686 
6169.000000,0.204954 
70.000000,0.118091 
5660.000000,0.072785 
3026.000000,0.194562 
6191.000000,0.210887 
948.000000,0.264937 
946.000000,0.270402 
8970.000000,0.058547 
9018.000000,0.221509 
9048.000000,0.324606 
8462.000000,0.090220 
9046.000000,0.185784 
8997.000000,0.201642 
9559.000000,0.129844 
9321.000000,0.169221 
5106.000000,0.195756 
8637.000000,0.060488 
8632.000000,0.088677 
9485.000000,0.065844 
386.000000,0.061685 
9545.000000,0.121908 
9514.000000,0.104537 
5062.000000,0.149092 
1425.000000,0.156559 
1173.000000,0.171600 
1727.000000,0.177759 
8709.000000,0.112796 
3064.000000,0.168929 
3018.000000,0.156848 
999.000000,0.165313 
5306.000000,0.202735 
5228.000000,0.193497 
4632.000000,0.085355 
4608.000000,0.067405 
2618.000000,0.163847 
4348.000000,0.083602 
7778.000000,0.291294 
7363.000000,0.060052 
5039.000000,0.120836 
1337.000000,0.258637 
5042.000000,0.149508 
4089.000000,0.131484 
6398.000000,0.059547 
5569.000000,0.104456 
5646.000000,0.082677 
566.000000,0.083802 
8596.000000,0.089245 
8021.000000,0.269758 
8108.000000,0.290771 
7304.000000,0.068014 
7392.000000,0.115074 
7785.000000,0.297339 
1980.000000,0.073557 
4396.000000,0.169961 
1998.000000,0.262495 
1969.000000,0.267995 
2034.000000,0.258897 
7785.000000,0.211613 
8022.000000,0.265010 
1589.000000,0.268269 
2561.000000,0.160903 
367.000000,0.104187 
4314.000000,0.147792 
9824.000000,0.285306 
7978.000000,0.126581 
9819.000000,0.068657 
9781.000000,0.076404 
7588.000000,0.026773 
7529.000000,0.040851 
7541.000000,0.041313 
9835.000000,0.318875 
9842.000000,0.135778 
9836.000000,0.314211 
2524.000000,0.262376 
2658.000000,0.179468 
5923.000000,0.206495 
5874.000000,0.034344 
5861.000000,0.064941 
4625.000000,0.072972 
4252.000000,0.171630 
4784.000000,0.105299 
4818.000000,0.133300 
6876.000000,0.304201 
6811.000000,0.263432 
1258.000000,0.172525 
6007.000000,0.177918 
5979.000000,0.143516 
6087.000000,0.062102 
2794.000000,0.178587 
6111.000000,0.327404 
479.000000,0.078215 
7028.000000,0.059678 
12.000000,0.056982 
7130.000000,0.268695 
7610.000000,0.060174 
7561.000000,0.065841 
4817.000000,0.139733 
174.000000,0.067893 
376.000000,0.091353 
4811.000000,0.131985 
2260.000000,0.267744 
6442.000000,0.123372 
6377.000000,0.181091 
6342.000000,0.068195 
6355.000000,0.162315 
5607.000000,0.081735 
6143.000000,0.177332 
936.000000,0.262020 
9010.000000,0.206255 
8979.000000,0.093665 
8580.000000,0.097611 
8529.000000,0.063068 
9019.000000,0.215255 
8939.000000,0.105770 
8992.000000,0.211489 
9128.000000,0.157591 
8829.000000,0.070920 
8827.000000,0.040949 
9116.000000,0.078693 
8637.000000,0.231511 
7670.000000,0.094241 
9544.000000,0.110061 
1330.000000,0.262270 
5098.000000,0.203026 
1381.000000,0.266425 
1312.000000,0.264494 
5840.000000,0.204286 
4095.000000,0.125785 
4600.000000,0.066861 
8253.000000,0.067283 
3150.000000,0.147881 
8167.000000,0.084335 
5907.000000,0.326188 
5810.000000,0.093056 
2807.000000,0.158377 
6334.000000,0.075069 
5646.000000,0.241583 
8121.000000,0.292552 
345.000000,0.069024 
468.000000,0.065844 
7390.000000,0.141435 
7671.000000,0.084061 
8262.000000,0.088918 
8330.000000,0.064990 
5378.000000,0.093774 
5853.000000,0.209368 
4201.000000,0.107057 
7642.000000,0.031849 
7954.000000,0.108845 
8083.000000,0.298974 
7574.000000,0.015736 
8069.000000,0.264516 
7601.000000,0.072893 
9827.000000,0.295218 
9772.000000,0.085887 
2434.000000,0.268891 
5918.000000,0.327070 
5871.000000,0.083772 
2918.000000,0.258739 
4124.000000,0.194217 
2690.000000,0.260174 
2429.000000,0.166232 
7297.000000,0.065719 
6083.000000,0.073432 
2569.000000,0.164989 
6089.000000,0.329401 
491.000000,0.065138 
4604.000000,0.073978 
7127.000000,0.263906 
7134.000000,0.267483 
7583.000000,0.072347 
6097.000000,0.334189 
6097.000000,0.192318 
8588.000000,0.066895 
8518.000000,0.058732 
9037.000000,0.197873 
9335.000000,0.160612 
9268.000000,0.108786 
9238.000000,0.118892 
9246.000000,0.091764 
8769.000000,0.226186 
5103.000000,0.194968 
4390.000000,0.153628 
4081.000000,0.131520 
4345.000000,0.086103 
1542.000000,0.259386 
1515.000000,0.270432 
8148.000000,0.062563 
823.000000,0.321052 
5038.000000,0.131202 
4072.000000,0.143788 
7408.000000,0.118427 
8082.000000,0.280332 
9773.000000,0.082355 
9779.000000,0.080270 
7560.000000,0.052299 
5918.000000,0.179679 
5949.000000,0.197259 
4778.000000,0.108249 
7550.000000,0.062545 
9239.000000,0.104730 
9129.000000,0.061360 
2787.000000,0.165858 
4071.000000,0.128729 
3047.000000,0.164864 
7339.000000,0.146080 
7949.000000,0.149494 
9714.000000,0.323111 
8101.000000,0.306831 
2332.000000,0.162686 
0.156728 
0.141453 
