point, dist
4325.000000,0.285769 
4378.000000,0.230603 
4376.000000,0.291629 
2701.000000,0.210392 
2707.000000,0.186756 
2660.000000,0.184301 
2691.000000,0.205584 
2717.000000,0.231696 
3849.000000,0.107601 
4327.000000,0.230023 
2697.000000,0.178202 
3842.000000,0.325900 
3842.000000,0.252547 
1593.000000,0.109982 
5089.000000,0.237822 
1579.000000,0.065019 
1585.000000,0.385021 
2682.000000,0.181612 
2687.000000,0.226529 
2657.000000,0.230195 
4198.000000,0.212140 
4183.000000,0.155254 
2694.000000,0.178382 
4180.000000,0.133090 
1574.000000,0.167572 
2777.000000,0.341523 
1575.000000,0.043591 
4179.000000,0.263757 
2640.000000,0.090099 
4186.000000,0.141409 
2648.000000,0.060782 
2584.000000,0.036823 
4171.000000,0.207127 
4160.000000,0.167107 
4151.000000,0.204001 
4165.000000,0.180107 
2643.000000,0.306062 
2637.000000,0.166220 
4182.000000,0.197477 
4393.000000,0.222438 
4408.000000,0.153735 
4526.000000,0.245000 
4396.000000,0.251422 
2652.000000,0.334731 
2650.000000,0.346264 
2777.000000,0.292694 
4177.000000,0.282100 
4274.000000,0.176533 
4352.000000,0.171937 
4271.000000,0.250336 
4513.000000,0.138116 
4535.000000,0.201239 
4532.000000,0.239845 
4478.000000,0.205229 
4515.000000,0.181379 
4483.000000,0.225259 
3784.000000,0.319841 
4331.000000,0.281285 
4351.000000,0.044533 
2696.000000,0.162744 
2678.000000,0.169204 
2669.000000,0.217261 
2710.000000,0.310581 
2671.000000,0.169962 
4514.000000,0.113985 
2659.000000,0.159635 
2670.000000,0.250423 
2680.000000,0.151948 
2685.000000,0.238754 
2646.000000,0.310220 
2631.000000,0.094220 
4178.000000,0.303920 
5071.000000,0.269437 
1591.000000,0.148933 
2630.000000,0.222247 
4205.000000,0.146229 
4207.000000,0.135280 
4188.000000,0.297987 
2582.000000,0.108732 
2573.000000,0.197773 
4489.000000,0.217622 
4487.000000,0.258527 
2611.000000,0.014193 
2618.000000,0.060485 
2601.000000,0.074503 
2615.000000,0.092272 
4952.000000,0.135985 
2085.000000,0.213097 
4696.000000,0.193488 
2020.000000,0.279996 
6859.000000,0.216965 
6893.000000,0.052535 
6896.000000,0.075283 
7501.000000,0.252665 
6400.000000,0.101815 
2008.000000,0.078354 
2013.000000,0.219181 
2017.000000,0.165532 
6404.000000,0.154328 
4953.000000,0.130207 
8622.000000,0.084747 
6148.000000,0.109820 
6147.000000,0.251435 
7330.000000,0.241762 
7335.000000,0.096624 
7250.000000,0.287964 
9924.000000,0.143970 
1793.000000,0.131820 
4781.000000,0.168523 
1629.000000,0.137389 
1606.000000,0.080785 
5076.000000,0.211032 
5072.000000,0.242568 
4543.000000,0.276229 
2585.000000,0.211141 
2731.000000,0.310197 
4739.000000,0.077939 
1849.000000,0.190615 
4527.000000,0.096825 
4526.000000,0.155675 
4523.000000,0.180609 
4410.000000,0.156462 
4229.000000,0.268552 
2190.000000,0.203649 
4927.000000,0.136501 
4930.000000,0.189674 
9483.000000,0.178993 
9489.000000,0.175309 
9505.000000,0.132741 
7544.000000,0.110705 
7541.000000,0.232803 
7545.000000,0.192979 
7516.000000,0.239501 
7515.000000,0.221594 
6975.000000,0.108649 
6980.000000,0.194836 
7293.000000,0.106906 
7263.000000,0.223663 
7290.000000,0.124429 
7313.000000,0.102797 
4529.000000,0.210155 
4360.000000,0.130134 
4277.000000,0.244991 
2715.000000,0.193441 
2703.000000,0.171563 
3851.000000,0.301960 
2704.000000,0.167828 
2705.000000,0.199221 
2683.000000,0.185606 
2638.000000,0.153516 
9980.000000,0.142699 
9973.000000,0.156562 
9961.000000,0.207106 
2632.000000,0.212212 
2655.000000,0.337887 
4457.000000,0.128331 
4353.000000,0.095604 
4472.000000,0.245695 
1852.000000,0.045353 
1865.000000,0.090117 
1864.000000,0.206840 
9957.000000,0.157096 
1598.000000,0.240777 
9964.000000,0.125199 
1586.000000,0.286747 
1584.000000,0.353974 
4403.000000,0.217349 
4404.000000,0.243746 
4400.000000,0.275496 
4390.000000,0.286949 
4391.000000,0.223068 
4379.000000,0.104100 
1752.000000,0.196677 
1756.000000,0.068839 
1758.000000,0.236298 
4776.000000,0.327768 
6133.000000,0.177176 
6134.000000,0.118839 
6142.000000,0.280470 
2091.000000,0.050504 
1192.000000,0.282891 
6104.000000,0.172773 
6114.000000,0.298349 
6114.000000,0.136209 
6861.000000,0.208358 
6431.000000,0.271004 
6395.000000,0.081073 
6405.000000,0.113045 
6448.000000,0.196530 
6419.000000,0.315485 
6394.000000,0.167143 
6574.000000,0.124125 
6554.000000,0.173032 
6549.000000,0.189937 
6535.000000,0.073813 
8927.000000,0.145358 
6432.000000,0.214206 
8932.000000,0.079344 
6439.000000,0.138958 
8923.000000,0.155333 
1269.000000,0.328122 
6569.000000,0.133849 
6542.000000,0.084137 
6653.000000,0.141476 
6656.000000,0.183272 
7484.000000,0.096786 
6652.000000,0.150859 
9266.000000,0.202207 
6738.000000,0.156675 
6742.000000,0.158124 
6552.000000,0.153953 
6580.000000,0.148793 
6590.000000,0.087776 
6738.000000,0.189376 
4299.000000,0.128203 
6083.000000,0.316843 
6148.000000,0.292816 
2092.000000,0.140353 
4932.000000,0.169587 
7466.000000,0.259241 
7465.000000,0.293120 
7466.000000,0.284238 
4950.000000,0.054778 
4949.000000,0.076982 
2062.000000,0.139616 
6147.000000,0.059489 
6129.000000,0.173099 
6146.000000,0.078223 
2377.000000,0.235003 
2394.000000,0.105737 
2395.000000,0.267328 
2375.000000,0.130689 
2369.000000,0.156625 
6438.000000,0.190585 
6373.000000,0.143829 
6440.000000,0.320937 
6406.000000,0.056630 
6423.000000,0.301472 
6576.000000,0.206451 
1306.000000,0.351764 
6536.000000,0.067829 
6534.000000,0.148874 
9176.000000,0.297051 
9175.000000,0.292969 
9161.000000,0.229772 
8743.000000,0.189236 
8846.000000,0.040610 
8851.000000,0.242798 
8848.000000,0.065746 
4739.000000,0.233855 
1867.000000,0.052044 
4747.000000,0.265502 
4740.000000,0.219932 
5007.000000,0.168192 
8893.000000,0.157396 
8881.000000,0.251128 
8893.000000,0.208078 
1921.000000,0.129913 
1932.000000,0.210365 
4724.000000,0.234424 
7010.000000,0.165883 
1751.000000,0.173849 
1617.000000,0.130763 
4463.000000,0.108726 
2576.000000,0.264013 
1829.000000,0.095988 
1822.000000,0.269392 
1837.000000,0.149845 
4371.000000,0.342315 
4235.000000,0.230683 
4259.000000,0.200393 
4259.000000,0.228017 
4251.000000,0.171125 
4403.000000,0.176675 
7591.000000,0.252308 
7560.000000,0.060990 
7552.000000,0.187528 
1805.000000,0.208581 
1792.000000,0.251721 
4764.000000,0.235630 
2396.000000,0.102816 
2391.000000,0.124278 
5046.000000,0.226054 
5046.000000,0.273977 
5050.000000,0.285892 
1838.000000,0.246268 
4764.000000,0.275788 
4766.000000,0.252592 
2189.000000,0.106789 
4655.000000,0.098947 
9645.000000,0.115152 
9651.000000,0.202079 
9649.000000,0.183528 
9566.000000,0.213533 
9665.000000,0.132322 
9493.000000,0.208984 
8340.000000,0.049620 
8333.000000,0.236931 
8329.000000,0.147642 
9828.000000,0.241101 
9827.000000,0.192578 
9832.000000,0.241427 
7296.000000,0.211977 
7338.000000,0.024699 
9919.000000,0.082632 
7533.000000,0.261538 
7533.000000,0.100776 
7528.000000,0.166000 
4294.000000,0.193733 
4293.000000,0.167816 
1950.000000,0.178597 
1936.000000,0.202968 
1953.000000,0.077617 
1885.000000,0.055268 
2601.000000,0.330950 
4304.000000,0.175307 
2664.000000,0.227150 
4317.000000,0.243885 
7398.000000,0.170966 
7396.000000,0.110840 
7401.000000,0.257260 
4195.000000,0.235218 
3845.000000,0.412931 
3784.000000,0.247445 
4248.000000,0.240563 
4247.000000,0.226450 
2667.000000,0.259032 
1594.000000,0.160441 
2625.000000,0.102766 
4538.000000,0.245067 
2579.000000,0.186145 
4601.000000,0.181729 
4855.000000,0.285854 
9983.000000,0.140621 
9946.000000,0.169131 
9997.000000,0.310193 
9981.000000,0.188986 
9965.000000,0.106268 
9967.000000,0.141806 
9974.000000,0.108595 
9951.000000,0.199239 
2642.000000,0.094648 
4209.000000,0.217849 
4501.000000,0.222348 
7870.000000,0.221254 
7867.000000,0.062974 
7848.000000,0.182985 
4461.000000,0.201521 
4461.000000,0.189732 
1841.000000,0.099261 
1802.000000,0.163525 
9959.000000,0.301161 
9953.000000,0.157814 
4119.000000,0.242077 
4139.000000,0.155088 
4135.000000,0.192353 
4143.000000,0.221266 
4118.000000,0.213064 
4117.000000,0.180657 
9935.000000,0.124612 
806.000000,0.316484 
9913.000000,0.214504 
9932.000000,0.148816 
4146.000000,0.292091 
1598.000000,0.345760 
5093.000000,0.246135 
2702.000000,0.196073 
86.000000,0.308693 
98.000000,0.309967 
4380.000000,0.162884 
3834.000000,0.265384 
4420.000000,0.175420 
4417.000000,0.162883 
4238.000000,0.296910 
4428.000000,0.167742 
5984.000000,0.132954 
6009.000000,0.090500 
6011.000000,0.228931 
5980.000000,0.140196 
4088.000000,0.148833 
4096.000000,0.254650 
2622.000000,0.202564 
7268.000000,0.210149 
7269.000000,0.282854 
7327.000000,0.176384 
7301.000000,0.223999 
7114.000000,0.146668 
7131.000000,0.154865 
7128.000000,0.121149 
7130.000000,0.116342 
1536.000000,0.153041 
1551.000000,0.036082 
1543.000000,0.260768 
1549.000000,0.077769 
5085.000000,0.261711 
5086.000000,0.252435 
4882.000000,0.245658 
4882.000000,0.215238 
5657.000000,0.087654 
2068.000000,0.108602 
6833.000000,0.211490 
6839.000000,0.236651 
6830.000000,0.229207 
6777.000000,0.213657 
6764.000000,0.205085 
6776.000000,0.099937 
8949.000000,0.132515 
8942.000000,0.264012 
6433.000000,0.050186 
6422.000000,0.285198 
6543.000000,0.071343 
6522.000000,0.148824 
6547.000000,0.190043 
6292.000000,0.125248 
6309.000000,0.243559 
8769.000000,0.070203 
8765.000000,0.103463 
6286.000000,0.170949 
6291.000000,0.131492 
6297.000000,0.085319 
8755.000000,0.188123 
8787.000000,0.173594 
8782.000000,0.081320 
2017.000000,0.334165 
4718.000000,0.050973 
6706.000000,0.249113 
6709.000000,0.274097 
6681.000000,0.105384 
6559.000000,0.248165 
6526.000000,0.168038 
4738.000000,0.240221 
6511.000000,0.144255 
6595.000000,0.156864 
6510.000000,0.196615 
6417.000000,0.282058 
2298.000000,0.243873 
2286.000000,0.107811 
2289.000000,0.251168 
2282.000000,0.067147 
2002.000000,0.071594 
2000.000000,0.150943 
1994.000000,0.153900 
1997.000000,0.157791 
7344.000000,0.102171 
7344.000000,0.098668 
7346.000000,0.197297 
6467.000000,0.102894 
6482.000000,0.148485 
6468.000000,0.223909 
9003.000000,0.135614 
9003.000000,0.113205 
6476.000000,0.229206 
6211.000000,0.112018 
7436.000000,0.168527 
6198.000000,0.187749 
7440.000000,0.228724 
6169.000000,0.296782 
6213.000000,0.191461 
6313.000000,0.218162 
6316.000000,0.185173 
6340.000000,0.072203 
6325.000000,0.281488 
7451.000000,0.280696 
7450.000000,0.055530 
8825.000000,0.057235 
2133.000000,0.058852 
8742.000000,0.164415 
2120.000000,0.181201 
4689.000000,0.182664 
2114.000000,0.156631 
2056.000000,0.037376 
4691.000000,0.186787 
2051.000000,0.053876 
4690.000000,0.141949 
6161.000000,0.186483 
8623.000000,0.221615 
6159.000000,0.105882 
5984.000000,0.348683 
6143.000000,0.167564 
6140.000000,0.197824 
2384.000000,0.076238 
2378.000000,0.161372 
4872.000000,0.221291 
9149.000000,0.090517 
1226.000000,0.161572 
6425.000000,0.292575 
4703.000000,0.279922 
1204.000000,0.122571 
6546.000000,0.211279 
6677.000000,0.122223 
6689.000000,0.200078 
6678.000000,0.108848 
6834.000000,0.160345 
6834.000000,0.147379 
6832.000000,0.160699 
6832.000000,0.169969 
8994.000000,0.149835 
9008.000000,0.198251 
8997.000000,0.084497 
5008.000000,0.269489 
1902.000000,0.168103 
4742.000000,0.233230 
1915.000000,0.145232 
9264.000000,0.107970 
9238.000000,0.136298 
9329.000000,0.185060 
9322.000000,0.058805 
9450.000000,0.288420 
9421.000000,0.306606 
1909.000000,0.204069 
8891.000000,0.244917 
2049.000000,0.129999 
2052.000000,0.153161 
4713.000000,0.215812 
2040.000000,0.168247 
4675.000000,0.163941 
4671.000000,0.164992 
6822.000000,0.278047 
6828.000000,0.141713 
9625.000000,0.217291 
9629.000000,0.115110 
9615.000000,0.258723 
9635.000000,0.185044 
7141.000000,0.201603 
7128.000000,0.185263 
7311.000000,0.193111 
7325.000000,0.198158 
9906.000000,0.226983 
2589.000000,0.038428 
4546.000000,0.269537 
4275.000000,0.157449 
5345.000000,0.081358 
5350.000000,0.099331 
5368.000000,0.174062 
5066.000000,0.264343 
2748.000000,0.290536 
5066.000000,0.121953 
1587.000000,0.091256 
1608.000000,0.137214 
1797.000000,0.083893 
1804.000000,0.102453 
1803.000000,0.167675 
2390.000000,0.011003 
2393.000000,0.083894 
2382.000000,0.054758 
4774.000000,0.290734 
5037.000000,0.131156 
4972.000000,0.140891 
1819.000000,0.052531 
4771.000000,0.304959 
7388.000000,0.144899 
7388.000000,0.270585 
5594.000000,0.220521 
7385.000000,0.238161 
5569.000000,0.198706 
8062.000000,0.174558 
7348.000000,0.212528 
4410.000000,0.305421 
7565.000000,0.213264 
7567.000000,0.197784 
891.000000,0.285163 
8330.000000,0.071155 
8322.000000,0.157761 
8314.000000,0.088156 
8322.000000,0.173917 
2321.000000,0.164046 
9640.000000,0.081372 
9640.000000,0.140684 
1794.000000,0.095412 
9650.000000,0.322676 
9629.000000,0.211154 
6913.000000,0.081548 
6918.000000,0.186791 
6917.000000,0.216835 
1620.000000,0.172181 
1604.000000,0.097480 
1624.000000,0.102621 
9814.000000,0.136382 
9816.000000,0.186429 
9801.000000,0.170953 
9814.000000,0.191538 
9818.000000,0.141302 
9815.000000,0.171003 
9808.000000,0.188013 
9729.000000,0.267457 
9777.000000,0.180990 
9809.000000,0.239627 
9661.000000,0.223430 
9817.000000,0.232537 
9811.000000,0.165467 
1628.000000,0.355477 
5041.000000,0.089917 
2178.000000,0.087169 
8657.000000,0.046875 
8659.000000,0.103032 
8651.000000,0.162470 
8658.000000,0.076673 
2193.000000,0.081551 
8121.000000,0.303713 
8175.000000,0.090576 
8172.000000,0.050474 
8161.000000,0.087206 
9572.000000,0.292889 
4635.000000,0.202794 
8483.000000,0.159679 
2259.000000,0.200016 
2250.000000,0.174240 
8331.000000,0.120340 
9746.000000,0.183512 
9751.000000,0.153151 
7189.000000,0.194636 
5103.000000,0.160692 
7262.000000,0.225583 
7289.000000,0.135341 
7253.000000,0.236907 
9896.000000,0.223700 
7256.000000,0.257121 
7274.000000,0.221696 
7340.000000,0.050284 
7297.000000,0.155507 
7299.000000,0.162175 
7316.000000,0.159889 
7304.000000,0.293397 
7300.000000,0.157641 
7544.000000,0.232474 
7296.000000,0.199397 
7295.000000,0.205838 
7326.000000,0.166013 
7190.000000,0.174019 
7190.000000,0.175412 
7149.000000,0.201094 
7156.000000,0.175208 
3786.000000,0.265011 
4071.000000,0.226909 
2143.000000,0.147427 
4660.000000,0.226185 
4664.000000,0.166650 
7133.000000,0.128805 
7129.000000,0.163789 
7135.000000,0.095299 
7124.000000,0.151272 
7181.000000,0.140222 
7172.000000,0.157789 
7183.000000,0.161018 
7154.000000,0.292027 
6952.000000,0.240185 
7041.000000,0.143682 
2608.000000,0.298047 
4287.000000,0.213224 
2677.000000,0.233051 
4291.000000,0.129957 
5678.000000,0.166298 
5689.000000,0.120752 
5655.000000,0.116116 
5667.000000,0.141467 
5569.000000,0.337731 
5744.000000,0.149029 
5721.000000,0.276867 
5718.000000,0.296745 
5747.000000,0.181718 
4604.000000,0.182355 
4857.000000,0.213382 
4858.000000,0.261096 
2355.000000,0.186155 
2624.000000,0.138959 
2596.000000,0.087082 
2606.000000,0.112634 
2686.000000,0.236442 
2661.000000,0.225333 
4545.000000,0.298422 
1589.000000,0.120048 
5075.000000,0.273416 
2639.000000,0.090019 
2639.000000,0.294360 
4538.000000,0.173633 
2581.000000,0.025506 
7867.000000,0.161067 
9976.000000,0.194455 
9968.000000,0.165442 
9949.000000,0.178445 
9969.000000,0.151178 
9978.000000,0.189332 
9897.000000,0.240913 
9979.000000,0.101189 
9892.000000,0.239413 
9895.000000,0.241013 
9941.000000,0.173307 
678.000000,0.122547 
9932.000000,0.067063 
2653.000000,0.050064 
4503.000000,0.052729 
4532.000000,0.127807 
4436.000000,0.254376 
4514.000000,0.184998 
4511.000000,0.209332 
5498.000000,0.125942 
5519.000000,0.207885 
5523.000000,0.191061 
5524.000000,0.250118 
4461.000000,0.223270 
4761.000000,0.245786 
1859.000000,0.270783 
5025.000000,0.111184 
1847.000000,0.032154 
2565.000000,0.164551 
4561.000000,0.325926 
1973.000000,0.176987 
1976.000000,0.079151 
4726.000000,0.198935 
9185.000000,0.184253 
9206.000000,0.284423 
9338.000000,0.185159 
9198.000000,0.265156 
9952.000000,0.158867 
9950.000000,0.169834 
808.000000,0.360597 
9911.000000,0.242354 
4155.000000,0.190179 
4797.000000,0.237437 
4797.000000,0.296609 
5068.000000,0.084351 
1578.000000,0.162130 
2932.000000,0.145794 
2936.000000,0.242816 
2938.000000,0.196354 
1843.000000,0.087236 
4394.000000,0.283923 
4412.000000,0.174975 
2796.000000,0.262714 
7697.000000,0.224063 
7699.000000,0.124692 
7695.000000,0.220557 
5108.000000,0.112227 
7556.000000,0.173151 
4237.000000,0.269027 
4246.000000,0.282096 
4268.000000,0.297936 
4255.000000,0.130516 
4263.000000,0.202369 
3837.000000,0.170832 
3840.000000,0.252239 
4232.000000,0.154795 
3826.000000,0.189173 
3852.000000,0.278448 
4380.000000,0.140047 
4345.000000,0.236236 
7679.000000,0.151237 
7671.000000,0.143284 
5175.000000,0.266113 
5175.000000,0.205125 
5248.000000,0.181703 
5095.000000,0.127917 
4127.000000,0.182325 
2689.000000,0.290036 
1540.000000,0.075088 
7145.000000,0.069055 
1537.000000,0.079114 
4115.000000,0.303767 
7323.000000,0.181695 
7327.000000,0.146755 
9929.000000,0.108271 
9927.000000,0.021266 
9940.000000,0.182157 
7287.000000,0.079751 
1515.000000,0.249778 
1511.000000,0.092928 
7266.000000,0.332042 
4805.000000,0.201123 
5083.000000,0.154370 
7366.000000,0.275062 
5347.000000,0.243258 
5369.000000,0.219866 
5697.000000,0.032887 
5704.000000,0.113352 
8128.000000,0.114461 
5710.000000,0.194464 
5670.000000,0.121385 
5671.000000,0.154056 
8094.000000,0.271025 
2336.000000,0.365506 
2336.000000,0.222102 
5655.000000,0.163157 
2340.000000,0.178600 
849.000000,0.317498 
5806.000000,0.131567 
4627.000000,0.244271 
845.000000,0.375122 
2077.000000,0.129603 
6122.000000,0.216997 
5995.000000,0.315244 
5960.000000,0.123802 
8112.000000,0.062189 
8120.000000,0.301943 
8092.000000,0.272240 
8287.000000,0.104686 
8279.000000,0.215991 
5853.000000,0.101759 
8279.000000,0.178263 
9338.000000,0.132533 
9226.000000,0.117101 
6914.000000,0.235376 
6902.000000,0.175861 
9653.000000,0.182376 
9513.000000,0.169430 
9659.000000,0.125959 
1776.000000,0.180535 
5048.000000,0.165655 
5033.000000,0.169430 
9333.000000,0.075039 
9332.000000,0.195835 
9224.000000,0.240631 
1485.000000,0.320637 
4027.000000,0.270450 
4913.000000,0.217288 
4913.000000,0.165240 
2398.000000,0.175482 
2362.000000,0.127840 
2361.000000,0.226088 
2359.000000,0.141061 
4864.000000,0.320022 
2348.000000,0.195584 
2332.000000,0.149250 
2351.000000,0.176845 
4877.000000,0.220509 
2285.000000,0.093436 
5594.000000,0.149033 
5593.000000,0.160290 
5592.000000,0.153902 
6141.000000,0.083372 
6127.000000,0.233538 
6118.000000,0.184913 
8770.000000,0.147155 
8758.000000,0.160892 
8951.000000,0.047334 
6294.000000,0.112925 
8775.000000,0.133515 
6548.000000,0.161573 
6567.000000,0.155859 
6568.000000,0.141483 
6407.000000,0.211980 
6589.000000,0.250842 
9095.000000,0.197856 
8925.000000,0.122647 
9102.000000,0.094063 
9295.000000,0.313815 
8786.000000,0.127878 
1228.000000,0.196900 
6088.000000,0.291688 
6283.000000,0.063507 
1129.000000,0.321951 
1145.000000,0.276423 
1125.000000,0.289126 
4700.000000,0.176477 
2022.000000,0.152774 
1951.000000,0.112372 
1288.000000,0.154732 
1961.000000,0.160282 
1266.000000,0.337179 
6676.000000,0.093295 
6701.000000,0.117175 
6831.000000,0.153939 
9099.000000,0.105238 
6683.000000,0.139461 
6654.000000,0.170946 
4702.000000,0.290151 
6310.000000,0.161107 
8776.000000,0.080936 
6427.000000,0.308277 
6388.000000,0.115793 
6392.000000,0.105535 
6454.000000,0.293123 
6387.000000,0.168948 
6446.000000,0.206580 
7503.000000,0.206933 
7499.000000,0.186057 
6658.000000,0.186814 
7487.000000,0.054745 
7486.000000,0.222367 
6684.000000,0.054702 
6696.000000,0.265670 
1900.000000,0.105301 
1377.000000,0.299270 
6597.000000,0.183104 
9099.000000,0.160014 
6418.000000,0.282671 
