point, dist
4258.000000,0.098422 
4261.000000,0.184189 
4256.000000,0.237293 
9798.000000,0.538974 
9798.000000,0.166648 
9798.000000,0.244753 
9830.000000,0.579287 
3956.000000,0.129634 
4005.000000,0.250797 
3994.000000,0.221465 
4029.000000,0.201355 
4277.000000,0.179456 
4234.000000,0.192047 
4238.000000,0.264328 
128.000000,0.329237 
87.000000,0.274144 
3936.000000,0.744061 
3917.000000,0.277398 
3916.000000,0.154858 
4272.000000,0.267828 
2178.000000,0.357993 
125.000000,0.230578 
3579.000000,0.180172 
3395.000000,0.273071 
570.000000,0.258016 
1852.000000,0.259171 
4695.000000,0.217475 
4695.000000,0.363614 
9737.000000,0.112126 
9501.000000,0.222371 
9450.000000,0.205765 
9428.000000,0.172760 
9501.000000,0.148802 
5413.000000,0.336285 
9853.000000,0.229037 
9849.000000,0.143348 
3262.000000,0.186905 
3253.000000,0.224517 
3188.000000,0.205164 
2270.000000,0.167310 
4272.000000,0.333616 
2160.000000,0.311126 
2161.000000,0.369373 
2164.000000,0.326122 
3219.000000,0.294078 
3181.000000,0.239390 
3238.000000,0.231239 
3224.000000,0.308759 
3197.000000,0.241243 
3237.000000,0.253663 
2431.000000,0.109098 
2431.000000,0.506334 
5131.000000,0.473910 
5132.000000,0.934787 
5132.000000,0.446259 
5131.000000,0.948298 
528.000000,0.261140 
5129.000000,0.090487 
9802.000000,0.178036 
5084.000000,0.125904 
5083.000000,0.154373 
9884.000000,0.142803 
5633.000000,0.305036 
9880.000000,0.188893 
9885.000000,0.104683 
415.000000,0.235791 
3354.000000,0.170547 
1945.000000,0.309169 
1948.000000,0.328955 
413.000000,0.206828 
9974.000000,0.262954 
9980.000000,0.152262 
9980.000000,0.108890 
2835.000000,0.255254 
2833.000000,0.044113 
2841.000000,0.162902 
9505.000000,0.282350 
9112.000000,0.783395 
9431.000000,0.266961 
9473.000000,0.088969 
9504.000000,0.200650 
9504.000000,0.258816 
9369.000000,0.333500 
9450.000000,0.685705 
1838.000000,0.369262 
1824.000000,0.120709 
1824.000000,0.196407 
1308.000000,0.103441 
1300.000000,0.105030 
1299.000000,0.126919 
9492.000000,0.620048 
9485.000000,0.586317 
6330.000000,0.283111 
2840.000000,0.437881 
6554.000000,0.676031 
4080.000000,0.701031 
6560.000000,0.743836 
6553.000000,0.225303 
6563.000000,0.737679 
6545.000000,0.741692 
4010.000000,0.681756 
4234.000000,0.260010 
4234.000000,0.308171 
3319.000000,0.141404 
3501.000000,0.239497 
2076.000000,0.309658 
2120.000000,0.389078 
25.000000,0.267548 
82.000000,0.293496 
3529.000000,0.315464 
1989.000000,0.312651 
3525.000000,0.270757 
2054.000000,0.334176 
4687.000000,0.117486 
4687.000000,0.516301 
4686.000000,0.188356 
4687.000000,0.636146 
4926.000000,0.858714 
9769.000000,0.943893 
5161.000000,0.205841 
469.000000,0.261927 
514.000000,0.237465 
5109.000000,0.183639 
5156.000000,0.179278 
5149.000000,0.438266 
9800.000000,0.535687 
5149.000000,0.948611 
4701.000000,0.182301 
3904.000000,0.168524 
9702.000000,0.378919 
9702.000000,0.133507 
4483.000000,0.750267 
9702.000000,0.870937 
3904.000000,0.776038 
4474.000000,0.692835 
4695.000000,0.835665 
4483.000000,0.268957 
4485.000000,0.281219 
4486.000000,0.260382 
4230.000000,0.252735 
4230.000000,0.223301 
4233.000000,0.230849 
4225.000000,0.890661 
11.000000,0.279157 
3.000000,0.219931 
4247.000000,0.768168 
