point, dist
1769.000000,0.468127 
1769.000000,0.401388 
1578.000000,0.336464 
1985.000000,0.355496 
1210.000000,0.455976 
1224.000000,0.533503 
892.000000,0.598331 
7617.000000,0.261543 
1423.000000,0.395325 
7830.000000,0.275588 
1300.000000,0.359818 
1678.000000,0.435459 
1627.000000,0.644303 
1073.000000,0.527262 
1224.000000,0.469899 
7617.000000,0.258518 
5598.000000,0.473434 
5009.000000,0.473608 
5005.000000,0.521428 
4983.000000,0.485511 
7757.000000,0.274651 
3403.000000,0.465425 
7757.000000,0.298657 
7547.000000,0.408237 
3403.000000,0.268133 
7547.000000,0.318570 
3421.000000,0.132273 
7546.000000,0.361857 
3421.000000,0.191875 
3421.000000,0.439937 
7528.000000,0.231609 
600.000000,1.441033 
140.000000,1.421384 
204.000000,1.433231 
9578.000000,0.229950 
9565.000000,0.333757 
9572.000000,0.307577 
9559.000000,0.304218 
1883.000000,0.411978 
7618.000000,0.267527 
7699.000000,0.418300 
1671.000000,0.503315 
7754.000000,0.521093 
8972.000000,0.455508 
8992.000000,0.346087 
8906.000000,0.319605 
8873.000000,0.345817 
8931.000000,0.323980 
8915.000000,0.472613 
8873.000000,0.388179 
4986.000000,0.469376 
5446.000000,0.571122 
4986.000000,0.510828 
4276.000000,0.510565 
4445.000000,0.491092 
4687.000000,0.521378 
4937.000000,0.476707 
5456.000000,0.496536 
4937.000000,0.550457 
5446.000000,0.462515 
4345.000000,0.488355 
4588.000000,0.468160 
4588.000000,0.570221 
4445.000000,0.477581 
5519.000000,0.433375 
5522.000000,0.482387 
5192.000000,0.577910 
4561.000000,1.872162 
4570.000000,0.500305 
4496.000000,0.580639 
4496.000000,1.836290 
378.000000,0.447806 
8527.000000,0.316785 
262.000000,0.434615 
9598.000000,0.345485 
9609.000000,0.411304 
9587.000000,0.313598 
9587.000000,0.311947 
4147.000000,0.450262 
4828.000000,0.501268 
4227.000000,0.478504 
3926.000000,0.559547 
3587.000000,0.386530 
4022.000000,0.525883 
3587.000000,0.482034 
6.000000,1.193531 
600.000000,1.397226 
2364.000000,0.571633 
2715.000000,0.503640 
2715.000000,0.467742 
2351.000000,0.488980 
2183.000000,0.517164 
1949.000000,0.492522 
159.000000,0.413961 
7727.000000,0.357175 
614.000000,0.543721 
614.000000,0.577591 
895.000000,0.443239 
1168.000000,0.502300 
1270.000000,0.484338 
7663.000000,0.302131 
7676.000000,0.222637 
197.000000,0.514123 
1800.000000,0.341865 
7137.000000,0.339635 
7406.000000,0.559213 
9873.000000,0.482199 
7137.000000,0.241660 
7259.000000,0.284297 
9894.000000,0.487938 
6987.000000,0.568595 
6925.000000,0.552704 
7114.000000,0.433006 
7250.000000,0.250587 
1199.000000,0.466272 
872.000000,0.503064 
1199.000000,0.574407 
1224.000000,0.561379 
892.000000,0.447914 
1020.000000,0.481281 
9873.000000,0.538734 
1031.000000,0.455574 
2572.000000,0.432269 
2307.000000,0.493447 
2816.000000,0.535290 
2102.000000,0.511006 
2046.000000,0.633698 
1719.000000,0.556480 
2095.000000,0.636776 
6423.000000,0.645923 
2622.000000,0.475507 
6423.000000,0.597212 
5753.000000,0.597001 
2382.000000,0.441864 
9722.000000,0.572140 
2437.000000,0.502187 
2217.000000,0.548093 
2762.000000,0.573134 
3539.000000,0.377771 
3934.000000,0.394468 
6144.000000,0.343540 
6090.000000,0.543473 
5720.000000,0.559590 
5815.000000,0.577239 
6279.000000,0.619105 
4011.000000,1.434774 
4011.000000,1.416199 
3967.000000,1.127172 
4021.000000,1.437034 
2907.000000,0.440556 
2907.000000,1.014485 
2907.000000,0.613487 
8931.000000,0.376071 
1627.000000,0.437198 
3929.000000,0.982943 
3514.000000,1.153236 
4065.000000,1.150725 
4065.000000,1.098387 
3671.000000,0.434503 
4022.000000,0.539438 
8915.000000,0.440933 
8966.000000,0.455891 
3885.000000,1.093528 
3519.000000,1.110747 
5139.000000,0.500968 
5599.000000,0.440859 
5312.000000,0.565102 
4621.000000,0.475806 
4159.000000,0.511802 
4790.000000,0.424541 
4133.000000,0.484813 
5122.000000,0.449762 
4154.000000,0.536331 
4763.000000,0.399272 
4697.000000,0.484914 
5427.000000,0.660657 
5313.000000,0.646703 
5071.000000,0.543604 
5633.000000,0.586977 
5372.000000,0.506891 
5330.000000,0.536282 
5517.000000,0.555201 
5372.000000,0.462244 
5312.000000,0.471106 
4290.000000,0.581079 
4753.000000,0.513870 
4240.000000,0.437044 
4329.000000,0.545787 
4466.000000,0.991056 
4691.000000,0.878843 
4466.000000,1.014221 
4638.000000,0.596404 
4329.000000,0.467963 
4629.000000,0.532175 
