point, dist
7902.000000,0.132723 
9835.000000,0.170376 
7890.000000,0.167124 
9825.000000,0.291597 
9825.000000,0.151673 
9582.000000,0.273991 
9569.000000,0.301002 
9584.000000,0.102728 
3872.000000,0.223688 
3849.000000,0.241423 
3895.000000,0.245753 
3289.000000,0.331222 
3277.000000,0.274139 
3819.000000,0.522820 
3833.000000,0.420088 
3291.000000,0.220962 
2281.000000,0.339623 
2283.000000,0.358001 
25.000000,0.406190 
3256.000000,0.239460 
3273.000000,0.256356 
9646.000000,0.211146 
9646.000000,0.600949 
9999.000000,0.279228 
6250.000000,0.292906 
9999.000000,0.614340 
9999.000000,0.138621 
9999.000000,0.645346 
9999.000000,0.210925 
9640.000000,0.190975 
9645.000000,0.121303 
6231.000000,0.116722 
6231.000000,0.295880 
9620.000000,0.143993 
9613.000000,0.190925 
3862.000000,0.251356 
3889.000000,0.081355 
3855.000000,0.257085 
9622.000000,0.259372 
9617.000000,0.176557 
9617.000000,0.205129 
3876.000000,0.204797 
3869.000000,0.109587 
3869.000000,0.215371 
3876.000000,0.224437 
2356.000000,0.204190 
3282.000000,0.238032 
3275.000000,0.224930 
2355.000000,0.183097 
1407.000000,0.275849 
1308.000000,0.206360 
6276.000000,0.103711 
7268.000000,0.166360 
9771.000000,0.176498 
7405.000000,0.229156 
2452.000000,0.246622 
3286.000000,0.218335 
2384.000000,0.248083 
3294.000000,0.194252 
2291.000000,0.390768 
1381.000000,0.274415 
3782.000000,0.486628 
3901.000000,0.468551 
3280.000000,0.251490 
3864.000000,0.476088 
9999.000000,0.643532 
6246.000000,0.209653 
6244.000000,0.223020 
2936.000000,0.267400 
1421.000000,0.351657 
2328.000000,0.190402 
3762.000000,0.252218 
1130.000000,0.202300 
1377.000000,0.327182 
1145.000000,0.064953 
1130.000000,0.187037 
6206.000000,0.432991 
1128.000000,0.149818 
1224.000000,0.190538 
2893.000000,0.159691 
1455.000000,0.318431 
1131.000000,0.013261 
1153.000000,0.104525 
1133.000000,0.097739 
1138.000000,0.107783 
3761.000000,0.252475 
3865.000000,0.413063 
3784.000000,0.262886 
3926.000000,0.147224 
3926.000000,0.569575 
3946.000000,0.261987 
3914.000000,0.210440 
3912.000000,0.289875 
3947.000000,0.234325 
3930.000000,0.211359 
3830.000000,0.123063 
3834.000000,0.219599 
3943.000000,0.231101 
3877.000000,0.219109 
3877.000000,0.155052 
6283.000000,0.635461 
3889.000000,0.617962 
3883.000000,0.615464 
3905.000000,0.255265 
3908.000000,0.612811 
6280.000000,0.086746 
9579.000000,0.348171 
9993.000000,0.178339 
9583.000000,0.215816 
9599.000000,0.245371 
9576.000000,0.198070 
9583.000000,0.281993 
9621.000000,0.224540 
9580.000000,0.322998 
3770.000000,0.163002 
3776.000000,0.032053 
3773.000000,0.461462 
3791.000000,0.122594 
2356.000000,0.165467 
3936.000000,0.134827 
8886.000000,0.537463 
8867.000000,0.673187 
8759.000000,0.651900 
8260.000000,0.174885 
9874.000000,0.265643 
9873.000000,0.227792 
8322.000000,0.214930 
7799.000000,0.169268 
7696.000000,0.175477 
7734.000000,0.241781 
9826.000000,0.151359 
3783.000000,0.467059 
3270.000000,0.399250 
2279.000000,0.371131 
3805.000000,0.265426 
3769.000000,0.264194 
3768.000000,0.210896 
2277.000000,0.476837 
3938.000000,0.203154 
6288.000000,0.233299 
3838.000000,0.126818 
2350.000000,0.176364 
7268.000000,0.231799 
7405.000000,0.247784 
7616.000000,0.245850 
9807.000000,0.138035 
7498.000000,0.192674 
4997.000000,0.367221 
7788.000000,0.195282 
7596.000000,0.162331 
7633.000000,0.177870 
6980.000000,0.163451 
6877.000000,0.194617 
7007.000000,0.213206 
3786.000000,0.204346 
3786.000000,0.201366 
3843.000000,0.245092 
3870.000000,0.162543 
3784.000000,0.290080 
3797.000000,0.590197 
3912.000000,0.647029 
3946.000000,0.684616 
3930.000000,0.281735 
3935.000000,0.467380 
3538.000000,0.298223 
1386.000000,0.294891 
6427.000000,0.594613 
3866.000000,0.134585 
3909.000000,0.115795 
3906.000000,0.432116 
3866.000000,0.450980 
3906.000000,0.150115 
3274.000000,0.321813 
3279.000000,0.219940 
3271.000000,0.368161 
3264.000000,0.347916 
59.000000,0.301025 
3269.000000,0.319020 
3262.000000,0.315004 
58.000000,0.275791 
3934.000000,0.535489 
3929.000000,0.467354 
3934.000000,0.316210 
3261.000000,0.307385 
6235.000000,0.396907 
6242.000000,0.144224 
6234.000000,0.159840 
6233.000000,0.588482 
3764.000000,0.303632 
1150.000000,0.274741 
1147.000000,0.243684 
1143.000000,0.301838 
1143.000000,0.310160 
1144.000000,0.079445 
3832.000000,0.403100 
3833.000000,0.127514 
3836.000000,0.168124 
9647.000000,0.194926 
8923.000000,0.625907 
8935.000000,0.530905 
8945.000000,0.699980 
8935.000000,0.404434 
8942.000000,0.638206 
9991.000000,0.670870 
6250.000000,0.727184 
8821.000000,0.344972 
7569.000000,0.448958 
7560.000000,0.359036 
7569.000000,0.671947 
3702.000000,0.224001 
1456.000000,0.319356 
1125.000000,0.314349 
1127.000000,0.267453 
1451.000000,0.376384 
3529.000000,0.188460 
1071.000000,0.295048 
5068.000000,0.231180 
7888.000000,0.276782 
5062.000000,0.115920 
7944.000000,0.298916 
7998.000000,0.236142 
7995.000000,0.187995 
5139.000000,0.226985 
1132.000000,0.018387 
1137.000000,0.082828 
3864.000000,0.563411 
3867.000000,0.470336 
3867.000000,0.185624 
3832.000000,0.271543 
6427.000000,0.578965 
