point, dist
5463.000000,0.138396 
5401.000000,0.048870 
5463.000000,0.438847 
5357.000000,0.192651 
1133.000000,0.166442 
1128.000000,0.186911 
1130.000000,0.254006 
1118.000000,0.204733 
4699.000000,0.182285 
4703.000000,0.194515 
4760.000000,0.234451 
3228.000000,0.267918 
5431.000000,0.160718 
5026.000000,0.198084 
5149.000000,0.224379 
5101.000000,0.174267 
5148.000000,0.148464 
1430.000000,0.169115 
1379.000000,0.197499 
1711.000000,0.328843 
1009.000000,0.242558 
1203.000000,0.169681 
1770.000000,0.304195 
1016.000000,0.307108 
1206.000000,0.165722 
2999.000000,0.235206 
3122.000000,0.286623 
3091.000000,0.272557 
3198.000000,0.303412 
3129.000000,0.271429 
2579.000000,0.118879 
2641.000000,0.197406 
2472.000000,0.189093 
2691.000000,0.214979 
1381.000000,0.121853 
1408.000000,0.111792 
1528.000000,0.100345 
1891.000000,0.322176 
5880.000000,0.283896 
1524.000000,0.166366 
1470.000000,0.110547 
5873.000000,0.280274 
1498.000000,0.245658 
1418.000000,0.151114 
4504.000000,0.318534 
4613.000000,0.290674 
4589.000000,0.253529 
4613.000000,0.306562 
913.000000,0.211998 
3871.000000,0.256036 
3729.000000,0.349596 
1353.000000,0.274118 
9102.000000,0.212276 
1724.000000,0.310315 
1239.000000,0.178351 
1010.000000,0.219021 
4496.000000,0.189944 
1384.000000,0.159822 
5884.000000,0.355544 
1425.000000,0.170280 
1546.000000,0.107245 
1043.000000,0.278510 
4160.000000,0.267076 
4223.000000,0.267804 
4282.000000,0.254970 
1773.000000,0.262371 
3461.000000,0.317371 
2210.000000,0.252470 
2162.000000,0.144120 
3506.000000,0.252638 
4892.000000,0.395132 
4881.000000,0.406206 
4885.000000,0.441018 
5578.000000,0.298292 
5456.000000,0.085554 
5509.000000,0.228453 
5271.000000,0.159516 
5146.000000,0.131958 
1045.000000,0.110939 
1054.000000,0.174141 
1052.000000,0.272965 
6731.000000,0.166672 
7660.000000,1.004882 
7656.000000,1.473196 
7441.000000,1.669018 
7465.000000,1.145989 
5373.000000,0.164655 
3231.000000,0.305130 
3491.000000,0.359375 
2185.000000,0.165705 
3481.000000,0.307283 
2328.000000,0.113669 
4136.000000,0.251710 
4109.000000,0.361031 
2987.000000,0.291644 
3125.000000,0.285267 
3197.000000,0.376495 
4094.000000,0.259506 
3174.000000,0.332016 
5511.000000,0.148999 
5514.000000,0.115710 
5489.000000,0.124540 
5480.000000,0.215178 
5495.000000,0.213151 
5498.000000,0.215384 
5512.000000,0.174977 
9904.000000,0.118983 
9889.000000,0.248437 
9885.000000,0.206943 
9990.000000,0.228248 
9989.000000,0.176423 
9849.000000,0.184786 
9857.000000,0.212442 
9849.000000,0.145143 
9913.000000,0.175209 
3618.000000,0.337106 
3570.000000,0.295336 
3531.000000,0.235850 
1143.000000,0.227547 
1115.000000,0.151992 
9919.000000,0.239822 
7130.000000,0.276293 
7189.000000,0.144782 
7115.000000,0.163388 
3218.000000,0.291611 
5369.000000,0.294427 
5353.000000,0.201432 
1068.000000,0.135232 
1063.000000,0.213121 
1057.000000,0.187494 
1015.000000,0.168766 
1076.000000,0.242667 
1075.000000,0.179639 
4879.000000,0.162551 
4817.000000,0.169382 
1658.000000,0.177727 
1222.000000,0.118395 
2464.000000,0.238657 
2520.000000,0.299124 
5999.000000,0.241079 
6011.000000,0.131321 
2493.000000,0.111856 
2706.000000,0.138323 
2454.000000,0.180369 
2512.000000,0.140752 
2488.000000,0.165324 
2586.000000,0.126262 
2636.000000,0.144503 
2469.000000,0.218374 
2705.000000,0.117755 
2477.000000,0.119440 
2483.000000,0.186025 
2514.000000,0.182999 
2642.000000,0.242648 
4591.000000,0.280866 
4581.000000,0.238689 
4494.000000,0.303127 
1439.000000,0.240962 
1387.000000,0.515022 
4845.000000,0.182096 
1392.000000,0.228415 
1803.000000,0.168387 
1537.000000,0.165613 
4593.000000,0.217629 
5936.000000,0.937098 
5782.000000,1.721698 
5926.000000,1.407668 
5936.000000,1.393859 
6502.000000,1.467590 
5907.000000,1.389530 
5783.000000,1.726382 
5933.000000,0.482021 
5936.000000,0.440477 
5907.000000,0.441480 
1328.000000,0.266870 
9068.000000,0.197656 
1359.000000,0.219227 
1355.000000,0.187209 
3557.000000,0.263417 
3581.000000,0.320920 
9994.000000,0.202842 
9969.000000,0.154051 
9969.000000,0.216433 
1349.000000,0.264042 
1737.000000,0.643004 
1725.000000,0.663552 
1643.000000,0.746263 
6789.000000,0.903521 
722.000000,0.971678 
722.000000,0.967398 
1701.000000,0.302625 
1777.000000,0.324975 
1744.000000,0.229166 
1460.000000,0.367686 
4376.000000,0.366310 
4388.000000,0.237403 
4472.000000,0.209950 
4448.000000,0.332557 
4475.000000,0.371473 
4406.000000,0.730916 
4444.000000,0.706400 
4378.000000,0.753169 
4365.000000,0.180204 
5749.000000,0.251343 
4347.000000,0.193197 
5757.000000,0.112618 
5761.000000,0.211402 
4429.000000,0.215469 
5747.000000,0.211182 
5613.000000,0.266368 
5617.000000,0.186136 
4357.000000,0.616283 
4424.000000,0.677614 
4573.000000,0.403331 
4438.000000,0.624121 
4446.000000,0.665889 
4457.000000,0.696536 
4622.000000,0.307514 
1538.000000,0.203267 
1746.000000,0.101902 
1834.000000,0.166089 
1700.000000,0.282992 
1686.000000,0.138793 
4294.000000,0.228182 
4300.000000,0.206563 
5966.000000,0.417960 
4520.000000,0.348317 
5969.000000,0.223984 
4627.000000,0.356609 
1117.000000,0.135880 
4157.000000,0.241149 
4212.000000,0.256468 
4293.000000,0.215363 
4253.000000,0.216462 
4257.000000,0.254461 
4239.000000,0.242959 
7342.000000,1.369691 
7339.000000,0.861415 
7342.000000,0.862085 
7342.000000,0.416842 
5870.000000,0.284973 
1465.000000,0.080951 
1372.000000,0.081187 
1468.000000,0.174843 
2230.000000,0.153939 
2179.000000,0.211740 
5281.000000,0.226157 
2257.000000,0.240950 
5281.000000,0.156017 
5277.000000,0.162483 
5489.000000,0.191465 
5514.000000,0.211671 
2175.000000,0.185115 
2366.000000,0.217822 
2307.000000,0.323389 
2362.000000,0.140580 
2351.000000,0.236353 
2436.000000,0.207922 
2356.000000,0.185780 
2740.000000,0.268309 
2871.000000,0.203843 
2732.000000,0.227139 
2829.000000,0.174864 
7670.000000,0.589950 
7660.000000,0.553168 
7441.000000,0.276304 
7464.000000,0.235237 
5605.000000,0.501171 
5605.000000,0.069573 
4915.000000,0.457723 
4869.000000,0.475736 
4846.000000,0.107520 
4823.000000,0.434717 
4846.000000,0.442368 
5392.000000,0.201849 
5391.000000,0.227986 
4185.000000,0.263712 
5537.000000,0.036242 
5450.000000,0.082761 
5483.000000,0.172959 
5220.000000,0.095096 
5209.000000,0.107788 
5170.000000,0.240515 
5159.000000,0.203631 
5007.000000,0.484931 
4992.000000,0.492667 
4990.000000,0.488088 
5129.000000,0.321091 
5042.000000,0.168039 
5229.000000,0.173372 
5219.000000,0.148213 
5144.000000,0.104369 
5176.000000,0.141532 
1210.000000,0.286325 
6757.000000,0.859042 
721.000000,0.917641 
4836.000000,0.076688 
7478.000000,0.302814 
5217.000000,0.213658 
5142.000000,0.080126 
7499.000000,0.295727 
7512.000000,0.331547 
7499.000000,0.231859 
7478.000000,0.244425 
1425.000000,0.325629 
7639.000000,1.405575 
7465.000000,0.684551 
7471.000000,0.693928 
7441.000000,1.169611 
3239.000000,0.261430 
3221.000000,0.300230 
5406.000000,0.197500 
2167.000000,0.191140 
