point, dist
7881.000000,0.195529 
7881.000000,0.357386 
8454.000000,0.412664 
3873.000000,0.594611 
3855.000000,0.374832 
3854.000000,0.368819 
4571.000000,0.454864 
2217.000000,0.434978 
1455.000000,0.337533 
2213.000000,0.348962 
8056.000000,0.309340 
8464.000000,0.429741 
8063.000000,0.352725 
8048.000000,0.209349 
1416.000000,0.230207 
1428.000000,0.251798 
2217.000000,0.444297 
1816.000000,0.288379 
5049.000000,0.361405 
2732.000000,0.326956 
3870.000000,0.437131 
3870.000000,0.479441 
3871.000000,0.230273 
3866.000000,0.401606 
3869.000000,0.431774 
3863.000000,0.331746 
3469.000000,0.372368 
1383.000000,0.654066 
3469.000000,0.412461 
1383.000000,0.770699 
3298.000000,0.323559 
3783.000000,0.296478 
1791.000000,0.406210 
1809.000000,0.468661 
4110.000000,0.470509 
1800.000000,0.426110 
1800.000000,0.580778 
4065.000000,0.526893 
4065.000000,0.408796 
4117.000000,0.511392 
4655.000000,0.533183 
4742.000000,0.309327 
4108.000000,0.423242 
3874.000000,0.475800 
6469.000000,0.792902 
6469.000000,0.445404 
6469.000000,0.738208 
494.000000,0.212308 
2210.000000,0.532842 
2230.000000,0.306602 
2233.000000,0.456851 
1438.000000,0.311015 
2219.000000,0.361797 
8460.000000,0.361177 
7980.000000,0.372390 
7968.000000,0.241888 
6464.000000,0.285427 
2233.000000,0.269085 
2231.000000,0.307384 
2231.000000,0.427843 
2211.000000,0.443052 
2211.000000,0.248187 
2223.000000,0.372131 
1458.000000,0.317008 
2222.000000,0.308962 
1479.000000,0.333868 
1479.000000,0.500469 
1502.000000,0.576021 
1479.000000,0.428155 
1505.000000,0.208784 
1444.000000,0.281047 
6572.000000,0.256154 
1370.000000,0.322103 
1466.000000,0.182608 
1481.000000,0.272625 
1515.000000,0.152872 
6562.000000,0.262059 
6562.000000,0.295654 
3872.000000,0.487636 
3876.000000,0.447258 
6551.000000,0.243803 
6555.000000,0.164266 
1477.000000,0.361155 
1477.000000,0.469620 
6551.000000,0.263899 
6565.000000,0.388595 
1367.000000,0.651333 
6551.000000,0.466838 
6547.000000,0.178835 
6565.000000,0.203767 
7987.000000,0.283117 
8462.000000,0.382345 
7995.000000,0.326957 
7987.000000,0.292746 
2105.000000,0.344436 
2061.000000,0.263292 
6436.000000,0.287883 
717.000000,0.382027 
6660.000000,0.225988 
7868.000000,0.275784 
8455.000000,0.407793 
7931.000000,0.335434 
7947.000000,0.450095 
7940.000000,0.376365 
3092.000000,0.277745 
1145.000000,0.438252 
2510.000000,0.362867 
6556.000000,0.096452 
6556.000000,0.628548 
6550.000000,0.564018 
3783.000000,0.793717 
1799.000000,0.674976 
4655.000000,0.438158 
4708.000000,0.230772 
4626.000000,0.307446 
1705.000000,0.274328 
1705.000000,0.295506 
4116.000000,0.531084 
1545.000000,0.424607 
4571.000000,0.460433 
4106.000000,0.481035 
4116.000000,0.444252 
6469.000000,1.271704 
6467.000000,1.265262 
6519.000000,1.428872 
2235.000000,0.293863 
2287.000000,0.294978 
2268.000000,0.346217 
4590.000000,0.423024 
5791.000000,1.095191 
5791.000000,0.308583 
5785.000000,0.586155 
5785.000000,0.850511 
150.000000,1.200269 
1959.000000,0.452816 
1959.000000,0.369193 
1957.000000,0.324540 
2217.000000,0.314912 
2223.000000,0.323014 
1462.000000,0.333336 
1517.000000,0.479082 
1422.000000,0.253782 
1509.000000,0.315028 
4742.000000,0.408743 
4117.000000,0.501805 
1446.000000,0.450685 
1446.000000,0.256621 
8063.000000,0.317974 
1215.000000,0.316656 
1345.000000,0.469316 
2951.000000,0.239323 
2685.000000,0.356961 
2726.000000,0.359836 
1162.000000,0.344679 
8005.000000,0.282782 
8005.000000,0.342473 
2106.000000,0.294052 
8012.000000,0.470031 
8032.000000,0.380617 
8015.000000,0.406113 
8024.000000,0.276992 
5094.000000,0.472654 
700.000000,0.670823 
833.000000,0.440920 
2211.000000,0.406901 
2228.000000,0.314370 
1439.000000,0.274418 
2221.000000,0.258076 
2228.000000,0.339814 
2225.000000,0.284766 
2224.000000,0.266111 
6524.000000,0.343429 
2226.000000,0.295996 
6464.000000,0.478608 
1458.000000,0.291782 
1433.000000,0.291061 
1433.000000,0.340038 
6523.000000,0.492082 
6523.000000,0.402220 
6520.000000,0.553111 
6520.000000,0.967000 
6520.000000,0.392299 
6520.000000,0.271173 
2209.000000,0.308011 
6467.000000,1.807466 
1487.000000,0.366154 
1517.000000,0.255070 
1445.000000,0.304232 
1435.000000,0.370586 
1434.000000,0.393656 
1424.000000,0.249252 
1404.000000,0.371504 
1405.000000,0.366281 
1420.000000,0.348387 
1466.000000,0.336504 
1425.000000,0.319822 
1436.000000,0.351332 
1515.000000,0.474897 
1391.000000,0.663908 
1487.000000,0.431893 
3598.000000,0.389974 
1371.000000,0.422823 
1154.000000,0.338740 
3598.000000,0.408851 
1365.000000,0.789271 
1812.000000,0.358536 
1829.000000,0.245842 
3967.000000,0.329459 
3967.000000,0.525873 
3961.000000,0.560079 
3944.000000,0.471064 
3941.000000,0.479916 
3943.000000,0.415637 
9794.000000,0.456151 
3867.000000,0.478855 
3867.000000,0.420821 
6571.000000,0.446154 
1484.000000,0.280792 
1502.000000,0.306424 
7983.000000,0.420103 
7988.000000,0.220125 
7996.000000,0.286382 
721.000000,0.283822 
2103.000000,0.380092 
2103.000000,0.322819 
2108.000000,0.404868 
713.000000,0.259760 
2107.000000,0.336314 
720.000000,0.323099 
2101.000000,0.298945 
2108.000000,0.400052 
723.000000,0.303812 
6436.000000,0.468437 
379.000000,0.521785 
1953.000000,0.228453 
1947.000000,0.251572 
1945.000000,0.338916 
704.000000,0.304263 
685.000000,0.328415 
696.000000,0.426955 
5087.000000,0.540331 
832.000000,0.353868 
1782.000000,0.237662 
1783.000000,0.177344 
1771.000000,0.509384 
1782.000000,0.474255 
3944.000000,1.122814 
5967.000000,0.953800 
3251.000000,0.291100 
3731.000000,0.247251 
3251.000000,0.443459 
3132.000000,0.367232 
3298.000000,0.310931 
3572.000000,0.323427 
3426.000000,0.387157 
3572.000000,0.389056 
3534.000000,0.374659 
2716.000000,0.445772 
2647.000000,0.329176 
2716.000000,0.297928 
1066.000000,0.421699 
2510.000000,0.282024 
2647.000000,0.303798 
3163.000000,0.504744 
2954.000000,0.411792 
2954.000000,0.240530 
3437.000000,0.395500 
2745.000000,0.376963 
6550.000000,0.359379 
1827.000000,0.385488 
1799.000000,0.524553 
4554.000000,0.247162 
4385.000000,0.277296 
3863.000000,0.347226 
3899.000000,0.248789 
3894.000000,0.256953 
3942.000000,0.483088 
4143.000000,0.430450 
4554.000000,0.449563 
4458.000000,0.413309 
4390.000000,0.149006 
4458.000000,0.405113 
4390.000000,0.554977 
4557.000000,0.366324 
4594.000000,0.385391 
1687.000000,0.568869 
1808.000000,0.577382 
4064.000000,0.466700 
1545.000000,0.394131 
8600.000000,0.513485 
8570.000000,0.505024 
8600.000000,0.366736 
8570.000000,0.275250 
