point, dist
2633.000000,0.389247 
4605.000000,0.284186 
2538.000000,0.218325 
2575.000000,0.323792 
2534.000000,0.357323 
2213.000000,0.322669 
9333.000000,0.275861 
8540.000000,0.268296 
9333.000000,0.211472 
8538.000000,0.256839 
1661.000000,0.323162 
1632.000000,0.328034 
1661.000000,0.283123 
1843.000000,0.180855 
2977.000000,0.324325 
2902.000000,0.386210 
2944.000000,0.383064 
1369.000000,0.359634 
3123.000000,0.332912 
2951.000000,0.337649 
9325.000000,0.202576 
8495.000000,0.344048 
8492.000000,0.308519 
8492.000000,0.304898 
9325.000000,0.194159 
8489.000000,0.430853 
9326.000000,0.152209 
6650.000000,0.389546 
5062.000000,0.331948 
5056.000000,0.290380 
5096.000000,0.371592 
2996.000000,0.385912 
3108.000000,0.346560 
5079.000000,0.361707 
3450.000000,0.529407 
5110.000000,0.548613 
3622.000000,0.327106 
5160.000000,0.509560 
4319.000000,0.364024 
4250.000000,0.270251 
4578.000000,0.361934 
4483.000000,0.377222 
3597.000000,0.417902 
3621.000000,0.307433 
3595.000000,0.384088 
2617.000000,0.294999 
2706.000000,0.184772 
2658.000000,0.243557 
2641.000000,0.319067 
4259.000000,0.255485 
2561.000000,0.179517 
1986.000000,0.232140 
1623.000000,0.370250 
2039.000000,0.266802 
1883.000000,0.316590 
1874.000000,0.384063 
2429.000000,0.220971 
2218.000000,0.240555 
2679.000000,0.311151 
2585.000000,0.222880 
2364.000000,0.213722 
1952.000000,0.283361 
1996.000000,0.224822 
2043.000000,0.283468 
1859.000000,0.265702 
2182.000000,0.223472 
2529.000000,0.239443 
2412.000000,0.224215 
1866.000000,0.292017 
1729.000000,0.396160 
1719.000000,0.223828 
6584.000000,0.328855 
9314.000000,0.329289 
8445.000000,0.184333 
9314.000000,0.182679 
2054.000000,0.450137 
1632.000000,0.295426 
3483.000000,0.852798 
3306.000000,0.324023 
1742.000000,0.296802 
1913.000000,0.201532 
739.000000,0.389839 
8536.000000,0.321839 
9333.000000,0.299335 
1686.000000,0.355652 
2120.000000,0.382232 
2080.000000,0.200587 
8481.000000,0.175354 
8480.000000,0.262850 
6639.000000,0.255023 
6638.000000,0.289380 
9322.000000,0.288050 
8465.000000,0.217931 
8465.000000,0.255107 
3542.000000,0.120778 
6639.000000,0.163330 
6633.000000,0.271395 
2320.000000,0.292308 
2310.000000,0.418392 
2087.000000,0.193390 
2095.000000,0.210578 
1934.000000,0.349254 
1920.000000,0.240499 
1843.000000,0.670354 
2054.000000,0.786950 
952.000000,0.866153 
3121.000000,0.375770 
3131.000000,0.329405 
2900.000000,0.358551 
3122.000000,0.331880 
1466.000000,0.362929 
3173.000000,0.330627 
9327.000000,0.197133 
6664.000000,0.279014 
3085.000000,0.272003 
5050.000000,0.455349 
5082.000000,0.279909 
5091.000000,0.327044 
5050.000000,0.374341 
3041.000000,0.431988 
3053.000000,0.229477 
3293.000000,0.385385 
3039.000000,0.381817 
3039.000000,0.302707 
6575.000000,0.569153 
6573.000000,0.806868 
3088.000000,0.348315 
6861.000000,0.260737 
3291.000000,0.323696 
3356.000000,0.317413 
3294.000000,0.301944 
3291.000000,0.409462 
3434.000000,0.359013 
3434.000000,0.382643 
5110.000000,0.248179 
5142.000000,0.403031 
3850.000000,0.457995 
3672.000000,0.444971 
4385.000000,0.396530 
3635.000000,0.387863 
3625.000000,0.325061 
3585.000000,0.266481 
3773.000000,0.423557 
3773.000000,0.299991 
2210.000000,0.311081 
2606.000000,0.204277 
2684.000000,0.351318 
2210.000000,0.292493 
4371.000000,0.331159 
4530.000000,0.365993 
2631.000000,0.205517 
2676.000000,0.346623 
4140.000000,0.303399 
2336.000000,0.409462 
2502.000000,0.196955 
2215.000000,0.191287 
2257.000000,0.169086 
2257.000000,0.396882 
2373.000000,0.247584 
2613.000000,0.284960 
2590.000000,0.361805 
2207.000000,0.222534 
4086.000000,0.308010 
4409.000000,0.258654 
157.000000,0.454251 
3071.000000,0.299997 
3071.000000,0.336960 
3322.000000,0.236680 
107.000000,0.556712 
3322.000000,0.323459 
1224.000000,0.366910 
3068.000000,0.326655 
3072.000000,0.318830 
937.000000,0.382564 
3274.000000,0.179267 
2349.000000,0.358000 
2017.000000,0.179138 
2018.000000,0.387686 
904.000000,0.352071 
892.000000,0.387536 
1966.000000,0.200424 
1752.000000,0.354937 
1613.000000,0.177718 
1947.000000,0.249067 
1813.000000,0.213954 
1901.000000,0.240469 
1804.000000,0.196335 
1801.000000,0.259871 
1883.000000,0.291491 
1862.000000,0.418700 
1825.000000,0.273879 
2006.000000,0.231187 
1621.000000,0.191862 
1730.000000,0.255516 
1973.000000,0.256473 
2164.000000,0.205575 
2655.000000,0.333571 
1990.000000,0.272332 
2571.000000,0.219205 
2254.000000,0.180387 
2439.000000,0.252066 
2652.000000,0.245259 
2333.000000,0.295575 
2270.000000,0.391375 
4174.000000,0.342039 
2452.000000,0.242342 
2172.000000,0.191104 
1816.000000,0.259557 
1827.000000,0.212483 
2184.000000,0.254175 
2603.000000,0.310591 
2250.000000,0.301173 
2672.000000,0.218677 
2480.000000,0.416761 
2495.000000,0.187130 
2301.000000,0.316444 
2351.000000,0.236552 
2346.000000,0.235339 
2433.000000,0.208167 
1828.000000,0.308640 
1961.000000,0.321460 
2457.000000,0.365970 
4373.000000,0.312540 
2375.000000,0.238054 
4195.000000,0.292385 
8540.000000,0.284042 
8536.000000,0.305179 
2241.000000,0.354207 
2552.000000,0.284964 
2460.000000,0.193184 
2293.000000,0.358712 
4275.000000,0.339399 
2443.000000,0.172532 
2414.000000,0.276308 
2192.000000,0.353530 
2406.000000,0.206524 
2641.000000,0.180921 
2421.000000,0.352563 
1747.000000,0.229615 
1918.000000,0.267915 
2132.000000,0.373920 
2132.000000,0.213398 
2034.000000,0.256186 
9318.000000,0.319860 
9318.000000,0.158808 
8457.000000,0.405978 
8470.000000,0.378682 
2320.000000,0.306954 
1899.000000,0.238969 
2009.000000,0.194919 
1703.000000,0.295005 
4723.000000,0.365039 
2185.000000,0.289298 
4065.000000,0.363725 
3775.000000,0.412800 
3915.000000,0.346237 
1934.000000,0.255073 
1989.000000,0.300102 
1908.000000,0.233140 
1715.000000,0.314414 
1694.000000,0.233991 
2832.000000,0.462179 
5086.000000,0.212848 
2830.000000,0.513288 
5097.000000,0.305330 
5095.000000,0.350404 
5066.000000,0.305833 
5095.000000,0.425434 
5079.000000,0.375136 
5099.000000,0.305209 
5080.000000,0.266230 
5020.000000,0.185590 
5024.000000,0.310073 
5002.000000,0.231805 
5001.000000,0.278065 
5031.000000,0.370984 
5054.000000,0.274009 
4935.000000,0.186431 
4985.000000,0.472224 
5021.000000,0.180594 
4881.000000,0.328968 
4985.000000,0.345402 
4982.000000,0.337662 
2582.000000,0.393659 
2234.000000,0.192368 
2693.000000,0.198649 
2486.000000,0.356028 
3020.000000,0.368356 
2945.000000,0.441434 
3459.000000,0.864429 
2994.000000,0.334707 
2910.000000,0.343845 
2997.000000,0.339698 
2952.000000,0.348319 
2899.000000,0.329278 
3132.000000,0.304153 
6719.000000,0.238018 
2961.000000,0.537384 
1401.000000,0.421323 
3025.000000,0.404008 
1403.000000,0.365011 
2769.000000,0.548514 
5070.000000,0.368719 
5052.000000,0.352318 
2736.000000,0.457358 
2879.000000,0.511791 
3270.000000,0.353279 
3236.000000,0.333948 
3133.000000,0.217211 
3052.000000,0.703094 
3047.000000,0.441797 
3052.000000,0.291374 
5234.000000,0.687720 
3052.000000,0.797973 
6343.000000,0.253455 
6386.000000,0.329132 
6350.000000,0.262411 
8494.000000,0.265734 
6666.000000,0.309790 
6656.000000,0.175879 
6631.000000,0.287598 
8478.000000,0.248639 
6645.000000,0.249158 
8481.000000,0.369669 
6373.000000,0.304925 
124.000000,0.341359 
6726.000000,0.257389 
6725.000000,0.281385 
6727.000000,0.226986 
6727.000000,0.320734 
6860.000000,0.287328 
3085.000000,0.337898 
3082.000000,0.420118 
3580.000000,0.484237 
3612.000000,0.384118 
3583.000000,0.530035 
6860.000000,0.628262 
5026.000000,0.267168 
6575.000000,0.620823 
7536.000000,0.632695 
5049.000000,0.270162 
6575.000000,0.348882 
6575.000000,0.234280 
6574.000000,0.244270 
6574.000000,0.382533 
4225.000000,0.393210 
2987.000000,0.327434 
3108.000000,0.267776 
3402.000000,0.401585 
3581.000000,0.328980 
3586.000000,0.392107 
3608.000000,0.449351 
3045.000000,0.310789 
3042.000000,0.206498 
3601.000000,0.474724 
5110.000000,0.648725 
3442.000000,0.369309 
3582.000000,0.260581 
3627.000000,0.311043 
3603.000000,0.347052 
3623.000000,0.298348 
3922.000000,0.233303 
3911.000000,0.326139 
3951.000000,0.232802 
4514.000000,0.390649 
3876.000000,0.242889 
3905.000000,0.282967 
3785.000000,0.238498 
3978.000000,0.262387 
3618.000000,0.246298 
3605.000000,0.309146 
3366.000000,0.380183 
3414.000000,0.357943 
3704.000000,0.301365 
3677.000000,0.410002 
3657.000000,0.328019 
2392.000000,0.368645 
2199.000000,0.277107 
2675.000000,0.200190 
2261.000000,0.180401 
2418.000000,0.307044 
4635.000000,0.269959 
2620.000000,0.318626 
2554.000000,0.242903 
4719.000000,0.336295 
4240.000000,0.283374 
4142.000000,0.319449 
4357.000000,0.311159 
4253.000000,0.359935 
2685.000000,0.355309 
2676.000000,0.235310 
2502.000000,0.283189 
4576.000000,0.259181 
2515.000000,0.175917 
4096.000000,0.292321 
2661.000000,0.191214 
2388.000000,0.251898 
2388.000000,0.250818 
2712.000000,0.378523 
4843.000000,0.402979 
2373.000000,0.297749 
2637.000000,0.221556 
4704.000000,0.245267 
4702.000000,0.359600 
4248.000000,0.341745 
4362.000000,0.167862 
4379.000000,0.318368 
4042.000000,0.269855 
4075.000000,0.270524 
4680.000000,0.337066 
4202.000000,0.209637 
4361.000000,0.347844 
4094.000000,0.306524 
4923.000000,0.326618 
4050.000000,0.287643 
4906.000000,0.314390 
4824.000000,0.198657 
4786.000000,0.228139 
4527.000000,0.197118 
4376.000000,0.311802 
4647.000000,0.426082 
4134.000000,0.305754 
4647.000000,0.276215 
4086.000000,0.406907 
4578.000000,0.373803 
4471.000000,0.306208 
4530.000000,0.494842 
3308.000000,0.257734 
3278.000000,0.194903 
3348.000000,0.197180 
3255.000000,0.295979 
3308.000000,0.283919 
3339.000000,0.385874 
3339.000000,0.240826 
1063.000000,0.424107 
1044.000000,0.434462 
947.000000,0.455906 
1130.000000,0.409002 
1143.000000,0.379787 
3583.000000,0.347517 
3762.000000,0.225087 
3777.000000,0.192076 
3460.000000,0.465524 
3596.000000,0.329013 
3584.000000,0.320218 
3584.000000,0.400328 
2022.000000,0.336850 
1893.000000,0.304711 
2608.000000,0.370654 
2156.000000,0.329089 
4207.000000,0.281625 
4710.000000,0.337635 
2189.000000,0.355020 
4301.000000,0.329038 
4088.000000,0.322340 
2294.000000,0.277269 
2479.000000,0.278851 
2133.000000,0.193268 
1961.000000,0.300699 
1887.000000,0.234208 
1860.000000,0.251049 
1860.000000,0.354343 
2076.000000,0.360345 
2123.000000,0.219953 
1800.000000,0.259305 
1994.000000,0.269387 
1659.000000,0.260937 
1863.000000,0.366877 
1735.000000,0.267346 
1830.000000,0.388732 
2134.000000,0.214311 
1744.000000,0.351614 
2106.000000,0.216075 
1851.000000,0.265763 
1735.000000,0.416705 
2122.000000,0.276960 
2001.000000,0.312527 
1709.000000,0.304255 
1752.000000,0.251031 
1980.000000,0.177213 
1666.000000,0.281863 
1789.000000,0.465606 
1925.000000,0.226012 
1909.000000,0.218156 
1923.000000,0.353533 
2088.000000,0.176688 
1885.000000,0.195982 
1889.000000,0.350708 
757.000000,0.363813 
1818.000000,0.349019 
2118.000000,0.178630 
1622.000000,0.208655 
2161.000000,0.243514 
2136.000000,0.288413 
2136.000000,0.313590 
1815.000000,0.174398 
2071.000000,0.214084 
2071.000000,0.411035 
1748.000000,0.179807 
1839.000000,0.265602 
1839.000000,0.353436 
1895.000000,0.266033 
1631.000000,0.468627 
1712.000000,0.317059 
1950.000000,0.255596 
1631.000000,0.178753 
1612.000000,0.201709 
2089.000000,0.175795 
1953.000000,0.281833 
1775.000000,0.303345 
1853.000000,0.225348 
1851.000000,0.345436 
2011.000000,0.184944 
2004.000000,0.305645 
1726.000000,0.294851 
2105.000000,0.264761 
1950.000000,0.355935 
1745.000000,0.262820 
1625.000000,0.237238 
1698.000000,0.238371 
1862.000000,0.261392 
