point, dist
2038.000000,0.280655 
2615.000000,0.163575 
2756.000000,0.313207 
2554.000000,0.322793 
4961.000000,0.347647 
4850.000000,0.517716 
4850.000000,0.311850 
4850.000000,0.449543 
1659.000000,0.519476 
1706.000000,0.488344 
1867.000000,0.339630 
1659.000000,0.544175 
5072.000000,0.567338 
5057.000000,0.570213 
4865.000000,0.864980 
5072.000000,0.756853 
6815.000000,0.148317 
4196.000000,0.613225 
6818.000000,0.364361 
4641.000000,0.368587 
4525.000000,0.433792 
3099.000000,0.395285 
3137.000000,0.361635 
5524.000000,0.534133 
5497.000000,0.456479 
3365.000000,0.523870 
2669.000000,0.456867 
2429.000000,0.485354 
3355.000000,0.732942 
6753.000000,0.767635 
6780.000000,0.808337 
6758.000000,0.715933 
6755.000000,0.717098 
1136.000000,0.158134 
6756.000000,0.720784 
1136.000000,0.421114 
3285.000000,0.225173 
6752.000000,0.709141 
2429.000000,0.603820 
2669.000000,0.581168 
2103.000000,0.380064 
2408.000000,0.478341 
3353.000000,0.432424 
2011.000000,0.470883 
4850.000000,0.384388 
7091.000000,0.468863 
4646.000000,0.405165 
4647.000000,0.060767 
4647.000000,0.385163 
1659.000000,0.324180 
2296.000000,0.469873 
2310.000000,0.306358 
2709.000000,0.313868 
2709.000000,0.441312 
4646.000000,0.047760 
4560.000000,0.126647 
4569.000000,0.361578 
4569.000000,0.041342 
4507.000000,0.272677 
3651.000000,0.401597 
3938.000000,0.436648 
4507.000000,0.517457 
4507.000000,0.372474 
4501.000000,0.163543 
4503.000000,0.233933 
4503.000000,0.337501 
4500.000000,0.426179 
4522.000000,0.269301 
4502.000000,0.339749 
4030.000000,0.402374 
3493.000000,0.392899 
3493.000000,0.419687 
7026.000000,0.299025 
7027.000000,0.279962 
6773.000000,0.732883 
6850.000000,0.726319 
6850.000000,0.746402 
3450.000000,0.238493 
75.000000,0.323912 
2859.000000,0.338288 
2859.000000,0.336969 
928.000000,0.475204 
3352.000000,0.570457 
6864.000000,0.437761 
6851.000000,0.241664 
6862.000000,0.365788 
6851.000000,0.659661 
6758.000000,0.761083 
1133.000000,0.349318 
3277.000000,0.314919 
5216.000000,0.265297 
5383.000000,0.421046 
5216.000000,0.422148 
5112.000000,0.256423 
5096.000000,0.316927 
5096.000000,0.075153 
6787.000000,0.469433 
3449.000000,0.620358 
67.000000,0.308232 
60.000000,0.293955 
3450.000000,0.368343 
3422.000000,0.588881 
3460.000000,0.582074 
3399.000000,0.532118 
72.000000,0.346741 
64.000000,0.427991 
72.000000,0.375748 
61.000000,0.345818 
1402.000000,0.366931 
6945.000000,0.741478 
6933.000000,0.737120 
6945.000000,0.812993 
6945.000000,0.776791 
2759.000000,0.474208 
2429.000000,0.237379 
2669.000000,0.327531 
2194.000000,0.331877 
3353.000000,0.436500 
2191.000000,0.472078 
2049.000000,0.445999 
2586.000000,0.151620 
3365.000000,0.662443 
2563.000000,0.429323 
2429.000000,0.256016 
2193.000000,0.192411 
2450.000000,0.351965 
2292.000000,0.450367 
2450.000000,0.137119 
6753.000000,0.464891 
1967.000000,0.361139 
6747.000000,0.369005 
1967.000000,0.329281 
1221.000000,0.213727 
2464.000000,0.300398 
2513.000000,0.378443 
3291.000000,0.102035 
3285.000000,0.438971 
1402.000000,0.460815 
1401.000000,0.376702 
3404.000000,0.562691 
2206.000000,0.495495 
