point, dist
3013.000000,0.132416 
3086.000000,0.337034 
2973.000000,0.333352 
3086.000000,0.214563 
3997.000000,0.510251 
3202.000000,0.477091 
3200.000000,0.345893 
3200.000000,0.394183 
3086.000000,0.331922 
3086.000000,0.443197 
2121.000000,0.278437 
3073.000000,0.328220 
3084.000000,0.408332 
3070.000000,0.065567 
3076.000000,0.314782 
3073.000000,0.230247 
3073.000000,0.445123 
9987.000000,0.359990 
9987.000000,0.321106 
9989.000000,0.192346 
3201.000000,0.091417 
3199.000000,0.231191 
3199.000000,0.412876 
3200.000000,0.168477 
3997.000000,0.499940 
3086.000000,0.222423 
3961.000000,0.376293 
3941.000000,0.387894 
3934.000000,0.083267 
3973.000000,0.416105 
3973.000000,0.292230 
3983.000000,0.247503 
3013.000000,0.405574 
1027.000000,0.381244 
1027.000000,0.274863 
694.000000,0.240931 
4209.000000,0.381610 
4209.000000,0.390309 
142.000000,0.408630 
1409.000000,0.374242 
280.000000,0.342124 
3910.000000,0.113685 
3910.000000,0.274049 
126.000000,0.348481 
3075.000000,0.126861 
3080.000000,0.316436 
3074.000000,0.027182 
3212.000000,0.299373 
3203.000000,0.176733 
3194.000000,0.406304 
2121.000000,0.381324 
2079.000000,0.371789 
1946.000000,0.351919 
1771.000000,0.310137 
1803.000000,0.312501 
4153.000000,0.375190 
3205.000000,0.228491 
3196.000000,0.319195 
459.000000,0.378254 
3198.000000,0.284465 
3198.000000,0.096316 
3204.000000,0.019262 
3204.000000,0.360375 
3204.000000,0.508296 
2648.000000,0.351961 
2306.000000,0.399932 
2648.000000,0.235320 
2109.000000,0.285592 
9814.000000,0.383593 
9988.000000,0.169853 
9806.000000,0.385535 
997.000000,0.331297 
9929.000000,0.267534 
9930.000000,0.276171 
9929.000000,0.186633 
9935.000000,0.265761 
9490.000000,0.339871 
9935.000000,0.343928 
9258.000000,0.312796 
9258.000000,0.308534 
9900.000000,0.350738 
9278.000000,0.360824 
9786.000000,0.306661 
9780.000000,0.456198 
9981.000000,0.331792 
9981.000000,0.236019 
9785.000000,0.228061 
9853.000000,0.357940 
9837.000000,0.352994 
9853.000000,0.392722 
9989.000000,0.316748 
3988.000000,0.500740 
3927.000000,0.380222 
3975.000000,0.480747 
3942.000000,0.412698 
3934.000000,0.308550 
3887.000000,0.059363 
3928.000000,0.328960 
3960.000000,0.226445 
3194.000000,0.123182 
3076.000000,0.207046 
9815.000000,0.322528 
443.000000,0.489412 
448.000000,0.273611 
9233.000000,0.391643 
3138.000000,0.176958 
103.000000,0.266398 
3135.000000,0.331273 
103.000000,0.408067 
9268.000000,0.267457 
3848.000000,0.268726 
3855.000000,0.211598 
3847.000000,0.374357 
3069.000000,0.115929 
3847.000000,0.409762 
9220.000000,0.447767 
3072.000000,0.194995 
3072.000000,0.483935 
3151.000000,0.302922 
444.000000,0.476137 
9241.000000,0.364575 
9837.000000,0.230482 
451.000000,0.458127 
3151.000000,0.341431 
3151.000000,0.437194 
3081.000000,0.113084 
3081.000000,0.417523 
3077.000000,0.470308 
3077.000000,0.342016 
3207.000000,0.231517 
3204.000000,0.409947 
443.000000,0.257326 
3075.000000,0.421400 
3069.000000,0.358893 
3075.000000,0.436875 
439.000000,0.396179 
438.000000,0.219591 
441.000000,0.478682 
8928.000000,0.622431 
1474.000000,0.520005 
1515.000000,0.159959 
8928.000000,0.955917 
689.000000,0.336971 
1790.000000,0.350343 
2036.000000,0.293881 
2036.000000,0.554803 
2036.000000,0.476211 
3967.000000,0.623964 
3110.000000,0.485119 
4054.000000,0.324384 
4051.000000,0.269579 
4063.000000,0.154660 
4052.000000,0.489863 
3205.000000,0.462146 
3205.000000,0.199169 
459.000000,0.416876 
3065.000000,0.180063 
3066.000000,0.410599 
3064.000000,0.343978 
3066.000000,0.296485 
3961.000000,0.504362 
3982.000000,0.396796 
4000.000000,0.076100 
4074.000000,0.495348 
4074.000000,0.258015 
4089.000000,0.334006 
2475.000000,0.278510 
2475.000000,0.377376 
3580.000000,0.128116 
2962.000000,0.339521 
2785.000000,0.467862 
2367.000000,0.495400 
2833.000000,0.426035 
2578.000000,0.480687 
2033.000000,0.340333 
2196.000000,0.447465 
2626.000000,0.333544 
2109.000000,0.281273 
6608.000000,0.519999 
9780.000000,0.145898 
439.000000,0.368733 
3855.000000,0.337142 
3859.000000,0.411309 
3846.000000,0.382560 
3846.000000,0.254987 
9637.000000,0.286713 
9637.000000,0.291016 
9964.000000,0.350152 
9964.000000,0.200105 
1497.000000,0.139105 
7975.000000,0.679130 
1507.000000,0.347388 
7975.000000,0.199329 
7975.000000,0.525173 
