point, dist
2814.000000,0.443411 
2857.000000,0.604202 
1992.000000,0.504130 
4742.000000,0.524947 
3956.000000,0.364529 
3956.000000,0.543625 
3943.000000,0.575809 
1736.000000,0.394449 
3956.000000,0.137690 
3945.000000,0.388426 
3956.000000,0.450884 
3962.000000,0.497442 
3488.000000,0.337015 
3947.000000,0.409137 
3962.000000,0.277063 
1904.000000,0.538954 
1904.000000,0.355273 
1904.000000,0.385771 
3770.000000,0.233622 
4277.000000,0.374626 
4281.000000,0.353422 
3487.000000,0.573709 
3947.000000,0.414742 
3956.000000,0.406035 
3944.000000,0.414401 
4463.000000,0.502845 
3783.000000,0.448506 
4283.000000,0.401446 
3982.000000,0.286831 
4197.000000,0.458505 
3982.000000,0.390116 
3982.000000,0.500507 
2118.000000,0.278594 
3333.000000,0.549044 
3333.000000,0.382295 
3946.000000,0.213090 
1693.000000,0.389436 
1693.000000,0.462048 
1691.000000,0.532641 
1695.000000,0.317243 
1695.000000,0.464108 
8598.000000,0.289199 
8595.000000,0.368972 
8592.000000,0.363394 
8592.000000,0.536266 
3043.000000,0.398515 
3043.000000,0.652286 
1903.000000,0.744611 
3770.000000,0.339926 
4279.000000,0.297891 
3770.000000,0.545055 
4273.000000,0.456610 
4277.000000,0.468380 
3488.000000,0.474326 
3053.000000,0.401320 
3053.000000,0.219074 
2540.000000,0.450493 
2543.000000,0.404293 
2538.000000,0.490800 
2538.000000,0.205064 
1758.000000,0.651424 
4647.000000,0.335831 
5605.000000,0.467382 
6117.000000,1.295004 
6113.000000,0.712935 
6117.000000,0.809603 
3771.000000,0.292683 
4281.000000,0.528716 
3772.000000,0.354418 
5126.000000,0.293922 
5133.000000,0.280791 
5121.000000,0.232508 
3944.000000,0.506690 
3946.000000,0.616559 
3948.000000,0.336019 
3948.000000,0.955080 
4746.000000,0.522245 
3948.000000,0.804291 
3948.000000,1.310016 
3948.000000,0.365181 
4764.000000,0.565851 
4742.000000,0.621666 
3948.000000,0.631385 
2265.000000,0.172390 
2221.000000,0.405928 
2251.000000,0.460680 
2435.000000,1.011891 
3017.000000,1.091130 
2584.000000,1.071261 
8702.000000,0.365080 
8686.000000,0.418557 
8685.000000,0.348902 
8686.000000,0.345393 
2524.000000,0.441677 
2524.000000,0.486908 
4270.000000,0.443002 
6937.000000,0.439088 
1413.000000,0.539265 
1415.000000,0.209516 
