point, dist
3642.000000,0.156890 
3646.000000,0.229416 
3643.000000,0.126065 
3649.000000,0.284098 
3641.000000,0.149104 
1243.000000,0.354060 
9268.000000,0.158492 
9270.000000,0.273273 
9814.000000,0.992776 
9731.000000,1.731349 
9814.000000,1.206928 
3363.000000,0.294153 
9252.000000,0.375110 
3363.000000,0.249679 
3782.000000,0.102109 
3671.000000,0.251518 
3744.000000,0.174125 
3791.000000,0.232722 
2367.000000,0.260030 
3171.000000,0.264778 
2708.000000,0.122541 
9220.000000,0.388729 
8929.000000,0.133553 
8884.000000,0.492985 
8884.000000,0.217711 
8929.000000,0.695388 
7589.000000,0.059699 
7621.000000,0.353117 
7554.000000,0.357943 
248.000000,0.138637 
481.000000,0.344927 
481.000000,0.208025 
7570.000000,0.235586 
179.000000,0.331987 
7121.000000,0.259199 
201.000000,0.323501 
7173.000000,0.302929 
4177.000000,0.431196 
9956.000000,0.415628 
9977.000000,0.358643 
9949.000000,0.354351 
6969.000000,1.228740 
6969.000000,1.103443 
6969.000000,1.416176 
6987.000000,1.457035 
9839.000000,0.453384 
9823.000000,0.335018 
9822.000000,0.249169 
9814.000000,0.497052 
9814.000000,0.326519 
6510.000000,0.258335 
6513.000000,0.201904 
9360.000000,0.321075 
3466.000000,0.365160 
9360.000000,0.202985 
3467.000000,0.034393 
7214.000000,0.184150 
3323.000000,0.261959 
3323.000000,0.186125 
22.000000,0.300436 
572.000000,0.399821 
4847.000000,0.383795 
4831.000000,0.367506 
4537.000000,0.324850 
4827.000000,0.413224 
9090.000000,0.193050 
8968.000000,0.225023 
8967.000000,0.208378 
6478.000000,0.699988 
8750.000000,0.245641 
8701.000000,0.366379 
8687.000000,0.338596 
8844.000000,0.296874 
8810.000000,0.150416 
429.000000,0.400591 
618.000000,0.573157 
5809.000000,0.314935 
5824.000000,0.238773 
2098.000000,0.439552 
8810.000000,0.690821 
9060.000000,0.296602 
7554.000000,0.341690 
6480.000000,0.770355 
8982.000000,0.232059 
9115.000000,0.227174 
9115.000000,0.247734 
9098.000000,0.224891 
9085.000000,0.012986 
270.000000,0.102130 
9108.000000,0.178964 
9108.000000,0.259188 
8868.000000,0.087815 
8793.000000,0.343931 
8793.000000,0.211455 
9095.000000,0.249242 
7548.000000,0.210462 
269.000000,0.238275 
249.000000,0.258675 
7603.000000,0.209459 
478.000000,0.113330 
7603.000000,0.287934 
7585.000000,0.315490 
7585.000000,0.174082 
9125.000000,0.352336 
7693.000000,0.168488 
6469.000000,0.767693 
6477.000000,0.722237 
7834.000000,0.150416 
7775.000000,0.150855 
7566.000000,0.224849 
9105.000000,0.198196 
2914.000000,0.489815 
2792.000000,0.466708 
2741.000000,0.444291 
3412.000000,0.496235 
3310.000000,0.503284 
3402.000000,0.499387 
602.000000,0.349980 
3351.000000,0.520558 
3245.000000,0.413721 
3387.000000,0.181467 
5831.000000,0.395681 
5831.000000,0.290427 
3329.000000,0.495386 
3353.000000,0.429325 
3261.000000,0.440904 
3286.000000,0.488575 
3353.000000,0.509038 
3344.000000,0.411223 
3107.000000,0.545103 
3382.000000,0.487620 
3347.000000,0.453938 
3233.000000,0.440759 
3128.000000,0.466955 
7169.000000,0.227887 
7933.000000,0.431434 
7992.000000,0.281811 
7993.000000,0.298164 
7933.000000,0.211469 
6909.000000,1.234107 
6921.000000,1.514286 
6921.000000,0.440547 
6861.000000,1.837570 
6899.000000,1.382135 
6899.000000,1.650726 
6917.000000,0.846430 
8304.000000,0.262246 
8362.000000,0.323625 
8325.000000,0.198451 
6915.000000,0.698929 
6915.000000,1.672114 
8374.000000,0.204435 
8349.000000,0.262417 
8392.000000,0.301842 
8349.000000,0.300182 
220.000000,0.330893 
204.000000,0.235271 
198.000000,0.216788 
197.000000,0.240186 
7123.000000,0.265105 
6977.000000,0.231621 
6966.000000,0.403836 
6966.000000,0.217407 
7098.000000,0.308492 
7055.000000,0.279137 
7142.000000,0.414163 
7099.000000,0.461353 
2375.000000,0.323368 
3689.000000,0.251668 
2381.000000,0.460047 
2381.000000,0.278431 
618.000000,0.197722 
8990.000000,0.200685 
8957.000000,0.313002 
159.000000,0.275026 
3453.000000,0.336258 
1236.000000,0.309793 
1222.000000,0.224951 
3770.000000,0.321518 
3751.000000,0.225141 
3805.000000,0.312145 
4022.000000,0.423231 
3884.000000,0.316813 
3795.000000,0.383277 
9823.000000,0.249910 
9816.000000,0.419931 
9828.000000,0.093074 
9824.000000,0.199155 
9833.000000,0.387838 
9833.000000,0.922119 
6963.000000,0.819995 
6962.000000,0.364234 
6990.000000,0.139225 
9814.000000,0.727604 
6509.000000,0.175884 
6495.000000,0.334568 
6511.000000,0.279721 
8563.000000,0.238301 
6387.000000,0.290952 
8505.000000,0.447663 
7061.000000,0.289161 
7061.000000,0.327264 
7061.000000,0.358497 
5230.000000,0.406498 
3710.000000,0.249919 
3714.000000,0.367568 
3710.000000,0.217564 
3679.000000,0.359623 
2382.000000,0.288300 
2389.000000,0.297188 
2388.000000,0.330071 
3699.000000,0.297022 
3649.000000,0.359530 
3641.000000,0.320962 
6503.000000,0.264832 
6504.000000,0.259222 
3770.000000,0.371994 
3772.000000,0.324381 
4158.000000,0.771798 
3801.000000,0.276089 
3943.000000,0.686892 
4038.000000,0.432768 
3943.000000,0.743334 
6203.000000,0.405803 
8804.000000,0.201862 
8845.000000,0.351114 
8742.000000,0.310867 
8748.000000,0.218895 
8680.000000,0.347085 
5200.000000,0.314544 
5201.000000,0.426784 
5178.000000,0.342538 
5230.000000,0.441693 
131.000000,0.268598 
145.000000,0.332200 
145.000000,0.198088 
4954.000000,0.327223 
4954.000000,0.343434 
9506.000000,0.342538 
5113.000000,0.381840 
5019.000000,0.285477 
5038.000000,0.351509 
5114.000000,0.301764 
3395.000000,0.441504 
3402.000000,0.449219 
600.000000,0.675489 
5763.000000,0.634092 
3896.000000,0.324563 
5795.000000,0.517591 
5815.000000,0.383545 
3323.000000,0.244484 
4831.000000,0.420690 
3140.000000,0.461057 
3343.000000,0.491345 
3163.000000,0.443486 
3361.000000,0.487210 
3161.000000,0.532845 
3364.000000,0.501324 
3131.000000,0.468976 
3200.000000,0.457357 
5481.000000,0.269135 
1930.000000,0.235227 
1898.000000,0.400187 
5409.000000,0.481858 
7705.000000,0.304154 
8750.000000,0.335874 
8756.000000,0.243713 
457.000000,0.275351 
8493.000000,0.432499 
8493.000000,0.124301 
8421.000000,0.315484 
8789.000000,0.423233 
8786.000000,0.216987 
8934.000000,0.205291 
384.000000,0.249136 
8886.000000,0.171455 
9078.000000,0.287765 
9025.000000,0.164155 
268.000000,0.178634 
9041.000000,0.247261 
