point, dist
4115.000000,0.324852 
9859.000000,0.275853 
3916.000000,0.312170 
5835.000000,0.492037 
5837.000000,0.518968 
545.000000,0.410489 
7523.000000,0.648413 
5565.000000,0.270648 
8314.000000,0.038209 
8227.000000,0.121606 
8416.000000,0.205987 
8411.000000,0.160380 
1079.000000,0.371494 
1087.000000,0.362144 
6015.000000,0.275919 
3829.000000,0.290755 
9780.000000,0.126974 
9801.000000,0.292303 
3829.000000,0.164414 
3805.000000,0.222851 
3789.000000,0.236314 
498.000000,0.203034 
9484.000000,0.157488 
9619.000000,0.179483 
9428.000000,0.239180 
5844.000000,0.532001 
9197.000000,0.170629 
9242.000000,0.186393 
9115.000000,0.355726 
8642.000000,0.122572 
5647.000000,0.238056 
8616.000000,0.258293 
8659.000000,0.302964 
8367.000000,0.208699 
6448.000000,0.318476 
6448.000000,0.385003 
6456.000000,0.086605 
8750.000000,0.284802 
5646.000000,0.207361 
5799.000000,0.481063 
5581.000000,0.144975 
5782.000000,0.480397 
8773.000000,0.282574 
6683.000000,0.303661 
6786.000000,0.249775 
6813.000000,0.312242 
2504.000000,0.298315 
6590.000000,0.172721 
6591.000000,0.277245 
296.000000,0.291539 
320.000000,0.242779 
6604.000000,0.138080 
318.000000,0.219772 
9826.000000,0.220257 
1107.000000,0.440250 
5951.000000,0.193311 
1216.000000,0.408214 
5881.000000,0.353031 
5878.000000,0.348438 
5882.000000,0.122788 
3418.000000,0.261345 
6441.000000,0.366896 
6442.000000,0.810616 
6477.000000,0.517024 
6579.000000,0.268367 
6660.000000,0.259678 
6789.000000,0.293806 
8141.000000,0.157129 
8195.000000,0.229783 
8117.000000,0.161699 
8601.000000,0.218663 
8730.000000,0.124064 
8737.000000,0.150200 
6017.000000,0.154224 
5863.000000,0.352480 
8646.000000,0.044549 
8179.000000,0.292364 
8209.000000,0.142914 
8305.000000,0.120470 
8301.000000,0.147678 
9839.000000,0.271169 
4048.000000,0.333958 
4710.000000,0.363649 
3913.000000,0.367853 
36.000000,0.243536 
6370.000000,0.249426 
6369.000000,0.074625 
6370.000000,0.525291 
8695.000000,0.241846 
8713.000000,0.314478 
8903.000000,0.296760 
8645.000000,0.189193 
8462.000000,0.214146 
5979.000000,0.133384 
1173.000000,0.354507 
5974.000000,0.076600 
6366.000000,0.784834 
6366.000000,0.314132 
6366.000000,0.759984 
6381.000000,0.293191 
6412.000000,0.142580 
8335.000000,0.168513 
5771.000000,0.537588 
5774.000000,0.509732 
5800.000000,0.552576 
5797.000000,0.500716 
8773.000000,0.448444 
8719.000000,0.190649 
8634.000000,0.307374 
8620.000000,0.233372 
8569.000000,0.233510 
8569.000000,0.392234 
8558.000000,0.221227 
8484.000000,0.111659 
6747.000000,0.299552 
6666.000000,0.064700 
6790.000000,0.250654 
6729.000000,0.155518 
4369.000000,0.469726 
4364.000000,0.381591 
4358.000000,0.379746 
4365.000000,0.452234 
4365.000000,0.425202 
243.000000,0.079540 
6830.000000,0.245497 
239.000000,0.100937 
6764.000000,0.300105 
6701.000000,0.314706 
263.000000,0.224264 
746.000000,0.258303 
4359.000000,0.312697 
4357.000000,0.371388 
4360.000000,0.355863 
239.000000,0.216551 
8960.000000,0.197218 
9018.000000,0.246606 
8958.000000,0.056875 
8960.000000,0.243476 
9011.000000,0.284379 
9034.000000,0.206575 
9018.000000,0.291270 
6570.000000,0.238274 
326.000000,0.212603 
327.000000,0.291410 
2510.000000,0.301325 
8807.000000,0.106613 
8813.000000,0.296239 
8897.000000,0.210387 
8912.000000,0.157867 
3590.000000,0.224541 
3604.000000,0.228951 
3588.000000,0.163087 
200.000000,0.237604 
6901.000000,0.113096 
6900.000000,0.126260 
5987.000000,0.305056 
5885.000000,0.318965 
5867.000000,0.231134 
5879.000000,0.333839 
3429.000000,0.102587 
3416.000000,0.357703 
3428.000000,0.056510 
1098.000000,0.280336 
1117.000000,0.208353 
1116.000000,0.379700 
1115.000000,0.377752 
1105.000000,0.398005 
1113.000000,0.403869 
3424.000000,0.387281 
3650.000000,0.398735 
3777.000000,0.247849 
3775.000000,0.155055 
9484.000000,0.270181 
9526.000000,0.205584 
7336.000000,0.240342 
9673.000000,0.198172 
7394.000000,0.463341 
7441.000000,0.325174 
5823.000000,0.508772 
5839.000000,0.537699 
5815.000000,0.486872 
5836.000000,0.471873 
5814.000000,0.484219 
5806.000000,0.476947 
5821.000000,0.834502 
5825.000000,0.860219 
7441.000000,0.778002 
5846.000000,0.879093 
7742.000000,0.160988 
7662.000000,0.114557 
7713.000000,0.271951 
7659.000000,0.224775 
7702.000000,0.318835 
7702.000000,0.253481 
7571.000000,0.180266 
4617.000000,0.342329 
3918.000000,0.322244 
3936.000000,0.298054 
3056.000000,0.314393 
3060.000000,0.363337 
3129.000000,0.315323 
4067.000000,0.402987 
4068.000000,0.370037 
7746.000000,0.216384 
7815.000000,0.279637 
7693.000000,0.228359 
4684.000000,0.299567 
4700.000000,0.358686 
4719.000000,0.112297 
6585.000000,0.266095 
6587.000000,0.296176 
6659.000000,0.305003 
8759.000000,0.213570 
7749.000000,0.210472 
7749.000000,0.246193 
6794.000000,0.237050 
6731.000000,0.116773 
8411.000000,0.379084 
8366.000000,0.720536 
8557.000000,0.057446 
8537.000000,0.236668 
3925.000000,0.413795 
3968.000000,0.372954 
4043.000000,0.372978 
4039.000000,0.417451 
4042.000000,0.436742 
3899.000000,0.497190 
3910.000000,0.357392 
7523.000000,0.249374 
8730.000000,0.336752 
2596.000000,0.238679 
2619.000000,0.105961 
2630.000000,0.162089 
2568.000000,0.141798 
215.000000,0.204056 
2625.000000,0.132210 
2566.000000,0.238376 
2596.000000,0.412920 
6370.000000,0.361799 
6379.000000,0.355664 
4915.000000,0.152347 
2707.000000,0.246519 
2654.000000,0.268573 
9297.000000,0.378425 
8825.000000,0.055188 
8850.000000,0.173582 
8823.000000,0.125131 
8958.000000,0.384180 
8903.000000,0.177663 
2964.000000,0.244693 
311.000000,0.212720 
6535.000000,0.096450 
288.000000,0.118869 
6630.000000,0.102242 
3758.000000,0.358877 
3809.000000,0.363180 
3673.000000,0.353927 
3782.000000,0.355045 
5565.000000,0.348382 
5755.000000,0.525135 
8193.000000,0.248473 
8112.000000,0.807599 
8462.000000,0.274399 
8453.000000,0.169316 
6140.000000,0.393990 
6138.000000,0.490170 
5922.000000,0.207503 
8284.000000,0.367130 
8432.000000,0.292114 
8364.000000,0.086377 
8397.000000,0.223469 
6413.000000,0.134234 
6370.000000,0.765414 
5983.000000,0.199985 
5969.000000,0.210484 
6393.000000,0.376585 
8672.000000,0.701003 
8694.000000,0.156692 
5770.000000,0.527549 
5756.000000,0.481613 
5755.000000,0.536110 
5759.000000,0.505729 
5764.000000,0.502481 
5788.000000,0.510032 
8840.000000,0.222827 
6488.000000,0.429913 
6443.000000,0.803282 
6443.000000,1.224150 
6443.000000,1.045564 
6443.000000,1.251106 
6443.000000,1.545651 
6443.000000,1.275840 
6448.000000,0.867608 
6448.000000,1.315255 
6485.000000,0.941099 
6485.000000,1.432458 
6448.000000,1.774818 
6170.000000,0.175691 
6037.000000,0.137646 
6063.000000,0.214685 
8848.000000,0.262410 
8846.000000,0.139250 
8933.000000,0.081506 
8830.000000,0.243836 
8802.000000,0.344758 
8845.000000,0.215005 
8773.000000,0.200214 
8740.000000,0.085242 
8776.000000,0.136227 
8619.000000,0.264388 
8715.000000,0.267812 
5722.000000,0.101528 
6724.000000,0.163746 
6785.000000,0.214661 
6784.000000,0.246337 
6721.000000,0.096657 
2261.000000,0.203224 
6784.000000,0.304581 
6855.000000,0.321419 
6855.000000,0.222555 
6855.000000,0.197182 
7849.000000,0.112445 
7845.000000,0.265826 
7966.000000,0.304762 
2254.000000,0.290404 
2253.000000,0.416142 
6885.000000,0.349362 
2243.000000,0.448308 
6687.000000,0.406461 
2269.000000,0.096463 
6652.000000,0.342051 
6748.000000,0.309254 
3010.000000,0.386292 
3007.000000,0.348527 
2752.000000,0.328418 
2746.000000,0.251528 
2739.000000,0.389899 
2757.000000,0.315135 
2768.000000,0.325526 
5479.000000,0.156369 
8285.000000,0.046550 
8267.000000,0.127733 
321.000000,0.336167 
4057.000000,0.285098 
4039.000000,0.435764 
3924.000000,0.377411 
3912.000000,0.425524 
3928.000000,0.392048 
3956.000000,0.353345 
3948.000000,0.361030 
4019.000000,0.386152 
8132.000000,0.230958 
7976.000000,0.267783 
8000.000000,0.143410 
7907.000000,0.167193 
7995.000000,0.195417 
7835.000000,0.219367 
7867.000000,0.242251 
2729.000000,0.373295 
2731.000000,0.375075 
2744.000000,0.369009 
4490.000000,0.333996 
4224.000000,0.392150 
4922.000000,0.335130 
5146.000000,0.466268 
4924.000000,0.323053 
4919.000000,0.237844 
4435.000000,0.360486 
4456.000000,0.279603 
6698.000000,0.217597 
195.000000,0.234326 
216.000000,0.263689 
4433.000000,0.342792 
4438.000000,0.337938 
8920.000000,0.111058 
259.000000,0.285994 
6700.000000,0.208335 
2507.000000,0.266340 
4369.000000,0.392556 
3757.000000,0.417948 
3823.000000,0.390811 
3437.000000,0.140297 
3414.000000,0.134258 
3760.000000,0.505426 
3791.000000,0.483883 
3785.000000,0.518119 
3463.000000,0.139669 
3471.000000,0.250785 
3509.000000,0.226985 
3464.000000,0.189691 
4375.000000,0.377622 
4379.000000,0.324597 
4348.000000,0.388901 
3593.000000,0.361159 
4331.000000,0.369225 
3620.000000,0.398950 
3816.000000,0.224208 
3585.000000,0.432226 
6833.000000,0.151489 
196.000000,0.274702 
3638.000000,0.367928 
4334.000000,0.410922 
4344.000000,0.406574 
3625.000000,0.411291 
4932.000000,0.032501 
5872.000000,0.269203 
5886.000000,0.153971 
4349.000000,0.368193 
2722.000000,0.230152 
4416.000000,0.314244 
7043.000000,0.321484 
2366.000000,0.228570 
7043.000000,0.183483 
2722.000000,0.341071 
2376.000000,0.179115 
2354.000000,0.247730 
2361.000000,0.287456 
2150.000000,0.282559 
4844.000000,0.329388 
3289.000000,0.263723 
3133.000000,0.283790 
3388.000000,0.360168 
3113.000000,0.246307 
3256.000000,0.294784 
4526.000000,0.356990 
3060.000000,0.321032 
4572.000000,0.371842 
4567.000000,0.337774 
9854.000000,0.248186 
9827.000000,0.198265 
3045.000000,0.225565 
9854.000000,0.225046 
3340.000000,0.158518 
3388.000000,0.351062 
3108.000000,0.264100 
3359.000000,0.346732 
1108.000000,0.386507 
9902.000000,0.391168 
1131.000000,0.203073 
1123.000000,0.263847 
3447.000000,0.335715 
3486.000000,0.014313 
3524.000000,0.256767 
3532.000000,0.083802 
3470.000000,0.165029 
3503.000000,0.261476 
3492.000000,0.487763 
3494.000000,0.521732 
1100.000000,0.405841 
1107.000000,0.413043 
1078.000000,0.442003 
1090.000000,0.418119 
866.000000,0.216058 
9887.000000,0.201428 
9867.000000,0.121699 
9883.000000,0.257250 
9874.000000,0.213391 
3424.000000,0.570296 
9673.000000,0.490851 
5832.000000,0.544145 
5787.000000,0.518909 
5829.000000,0.552018 
5819.000000,0.486577 
9380.000000,0.217376 
9439.000000,0.310644 
5830.000000,0.476632 
6439.000000,0.240598 
6441.000000,0.142897 
6439.000000,0.588307 
6439.000000,0.229598 
7719.000000,0.659745 
7738.000000,0.204876 
7628.000000,0.289261 
7798.000000,0.192976 
7798.000000,0.261216 
7716.000000,0.321184 
6514.000000,0.254423 
4219.000000,0.419487 
7719.000000,0.835944 
8227.000000,0.212505 
8304.000000,0.220695 
7803.000000,0.263842 
7699.000000,0.213975 
7722.000000,0.239174 
4572.000000,0.412970 
1998.000000,0.241803 
4568.000000,0.513622 
4700.000000,0.162059 
2063.000000,0.351887 
6142.000000,0.402134 
2533.000000,0.317899 
2535.000000,0.285565 
2511.000000,0.178830 
2519.000000,0.283297 
2539.000000,0.230791 
2517.000000,0.323136 
2543.000000,0.272870 
7808.000000,0.313757 
6790.000000,0.265471 
8033.000000,0.236262 
5677.000000,0.187531 
5650.000000,0.163799 
8034.000000,0.223938 
8195.000000,0.323143 
8766.000000,0.194593 
8763.000000,0.260328 
5732.000000,0.251046 
8600.000000,0.209925 
8739.000000,0.265683 
6394.000000,0.355699 
6394.000000,0.266214 
6401.000000,0.477904 
6393.000000,0.293543 
6261.000000,0.110398 
6193.000000,0.399945 
6245.000000,0.209131 
6019.000000,0.138985 
6366.000000,0.331327 
6366.000000,0.465257 
6366.000000,0.833877 
6298.000000,0.356450 
6281.000000,0.786264 
6281.000000,0.694136 
6281.000000,0.147036 
6366.000000,0.767256 
6356.000000,1.577156 
8366.000000,0.547571 
5769.000000,0.870733 
5767.000000,0.849521 
1506.000000,0.469276 
5894.000000,0.327980 
1506.000000,0.447380 
5378.000000,0.226893 
8466.000000,0.269470 
8507.000000,0.337167 
8474.000000,0.144781 
8312.000000,0.173899 
3885.000000,0.378611 
3980.000000,0.387995 
3953.000000,0.358923 
4003.000000,0.361623 
9839.000000,0.229534 
4025.000000,0.290353 
3861.000000,0.245796 
3906.000000,0.471700 
4110.000000,0.344576 
3899.000000,0.459580 
3986.000000,0.429672 
4720.000000,0.244055 
7437.000000,0.116679 
7524.000000,0.182502 
7548.000000,0.216681 
7543.000000,0.213071 
7439.000000,0.100348 
7420.000000,0.178855 
7412.000000,0.229737 
7499.000000,0.181452 
7541.000000,0.293290 
6067.000000,0.182277 
2618.000000,0.241384 
2357.000000,0.157672 
2374.000000,0.290244 
2363.000000,0.253150 
2352.000000,0.199953 
2373.000000,0.296272 
6379.000000,0.255905 
2578.000000,0.103417 
2685.000000,0.139614 
6370.000000,1.189979 
6370.000000,1.154568 
3524.000000,0.322870 
1112.000000,0.304259 
1112.000000,0.221543 
9142.000000,0.253899 
9218.000000,0.296383 
9218.000000,0.210931 
9619.000000,0.231522 
5680.000000,0.295048 
8800.000000,0.631081 
329.000000,0.258393 
3822.000000,0.366232 
3676.000000,0.396946 
3608.000000,0.134720 
3655.000000,0.274504 
3788.000000,0.599948 
4370.000000,0.317037 
3659.000000,0.500317 
3586.000000,0.835496 
4371.000000,0.803209 
4383.000000,0.252754 
4371.000000,0.380634 
9801.000000,0.303078 
4850.000000,0.445954 
3756.000000,0.447892 
3773.000000,0.440311 
5742.000000,0.358500 
8006.000000,0.308700 
8112.000000,0.358769 
8193.000000,0.498852 
5672.000000,0.213323 
8142.000000,0.174871 
8038.000000,0.124307 
8583.000000,0.284959 
8440.000000,0.190444 
8619.000000,0.364910 
6379.000000,0.793990 
2586.000000,0.168529 
6175.000000,0.426467 
6033.000000,0.129397 
6239.000000,0.408148 
6122.000000,0.501316 
6138.000000,0.520860 
6346.000000,0.618942 
2561.000000,0.173790 
2558.000000,0.153251 
2633.000000,0.336870 
2613.000000,0.276614 
8276.000000,0.187062 
5970.000000,0.163177 
1160.000000,0.365590 
1237.000000,0.362752 
5964.000000,0.206210 
6408.000000,0.357813 
6408.000000,0.135390 
5761.000000,0.485614 
5810.000000,0.509715 
5761.000000,0.604447 
5788.000000,0.553707 
