point, dist
1334.000000,0.203305 
1330.000000,0.132600 
1329.000000,0.276951 
1344.000000,0.241712 
6666.000000,0.093180 
6735.000000,0.258235 
6753.000000,0.215900 
6353.000000,0.318633 
6321.000000,0.240273 
6326.000000,0.281483 
3564.000000,0.226398 
9768.000000,0.215351 
9789.000000,0.400609 
3527.000000,0.321013 
3763.000000,0.134514 
5894.000000,0.285356 
5896.000000,0.268991 
5909.000000,0.240548 
1094.000000,0.409057 
3763.000000,0.238119 
1329.000000,0.230576 
9789.000000,0.197294 
9783.000000,0.302010 
9849.000000,0.212335 
4728.000000,0.200600 
3283.000000,0.278752 
3089.000000,0.207032 
6600.000000,0.313154 
2925.000000,0.269916 
6752.000000,0.230246 
6667.000000,0.222634 
6766.000000,0.247899 
6831.000000,0.247654 
6772.000000,0.134575 
6796.000000,0.340676 
6863.000000,0.197222 
2792.000000,0.362461 
2803.000000,0.188142 
2796.000000,0.278673 
2793.000000,0.344723 
2785.000000,0.302751 
7849.000000,0.538459 
7918.000000,0.341235 
7849.000000,0.162644 
7849.000000,0.732710 
3456.000000,0.202065 
3463.000000,0.065963 
1085.000000,0.356838 
46.000000,0.205795 
2161.000000,0.302687 
3338.000000,0.299842 
4887.000000,0.393485 
9808.000000,0.200648 
4876.000000,0.315846 
4879.000000,0.332044 
4879.000000,0.417845 
3877.000000,0.195865 
4184.000000,0.386610 
9855.000000,0.296149 
4184.000000,0.351589 
3970.000000,0.285177 
9859.000000,0.266747 
4131.000000,0.361578 
3895.000000,0.303877 
3893.000000,0.324946 
3940.000000,0.498097 
1987.000000,0.397578 
1949.000000,0.356455 
1946.000000,0.391888 
1411.000000,0.412521 
3570.000000,0.205007 
3570.000000,0.408160 
3519.000000,0.267266 
9776.000000,0.103300 
851.000000,0.243559 
4891.000000,0.269779 
3436.000000,0.383602 
3449.000000,0.163311 
3082.000000,0.302073 
3349.000000,0.308061 
3425.000000,0.276989 
2184.000000,0.291737 
3433.000000,0.319936 
3327.000000,0.367154 
3377.000000,0.337851 
3078.000000,0.197261 
7814.000000,0.311452 
5813.000000,0.472954 
5785.000000,0.479014 
6613.000000,0.288751 
3504.000000,0.161008 
3504.000000,0.240703 
3506.000000,0.147985 
3580.000000,0.190114 
6820.000000,0.343693 
4644.000000,0.334980 
4614.000000,0.331719 
4623.000000,0.368312 
4648.000000,0.397355 
6619.000000,0.313636 
6675.000000,0.275497 
6670.000000,0.226956 
7754.000000,0.225891 
7738.000000,0.039049 
3506.000000,0.382710 
3504.000000,0.387931 
3513.000000,0.229533 
26.000000,0.103055 
3319.000000,0.641535 
3367.000000,0.648250 
3312.000000,0.810098 
3446.000000,0.333562 
3331.000000,0.717070 
3298.000000,0.754072 
3328.000000,0.730621 
3305.000000,0.246226 
3384.000000,0.342364 
3450.000000,0.268689 
850.000000,0.402510 
3705.000000,0.493510 
3310.000000,0.595000 
3395.000000,0.608246 
4876.000000,0.201973 
3729.000000,0.406505 
3395.000000,0.280367 
3705.000000,0.197863 
4091.000000,0.833050 
3989.000000,0.844485 
4045.000000,0.870456 
1948.000000,0.402668 
1323.000000,0.187591 
1504.000000,0.210175 
1658.000000,0.255490 
1658.000000,0.221671 
1623.000000,0.162253 
1632.000000,0.100274 
9965.000000,0.151258 
3809.000000,0.167910 
851.000000,0.325888 
9808.000000,0.219354 
3346.000000,0.321699 
3408.000000,0.271291 
3086.000000,0.241044 
50.000000,0.295500 
3072.000000,0.263793 
3087.000000,0.196334 
1972.000000,0.368860 
1976.000000,0.354141 
3277.000000,0.744616 
3070.000000,0.364963 
1928.000000,0.386962 
2018.000000,0.343635 
1921.000000,0.403976 
1780.000000,0.389870 
6954.000000,0.265538 
6886.000000,0.220606 
7019.000000,0.228828 
6614.000000,0.182543 
5914.000000,0.390157 
5917.000000,0.217000 
768.000000,0.315686 
4378.000000,0.377287 
4375.000000,0.363680 
4405.000000,0.397101 
4478.000000,0.246801 
766.000000,0.241386 
3562.000000,0.324321 
4642.000000,0.276548 
4633.000000,0.330120 
4215.000000,0.504946 
4258.000000,0.521702 
7001.000000,0.246258 
7138.000000,0.234030 
7083.000000,0.319484 
7058.000000,0.228108 
6737.000000,0.142519 
6798.000000,0.311831 
4609.000000,0.377067 
4608.000000,0.201099 
6757.000000,0.319840 
6690.000000,0.357626 
6862.000000,0.331094 
4701.000000,0.464274 
1028.000000,0.126661 
5241.000000,0.435941 
4721.000000,0.172699 
4299.000000,0.452704 
3951.000000,0.404958 
7754.000000,0.192765 
7706.000000,0.225857 
424.000000,0.162263 
4030.000000,0.515780 
3924.000000,0.477752 
4076.000000,0.420753 
4090.000000,0.472924 
9835.000000,0.269375 
9834.000000,0.219414 
3897.000000,0.265680 
4252.000000,0.380810 
4557.000000,0.318113 
4228.000000,0.362860 
6323.000000,0.208686 
6326.000000,0.245009 
6309.000000,0.101053 
6307.000000,0.367223 
6397.000000,0.148921 
6400.000000,0.275011 
6408.000000,0.233086 
6395.000000,0.280495 
6330.000000,0.145440 
6325.000000,0.116684 
6299.000000,0.308255 
6324.000000,0.101983 
2778.000000,0.347016 
4518.000000,0.324132 
4222.000000,0.289478 
2768.000000,0.355702 
2798.000000,0.317631 
4463.000000,0.389472 
2802.000000,0.233268 
9961.000000,0.251576 
9959.000000,0.160244 
4794.000000,0.313516 
9963.000000,0.146628 
4266.000000,0.311660 
6678.000000,0.194251 
2925.000000,0.531749 
6687.000000,0.261368 
6684.000000,0.201846 
8012.000000,0.159237 
8016.000000,0.209414 
7947.000000,0.311126 
7814.000000,0.337495 
7836.000000,0.146746 
5913.000000,0.338377 
3471.000000,0.359837 
5861.000000,0.486754 
5839.000000,0.490858 
5861.000000,0.528880 
5849.000000,0.474080 
9397.000000,0.107425 
9211.000000,0.294562 
9312.000000,0.111820 
9397.000000,0.354737 
3935.000000,0.499191 
4068.000000,0.968565 
4112.000000,0.914463 
4056.000000,0.882082 
915.000000,0.243013 
9957.000000,0.224077 
795.000000,0.256412 
5215.000000,0.505450 
1441.000000,0.459009 
1391.000000,0.416418 
3523.000000,0.083447 
3602.000000,0.524727 
28.000000,0.254396 
9890.000000,0.157625 
9892.000000,0.176649 
3611.000000,0.313802 
9196.000000,0.195529 
9162.000000,0.285909 
9318.000000,0.213007 
9214.000000,0.279796 
9308.000000,0.150292 
9297.000000,0.210754 
1341.000000,0.268227 
1326.000000,0.113211 
1419.000000,0.167702 
1461.000000,0.464359 
1480.000000,0.403106 
1428.000000,0.368692 
1488.000000,0.391387 
3517.000000,0.024566 
3505.000000,0.196358 
3374.000000,0.624231 
3339.000000,0.742740 
3391.000000,0.719596 
3282.000000,0.730127 
3312.000000,0.711472 
3405.000000,0.653176 
3293.000000,0.731059 
9353.000000,0.153268 
9455.000000,0.197057 
9463.000000,0.176210 
9439.000000,0.164253 
9358.000000,0.223913 
3436.000000,0.285151 
3310.000000,0.250336 
3444.000000,0.311673 
3316.000000,0.338435 
3705.000000,0.411782 
4875.000000,0.308734 
4889.000000,0.412447 
852.000000,0.309216 
3875.000000,0.058455 
9712.000000,0.524281 
9717.000000,0.464807 
9705.000000,0.534727 
4128.000000,0.551622 
6362.000000,0.226132 
6305.000000,0.676292 
6331.000000,0.179377 
6361.000000,0.437300 
6320.000000,0.275925 
6348.000000,0.368122 
6299.000000,0.745137 
6320.000000,0.171983 
6320.000000,0.748654 
1312.000000,0.362506 
1328.000000,0.196215 
1325.000000,0.395456 
4083.000000,0.966577 
3940.000000,0.510962 
4148.000000,0.307769 
3986.000000,0.844917 
4109.000000,0.833713 
1419.000000,0.303454 
1545.000000,0.103842 
1544.000000,0.226165 
9732.000000,0.119484 
1544.000000,0.251584 
9786.000000,0.151677 
9785.000000,0.277834 
9788.000000,0.175851 
834.000000,0.157441 
9735.000000,0.355451 
9736.000000,0.108558 
1628.000000,0.268078 
1813.000000,0.027085 
1776.000000,0.185296 
1655.000000,0.139176 
1627.000000,0.298044 
1569.000000,0.189173 
1633.000000,0.209479 
3868.000000,0.216321 
3518.000000,0.182316 
3527.000000,0.165449 
3793.000000,0.105063 
3809.000000,0.187349 
9810.000000,0.217799 
9809.000000,0.204677 
9805.000000,0.236533 
4891.000000,0.342310 
4906.000000,0.231602 
4906.000000,0.276509 
4875.000000,0.181847 
3397.000000,0.707908 
1617.000000,0.088890 
1532.000000,0.461851 
3330.000000,0.201307 
3082.000000,0.366425 
3202.000000,0.230537 
3386.000000,0.263927 
3301.000000,0.320938 
3125.000000,0.213023 
3333.000000,0.346242 
2189.000000,0.268676 
3430.000000,0.305850 
3397.000000,0.458015 
3345.000000,0.256372 
7551.000000,0.273856 
7616.000000,0.245529 
7551.000000,0.463757 
7551.000000,0.174099 
7662.000000,0.181107 
7665.000000,0.045631 
7741.000000,0.174750 
1935.000000,0.487092 
1933.000000,0.386658 
3385.000000,0.745267 
3080.000000,0.317777 
1973.000000,0.378596 
1975.000000,0.389097 
5819.000000,0.553127 
5851.000000,0.485164 
5845.000000,0.510175 
5815.000000,0.885046 
7988.000000,0.152215 
8129.000000,0.258519 
7995.000000,0.285060 
8002.000000,0.219937 
7905.000000,0.335946 
7713.000000,0.298149 
479.000000,0.145459 
7797.000000,0.199682 
7810.000000,0.200500 
6614.000000,0.415899 
6953.000000,0.254767 
7084.000000,0.365369 
712.000000,0.338009 
5518.000000,0.337103 
718.000000,0.276656 
729.000000,0.241308 
9169.000000,0.264960 
9309.000000,0.293677 
694.000000,0.301507 
3116.000000,0.240426 
3318.000000,0.290282 
3412.000000,0.369393 
3318.000000,0.384596 
6377.000000,0.398629 
6374.000000,0.384733 
6388.000000,0.167195 
6377.000000,0.976740 
6376.000000,0.783124 
6375.000000,0.274016 
6375.000000,0.744296 
769.000000,0.375586 
5033.000000,0.349419 
6710.000000,0.266269 
280.000000,0.305616 
6637.000000,0.302047 
6712.000000,0.125211 
3546.000000,0.566823 
3546.000000,0.505095 
3541.000000,0.534956 
3596.000000,0.027602 
3557.000000,0.828252 
3578.000000,0.492809 
764.000000,0.273649 
9291.000000,0.190181 
9143.000000,0.230818 
9154.000000,0.316915 
9280.000000,0.032976 
9411.000000,0.283327 
9391.000000,0.242915 
9347.000000,0.335548 
9371.000000,0.159432 
9401.000000,0.207790 
5537.000000,0.204909 
5603.000000,0.112389 
8846.000000,0.114471 
5613.000000,0.423558 
5619.000000,0.339768 
5686.000000,0.317645 
3097.000000,0.268334 
4594.000000,0.389695 
3117.000000,0.308150 
3242.000000,0.189302 
731.000000,0.216617 
663.000000,0.415024 
7376.000000,0.213238 
4615.000000,0.316263 
6997.000000,0.103684 
6930.000000,0.157178 
6891.000000,0.230790 
4619.000000,0.375750 
3960.000000,0.375834 
4584.000000,0.342995 
4580.000000,0.160652 
4613.000000,0.343938 
4612.000000,0.348098 
3967.000000,0.453117 
3926.000000,0.391056 
2101.000000,0.420289 
3951.000000,0.452059 
7784.000000,0.101228 
7788.000000,0.074296 
7873.000000,0.183943 
9851.000000,0.238499 
9854.000000,0.151034 
4558.000000,0.416309 
4273.000000,0.408454 
4049.000000,0.392883 
4217.000000,0.441909 
4255.000000,0.437877 
4265.000000,0.331680 
4046.000000,0.498328 
4625.000000,0.410528 
4621.000000,0.349020 
9958.000000,0.148745 
9914.000000,0.114347 
4275.000000,0.281201 
4291.000000,0.399370 
2795.000000,0.309579 
2655.000000,0.285234 
2781.000000,0.240242 
2798.000000,0.315740 
2652.000000,0.224475 
6287.000000,0.365964 
6102.000000,0.254581 
6170.000000,0.441980 
5930.000000,0.234994 
6305.000000,0.349023 
6330.000000,0.732449 
6330.000000,1.320549 
6299.000000,1.306705 
6387.000000,1.262884 
6386.000000,0.844052 
6397.000000,0.802573 
6386.000000,1.278367 
4191.000000,0.333319 
4193.000000,0.363031 
4192.000000,0.428249 
4197.000000,0.352085 
3985.000000,0.954613 
3981.000000,1.022211 
3922.000000,0.977355 
3981.000000,0.944116 
309.000000,0.234854 
309.000000,0.372129 
6620.000000,0.180646 
2754.000000,0.362330 
8064.000000,0.583840 
7327.000000,0.249301 
5841.000000,0.505974 
5860.000000,0.530564 
