point, dist
9006.000000,0.386709 
9035.000000,0.291738 
9035.000000,0.186536 
1816.000000,0.309964 
901.000000,0.264438 
901.000000,0.362442 
861.000000,0.112927 
8447.000000,0.433203 
6874.000000,0.257046 
6881.000000,0.128496 
6882.000000,0.057065 
6878.000000,0.364707 
2646.000000,0.259880 
3070.000000,0.200337 
2871.000000,0.100846 
2972.000000,0.321323 
1804.000000,0.297630 
961.000000,0.336104 
1813.000000,0.289405 
9012.000000,0.208361 
9008.000000,0.182025 
9010.000000,0.192158 
3971.000000,0.150490 
4596.000000,0.269339 
1711.000000,0.122734 
4604.000000,0.197340 
4584.000000,0.242514 
7277.000000,0.364752 
3639.000000,0.281788 
624.000000,0.435287 
1764.000000,0.298485 
5293.000000,0.251597 
5619.000000,0.135751 
5547.000000,0.262409 
8444.000000,0.508932 
8454.000000,0.467512 
8446.000000,0.247658 
8416.000000,0.328564 
9178.000000,0.337866 
3791.000000,0.132408 
3775.000000,0.180107 
3812.000000,0.316695 
9046.000000,0.217347 
6873.000000,0.290524 
2411.000000,0.423325 
2638.000000,0.153689 
3277.000000,0.247442 
3277.000000,0.374828 
2817.000000,0.226362 
2693.000000,0.161560 
2817.000000,0.408201 
2994.000000,0.247095 
2682.000000,0.212783 
3087.000000,0.125455 
2920.000000,0.202272 
1771.000000,0.439744 
1758.000000,0.430176 
6243.000000,0.193704 
6702.000000,0.359035 
6516.000000,0.244052 
5620.000000,0.372142 
5442.000000,0.246299 
5223.000000,0.177552 
5586.000000,0.189402 
8849.000000,0.289843 
9056.000000,0.346262 
8788.000000,0.091970 
9054.000000,0.222178 
9023.000000,0.211788 
9016.000000,0.222568 
9021.000000,0.273495 
9045.000000,0.102965 
9057.000000,0.221736 
3748.000000,0.221100 
4283.000000,0.114308 
3919.000000,0.223885 
3639.000000,0.179004 
3877.000000,0.287456 
3618.000000,0.265591 
3738.000000,0.121822 
3697.000000,0.252933 
7280.000000,0.525805 
3583.000000,0.161707 
3869.000000,0.184959 
3821.000000,0.195324 
198.000000,0.225463 
979.000000,0.347270 
1022.000000,0.222384 
1020.000000,0.104804 
2575.000000,0.189598 
2567.000000,0.405803 
2861.000000,0.253952 
2795.000000,0.328016 
2627.000000,0.099638 
2970.000000,0.373992 
2811.000000,0.132495 
2622.000000,0.234659 
2636.000000,0.191470 
2859.000000,0.214031 
3020.000000,0.190944 
2731.000000,0.313576 
2769.000000,0.268204 
2682.000000,0.236955 
3053.000000,0.349522 
2921.000000,0.330485 
2781.000000,0.103882 
610.000000,0.308103 
3683.000000,0.198906 
3781.000000,0.143834 
3561.000000,0.143246 
3005.000000,0.277745 
2961.000000,0.152664 
2805.000000,0.209582 
2858.000000,0.225383 
2141.000000,0.419211 
5394.000000,0.157013 
6356.000000,0.206107 
4882.000000,0.312177 
2166.000000,0.334905 
6879.000000,0.145451 
1868.000000,0.440829 
1848.000000,0.391825 
995.000000,0.246214 
4789.000000,0.304075 
1013.000000,0.214818 
1825.000000,0.408447 
4685.000000,0.205010 
4691.000000,0.154598 
4669.000000,0.220058 
6596.000000,0.264494 
1602.000000,0.305808 
6105.000000,0.357796 
6596.000000,0.320207 
4868.000000,0.342260 
4276.000000,0.127448 
4661.000000,0.206361 
3211.000000,0.175468 
4427.000000,0.125968 
7296.000000,0.276613 
8040.000000,0.341512 
9070.000000,0.232845 
8052.000000,0.269466 
5946.000000,0.292969 
5743.000000,0.285455 
353.000000,0.186063 
5827.000000,0.279552 
7736.000000,0.445594 
5850.000000,0.222338 
226.000000,0.209819 
225.000000,0.099100 
207.000000,0.246296 
206.000000,0.159704 
7275.000000,0.482274 
8835.000000,0.794277 
8831.000000,0.794248 
8783.000000,0.789215 
3751.000000,0.214301 
610.000000,0.238781 
224.000000,0.473321 
7610.000000,0.417350 
224.000000,0.306147 
222.000000,0.239721 
4680.000000,0.140787 
1086.000000,0.153639 
1083.000000,0.250268 
4679.000000,0.275159 
4667.000000,0.187311 
4682.000000,0.181321 
4677.000000,0.101191 
4676.000000,0.280892 
8350.000000,0.123608 
8346.000000,0.175044 
9153.000000,0.229472 
8356.000000,0.196539 
9048.000000,0.195891 
9017.000000,0.253514 
8417.000000,0.320230 
8446.000000,0.473799 
8412.000000,0.331027 
9175.000000,0.300541 
9015.000000,0.223943 
9021.000000,0.170241 
5496.000000,0.315367 
5529.000000,0.281368 
5508.000000,0.279690 
5360.000000,0.366317 
5454.000000,0.097021 
5258.000000,0.294444 
5304.000000,0.329201 
5266.000000,0.112087 
5341.000000,0.185059 
6057.000000,0.097955 
6551.000000,0.313443 
6463.000000,0.230868 
6372.000000,0.203491 
6760.000000,0.104950 
6875.000000,0.254436 
6793.000000,0.165088 
6203.000000,0.240012 
1316.000000,0.107129 
1189.000000,0.309865 
6527.000000,0.214467 
2917.000000,0.238727 
2446.000000,0.441823 
3055.000000,0.289443 
6863.000000,0.272762 
6868.000000,0.225658 
6865.000000,0.356541 
6872.000000,0.276976 
6876.000000,0.161070 
2314.000000,0.305566 
2274.000000,0.312813 
2336.000000,0.475415 
2277.000000,0.406054 
3414.000000,0.244326 
4110.000000,0.217670 
3827.000000,0.226560 
2450.000000,0.410823 
2424.000000,0.420589 
2449.000000,0.389149 
2763.000000,0.204406 
2720.000000,0.210765 
2759.000000,0.189314 
2699.000000,0.339658 
6075.000000,0.178333 
5303.000000,0.230809 
5382.000000,0.356563 
5382.000000,0.188327 
5506.000000,0.232230 
5508.000000,0.270999 
5579.000000,0.218529 
5390.000000,0.175967 
5339.000000,0.252084 
5579.000000,0.279840 
5233.000000,0.214907 
8347.000000,0.319967 
1553.000000,0.348251 
4583.000000,0.243727 
1553.000000,0.492163 
553.000000,0.459504 
9014.000000,0.164574 
8352.000000,0.100984 
8172.000000,0.193445 
8953.000000,0.284049 
8870.000000,0.219056 
8166.000000,0.137374 
1219.000000,0.211225 
1454.000000,0.250490 
6159.000000,0.264049 
6067.000000,0.278356 
4376.000000,0.290451 
4054.000000,0.233607 
3954.000000,0.255116 
4140.000000,0.337536 
9145.000000,0.362457 
9059.000000,0.111755 
9055.000000,0.131671 
8834.000000,0.305620 
8787.000000,0.173982 
8821.000000,0.326482 
8857.000000,0.301408 
8845.000000,0.340247 
8852.000000,0.315193 
3784.000000,0.229736 
3890.000000,0.244234 
3792.000000,0.239371 
3620.000000,0.246710 
3980.000000,0.163738 
4381.000000,0.123373 
4637.000000,0.248259 
8896.000000,0.298081 
8837.000000,0.216962 
8960.000000,0.388621 
3573.000000,0.124255 
3630.000000,0.232309 
3866.000000,0.143053 
3690.000000,0.204669 
3618.000000,0.232245 
3777.000000,0.175607 
3628.000000,0.221506 
3664.000000,0.139269 
3897.000000,0.316652 
3164.000000,0.191449 
3224.000000,0.383595 
3224.000000,0.208072 
4630.000000,0.269853 
601.000000,0.332590 
3812.000000,0.173153 
8448.000000,0.107963 
9077.000000,0.299633 
9077.000000,0.317090 
1027.000000,0.255622 
4109.000000,0.233886 
3649.000000,0.348451 
3993.000000,0.238381 
3778.000000,0.118182 
3860.000000,0.236200 
284.000000,0.256470 
58.000000,0.253302 
94.000000,0.230878 
7540.000000,0.242900 
813.000000,0.202886 
867.000000,0.323503 
3024.000000,0.230552 
690.000000,0.357020 
787.000000,0.319055 
861.000000,0.201975 
1005.000000,0.245912 
997.000000,0.348055 
1777.000000,0.283361 
799.000000,0.330071 
714.000000,0.318682 
707.000000,0.212280 
768.000000,0.373419 
755.000000,0.320693 
800.000000,0.323725 
698.000000,0.324669 
3316.000000,0.168470 
3161.000000,0.161038 
3386.000000,0.200239 
3312.000000,0.208009 
4085.000000,0.298626 
4520.000000,0.231123 
4168.000000,0.359308 
3105.000000,0.185551 
4096.000000,0.241354 
2875.000000,0.303432 
2615.000000,0.424450 
2945.000000,0.116351 
2971.000000,0.255806 
3005.000000,0.221723 
2717.000000,0.237278 
2663.000000,0.156478 
734.000000,0.209188 
803.000000,0.225592 
3053.000000,0.210008 
2879.000000,0.221232 
2612.000000,0.245660 
2775.000000,0.248366 
3027.000000,0.293163 
2809.000000,0.098898 
3052.000000,0.193651 
2623.000000,0.101797 
2822.000000,0.240069 
2791.000000,0.135932 
3739.000000,0.139168 
3712.000000,0.171598 
3740.000000,0.125008 
3629.000000,0.153747 
3823.000000,0.160845 
204.000000,0.246798 
189.000000,0.564707 
207.000000,0.303185 
3609.000000,0.193690 
195.000000,0.386888 
3740.000000,0.278961 
196.000000,0.168398 
3544.000000,0.189011 
3552.000000,0.314858 
3543.000000,0.135477 
3540.000000,0.315904 
3876.000000,0.279846 
3708.000000,0.270570 
3559.000000,0.188303 
3612.000000,0.253275 
3703.000000,0.353069 
3766.000000,0.226971 
3550.000000,0.185871 
3898.000000,0.201593 
3582.000000,0.221155 
3885.000000,0.242731 
3675.000000,0.179198 
4487.000000,0.206434 
4627.000000,0.211945 
4422.000000,0.193793 
4377.000000,0.179531 
4158.000000,0.215028 
3233.000000,0.320014 
3169.000000,0.239914 
3516.000000,0.235668 
3191.000000,0.180710 
3165.000000,0.271567 
3120.000000,0.167306 
3083.000000,0.177111 
2890.000000,0.211219 
2686.000000,0.187472 
2633.000000,0.101639 
3048.000000,0.176876 
2799.000000,0.296671 
2970.000000,0.296027 
1025.000000,0.216973 
2812.000000,0.140924 
2689.000000,0.207295 
3178.000000,0.233127 
3272.000000,0.281517 
3272.000000,0.216843 
3456.000000,0.211394 
2938.000000,0.169337 
2847.000000,0.251512 
2847.000000,0.185449 
1931.000000,0.445789 
1932.000000,0.310188 
1949.000000,0.303244 
3027.000000,0.246216 
8784.000000,0.082280 
8804.000000,0.242321 
8784.000000,0.342002 
8809.000000,0.307695 
8950.000000,0.266566 
8897.000000,0.287950 
8904.000000,0.261878 
8161.000000,0.309661 
8888.000000,0.390865 
3660.000000,0.234694 
3844.000000,0.231168 
3565.000000,0.174612 
4462.000000,0.201249 
4004.000000,0.251842 
3970.000000,0.101011 
3574.000000,0.113258 
4093.000000,0.361702 
4132.000000,0.134361 
4103.000000,0.223133 
3619.000000,0.261156 
3696.000000,0.405969 
3813.000000,0.299235 
3813.000000,0.205365 
3859.000000,0.102288 
3761.000000,0.225304 
5114.000000,0.176253 
5024.000000,0.294691 
5116.000000,0.207961 
868.000000,0.218455 
4668.000000,0.251074 
4676.000000,0.251196 
2202.000000,0.447394 
5093.000000,0.303760 
4809.000000,0.201796 
5305.000000,0.194090 
5598.000000,0.093394 
5558.000000,0.186338 
5620.000000,0.139440 
5349.000000,0.366013 
5413.000000,0.218203 
5312.000000,0.260124 
5581.000000,0.288340 
1241.000000,0.267947 
6313.000000,0.235513 
5592.000000,0.168632 
4705.000000,0.251028 
5371.000000,0.302557 
4666.000000,0.250019 
7459.000000,0.260452 
7280.000000,0.315089 
193.000000,0.374622 
193.000000,0.340532 
7736.000000,0.216768 
8453.000000,0.165900 
8754.000000,0.194597 
8453.000000,0.447897 
8458.000000,0.161717 
8463.000000,0.159291 
9071.000000,0.257618 
8490.000000,0.293483 
7896.000000,0.319588 
9074.000000,0.290701 
8464.000000,0.183990 
8472.000000,0.319648 
171.000000,0.401506 
178.000000,0.347671 
9061.000000,0.395251 
7899.000000,0.255971 
8559.000000,0.199052 
8025.000000,0.287470 
8031.000000,0.329739 
8026.000000,0.379406 
9967.000000,0.383555 
217.000000,0.194412 
251.000000,0.295444 
272.000000,0.188961 
326.000000,0.170060 
7234.000000,0.500107 
328.000000,0.137535 
281.000000,0.155879 
204.000000,0.470919 
8801.000000,0.792331 
3631.000000,0.234082 
3579.000000,0.180545 
3793.000000,0.101111 
3873.000000,0.237877 
260.000000,0.260598 
228.000000,0.251416 
5744.000000,0.310520 
5942.000000,0.206101 
5864.000000,0.125445 
229.000000,0.142618 
5238.000000,0.267632 
5348.000000,0.262118 
5515.000000,0.163873 
5541.000000,0.115016 
5547.000000,0.235307 
8449.000000,0.391437 
8413.000000,0.256102 
8451.000000,0.438847 
8404.000000,0.382025 
9075.000000,0.266667 
9099.000000,0.495318 
8462.000000,0.161092 
8454.000000,0.220473 
8414.000000,0.218676 
8389.000000,0.227882 
9176.000000,0.350955 
8487.000000,0.491381 
8490.000000,0.529964 
8476.000000,0.278690 
8396.000000,0.423647 
9008.000000,0.383299 
8393.000000,0.592550 
8399.000000,0.256250 
8391.000000,0.231088 
9010.000000,0.348742 
9145.000000,0.033833 
8363.000000,0.186388 
8343.000000,0.425679 
9148.000000,0.354788 
8348.000000,0.131657 
8138.000000,0.273402 
8138.000000,0.341181 
8106.000000,0.330703 
8127.000000,0.337233 
8127.000000,0.239196 
8163.000000,0.149679 
8881.000000,0.133424 
8843.000000,0.325035 
6567.000000,0.172928 
6218.000000,0.420072 
6537.000000,0.269343 
6656.000000,0.116289 
6231.000000,0.346738 
6163.000000,0.222926 
6712.000000,0.326269 
6024.000000,0.193477 
6383.000000,0.286876 
6269.000000,0.237108 
6133.000000,0.205975 
6554.000000,0.221486 
6200.000000,0.294165 
6350.000000,0.195489 
6058.000000,0.206203 
6065.000000,0.377311 
6625.000000,0.245260 
5616.000000,0.255979 
5522.000000,0.240556 
5271.000000,0.190568 
5359.000000,0.241304 
5372.000000,0.096298 
5462.000000,0.119912 
5245.000000,0.266298 
5401.000000,0.108349 
5254.000000,0.180871 
5519.000000,0.193191 
5344.000000,0.146543 
5527.000000,0.235286 
5578.000000,0.217840 
3883.000000,0.327564 
3666.000000,0.185559 
3637.000000,0.201257 
6711.000000,0.217218 
5660.000000,0.180846 
6544.000000,0.178327 
6390.000000,0.218365 
6266.000000,0.286502 
6689.000000,0.273655 
6092.000000,0.242482 
1087.000000,0.344535 
1037.000000,0.206457 
1037.000000,0.236214 
1088.000000,0.112834 
770.000000,0.187753 
784.000000,0.192594 
715.000000,0.457667 
722.000000,0.329990 
9582.000000,0.245479 
6996.000000,0.528792 
38.000000,0.367337 
1009.000000,0.181683 
1009.000000,0.101336 
966.000000,0.212217 
1779.000000,0.418766 
1795.000000,0.423558 
2321.000000,0.316094 
2370.000000,0.348103 
2320.000000,0.319561 
2514.000000,0.318974 
2548.000000,0.346913 
2604.000000,0.097557 
2910.000000,0.206904 
2403.000000,0.448284 
2795.000000,0.295469 
2762.000000,0.114546 
2328.000000,0.338043 
2279.000000,0.334038 
2397.000000,0.437781 
2561.000000,0.453613 
2393.000000,0.399723 
2264.000000,0.320971 
2278.000000,0.296964 
2343.000000,0.304514 
2385.000000,0.305129 
2295.000000,0.349626 
9152.000000,0.250801 
9152.000000,0.240498 
9150.000000,0.250745 
8354.000000,0.198251 
8735.000000,0.273277 
9144.000000,0.152549 
1593.000000,0.145278 
1507.000000,0.209714 
1593.000000,0.298506 
1510.000000,0.220836 
2039.000000,0.362485 
2401.000000,0.331202 
2006.000000,0.452268 
2436.000000,0.335104 
2495.000000,0.408367 
2498.000000,0.363873 
2498.000000,0.373446 
2654.000000,0.227579 
2665.000000,0.215883 
2981.000000,0.310394 
2673.000000,0.281159 
2424.000000,0.466235 
2404.000000,0.464212 
2479.000000,0.457460 
2480.000000,0.318658 
2712.000000,0.234414 
894.000000,0.371184 
969.000000,0.253895 
6374.000000,0.190380 
6113.000000,0.322194 
6454.000000,0.233803 
5574.000000,0.119715 
5220.000000,0.235346 
5378.000000,0.337245 
5421.000000,0.144179 
5378.000000,0.181330 
5570.000000,0.289413 
5303.000000,0.286786 
5130.000000,0.196768 
4723.000000,0.225549 
4711.000000,0.137620 
5020.000000,0.198249 
5143.000000,0.120749 
4916.000000,0.316056 
4723.000000,0.281234 
4830.000000,0.154058 
5185.000000,0.135328 
5295.000000,0.144121 
5354.000000,0.097431 
8347.000000,0.579832 
9146.000000,0.128557 
8345.000000,0.292182 
8844.000000,0.137797 
9039.000000,0.185001 
9131.000000,0.159098 
9060.000000,0.194124 
9040.000000,0.226254 
9053.000000,0.206880 
9041.000000,0.244081 
9126.000000,0.138454 
9127.000000,0.165379 
8290.000000,0.434643 
8124.000000,0.135346 
8159.000000,0.264028 
6353.000000,0.318226 
8733.000000,0.246538 
8324.000000,0.330619 
8037.000000,0.262857 
8870.000000,0.298591 
8887.000000,0.159559 
8967.000000,0.193196 
1496.000000,0.247061 
4255.000000,0.109118 
1553.000000,0.419129 
1710.000000,0.189540 
1734.000000,0.188704 
9051.000000,0.088295 
8792.000000,0.249325 
8828.000000,0.290030 
8852.000000,0.360990 
8848.000000,0.088314 
9029.000000,0.187688 
9024.000000,0.069716 
9025.000000,0.278159 
4500.000000,0.330548 
4500.000000,0.344534 
4015.000000,0.290696 
4556.000000,0.235609 
4556.000000,0.299893 
3117.000000,0.209215 
3143.000000,0.236650 
3500.000000,0.204739 
3952.000000,0.235596 
4016.000000,0.305109 
4075.000000,0.155252 
4558.000000,0.281871 
4508.000000,0.325947 
4329.000000,0.142321 
4355.000000,0.117047 
8994.000000,0.407418 
8791.000000,0.397209 
8960.000000,0.392761 
8941.000000,0.329558 
8836.000000,0.491523 
4167.000000,0.321134 
1684.000000,0.307713 
4111.000000,0.275401 
3763.000000,0.139335 
3799.000000,0.136697 
3569.000000,0.200359 
4573.000000,0.216379 
4020.000000,0.236905 
4488.000000,0.227215 
4252.000000,0.247496 
4318.000000,0.166617 
3553.000000,0.290088 
625.000000,0.432259 
7326.000000,0.278166 
7328.000000,0.437033 
7328.000000,0.187450 
8446.000000,0.302504 
8478.000000,0.104757 
7324.000000,0.281945 
7290.000000,0.232930 
194.000000,0.231064 
7324.000000,0.517660 
3712.000000,0.270949 
16.000000,0.223927 
9586.000000,0.191631 
20.000000,0.116557 
31.000000,0.264576 
1119.000000,0.290589 
2584.000000,0.260546 
2583.000000,0.204958 
2582.000000,0.293364 
3258.000000,0.468195 
192.000000,0.225188 
5785.000000,0.218208 
5768.000000,0.109638 
997.000000,0.246415 
2606.000000,0.407981 
2927.000000,0.350833 
2927.000000,0.325823 
750.000000,0.270814 
776.000000,0.198629 
2648.000000,0.186898 
2829.000000,0.374259 
961.000000,0.346957 
1801.000000,0.372909 
1008.000000,0.344672 
958.000000,0.347309 
745.000000,0.240385 
43.000000,0.115257 
1027.000000,0.128330 
860.000000,0.437157 
878.000000,0.354142 
998.000000,0.283276 
853.000000,0.360540 
2772.000000,0.238764 
3089.000000,0.195511 
3007.000000,0.228497 
2934.000000,0.184988 
2842.000000,0.206591 
2681.000000,0.255942 
2789.000000,0.196180 
2969.000000,0.095907 
2651.000000,0.268553 
4001.000000,0.290611 
4102.000000,0.271151 
3998.000000,0.172930 
4638.000000,0.158861 
4028.000000,0.230096 
4467.000000,0.120653 
4421.000000,0.218676 
4530.000000,0.147839 
4367.000000,0.293411 
3997.000000,0.261572 
4309.000000,0.216601 
4485.000000,0.141958 
4198.000000,0.210273 
4565.000000,0.111948 
4472.000000,0.119247 
2565.000000,0.211535 
2569.000000,0.308900 
2572.000000,0.204003 
2581.000000,0.128631 
3625.000000,0.272248 
255.000000,0.375359 
257.000000,0.214249 
232.000000,0.355437 
7323.000000,0.184572 
7323.000000,0.567757 
7290.000000,0.573515 
3774.000000,0.133888 
3770.000000,0.151789 
3615.000000,0.318413 
3613.000000,0.241455 
3700.000000,0.102121 
3595.000000,0.170434 
3610.000000,0.116192 
3663.000000,0.255742 
3726.000000,0.270458 
266.000000,0.491514 
342.000000,0.324671 
273.000000,0.255256 
3581.000000,0.316656 
265.000000,0.382640 
289.000000,0.423193 
3730.000000,0.266414 
336.000000,0.460979 
337.000000,0.379977 
274.000000,0.378486 
292.000000,0.385644 
4097.000000,0.100296 
4223.000000,0.279175 
3985.000000,0.227478 
4289.000000,0.127335 
3988.000000,0.311668 
