point, dist
9718.000000,0.091078 
9628.000000,0.133479 
9668.000000,0.126557 
9761.000000,0.086036 
9210.000000,0.099429 
27.000000,0.142634 
18.000000,0.099935 
9191.000000,0.265725 
9348.000000,0.091073 
1171.000000,0.123467 
9315.000000,0.057820 
9306.000000,0.113899 
9405.000000,0.153221 
9371.000000,0.098756 
2151.000000,0.097158 
2568.000000,0.076689 
1950.000000,0.123212 
1474.000000,0.101526 
1235.000000,0.075810 
1217.000000,0.061592 
1542.000000,0.067945 
1440.000000,0.048934 
1650.000000,0.059196 
1183.000000,0.113277 
1202.000000,0.070416 
1627.000000,0.068335 
29.000000,0.132765 
150.000000,0.067364 
9680.000000,0.113065 
3953.000000,0.122462 
2350.000000,0.089799 
2293.000000,0.076515 
2535.000000,0.082613 
3994.000000,0.090185 
1778.000000,0.077816 
1378.000000,0.082827 
9254.000000,0.132865 
2209.000000,0.086459 
1334.000000,0.100136 
2268.000000,0.046178 
1208.000000,0.034534 
1708.000000,0.072010 
1776.000000,0.092599 
1297.000000,0.048533 
2596.000000,0.108194 
2127.000000,0.042040 
2296.000000,0.076480 
2160.000000,0.083814 
2214.000000,0.067682 
2172.000000,0.040923 
2231.000000,0.064115 
2080.000000,0.070468 
2012.000000,0.091995 
2590.000000,0.075514 
2063.000000,0.047217 
4374.000000,0.114902 
4191.000000,0.140779 
7993.000000,0.081786 
4075.000000,0.110228 
3942.000000,0.099919 
4127.000000,0.089696 
4051.000000,0.095580 
3913.000000,0.103454 
102.000000,0.169231 
8041.000000,0.098250 
7020.000000,0.127479 
3420.000000,0.229229 
546.000000,0.377918 
614.000000,0.098962 
9636.000000,0.167532 
9730.000000,0.079047 
9763.000000,0.086286 
9295.000000,0.090589 
4495.000000,0.095236 
6799.000000,0.150378 
7294.000000,0.079304 
7307.000000,0.122635 
5263.000000,0.089513 
4799.000000,0.116804 
4769.000000,0.105279 
3153.000000,0.228300 
3108.000000,0.239087 
2840.000000,0.244034 
3034.000000,0.237649 
1690.000000,0.108134 
1187.000000,0.074035 
1634.000000,0.035701 
1774.000000,0.097702 
1728.000000,0.077443 
1447.000000,0.079308 
4925.000000,0.091731 
4280.000000,0.123086 
8664.000000,0.088353 
4164.000000,0.093050 
4313.000000,0.086055 
4616.000000,0.087411 
4097.000000,0.111764 
3919.000000,0.092375 
4754.000000,0.131154 
4015.000000,0.096865 
4204.000000,0.110717 
4122.000000,0.092537 
3760.000000,0.092943 
1644.000000,0.064264 
1250.000000,0.095100 
1765.000000,0.068943 
1620.000000,0.093592 
4392.000000,0.098610 
4612.000000,0.082182 
4343.000000,0.080951 
4175.000000,0.105768 
4410.000000,0.113377 
2247.000000,0.108743 
1927.000000,0.059277 
2528.000000,0.072358 
2558.000000,0.132836 
1272.000000,0.065977 
1224.000000,0.039183 
1749.000000,0.073002 
1377.000000,0.081177 
1239.000000,0.049736 
1658.000000,0.077505 
8751.000000,0.063705 
8607.000000,0.081778 
8581.000000,0.059673 
6192.000000,0.108162 
6288.000000,0.211361 
2194.000000,0.081599 
2076.000000,0.055693 
2251.000000,0.088558 
1933.000000,0.110926 
2026.000000,0.036638 
2357.000000,0.074080 
2035.000000,0.051636 
2520.000000,0.028990 
3005.000000,0.225588 
2996.000000,0.220261 
1504.000000,0.044793 
2046.000000,0.046878 
1581.000000,0.047034 
2802.000000,0.251950 
2811.000000,0.250090 
2623.000000,0.238056 
2750.000000,0.227150 
1372.000000,0.036298 
2386.000000,0.097046 
3802.000000,0.096252 
4376.000000,0.144595 
4714.000000,0.082519 
4293.000000,0.094438 
4063.000000,0.115426 
4014.000000,0.102867 
3821.000000,0.081893 
3854.000000,0.114066 
3850.000000,0.092962 
4202.000000,0.118393 
4057.000000,0.083974 
116.000000,0.429123 
144.000000,0.066041 
51.000000,0.059060 
3681.000000,0.251856 
2468.000000,0.081614 
2434.000000,0.046441 
3307.000000,0.225614 
2756.000000,0.234580 
2689.000000,0.215299 
3566.000000,0.222639 
3628.000000,0.220057 
76.000000,0.119888 
9111.000000,0.429863 
9110.000000,0.085818 
158.000000,0.099535 
160.000000,0.060204 
9420.000000,0.160592 
9419.000000,0.155439 
4982.000000,0.099018 
9552.000000,0.075501 
9437.000000,0.159517 
6958.000000,0.081987 
7042.000000,0.090148 
437.000000,0.376149 
3703.000000,0.227296 
3509.000000,0.202054 
3477.000000,0.218446 
3743.000000,0.221802 
656.000000,0.376139 
8722.000000,0.065340 
1511.000000,0.045862 
2482.000000,0.069814 
2121.000000,0.067612 
1530.000000,0.056726 
1497.000000,0.067486 
1293.000000,0.075125 
1873.000000,0.094717 
1838.000000,0.071192 
8687.000000,0.111402 
2341.000000,0.043263 
8841.000000,0.047528 
8726.000000,0.065811 
8701.000000,0.103577 
5782.000000,0.096330 
6915.000000,0.044047 
7225.000000,0.035966 
7937.000000,0.033516 
3926.000000,0.117218 
2563.000000,0.042955 
3126.000000,0.232255 
1859.000000,0.060199 
1174.000000,0.027979 
8668.000000,0.060135 
4960.000000,0.115610 
4198.000000,0.112860 
3998.000000,0.108981 
4964.000000,0.114550 
3891.000000,0.117431 
4009.000000,0.088914 
5074.000000,0.164861 
5218.000000,0.084156 
5234.000000,0.071387 
1792.000000,0.071419 
4781.000000,0.096263 
4517.000000,0.082429 
4658.000000,0.097911 
4898.000000,0.103465 
4774.000000,0.116589 
1920.000000,0.047342 
2508.000000,0.038040 
1568.000000,0.087523 
1191.000000,0.067057 
1549.000000,0.060971 
1262.000000,0.079071 
1321.000000,0.035673 
1949.000000,0.065264 
2206.000000,0.076014 
2155.000000,0.056916 
2452.000000,0.066879 
1898.000000,0.055062 
1995.000000,0.043667 
2333.000000,0.074478 
2588.000000,0.037053 
2034.000000,0.060223 
2374.000000,0.076305 
2469.000000,0.054422 
2372.000000,0.048749 
2071.000000,0.063862 
2336.000000,0.057442 
1937.000000,0.043322 
2441.000000,0.052224 
2185.000000,0.048696 
2889.000000,0.217986 
4562.000000,0.085808 
4975.000000,0.090914 
4282.000000,0.095531 
4815.000000,0.093472 
4540.000000,0.110514 
4118.000000,0.109389 
4195.000000,0.101358 
9436.000000,0.151203 
9503.000000,0.142554 
8432.000000,0.088220 
7830.000000,0.097176 
7805.000000,0.037297 
8272.000000,0.077433 
8111.000000,0.077115 
111.000000,0.492811 
9143.000000,0.209776 
75.000000,0.099206 
3363.000000,0.220227 
2841.000000,0.218893 
2711.000000,0.214618 
3004.000000,0.227199 
3464.000000,0.198681 
7860.000000,0.070286 
7425.000000,0.029400 
7338.000000,0.086063 
8204.000000,0.065586 
7449.000000,0.041563 
7603.000000,0.084772 
7324.000000,0.094253 
7521.000000,0.091157 
7601.000000,0.088107 
9518.000000,0.125009 
4927.000000,0.094923 
4295.000000,0.106541 
9551.000000,0.083163 
9500.000000,0.132489 
9433.000000,0.166229 
9677.000000,0.114843 
9260.000000,0.047284 
289.000000,0.111512 
9275.000000,0.099243 
1240.000000,0.032244 
1807.000000,0.054206 
3474.000000,0.222825 
710.000000,0.494344 
572.000000,0.431042 
454.000000,0.435177 
8865.000000,0.035018 
8715.000000,0.119286 
8716.000000,0.033719 
8742.000000,0.042989 
2572.000000,0.058723 
3949.000000,0.128784 
4190.000000,0.116832 
2241.000000,0.141190 
9701.000000,0.113969 
6164.000000,0.207892 
6102.000000,0.193668 
6101.000000,0.202075 
5076.000000,0.137588 
8898.000000,0.063740 
4349.000000,0.094993 
4421.000000,0.097101 
4369.000000,0.092012 
4785.000000,0.118830 
4617.000000,0.100275 
2602.000000,0.263824 
3494.000000,0.252172 
3123.000000,0.248472 
2392.000000,0.045262 
4211.000000,0.089490 
3140.000000,0.218482 
2789.000000,0.233370 
94.000000,0.568940 
2.000000,0.087940 
9355.000000,0.101019 
9090.000000,0.131276 
9090.000000,0.423633 
9111.000000,0.360847 
1600.000000,0.092896 
3922.000000,0.090101 
4479.000000,0.120653 
4156.000000,0.132893 
9539.000000,0.100891 
9539.000000,0.082713 
9593.000000,0.158815 
4910.000000,0.116406 
4310.000000,0.097815 
4640.000000,0.108033 
1834.000000,0.035126 
2821.000000,0.248500 
3299.000000,0.234715 
2101.000000,0.125966 
