point, dist
6373.000000,0.404077 
6351.000000,0.055158 
6373.000000,0.126088 
6351.000000,0.366216 
8282.000000,0.317209 
8282.000000,0.346398 
2006.000000,0.349368 
8493.000000,0.206138 
8558.000000,0.116444 
8559.000000,0.185341 
8392.000000,0.276533 
8472.000000,0.216858 
8390.000000,0.295964 
8522.000000,0.276971 
8520.000000,0.174251 
9878.000000,0.133212 
9830.000000,0.294839 
9842.000000,0.223934 
8288.000000,0.327860 
8251.000000,0.610458 
8242.000000,0.597432 
2454.000000,0.654919 
6574.000000,0.385095 
1685.000000,0.278142 
1687.000000,0.362608 
1664.000000,0.292695 
2006.000000,0.421025 
2046.000000,0.232410 
7751.000000,0.198844 
7669.000000,0.134974 
7719.000000,0.203317 
4901.000000,0.968704 
4901.000000,0.667778 
9742.000000,0.989577 
9742.000000,0.815958 
5039.000000,0.232805 
5035.000000,0.150406 
4993.000000,0.129234 
5036.000000,0.208476 
7720.000000,0.262934 
7670.000000,0.220285 
7720.000000,0.190747 
9698.000000,0.281428 
4862.000000,0.239969 
4886.000000,0.318228 
3109.000000,0.352396 
3107.000000,0.256729 
3111.000000,0.212160 
3122.000000,0.237782 
8565.000000,0.137289 
1571.000000,0.225078 
1574.000000,0.343615 
1579.000000,0.303969 
1435.000000,0.378009 
5038.000000,0.209985 
5037.000000,0.221725 
9941.000000,0.387010 
5033.000000,0.204740 
5022.000000,0.179444 
1441.000000,0.192000 
1434.000000,0.196007 
1444.000000,0.351956 
1327.000000,0.300620 
8594.000000,0.303760 
1341.000000,0.245445 
1327.000000,0.315370 
8269.000000,0.383094 
8283.000000,0.357711 
8286.000000,0.442927 
2850.000000,0.563798 
2449.000000,0.636437 
2476.000000,0.597223 
2713.000000,0.599595 
2009.000000,0.375982 
1982.000000,0.258301 
2019.000000,0.376658 
2038.000000,0.403002 
8283.000000,0.324284 
2029.000000,0.333463 
8285.000000,0.668275 
8302.000000,0.766220 
7404.000000,0.550300 
7212.000000,0.589387 
7333.000000,0.587189 
7212.000000,0.633041 
4965.000000,0.123696 
5034.000000,0.180572 
4886.000000,0.314705 
4902.000000,0.209480 
9821.000000,0.253441 
5030.000000,0.168795 
7162.000000,0.405571 
7073.000000,0.452560 
7067.000000,0.450636 
7605.000000,0.126309 
6691.000000,0.354290 
7607.000000,0.119978 
7570.000000,0.065189 
7583.000000,0.166997 
7611.000000,0.173227 
7117.000000,0.562842 
7455.000000,0.490436 
7352.000000,0.576447 
7355.000000,0.594062 
7168.000000,0.218638 
7479.000000,0.226014 
7141.000000,0.242151 
9855.000000,1.884550 
4822.000000,1.712095 
9855.000000,1.878867 
3133.000000,0.281364 
3112.000000,0.248924 
3153.000000,0.304172 
3130.000000,0.267197 
3113.000000,0.212605 
7817.000000,0.241531 
7891.000000,0.195715 
7890.000000,0.239343 
7816.000000,0.140597 
4967.000000,0.182590 
4963.000000,0.199125 
9456.000000,1.487150 
9474.000000,1.807240 
4868.000000,1.374397 
9462.000000,1.705562 
748.000000,0.320498 
3081.000000,0.428026 
3081.000000,0.243849 
781.000000,0.334590 
2987.000000,0.303273 
796.000000,0.327731 
2943.000000,0.226374 
780.000000,0.331544 
1350.000000,0.202496 
9807.000000,0.299355 
9822.000000,0.393502 
4784.000000,0.285551 
8562.000000,0.201936 
8560.000000,0.057789 
8483.000000,0.153465 
8485.000000,0.198904 
8494.000000,0.213898 
8536.000000,0.182289 
8565.000000,0.201451 
8525.000000,0.253152 
