point, dist
4637.000000,0.257184 
5105.000000,0.227848 
5203.000000,0.324790 
4747.000000,0.221756 
9672.000000,0.364973 
5210.000000,0.297736 
4788.000000,0.156819 
5047.000000,0.305957 
4817.000000,0.288069 
5473.000000,0.303033 
5283.000000,0.231175 
5364.000000,0.323262 
7560.000000,0.300988 
9662.000000,0.372717 
9250.000000,0.192151 
2187.000000,0.508930 
2140.000000,0.558494 
7525.000000,0.289748 
5383.000000,0.220763 
5308.000000,0.198001 
5217.000000,0.183566 
3765.000000,0.291566 
4066.000000,0.362104 
4223.000000,0.242934 
3722.000000,0.194572 
3169.000000,0.916307 
3281.000000,0.562503 
5742.000000,0.379046 
5210.000000,0.314306 
3301.000000,0.577840 
5271.000000,0.362305 
5484.000000,0.239469 
5571.000000,0.248356 
4642.000000,0.219799 
5183.000000,0.195245 
5606.000000,0.226954 
5200.000000,0.333341 
1654.000000,0.305232 
1674.000000,0.205186 
1652.000000,0.244120 
1673.000000,0.242667 
1690.000000,0.241861 
1654.000000,0.271252 
1645.000000,0.255933 
9250.000000,0.387769 
8671.000000,0.354932 
6935.000000,0.180035 
7371.000000,0.321041 
6921.000000,0.296984 
7341.000000,0.343408 
4740.000000,0.196883 
87.000000,0.270018 
86.000000,0.351659 
74.000000,0.295627 
1844.000000,0.358636 
4539.000000,0.243206 
4585.000000,0.184206 
3587.000000,0.193070 
8898.000000,0.291404 
1869.000000,0.275668 
4144.000000,0.287879 
1096.000000,0.293143 
3894.000000,0.347548 
3810.000000,0.209222 
4155.000000,0.225028 
4376.000000,0.234398 
4331.000000,0.317704 
5592.000000,0.188635 
5593.000000,0.243594 
5673.000000,0.193415 
3631.000000,0.279247 
4335.000000,0.203454 
3924.000000,0.224585 
2065.000000,0.287707 
3706.000000,0.249628 
1127.000000,0.275447 
1094.000000,0.270709 
8833.000000,0.407766 
9091.000000,0.346151 
9001.000000,0.264558 
2516.000000,0.462831 
2564.000000,0.159889 
5425.000000,0.208084 
5300.000000,0.275180 
16.000000,0.186570 
8778.000000,0.343914 
8884.000000,0.235813 
6329.000000,0.392387 
6144.000000,0.315227 
1918.000000,0.269118 
1938.000000,0.188704 
1753.000000,0.236271 
358.000000,0.268805 
364.000000,0.342070 
1730.000000,0.236664 
1811.000000,0.128490 
8376.000000,0.309248 
2006.000000,0.311305 
7981.000000,0.282789 
1934.000000,0.269179 
1750.000000,0.205432 
1757.000000,0.298607 
6328.000000,0.289202 
6544.000000,0.357033 
6328.000000,0.779860 
6319.000000,0.388754 
6461.000000,0.380669 
6225.000000,0.384090 
6272.000000,0.396411 
5952.000000,0.435374 
5846.000000,0.490558 
5711.000000,0.415838 
6975.000000,0.278783 
3420.000000,0.302336 
6819.000000,0.223859 
3393.000000,0.499666 
6285.000000,0.344780 
6255.000000,0.360037 
6298.000000,0.234455 
6316.000000,0.314765 
3169.000000,0.483116 
3122.000000,0.524643 
3175.000000,0.468182 
3449.000000,0.530401 
3422.000000,0.195114 
5714.000000,0.461170 
3401.000000,0.472339 
5786.000000,0.259629 
6060.000000,0.314214 
3495.000000,0.360179 
3354.000000,0.502216 
6101.000000,1.252040 
6017.000000,1.269302 
5928.000000,0.423488 
6019.000000,1.249719 
3379.000000,0.333294 
6083.000000,0.414956 
3380.000000,0.470678 
5555.000000,0.245190 
4982.000000,0.188943 
5365.000000,0.153988 
4967.000000,0.237753 
5623.000000,0.233988 
4842.000000,0.255843 
5122.000000,0.253175 
5533.000000,0.262117 
5610.000000,0.213794 
5034.000000,0.179667 
5302.000000,0.241540 
5148.000000,0.267133 
5313.000000,0.245954 
5047.000000,0.292853 
5666.000000,0.262284 
5266.000000,0.331245 
4806.000000,0.228315 
5455.000000,0.266565 
5033.000000,0.183195 
4861.000000,0.215714 
5571.000000,0.311458 
6237.000000,0.400247 
50.000000,0.310857 
64.000000,0.319553 
1532.000000,0.319806 
1652.000000,0.200284 
1652.000000,0.100003 
3944.000000,0.248588 
4309.000000,0.230401 
4105.000000,0.269302 
4739.000000,0.182940 
5258.000000,0.174077 
4894.000000,0.294848 
4748.000000,0.274026 
4969.000000,0.322986 
5354.000000,0.289198 
4468.000000,0.237291 
4329.000000,0.259602 
4892.000000,0.259128 
5470.000000,0.286358 
4824.000000,0.345986 
5382.000000,0.345396 
4641.000000,0.334343 
4748.000000,0.236335 
4894.000000,0.261154 
4649.000000,0.226835 
4523.000000,0.210413 
3866.000000,0.277600 
5011.000000,0.189061 
5191.000000,0.254800 
2175.000000,0.256185 
2557.000000,0.490771 
2393.000000,0.387036 
2616.000000,0.233536 
2434.000000,0.236368 
2404.000000,0.267059 
2510.000000,0.352153 
2510.000000,0.175218 
2613.000000,0.282875 
7022.000000,0.324984 
4976.000000,0.213280 
4743.000000,0.210187 
4910.000000,0.259213 
4999.000000,0.328656 
4752.000000,0.295723 
5509.000000,0.223915 
2320.000000,0.205654 
2277.000000,0.157431 
5090.000000,0.295905 
3254.000000,0.472457 
3190.000000,0.477399 
3060.000000,0.187169 
2906.000000,0.303176 
4691.000000,0.222319 
2971.000000,0.249720 
9765.000000,0.380254 
4885.000000,0.261964 
4884.000000,0.420750 
5590.000000,0.097727 
5475.000000,0.247145 
4882.000000,0.291112 
9814.000000,0.250219 
9869.000000,0.306462 
9812.000000,0.345041 
9859.000000,0.407824 
6997.000000,0.298239 
3458.000000,0.152397 
3361.000000,0.173219 
7032.000000,0.327725 
7433.000000,0.271084 
8116.000000,0.401217 
8463.000000,0.675679 
8463.000000,0.219276 
6154.000000,0.367963 
6257.000000,0.428271 
6342.000000,0.279038 
6361.000000,0.352758 
6388.000000,0.352606 
6510.000000,0.812210 
1331.000000,0.196051 
358.000000,0.303156 
358.000000,0.738033 
8645.000000,0.646381 
364.000000,0.764565 
7794.000000,0.657667 
8001.000000,0.246976 
8001.000000,0.662136 
7769.000000,0.267870 
7956.000000,0.209010 
7724.000000,0.256120 
7724.000000,0.695457 
7794.000000,0.174654 
7916.000000,0.382299 
7916.000000,0.705209 
1778.000000,0.266174 
1822.000000,0.230548 
8238.000000,0.174971 
6705.000000,0.286413 
7476.000000,0.198297 
6634.000000,0.323885 
7780.000000,0.272879 
8068.000000,0.159437 
7699.000000,0.242273 
7621.000000,0.324425 
7027.000000,0.188830 
6390.000000,0.439376 
6360.000000,0.231372 
12.000000,0.307622 
9115.000000,0.401107 
8761.000000,0.449334 
8946.000000,0.507486 
1962.000000,0.297675 
1831.000000,0.165461 
1845.000000,0.352829 
62.000000,0.318644 
88.000000,0.356552 
9005.000000,0.403135 
9303.000000,0.389579 
1975.000000,0.314389 
1828.000000,0.220016 
8014.000000,0.159406 
1813.000000,0.171239 
1967.000000,0.247507 
9062.000000,0.320875 
1853.000000,0.278421 
75.000000,0.348617 
8908.000000,0.255647 
8943.000000,0.270208 
8677.000000,0.359326 
4015.000000,0.201452 
4476.000000,0.174459 
4000.000000,0.228606 
3957.000000,0.244140 
4480.000000,0.214553 
4046.000000,0.199264 
4351.000000,0.294538 
3600.000000,0.199172 
4035.000000,0.214223 
4467.000000,0.329482 
3996.000000,0.228583 
4310.000000,0.295817 
3981.000000,0.185611 
4127.000000,0.264705 
4481.000000,0.168924 
3619.000000,0.312118 
4423.000000,0.244687 
3651.000000,0.356613 
3669.000000,0.365515 
4580.000000,0.269961 
4002.000000,0.243902 
4541.000000,0.275432 
4128.000000,0.264524 
4034.000000,0.334983 
3725.000000,0.230183 
3708.000000,0.168285 
3804.000000,0.187983 
5639.000000,0.247437 
4929.000000,0.255328 
5524.000000,0.344277 
4593.000000,0.219149 
4462.000000,0.318585 
4265.000000,0.272881 
3904.000000,0.215259 
3798.000000,0.267612 
3936.000000,0.279540 
4147.000000,0.208392 
4409.000000,0.230963 
4741.000000,0.255648 
2118.000000,0.234973 
4475.000000,0.208895 
4439.000000,0.239232 
4382.000000,0.267033 
9533.000000,0.388495 
5478.000000,0.181281 
1700.000000,0.346594 
1699.000000,0.271426 
1698.000000,0.277640 
1711.000000,0.255043 
1720.000000,0.208846 
414.000000,0.344980 
643.000000,0.354988 
703.000000,0.275151 
17.000000,0.435950 
33.000000,0.297198 
1846.000000,0.325576 
4.000000,0.316053 
2.000000,0.298945 
32.000000,0.268109 
21.000000,0.316592 
1229.000000,0.372568 
1193.000000,0.355859 
1206.000000,0.378600 
1416.000000,0.320226 
1935.000000,0.205928 
1411.000000,0.290940 
1334.000000,0.309985 
355.000000,0.295169 
362.000000,0.305574 
388.000000,0.398053 
1759.000000,0.247901 
1757.000000,0.162747 
359.000000,0.272277 
6554.000000,0.396299 
6396.000000,0.374973 
6566.000000,0.333400 
6482.000000,0.473118 
6468.000000,0.387665 
8891.000000,0.492251 
8907.000000,0.486135 
9012.000000,0.334294 
8891.000000,0.462967 
8832.000000,0.434519 
9112.000000,0.449817 
6321.000000,0.269240 
6338.000000,0.381769 
6232.000000,0.379414 
6080.000000,0.416376 
5704.000000,0.417602 
5919.000000,0.399571 
5854.000000,0.553087 
6082.000000,0.475990 
5748.000000,0.495645 
5686.000000,0.474059 
5688.000000,0.481442 
6209.000000,0.424385 
6362.000000,0.325322 
6518.000000,0.477022 
5757.000000,0.382246 
6128.000000,0.410197 
7876.000000,0.189867 
7876.000000,0.646209 
8530.000000,0.330086 
6061.000000,0.409417 
6435.000000,0.365078 
5844.000000,0.387796 
6242.000000,0.303096 
5709.000000,0.392698 
6394.000000,0.309436 
6501.000000,0.349880 
6490.000000,0.323830 
5543.000000,0.233857 
5372.000000,0.219652 
4744.000000,0.265368 
4788.000000,1.251996 
3127.000000,0.481328 
3213.000000,0.494447 
3192.000000,0.515487 
3320.000000,0.225626 
3467.000000,0.194302 
3351.000000,0.277188 
3494.000000,0.234612 
3435.000000,0.462937 
3502.000000,0.522896 
3341.000000,0.202972 
6022.000000,0.307740 
5885.000000,0.301763 
3388.000000,0.483702 
3402.000000,0.545167 
5839.000000,0.324019 
5852.000000,0.368258 
5855.000000,0.228986 
5971.000000,0.441049 
3400.000000,0.270012 
3400.000000,0.274612 
6066.000000,1.258394 
7896.000000,1.096929 
7793.000000,1.071677 
7876.000000,1.072829 
7979.000000,1.088866 
3411.000000,0.508922 
9829.000000,0.272545 
9827.000000,0.185214 
9893.000000,0.229483 
3256.000000,0.264556 
9823.000000,0.160838 
4803.000000,0.156787 
5262.000000,0.297256 
4996.000000,0.273238 
4856.000000,0.220826 
4790.000000,0.243391 
4969.000000,0.184845 
5274.000000,0.324887 
4660.000000,0.259455 
4679.000000,0.271026 
4997.000000,0.268446 
4657.000000,0.205959 
5102.000000,0.292043 
1430.000000,0.155369 
3653.000000,0.296280 
4865.000000,0.230824 
5360.000000,0.284390 
5102.000000,0.360519 
6241.000000,0.349076 
5171.000000,0.339308 
9674.000000,0.336679 
4670.000000,0.326758 
4290.000000,0.275741 
4176.000000,0.175191 
3985.000000,0.169699 
5567.000000,0.211743 
5321.000000,0.223273 
5464.000000,0.278383 
4964.000000,0.331301 
4697.000000,0.338346 
5361.000000,0.310670 
4742.000000,0.287285 
91.000000,0.332972 
1543.000000,0.222379 
1886.000000,0.302327 
1078.000000,0.344038 
3876.000000,0.222714 
1526.000000,0.163359 
1535.000000,0.268782 
4616.000000,0.213245 
4030.000000,0.215719 
4584.000000,0.319677 
4484.000000,0.275607 
4237.000000,0.249489 
4087.000000,0.189151 
4519.000000,0.211908 
4506.000000,0.192728 
3932.000000,0.296019 
4122.000000,0.307359 
4126.000000,0.313046 
3813.000000,0.242980 
4191.000000,0.159136 
5133.000000,0.250633 
5126.000000,0.280477 
5274.000000,0.253893 
4634.000000,0.175808 
5247.000000,0.316303 
5491.000000,0.311155 
4826.000000,0.232016 
9675.000000,0.314797 
5431.000000,0.400892 
4972.000000,0.264386 
5270.000000,0.325602 
5103.000000,0.294749 
5277.000000,0.303277 
5289.000000,0.216682 
3595.000000,0.282248 
5115.000000,0.218681 
4930.000000,0.223465 
5518.000000,0.216957 
5128.000000,0.214851 
4848.000000,0.235737 
5254.000000,0.166281 
5233.000000,0.242026 
5233.000000,0.390200 
4673.000000,0.271828 
5432.000000,0.205782 
4673.000000,0.281068 
9297.000000,0.447257 
9375.000000,0.437410 
9384.000000,0.416111 
5424.000000,0.209733 
3149.000000,0.253681 
3220.000000,0.212923 
3143.000000,0.215834 
3123.000000,0.133533 
3266.000000,0.187089 
3306.000000,0.319339 
2585.000000,0.309128 
2402.000000,0.176812 
2155.000000,0.210662 
2357.000000,0.294597 
2447.000000,0.227534 
2225.000000,0.270941 
2217.000000,0.365603 
2231.000000,0.264057 
2538.000000,0.192463 
2435.000000,0.214076 
2217.000000,0.354867 
7020.000000,0.258943 
2668.000000,0.237707 
2796.000000,0.160922 
2805.000000,0.361746 
2938.000000,0.500816 
2989.000000,0.478024 
3023.000000,0.486971 
2408.000000,0.488466 
6883.000000,0.245283 
7233.000000,0.344699 
7312.000000,0.332223 
5537.000000,0.226038 
5618.000000,0.262662 
5157.000000,0.277459 
5350.000000,0.276735 
5588.000000,0.337606 
4999.000000,1.147748 
5137.000000,1.237353 
5588.000000,0.408491 
5164.000000,0.253631 
5138.000000,0.225611 
4994.000000,0.263069 
5230.000000,0.271573 
4801.000000,0.234820 
4725.000000,0.209822 
5175.000000,0.328055 
5463.000000,0.262881 
9949.000000,0.405620 
5622.000000,0.157551 
4716.000000,0.206237 
4787.000000,0.309497 
5498.000000,0.331339 
2505.000000,0.230809 
2601.000000,0.332897 
5664.000000,0.292835 
5241.000000,0.196231 
5657.000000,0.285117 
4911.000000,0.281433 
5436.000000,0.265515 
4853.000000,0.166330 
5248.000000,0.347343 
4686.000000,0.215625 
4779.000000,0.177282 
5654.000000,0.214518 
5110.000000,0.163835 
5209.000000,0.257132 
5084.000000,0.289568 
5214.000000,0.250530 
5479.000000,0.201924 
4784.000000,0.298179 
5161.000000,0.311186 
4968.000000,0.207893 
4706.000000,0.204496 
9946.000000,0.322649 
5280.000000,0.240557 
4847.000000,0.221179 
6952.000000,0.234074 
7404.000000,0.211180 
3344.000000,0.200834 
7358.000000,0.236284 
3455.000000,0.261296 
6810.000000,0.332692 
6982.000000,0.239963 
7584.000000,0.262633 
6917.000000,0.215885 
2840.000000,0.215307 
2922.000000,0.201771 
2922.000000,0.283029 
7269.000000,0.331043 
6856.000000,0.284166 
2997.000000,0.174282 
6590.000000,0.272437 
9855.000000,0.156073 
7102.000000,0.231245 
6751.000000,0.315394 
1312.000000,0.392942 
1293.000000,0.388600 
1271.000000,0.296017 
1455.000000,0.218961 
4340.000000,0.219805 
4438.000000,0.327330 
1892.000000,0.163422 
8366.000000,0.650431 
8366.000000,0.191189 
8383.000000,0.323754 
8517.000000,0.154403 
8517.000000,0.645021 
5993.000000,1.258796 
6048.000000,1.256028 
6117.000000,0.389020 
5886.000000,1.224299 
8341.000000,0.693503 
8341.000000,1.099640 
7724.000000,1.107325 
5974.000000,1.278231 
5788.000000,1.264592 
6573.000000,0.435673 
6586.000000,0.422336 
6164.000000,1.225686 
5836.000000,0.469118 
6181.000000,0.411955 
5876.000000,0.466204 
6305.000000,0.468145 
6210.000000,0.495835 
6511.000000,0.429503 
6126.000000,0.397271 
5777.000000,0.424665 
5773.000000,1.240610 
8116.000000,0.716619 
6534.000000,0.388450 
1922.000000,0.309167 
1922.000000,0.292047 
2087.000000,0.292938 
1654.000000,0.082933 
1660.000000,0.297744 
