point, dist
3627.000000,0.035763 
3366.000000,0.126952 
3230.000000,0.317197 
3243.000000,0.333569 
4718.000000,0.214286 
9694.000000,0.146309 
5088.000000,0.217017 
3743.000000,0.304042 
108.000000,0.366808 
8360.000000,0.290500 
3657.000000,0.297129 
8861.000000,0.234478 
9822.000000,0.153896 
2034.000000,0.198042 
2034.000000,0.146657 
9801.000000,0.123803 
3479.000000,0.312462 
6797.000000,0.298237 
544.000000,0.365362 
6554.000000,0.317572 
6929.000000,0.308162 
6809.000000,0.239988 
4204.000000,0.203501 
2530.000000,0.261306 
5680.000000,0.220629 
2523.000000,0.247136 
5664.000000,0.200140 
9187.000000,0.164893 
9169.000000,0.180827 
9339.000000,0.169527 
9157.000000,0.182452 
2491.000000,0.250794 
2561.000000,0.328179 
2488.000000,0.257532 
9492.000000,0.149849 
9445.000000,0.153344 
9494.000000,0.154048 
9415.000000,0.106479 
9491.000000,0.148992 
9838.000000,0.054067 
1303.000000,0.370938 
6101.000000,0.265792 
6973.000000,0.301545 
8573.000000,0.265453 
8556.000000,0.283951 
7476.000000,0.258888 
8707.000000,0.292582 
8408.000000,0.249130 
8012.000000,0.257475 
8078.000000,0.237015 
8083.000000,0.278689 
7713.000000,0.249226 
7604.000000,0.240563 
8683.000000,0.240627 
7999.000000,0.255101 
7671.000000,0.260410 
8320.000000,0.295200 
8183.000000,0.283582 
7599.000000,0.294426 
3616.000000,0.332488 
3458.000000,0.116235 
3766.000000,0.335852 
3622.000000,0.326864 
7996.000000,0.270991 
7825.000000,0.278577 
8161.000000,0.282064 
9704.000000,0.146328 
9679.000000,0.192471 
9666.000000,0.121111 
2525.000000,0.290849 
2418.000000,0.245977 
2421.000000,0.240859 
5658.000000,0.200155 
5696.000000,0.225850 
5687.000000,0.194610 
5900.000000,0.258552 
6026.000000,0.241473 
9414.000000,0.130879 
5648.000000,0.219120 
9340.000000,0.192976 
4097.000000,0.171222 
4000.000000,0.192265 
3996.000000,0.194600 
4053.000000,0.187314 
3985.000000,0.261368 
4083.000000,0.200093 
3527.000000,0.358970 
8930.000000,0.434557 
8766.000000,0.262004 
8892.000000,0.258906 
5611.000000,0.240263 
5590.000000,0.234295 
4681.000000,0.232854 
4678.000000,0.217827 
8937.000000,0.342945 
8904.000000,0.290785 
8842.000000,0.288947 
3714.000000,0.326466 
9441.000000,0.139270 
3595.000000,0.105788 
3658.000000,0.151290 
3592.000000,0.197020 
