point, dist
7050.000000,0.116460 
7627.000000,0.109699 
2375.000000,0.144607 
2361.000000,0.140847 
2886.000000,0.230511 
3829.000000,0.094573 
3792.000000,0.289390 
1453.000000,0.120395 
75.000000,0.103281 
8714.000000,0.080223 
8560.000000,0.138902 
7242.000000,0.084120 
6941.000000,0.168304 
6730.000000,0.056544 
6976.000000,0.127643 
6524.000000,0.041834 
6982.000000,0.072308 
2989.000000,0.156220 
9641.000000,0.236084 
9844.000000,0.161854 
9834.000000,0.052079 
8390.000000,0.158706 
1683.000000,0.159981 
8378.000000,0.160545 
8580.000000,0.147183 
1500.000000,0.143116 
1493.000000,0.141060 
8591.000000,0.146081 
1498.000000,0.129678 
1808.000000,0.180342 
4748.000000,0.193074 
4738.000000,0.063800 
2027.000000,0.015153 
3884.000000,0.117796 
4416.000000,0.124662 
2954.000000,0.175813 
4249.000000,0.186776 
4299.000000,0.181351 
4321.000000,0.075099 
4214.000000,0.062465 
6251.000000,0.140869 
6242.000000,0.131842 
3684.000000,0.160490 
3720.000000,0.157926 
6248.000000,0.133310 
288.000000,0.165062 
1768.000000,0.162083 
8389.000000,0.168139 
1645.000000,0.167520 
5718.000000,0.057549 
5295.000000,0.077398 
5329.000000,0.150151 
1471.000000,0.140030 
6589.000000,0.285654 
6744.000000,0.086734 
6592.000000,0.350697 
3184.000000,0.089343 
118.000000,0.048768 
3224.000000,0.066955 
158.000000,0.107372 
6565.000000,0.102441 
83.000000,0.096525 
4078.000000,0.081073 
4114.000000,0.111660 
3278.000000,0.066977 
82.000000,0.315243 
1011.000000,0.070853 
8741.000000,0.288914 
9341.000000,0.080938 
1037.000000,0.216286 
7011.000000,0.116383 
2930.000000,0.148818 
7120.000000,0.062004 
63.000000,0.298536 
1276.000000,0.073158 
1269.000000,0.080346 
6924.000000,0.180700 
3673.000000,0.157610 
6219.000000,0.139079 
6085.000000,0.286703 
4781.000000,0.074205 
4536.000000,0.187822 
2046.000000,0.056289 
5616.000000,0.013551 
7807.000000,0.185481 
4097.000000,0.079820 
4697.000000,0.283640 
7812.000000,0.048235 
4683.000000,0.281539 
5154.000000,0.281140 
237.000000,0.038549 
4463.000000,0.076605 
4044.000000,0.285564 
2917.000000,0.234836 
8601.000000,0.154612 
5356.000000,0.179753 
7803.000000,0.045555 
8000.000000,0.031376 
3973.000000,0.031868 
2321.000000,0.054446 
3994.000000,0.181851 
3550.000000,0.179024 
3714.000000,0.158290 
3113.000000,0.135452 
3139.000000,0.173800 
2545.000000,0.040414 
319.000000,0.074833 
8224.000000,0.020203 
523.000000,0.135327 
457.000000,0.241305 
4715.000000,0.180573 
5128.000000,0.183124 
7239.000000,0.060136 
6780.000000,0.036287 
6808.000000,0.020244 
6962.000000,0.221439 
8869.000000,0.069852 
2809.000000,0.092085 
3043.000000,0.257979 
2781.000000,0.067807 
2814.000000,0.179366 
2834.000000,0.139379 
634.000000,0.084577 
336.000000,0.086845 
684.000000,0.173888 
5029.000000,0.058766 
7887.000000,0.024821 
7941.000000,0.070879 
7917.000000,0.061903 
347.000000,0.042024 
927.000000,0.144419 
929.000000,0.154689 
8133.000000,0.091093 
8081.000000,0.081123 
368.000000,0.151277 
7213.000000,0.035015 
7155.000000,0.048466 
1703.000000,0.166159 
1487.000000,0.128936 
9842.000000,0.141998 
9578.000000,0.134295 
9611.000000,0.034481 
8380.000000,0.164401 
1310.000000,0.072811 
660.000000,0.139605 
826.000000,0.141212 
9082.000000,0.189648 
804.000000,0.089707 
8158.000000,0.052247 
348.000000,0.059947 
757.000000,0.172762 
662.000000,0.093469 
875.000000,0.225186 
899.000000,0.227343 
3542.000000,0.183173 
3689.000000,0.162388 
6451.000000,0.154799 
6906.000000,0.118224 
6663.000000,0.034815 
6277.000000,0.135922 
4139.000000,0.123028 
4628.000000,0.132834 
9814.000000,0.091779 
4807.000000,0.056850 
1866.000000,0.057505 
2018.000000,0.190347 
5183.000000,0.283460 
5208.000000,0.085317 
9199.000000,0.105056 
9164.000000,0.110792 
9296.000000,0.079540 
2132.000000,0.054695 
9415.000000,0.172231 
9319.000000,0.134427 
4964.000000,0.086354 
7847.000000,0.079630 
4497.000000,0.282201 
5387.000000,0.279627 
5826.000000,0.287031 
5784.000000,0.081692 
8604.000000,0.149088 
1477.000000,0.131442 
5642.000000,0.185776 
8006.000000,0.184125 
5100.000000,0.030096 
2305.000000,0.158404 
4121.000000,0.020427 
4385.000000,0.049873 
4175.000000,0.046729 
4310.000000,0.185153 
4308.000000,0.175828 
2488.000000,0.237309 
2468.000000,0.243585 
2540.000000,0.128890 
3463.000000,0.172950 
3119.000000,0.236682 
8184.000000,0.156494 
5246.000000,0.052797 
5237.000000,0.101940 
5758.000000,0.107947 
6845.000000,0.058419 
1064.000000,0.160454 
8920.000000,0.089380 
8664.000000,0.339095 
1468.000000,0.126809 
9323.000000,0.134109 
2766.000000,0.078633 
9362.000000,0.032065 
9809.000000,0.064188 
1225.000000,0.075252 
9107.000000,0.152532 
39.000000,0.054843 
360.000000,0.133769 
7046.000000,0.081002 
5012.000000,0.111800 
2319.000000,0.131841 
8398.000000,0.167940 
8445.000000,0.168145 
581.000000,0.163421 
1631.000000,0.167844 
508.000000,0.240441 
580.000000,0.136913 
8411.000000,0.104365 
8575.000000,0.148364 
9064.000000,0.184977 
7172.000000,0.139995 
7303.000000,0.175743 
782.000000,0.137647 
8126.000000,0.032441 
9105.000000,0.245442 
7386.000000,0.077951 
5062.000000,0.078775 
7170.000000,0.135213 
6373.000000,0.151378 
4153.000000,0.076752 
1796.000000,0.046002 
7867.000000,0.081025 
2151.000000,0.058618 
4959.000000,0.284921 
4904.000000,0.279692 
7832.000000,0.284685 
2614.000000,0.102381 
2335.000000,0.025728 
9821.000000,0.040569 
5749.000000,0.065118 
8585.000000,0.148610 
3701.000000,0.161129 
6459.000000,0.157430 
3539.000000,0.168006 
6234.000000,0.140887 
5681.000000,0.145115 
5612.000000,0.183154 
5663.000000,0.038478 
5657.000000,0.147544 
4355.000000,0.078630 
3544.000000,0.171566 
4137.000000,0.042070 
2356.000000,0.083486 
2119.000000,0.008215 
4537.000000,0.175645 
4573.000000,0.057607 
2072.000000,0.093667 
4177.000000,0.077124 
6460.000000,0.153084 
1993.000000,0.191209 
2095.000000,0.048432 
5775.000000,0.102177 
3642.000000,0.145564 
106.000000,0.087685 
3676.000000,0.151806 
6255.000000,0.140019 
6363.000000,0.105420 
3513.000000,0.141492 
3304.000000,0.009734 
3269.000000,0.092935 
2586.000000,0.155824 
2691.000000,0.175740 
2346.000000,0.097118 
9401.000000,0.171198 
1086.000000,0.172447 
2731.000000,0.188909 
8669.000000,0.055222 
1012.000000,0.128219 
8730.000000,0.314764 
8891.000000,0.099097 
2353.000000,0.028992 
9353.000000,0.072142 
1900.000000,0.120216 
386.000000,0.070195 
13.000000,0.076021 
6049.000000,0.104316 
6019.000000,0.110481 
5450.000000,0.072494 
7880.000000,0.096823 
784.000000,0.075949 
9680.000000,0.221233 
8518.000000,0.151572 
5517.000000,0.048917 
5484.000000,0.047309 
323.000000,0.048117 
332.000000,0.088611 
5104.000000,0.153998 
6222.000000,0.138120 
3487.000000,0.172124 
2056.000000,0.071824 
9781.000000,0.080935 
9194.000000,0.119261 
7811.000000,0.042988 
4880.000000,0.078114 
8080.000000,0.294744 
2178.000000,0.283299 
1690.000000,0.156976 
3932.000000,0.063253 
9615.000000,0.028117 
5777.000000,0.057954 
5580.000000,0.047760 
5677.000000,0.063781 
5379.000000,0.178474 
4516.000000,0.185000 
5880.000000,0.163463 
2290.000000,0.158756 
5905.000000,0.054601 
6446.000000,0.156292 
2115.000000,0.130214 
1919.000000,0.017381 
7687.000000,0.054438 
5891.000000,0.146252 
6892.000000,0.147489 
7648.000000,0.064053 
6028.000000,0.058894 
5970.000000,0.066960 
5764.000000,0.026651 
3067.000000,0.208219 
3075.000000,0.206535 
3857.000000,0.040362 
9471.000000,0.077199 
9597.000000,0.061606 
8982.000000,0.091284 
1614.000000,0.117868 
1111.000000,0.152482 
5481.000000,0.113011 
7652.000000,0.052531 
769.000000,0.059381 
9627.000000,0.131749 
9012.000000,0.223062 
7680.000000,0.045723 
7329.000000,0.054488 
7333.000000,0.086276 
7330.000000,0.058972 
7504.000000,0.233402 
7558.000000,0.237926 
7662.000000,0.090516 
8194.000000,0.078688 
5698.000000,0.058238 
5109.000000,0.155794 
8256.000000,0.161278 
1836.000000,0.069486 
3897.000000,0.057620 
4009.000000,0.169471 
4839.000000,0.125737 
9800.000000,0.076178 
5584.000000,0.149669 
7693.000000,0.082676 
4426.000000,0.049453 
2670.000000,0.128672 
9534.000000,0.095528 
1173.000000,0.088123 
1930.000000,0.073246 
1097.000000,0.119181 
1129.000000,0.210643 
8354.000000,0.145234 
6454.000000,0.160286 
7265.000000,0.173542 
5541.000000,0.061544 
556.000000,0.048255 
7947.000000,0.062415 
5736.000000,0.042449 
5008.000000,0.043025 
8849.000000,0.041199 
1684.000000,0.155458 
5938.000000,0.071154 
550.000000,0.043411 
4842.000000,0.040199 
6627.000000,0.207555 
7456.000000,0.130581 
7430.000000,0.121109 
0.124394 
0.120752 
