point, dist
9706.000000,0.127803 
765.000000,0.183385 
9248.000000,0.090299 
4662.000000,0.176135 
2090.000000,0.184339 
4649.000000,0.094005 
9392.000000,0.074093 
1022.000000,0.113498 
9352.000000,0.176363 
1029.000000,0.159727 
1060.000000,0.068854 
9390.000000,0.128080 
990.000000,0.210102 
9312.000000,0.171983 
1013.000000,0.132300 
9705.000000,0.183406 
8498.000000,0.164257 
8395.000000,0.187069 
8536.000000,0.162729 
4614.000000,0.312951 
2050.000000,0.304891 
3031.000000,0.227849 
3035.000000,0.151470 
2991.000000,0.154206 
9737.000000,0.222559 
9278.000000,0.179186 
9293.000000,0.152858 
1217.000000,0.213817 
958.000000,0.163036 
8862.000000,0.088978 
9076.000000,0.175551 
9043.000000,0.176278 
1430.000000,0.208521 
956.000000,0.136447 
8572.000000,0.060229 
26.000000,0.138544 
8551.000000,0.094814 
8568.000000,0.464102 
8567.000000,0.393944 
8697.000000,0.462341 
8678.000000,0.518476 
2286.000000,0.144692 
2291.000000,0.149293 
2143.000000,0.293231 
9509.000000,0.059458 
9469.000000,0.047902 
9415.000000,0.047704 
4012.000000,0.186396 
4635.000000,0.315864 
4065.000000,0.304180 
4665.000000,0.178085 
4377.000000,0.340186 
5396.000000,0.203437 
5417.000000,0.047741 
5389.000000,0.194635 
5380.000000,0.338037 
2079.000000,0.077498 
4907.000000,0.092187 
1870.000000,0.286156 
9918.000000,0.162550 
4942.000000,0.316591 
4892.000000,0.060242 
4668.000000,0.068290 
2122.000000,0.321704 
5004.000000,0.198063 
8178.000000,0.234362 
4992.000000,0.215670 
4959.000000,0.069930 
8147.000000,0.060860 
8124.000000,0.177997 
295.000000,0.057764 
312.000000,0.078392 
9933.000000,0.166303 
672.000000,0.124812 
9613.000000,0.042576 
746.000000,0.161695 
738.000000,0.172781 
748.000000,0.194253 
6704.000000,0.216409 
6931.000000,0.134658 
6932.000000,0.174569 
3025.000000,0.159831 
2670.000000,0.124332 
3052.000000,0.291294 
9284.000000,0.139778 
9355.000000,0.141057 
9393.000000,0.067273 
6917.000000,0.170397 
7235.000000,0.141340 
7285.000000,0.028159 
6968.000000,0.144907 
6925.000000,0.124457 
6908.000000,0.202910 
7180.000000,0.163122 
7220.000000,0.033168 
5059.000000,0.250650 
5112.000000,0.281820 
5104.000000,0.232228 
5066.000000,0.299558 
657.000000,0.085974 
661.000000,0.118810 
9187.000000,0.150040 
610.000000,0.111940 
8199.000000,0.369203 
5034.000000,0.187115 
8188.000000,0.396480 
5505.000000,0.334473 
5829.000000,0.281874 
5855.000000,0.302788 
5524.000000,0.290233 
53.000000,0.071465 
6459.000000,0.093827 
6452.000000,0.117576 
35.000000,0.485149 
3620.000000,0.136099 
3569.000000,0.087920 
1529.000000,0.152958 
1498.000000,0.170197 
1563.000000,0.150428 
1599.000000,0.144201 
874.000000,0.103677 
3012.000000,0.191278 
7200.000000,0.163870 
6608.000000,0.099834 
6541.000000,0.261909 
3623.000000,0.168681 
3629.000000,0.172299 
3539.000000,0.142224 
1412.000000,0.178109 
1148.000000,0.097281 
28.000000,0.072292 
1405.000000,0.220222 
9066.000000,0.135207 
1385.000000,0.087063 
9272.000000,0.285748 
9723.000000,0.159125 
116.000000,0.071486 
334.000000,0.249752 
9221.000000,0.172598 
9481.000000,0.054066 
8074.000000,0.092001 
8061.000000,0.141103 
5152.000000,0.051380 
1271.000000,0.488762 
9008.000000,0.123844 
8979.000000,0.090979 
8988.000000,0.160714 
1281.000000,0.189702 
644.000000,0.108353 
641.000000,0.116300 
711.000000,0.244522 
6761.000000,0.192739 
6574.000000,0.461023 
314.000000,0.163244 
731.000000,0.307204 
2715.000000,0.201617 
2791.000000,0.216400 
2717.000000,0.196345 
2774.000000,0.208006 
2768.000000,0.237622 
2322.000000,0.126085 
4191.000000,0.115741 
4485.000000,0.146037 
5437.000000,0.181419 
4215.000000,0.128334 
4234.000000,0.125322 
5679.000000,0.132640 
5667.000000,0.170863 
4930.000000,0.314688 
4940.000000,0.418008 
5007.000000,0.186919 
9942.000000,0.214923 
683.000000,0.143940 
289.000000,0.098190 
791.000000,0.310482 
4424.000000,0.182826 
3728.000000,0.157729 
4428.000000,0.072780 
4019.000000,0.105926 
3735.000000,0.110865 
6979.000000,0.296372 
7115.000000,0.287407 
2845.000000,0.324718 
2849.000000,0.311750 
7163.000000,0.233837 
4857.000000,0.306897 
4839.000000,0.312059 
4873.000000,0.226591 
2065.000000,0.208532 
4618.000000,0.211737 
4590.000000,0.289313 
4585.000000,0.287401 
4081.000000,0.278662 
3822.000000,0.332537 
2727.000000,0.262491 
2668.000000,0.242989 
7287.000000,0.027333 
7648.000000,0.146390 
5322.000000,0.282549 
7974.000000,0.273921 
5090.000000,0.208820 
5131.000000,0.294940 
8240.000000,0.284655 
9968.000000,0.283256 
8283.000000,0.310370 
8243.000000,0.212207 
631.000000,0.086478 
269.000000,0.118567 
595.000000,0.080060 
277.000000,0.048745 
9960.000000,0.166158 
9946.000000,0.262033 
5320.000000,0.233912 
5026.000000,0.318883 
7815.000000,0.270979 
6139.000000,0.227117 
6131.000000,0.319800 
6101.000000,0.279391 
5519.000000,0.272597 
5535.000000,0.223427 
5510.000000,0.225054 
5859.000000,0.210610 
3615.000000,0.118811 
3560.000000,0.089547 
3652.000000,0.133001 
853.000000,0.054371 
8742.000000,0.196398 
1059.000000,0.076921 
2971.000000,0.258471 
2986.000000,0.184056 
6938.000000,0.176816 
6711.000000,0.228232 
7599.000000,0.195393 
7106.000000,0.307463 
7603.000000,0.135413 
7177.000000,0.166092 
6884.000000,0.163562 
3376.000000,0.163629 
3304.000000,0.484344 
3107.000000,0.087686 
2904.000000,0.110223 
2565.000000,0.045133 
3557.000000,0.111128 
1509.000000,0.112469 
1564.000000,0.051911 
458.000000,0.280812 
441.000000,0.301466 
9585.000000,0.271795 
9203.000000,0.106293 
9162.000000,0.108337 
1253.000000,0.197366 
619.000000,0.046929 
579.000000,0.050581 
9158.000000,0.123339 
