point, dist
732.000000,0.069710 
7952.000000,0.227074 
754.000000,0.024225 
7968.000000,0.653956 
8846.000000,0.181011 
63.000000,0.128844 
997.000000,0.135832 
8931.000000,0.110637 
56.000000,0.179827 
31.000000,0.188154 
7976.000000,0.222324 
6268.000000,0.072570 
5881.000000,0.138501 
6227.000000,0.086012 
8382.000000,0.145946 
1627.000000,0.142676 
8103.000000,0.143935 
154.000000,0.123233 
5653.000000,0.131788 
5961.000000,0.143723 
5890.000000,0.158198 
9747.000000,0.079235 
6678.000000,0.078594 
9720.000000,0.046020 
9745.000000,0.069951 
81.000000,0.183113 
1503.000000,0.173584 
7526.000000,0.086523 
6134.000000,0.192101 
3495.000000,0.180306 
6152.000000,0.201356 
3563.000000,0.188979 
6178.000000,0.120160 
9039.000000,0.729096 
9040.000000,0.782790 
78.000000,0.308233 
1000.000000,0.124319 
8814.000000,0.185095 
8869.000000,0.189849 
8126.000000,0.153541 
8054.000000,0.161206 
8245.000000,0.254052 
8252.000000,0.251250 
1682.000000,0.175596 
1631.000000,0.173146 
5444.000000,0.199262 
8914.000000,0.145343 
2472.000000,0.195762 
5435.000000,0.201982 
5442.000000,0.225685 
8339.000000,0.196894 
8227.000000,0.218400 
143.000000,0.203187 
145.000000,0.139027 
1318.000000,0.308821 
147.000000,0.161952 
64.000000,0.210469 
9380.000000,0.062061 
5528.000000,0.230976 
498.000000,0.180893 
9379.000000,0.057966 
2256.000000,0.047955 
1317.000000,0.132600 
2473.000000,0.165139 
9371.000000,0.055558 
1022.000000,0.130976 
8697.000000,0.221263 
468.000000,0.137567 
6021.000000,0.145203 
450.000000,0.145745 
8082.000000,0.154866 
3781.000000,0.180225 
3665.000000,0.157481 
4047.000000,0.145228 
3699.000000,0.169285 
3368.000000,0.085107 
3729.000000,0.103923 
1624.000000,0.177626 
8066.000000,0.176499 
1684.000000,0.177876 
6772.000000,0.062893 
6676.000000,0.061906 
5968.000000,0.136404 
5874.000000,0.154423 
5597.000000,0.132101 
5596.000000,0.135304 
7498.000000,0.047141 
7591.000000,0.113963 
7515.000000,0.112245 
7565.000000,0.054479 
7134.000000,0.212558 
7150.000000,0.211297 
8365.000000,0.174641 
7148.000000,0.991418 
265.000000,0.259229 
277.000000,0.189629 
3071.000000,0.052282 
5170.000000,0.212956 
9065.000000,0.387334 
9041.000000,0.307396 
9075.000000,0.845808 
9075.000000,0.426446 
3085.000000,0.056192 
3113.000000,0.171781 
750.000000,0.238754 
744.000000,0.190805 
7489.000000,0.168739 
7468.000000,0.087663 
711.000000,0.196522 
487.000000,0.198741 
2252.000000,0.053899 
7960.000000,0.633953 
7963.000000,1.048625 
7965.000000,0.551092 
869.000000,0.872567 
2713.000000,0.987784 
2722.000000,0.982897 
309.000000,0.080875 
1333.000000,0.738557 
1506.000000,0.224485 
2699.000000,0.206681 
2714.000000,0.623836 
331.000000,0.097770 
2995.000000,0.064032 
1513.000000,0.234276 
3557.000000,0.180069 
1142.000000,0.215075 
1153.000000,0.214412 
1032.000000,0.125892 
2146.000000,0.024101 
8875.000000,0.184621 
1027.000000,0.128427 
877.000000,0.430791 
813.000000,0.067942 
879.000000,0.436846 
847.000000,0.782098 
3750.000000,0.186524 
3808.000000,0.081690 
3606.000000,0.159296 
6129.000000,0.192230 
9537.000000,0.201686 
9473.000000,0.130296 
4012.000000,0.053607 
3987.000000,0.170953 
9484.000000,0.052879 
2612.000000,0.057364 
2586.000000,0.551656 
2783.000000,0.038484 
1352.000000,0.891619 
1352.000000,0.428058 
6730.000000,0.097675 
6680.000000,0.094679 
6733.000000,0.055201 
6760.000000,0.087111 
6752.000000,0.024470 
9711.000000,0.188591 
6832.000000,0.195077 
9702.000000,0.081462 
5974.000000,0.127785 
5779.000000,0.070190 
6462.000000,0.176972 
5719.000000,0.192626 
5585.000000,0.150022 
6218.000000,0.079623 
5940.000000,0.144263 
8889.000000,0.192568 
1116.000000,0.192249 
858.000000,0.399922 
869.000000,0.389323 
881.000000,0.832937 
868.000000,0.747380 
868.000000,0.366610 
7450.000000,0.138717 
7529.000000,0.054430 
300.000000,0.088689 
7499.000000,0.063404 
3899.000000,0.076682 
4008.000000,0.145493 
3613.000000,0.143767 
3812.000000,0.061645 
4378.000000,0.186937 
3882.000000,0.193890 
3985.000000,0.048496 
7149.000000,0.613440 
9596.000000,0.184856 
7059.000000,0.075741 
9631.000000,0.196403 
8240.000000,0.261415 
7140.000000,0.995014 
8472.000000,0.741022 
8492.000000,0.805238 
8468.000000,0.840007 
8507.000000,0.899579 
9668.000000,0.215214 
6998.000000,0.062725 
7121.000000,0.052429 
8121.000000,0.169623 
8488.000000,0.733744 
8404.000000,0.222269 
4321.000000,0.229787 
4339.000000,0.223586 
3901.000000,0.204269 
9490.000000,0.192286 
3031.000000,0.094381 
3279.000000,0.168744 
2959.000000,0.094315 
2972.000000,0.060478 
3854.000000,0.223142 
6687.000000,0.059813 
9568.000000,0.095452 
5490.000000,0.239369 
5498.000000,0.232803 
9575.000000,0.062238 
427.000000,0.192755 
1126.000000,0.200838 
8943.000000,0.310204 
1121.000000,0.199359 
9068.000000,0.431082 
66.000000,0.183366 
368.000000,0.043858 
9515.000000,0.187163 
9505.000000,0.058655 
4493.000000,0.188860 
9994.000000,0.072778 
4595.000000,0.081665 
3216.000000,0.118277 
9324.000000,0.257462 
9291.000000,0.077221 
9152.000000,0.205832 
1899.000000,0.623087 
9040.000000,0.366889 
8949.000000,0.210412 
250.000000,0.205129 
158.000000,0.307410 
1343.000000,0.404431 
1349.000000,0.765587 
1529.000000,0.222198 
2718.000000,0.223496 
2889.000000,0.098639 
2795.000000,0.215490 
202.000000,0.124789 
2875.000000,0.116858 
192.000000,0.213300 
177.000000,0.231678 
2888.000000,0.248081 
342.000000,0.099326 
3440.000000,0.094152 
3425.000000,0.097483 
7272.000000,0.191044 
4124.000000,0.225583 
7273.000000,0.164366 
7551.000000,0.084570 
3920.000000,0.205798 
4159.000000,0.226587 
3839.000000,0.198455 
5914.000000,0.105742 
6066.000000,0.199697 
1023.000000,0.127785 
1016.000000,0.132502 
1157.000000,0.215334 
8870.000000,0.180135 
8807.000000,0.179875 
837.000000,0.430101 
820.000000,0.027237 
7911.000000,0.097220 
7940.000000,0.081542 
645.000000,0.211418 
4094.000000,0.194139 
9259.000000,0.094477 
2092.000000,0.212859 
9266.000000,0.063053 
2197.000000,0.073574 
516.000000,0.074472 
9361.000000,0.172576 
6810.000000,0.073518 
6861.000000,0.056657 
8712.000000,0.254487 
8689.000000,0.238163 
844.000000,0.420042 
816.000000,0.095925 
3801.000000,0.169362 
6253.000000,0.197722 
6223.000000,0.160774 
463.000000,0.065537 
6867.000000,0.087763 
6856.000000,0.194409 
393.000000,0.031503 
2946.000000,0.076248 
2748.000000,0.120028 
1630.000000,0.135249 
1686.000000,0.178133 
8442.000000,0.027453 
8447.000000,0.074573 
1375.000000,0.074001 
1362.000000,0.085584 
8441.000000,0.097279 
8468.000000,0.424811 
8503.000000,0.430633 
6738.000000,0.060570 
6459.000000,0.191331 
5555.000000,0.221817 
5543.000000,0.204205 
5690.000000,0.089890 
5896.000000,0.147391 
5368.000000,0.188127 
5517.000000,0.218393 
6247.000000,0.075144 
836.000000,0.720626 
1131.000000,0.209869 
861.000000,0.304069 
873.000000,1.147826 
873.000000,1.163984 
7085.000000,0.073066 
8450.000000,0.054218 
3866.000000,0.209838 
4312.000000,0.225313 
585.000000,0.093220 
3049.000000,0.065504 
7525.000000,0.068126 
4101.000000,0.218942 
4098.000000,0.219501 
6654.000000,0.165462 
9738.000000,0.225193 
7162.000000,0.091741 
7145.000000,0.551043 
8507.000000,0.427696 
7202.000000,0.270060 
9636.000000,0.106518 
7217.000000,0.090623 
9687.000000,0.073955 
6884.000000,0.079458 
9680.000000,0.176511 
8491.000000,0.302578 
8397.000000,0.315850 
8415.000000,0.176939 
8237.000000,0.231103 
8179.000000,0.246284 
1489.000000,0.197646 
4364.000000,0.199149 
4403.000000,0.215905 
388.000000,0.052815 
4349.000000,0.191746 
3122.000000,0.145960 
2988.000000,0.077667 
2955.000000,0.202879 
2558.000000,0.082793 
6533.000000,0.119951 
6577.000000,0.177479 
6649.000000,0.081555 
5118.000000,0.175942 
5267.000000,0.206398 
8957.000000,0.142790 
9497.000000,0.124790 
7393.000000,0.180909 
4795.000000,0.105801 
4504.000000,0.091618 
4804.000000,0.186511 
9959.000000,0.177460 
4664.000000,0.052853 
2419.000000,0.120118 
9339.000000,0.168424 
9389.000000,0.087734 
2400.000000,0.125053 
8044.000000,0.081398 
7874.000000,0.066457 
8021.000000,0.277469 
832.000000,0.049311 
9018.000000,0.160394 
3233.000000,0.104338 
1555.000000,0.189457 
1313.000000,0.729795 
2723.000000,0.630514 
2948.000000,0.073354 
3419.000000,0.089131 
402.000000,0.243302 
9464.000000,0.126266 
3728.000000,0.183106 
3387.000000,0.085718 
3564.000000,0.194664 
7546.000000,0.088808 
606.000000,0.110926 
9408.000000,0.130936 
3443.000000,0.180180 
6101.000000,0.199098 
1138.000000,0.216188 
970.000000,0.137530 
8864.000000,0.178338 
8876.000000,0.182385 
7977.000000,1.062299 
876.000000,0.906876 
7844.000000,0.550933 
881.000000,0.873537 
1015.000000,0.128380 
8859.000000,0.184741 
8655.000000,0.257428 
1902.000000,0.220154 
2255.000000,0.076980 
2110.000000,0.197556 
5402.000000,0.194104 
5393.000000,0.217735 
2012.000000,0.285834 
7750.000000,0.252236 
9226.000000,0.253226 
8707.000000,0.253149 
8676.000000,0.261894 
8700.000000,0.247737 
8699.000000,0.236688 
9086.000000,0.050892 
3481.000000,0.149901 
9536.000000,0.256801 
6939.000000,0.197359 
3969.000000,0.171793 
1373.000000,0.086778 
1367.000000,0.014345 
1514.000000,0.223109 
1500.000000,0.227966 
1315.000000,0.839033 
1325.000000,0.806145 
8093.000000,0.175717 
1496.000000,0.225077 
8503.000000,0.765179 
8229.000000,0.246700 
6802.000000,0.085139 
5413.000000,0.208779 
4000.000000,0.091983 
577.000000,0.125774 
576.000000,0.093239 
4527.000000,0.220994 
6386.000000,0.076264 
9820.000000,0.075964 
5286.000000,0.176567 
6524.000000,0.186176 
6515.000000,0.182723 
447.000000,0.067490 
436.000000,0.079908 
7154.000000,0.632837 
8495.000000,0.867105 
8490.000000,0.369826 
8469.000000,0.405471 
8510.000000,0.160534 
8490.000000,0.174018 
3070.000000,0.101075 
2677.000000,0.090180 
1326.000000,0.379504 
2663.000000,0.127761 
1325.000000,0.380301 
1326.000000,0.872505 
419.000000,0.167607 
5311.000000,0.132025 
9784.000000,0.045591 
421.000000,0.088922 
9519.000000,0.158107 
1897.000000,0.995000 
861.000000,0.132620 
372.000000,0.131683 
7350.000000,0.104730 
3578.000000,0.048548 
9517.000000,0.219301 
4617.000000,0.221030 
358.000000,0.179121 
362.000000,0.385482 
5262.000000,0.143538 
5258.000000,0.165762 
5551.000000,0.232986 
9387.000000,0.137335 
2294.000000,0.174023 
2283.000000,0.160806 
9201.000000,0.186199 
1821.000000,0.292577 
1830.000000,0.305473 
9198.000000,0.195665 
5163.000000,0.218478 
5256.000000,0.211655 
5050.000000,0.189622 
5074.000000,0.110208 
5062.000000,0.133255 
8010.000000,0.129228 
898.000000,0.108543 
890.000000,0.152744 
9087.000000,0.080878 
9094.000000,0.057940 
9072.000000,0.428267 
3197.000000,0.180877 
6546.000000,0.191818 
2642.000000,0.296408 
167.000000,0.212137 
9459.000000,0.093802 
9462.000000,0.170786 
3715.000000,0.184340 
3986.000000,0.165138 
5656.000000,0.079460 
3678.000000,0.171505 
3400.000000,0.108418 
545.000000,0.248387 
3601.000000,0.174081 
3351.000000,0.122774 
7734.000000,0.260268 
7753.000000,0.184733 
7732.000000,0.209677 
7665.000000,0.192969 
7614.000000,0.095275 
7804.000000,0.059948 
5573.000000,0.081773 
5591.000000,0.084774 
8715.000000,0.255976 
1921.000000,0.084872 
9247.000000,0.245939 
1797.000000,0.085916 
1876.000000,0.207186 
1708.000000,0.078997 
5425.000000,0.194681 
5447.000000,0.218643 
9363.000000,0.075506 
2046.000000,0.088465 
2069.000000,0.091247 
1985.000000,0.259777 
2078.000000,0.238919 
5903.000000,0.137960 
5951.000000,0.159972 
5677.000000,0.132844 
6173.000000,0.069769 
6269.000000,0.068371 
6154.000000,0.211556 
9398.000000,0.125807 
3439.000000,0.168477 
1136.000000,0.207527 
3548.000000,0.207825 
465.000000,0.118244 
6928.000000,0.264751 
6203.000000,0.073818 
1325.000000,0.133555 
1290.000000,0.127943 
8515.000000,0.160333 
1310.000000,0.361940 
3232.000000,0.127313 
1353.000000,0.429222 
1618.000000,0.180474 
8224.000000,0.242617 
5750.000000,0.205289 
5659.000000,0.067888 
4003.000000,0.108325 
9508.000000,0.289692 
4058.000000,0.329262 
4631.000000,0.194368 
414.000000,0.293339 
9583.000000,0.186748 
5001.000000,0.348127 
3198.000000,0.191742 
4164.000000,0.220301 
4082.000000,0.227134 
7265.000000,0.218682 
9454.000000,0.197614 
4565.000000,0.234819 
4524.000000,0.226616 
4570.000000,0.222836 
4787.000000,0.176416 
9984.000000,0.222741 
4247.000000,0.328727 
4514.000000,0.230034 
4726.000000,0.082143 
4753.000000,0.072981 
4818.000000,0.220216 
4808.000000,0.216383 
4827.000000,0.209842 
4755.000000,0.064820 
7375.000000,0.104831 
5507.000000,0.227055 
5482.000000,0.221894 
7179.000000,0.140385 
8526.000000,0.150902 
6841.000000,0.076299 
6581.000000,0.173815 
2647.000000,0.303659 
8495.000000,0.379866 
7141.000000,0.547009 
206.000000,0.227736 
6547.000000,0.110940 
6401.000000,0.182361 
6385.000000,0.181297 
1900.000000,0.631705 
1898.000000,0.993927 
9037.000000,0.906874 
4645.000000,0.212279 
9951.000000,0.051684 
9940.000000,0.179103 
2498.000000,0.366896 
491.000000,0.103632 
4927.000000,0.204929 
9897.000000,0.347566 
2394.000000,0.221171 
485.000000,0.200148 
4920.000000,0.319648 
3236.000000,0.172488 
7360.000000,0.094682 
7366.000000,0.183418 
2410.000000,0.191238 
9788.000000,0.354822 
6350.000000,0.339621 
3163.000000,0.186880 
5142.000000,0.210334 
5487.000000,0.216683 
1867.000000,0.296977 
2348.000000,0.196680 
9893.000000,0.050968 
9835.000000,0.070771 
9839.000000,0.197699 
5385.000000,0.221039 
5394.000000,0.201027 
5088.000000,0.184445 
9882.000000,0.066672 
5137.000000,0.143714 
5245.000000,0.167608 
5054.000000,0.199388 
5241.000000,0.203897 
6338.000000,0.072601 
5324.000000,0.196820 
6324.000000,0.087067 
8014.000000,0.291831 
681.000000,0.178968 
7338.000000,0.140275 
868.000000,0.137830 
1844.000000,0.132217 
9019.000000,0.385206 
9019.000000,0.171274 
9052.000000,0.379302 
