point, dist
8381.000000,0.175959 
8429.000000,0.151667 
8441.000000,0.145218 
8817.000000,0.170348 
8874.000000,0.100972 
6701.000000,0.056551 
8825.000000,0.165110 
7457.000000,0.308814 
3141.000000,0.299855 
2950.000000,0.288989 
3158.000000,0.306037 
3095.000000,0.305914 
8937.000000,0.103197 
9009.000000,0.132700 
6297.000000,0.046483 
6234.000000,0.104892 
8560.000000,0.169968 
8535.000000,0.164850 
7496.000000,0.983400 
8947.000000,0.108318 
7503.000000,0.285169 
5723.000000,0.196304 
2855.000000,0.284903 
5729.000000,0.100849 
2888.000000,0.239612 
8951.000000,0.156999 
6880.000000,0.048273 
6841.000000,0.108893 
6877.000000,0.166261 
6829.000000,0.306750 
8644.000000,0.138511 
8608.000000,0.110887 
8598.000000,0.121823 
8729.000000,0.077864 
8729.000000,0.420955 
8731.000000,0.091945 
8721.000000,0.063961 
7636.000000,0.207768 
7644.000000,0.195739 
7762.000000,0.166026 
4433.000000,0.111094 
4514.000000,0.209908 
4531.000000,0.183325 
7909.000000,0.229175 
7842.000000,0.168667 
7841.000000,0.159473 
2977.000000,0.299325 
2885.000000,0.292455 
3281.000000,0.283746 
7925.000000,0.233827 
7746.000000,0.163547 
8208.000000,0.229203 
8345.000000,0.167287 
8254.000000,0.217800 
8232.000000,0.210040 
8215.000000,0.186980 
8532.000000,0.183793 
8505.000000,0.195254 
3219.000000,0.209390 
8633.000000,0.316786 
8597.000000,0.158614 
7344.000000,0.655055 
7475.000000,0.017527 
4764.000000,0.075171 
4780.000000,0.068126 
4785.000000,0.091387 
4759.000000,0.094166 
4794.000000,0.104113 
4833.000000,0.122730 
4844.000000,0.100693 
4742.000000,0.067575 
4852.000000,0.075595 
4859.000000,0.121531 
8889.000000,0.069939 
6171.000000,0.082040 
6240.000000,0.112441 
6163.000000,0.166453 
6143.000000,0.117178 
7347.000000,0.297667 
7452.000000,0.235011 
7327.000000,0.195916 
3915.000000,0.160386 
4026.000000,0.081324 
2562.000000,0.304550 
3895.000000,0.093522 
4124.000000,0.159762 
2321.000000,0.152657 
2512.000000,0.314216 
4248.000000,0.062862 
4211.000000,0.062807 
9796.000000,0.122120 
4187.000000,0.179022 
6818.000000,0.114572 
6731.000000,0.043333 
6903.000000,0.101275 
6826.000000,0.041547 
2518.000000,0.203437 
2613.000000,0.212346 
2792.000000,0.337784 
2759.000000,0.319601 
4150.000000,0.076143 
4084.000000,0.107041 
8872.000000,0.118464 
7125.000000,0.988070 
4064.000000,0.260691 
4003.000000,0.203847 
4054.000000,0.232449 
8702.000000,0.079360 
8031.000000,0.133603 
8071.000000,0.148667 
7736.000000,0.140372 
7662.000000,0.136444 
7760.000000,0.160141 
7826.000000,0.127374 
8102.000000,0.774565 
7883.000000,0.203857 
7940.000000,0.157932 
7748.000000,0.164098 
5452.000000,0.331007 
5457.000000,0.300902 
5366.000000,0.667455 
5362.000000,0.599734 
8018.000000,0.270099 
8147.000000,0.387185 
8146.000000,0.698037 
8033.000000,0.132245 
8147.000000,0.084386 
8045.000000,0.305133 
8045.000000,0.303096 
8020.000000,0.139153 
4620.000000,0.101311 
4720.000000,0.127072 
9900.000000,0.153560 
4543.000000,0.188234 
4481.000000,0.258551 
8339.000000,0.188647 
8353.000000,0.167888 
3804.000000,0.229307 
3818.000000,0.104274 
473.000000,0.366280 
402.000000,0.157475 
3518.000000,0.333518 
3482.000000,0.347569 
3121.000000,0.265666 
3485.000000,0.336653 
3164.000000,0.315977 
3552.000000,0.341567 
3115.000000,0.279226 
4473.000000,0.080892 
4455.000000,0.065069 
4459.000000,0.116686 
2962.000000,0.283962 
3227.000000,0.294900 
2961.000000,0.297157 
2841.000000,0.285947 
2816.000000,0.287369 
2604.000000,0.287182 
2450.000000,0.177719 
2851.000000,0.260013 
2818.000000,0.270133 
3037.000000,0.201433 
2563.000000,0.321991 
6753.000000,0.157265 
6766.000000,0.120030 
6741.000000,0.101582 
6680.000000,0.077895 
6749.000000,0.173628 
6742.000000,0.109921 
8777.000000,0.184200 
6635.000000,0.098759 
8558.000000,0.196651 
8391.000000,0.167800 
8473.000000,0.196862 
8443.000000,0.168575 
8348.000000,0.156065 
8412.000000,0.195768 
2871.000000,0.290879 
2906.000000,0.307499 
2931.000000,0.283777 
6598.000000,0.155235 
6607.000000,0.062101 
6609.000000,0.069467 
9358.000000,0.221964 
6581.000000,0.148351 
6597.000000,0.150800 
8577.000000,0.195210 
7329.000000,0.251705 
9100.000000,0.187789 
7181.000000,0.078559 
3059.000000,0.247954 
3016.000000,0.235407 
6132.000000,0.086254 
6217.000000,0.065701 
6218.000000,0.045955 
8465.000000,0.169756 
8249.000000,0.174226 
8417.000000,0.154377 
8424.000000,0.194303 
8737.000000,0.496570 
8737.000000,0.104482 
8216.000000,0.155373 
8687.000000,0.923379 
7200.000000,0.093714 
8633.000000,0.290450 
8679.000000,0.724120 
8684.000000,0.390435 
8255.000000,0.214469 
7487.000000,0.199169 
5360.000000,1.001093 
8146.000000,0.783247 
