point, dist
7416.000000,0.190811 
6864.000000,0.176138 
7426.000000,0.180814 
6816.000000,0.197335 
7255.000000,0.220898 
6999.000000,0.205408 
7077.000000,0.204583 
7318.000000,0.209701 
7317.000000,0.205174 
7842.000000,0.187710 
8534.000000,0.191370 
7802.000000,0.194849 
8055.000000,0.190800 
8021.000000,0.181111 
7605.000000,0.161853 
7570.000000,0.173850 
7588.000000,0.256160 
7435.000000,0.167683 
7302.000000,0.179424 
7047.000000,0.172009 
7310.000000,0.157082 
6991.000000,0.164155 
8251.000000,0.197110 
8241.000000,0.179076 
6852.000000,0.176617 
6912.000000,0.215948 
7551.000000,0.172276 
7892.000000,0.186553 
7996.000000,0.188953 
7833.000000,0.176770 
2869.000000,0.368444 
2684.000000,0.207449 
2848.000000,0.373533 
2705.000000,0.225615 
2500.000000,0.377114 
550.000000,0.392540 
357.000000,0.343729 
641.000000,0.371648 
8609.000000,0.169346 
8591.000000,0.153460 
8575.000000,0.182697 
8571.000000,0.153604 
5567.000000,0.169552 
5541.000000,0.064715 
5494.000000,0.146357 
5547.000000,0.079674 
8287.000000,0.206358 
8239.000000,0.199041 
8460.000000,0.193386 
8711.000000,0.213152 
6221.000000,0.314231 
6614.000000,0.279135 
6579.000000,0.237121 
5951.000000,0.049284 
6018.000000,0.163122 
6006.000000,0.103385 
6019.000000,0.132450 
7298.000000,0.144128 
7291.000000,0.173605 
8070.000000,0.173381 
2608.000000,0.385721 
2518.000000,0.375616 
2858.000000,0.374966 
2831.000000,0.361560 
7595.000000,0.165764 
6995.000000,0.191427 
7502.000000,0.154158 
7278.000000,0.207190 
7497.000000,0.172268 
7272.000000,0.198694 
7215.000000,0.215364 
8569.000000,0.266606 
8570.000000,0.308575 
8461.000000,0.176712 
8007.000000,0.193300 
8237.000000,0.201620 
3092.000000,0.059003 
2941.000000,0.175798 
2702.000000,0.195819 
3080.000000,0.092525 
2977.000000,0.151141 
6858.000000,0.182944 
146.000000,0.180359 
186.000000,0.168304 
2927.000000,0.162583 
2962.000000,0.161917 
7397.000000,0.171542 
8245.000000,0.185084 
8186.000000,0.204851 
8481.000000,0.185853 
317.000000,0.348619 
283.000000,0.345486 
421.000000,0.215269 
2512.000000,0.370551 
2633.000000,0.256041 
2477.000000,0.258289 
3104.000000,0.083775 
2744.000000,0.169309 
3090.000000,0.070040 
2306.000000,0.264699 
5202.000000,0.336026 
5114.000000,0.282945 
5124.000000,0.272906 
4489.000000,0.360990 
4695.000000,0.237520 
4518.000000,0.280574 
4449.000000,0.327395 
4325.000000,0.209003 
4363.000000,0.308320 
6490.000000,0.344872 
6560.000000,0.182780 
6493.000000,0.165412 
6488.000000,0.284886 
8998.000000,0.382492 
4541.000000,0.267388 
4522.000000,0.256641 
4517.000000,0.349457 
4563.000000,0.188610 
4300.000000,0.177324 
4339.000000,0.176641 
4249.000000,0.117796 
4263.000000,0.108187 
4287.000000,0.129864 
9641.000000,0.219545 
4271.000000,0.160762 
5516.000000,0.100191 
5595.000000,0.080410 
5529.000000,0.133868 
5534.000000,0.123258 
5402.000000,0.213431 
5469.000000,0.300533 
5361.000000,0.087051 
8768.000000,0.193093 
8219.000000,0.182382 
5542.000000,0.100272 
5575.000000,0.161262 
8442.000000,0.190634 
8432.000000,0.186971 
9416.000000,0.150864 
9415.000000,0.157925 
3314.000000,0.212236 
6003.000000,0.166105 
2800.000000,0.378545 
7606.000000,0.297791 
7412.000000,0.137129 
7487.000000,0.184164 
408.000000,0.185951 
167.000000,0.109392 
3290.000000,0.202309 
153.000000,0.098626 
395.000000,0.178714 
154.000000,0.130676 
7265.000000,0.193344 
7093.000000,0.200330 
7229.000000,0.206522 
7259.000000,0.205425 
7100.000000,0.213379 
374.000000,0.170875 
107.000000,0.073420 
