point, dist
1514.000000,0.137216 
8655.000000,0.150001 
1799.000000,0.148420 
8373.000000,0.153291 
5651.000000,0.094102 
7929.000000,0.084027 
5638.000000,0.079251 
206.000000,0.278372 
130.000000,0.328291 
194.000000,0.070253 
2009.000000,0.140604 
9824.000000,0.069724 
1978.000000,0.074518 
4900.000000,0.138956 
4928.000000,0.092312 
4079.000000,0.081724 
2407.000000,0.056390 
2414.000000,0.060828 
2778.000000,0.079657 
2776.000000,0.075352 
3302.000000,0.127360 
214.000000,0.133377 
6636.000000,0.074241 
6639.000000,0.115327 
7226.000000,0.251105 
6845.000000,0.035098 
7213.000000,0.108156 
7259.000000,0.019078 
6876.000000,0.080422 
6569.000000,0.069313 
6655.000000,0.285846 
7097.000000,0.168073 
5440.000000,0.060067 
5394.000000,0.094843 
5798.000000,0.099885 
7638.000000,0.125836 
7136.000000,0.151770 
3975.000000,0.092613 
4506.000000,0.092165 
5753.000000,0.060956 
5728.000000,0.136745 
5443.000000,0.140817 
7907.000000,0.065549 
5702.000000,0.063330 
8648.000000,0.149703 
1490.000000,0.141066 
9531.000000,0.074861 
8974.000000,0.114795 
9569.000000,0.070152 
8839.000000,0.328987 
2752.000000,0.055363 
2428.000000,0.027024 
2812.000000,0.031620 
6669.000000,0.330131 
7332.000000,0.067845 
7404.000000,0.071396 
6834.000000,0.095327 
4374.000000,0.149603 
5380.000000,0.152233 
4356.000000,0.150693 
448.000000,0.143848 
857.000000,0.068440 
433.000000,0.038365 
8987.000000,0.100594 
8834.000000,0.294778 
9460.000000,0.020413 
4829.000000,0.093571 
9844.000000,0.052253 
9836.000000,0.015610 
4241.000000,0.137477 
2231.000000,0.137068 
2195.000000,0.074167 
4396.000000,0.053689 
4147.000000,0.154236 
1798.000000,0.141295 
1716.000000,0.145166 
9652.000000,0.121477 
9719.000000,0.229054 
9626.000000,0.100021 
1546.000000,0.137816 
2036.000000,0.097460 
9530.000000,0.064803 
9422.000000,0.039699 
9019.000000,0.042139 
9101.000000,0.078506 
8740.000000,0.064471 
3610.000000,0.159462 
6418.000000,0.143669 
6202.000000,0.136055 
3833.000000,0.129519 
3813.000000,0.131978 
2253.000000,0.085381 
4208.000000,0.066243 
4879.000000,0.077856 
4776.000000,0.153683 
1902.000000,0.148299 
8186.000000,0.151097 
9698.000000,0.213187 
564.000000,0.248748 
1818.000000,0.144881 
9851.000000,0.050470 
209.000000,0.080915 
8809.000000,0.061430 
9381.000000,0.080996 
1149.000000,0.097804 
6000.000000,0.049371 
4176.000000,0.096326 
2286.000000,0.100968 
2462.000000,0.144348 
2447.000000,0.023943 
2882.000000,0.066688 
7849.000000,0.058296 
7808.000000,0.100736 
5145.000000,0.059676 
8172.000000,0.033907 
5516.000000,0.088025 
7677.000000,0.039515 
5923.000000,0.080910 
7436.000000,0.090425 
7468.000000,0.110610 
8623.000000,0.152351 
8617.000000,0.149142 
1552.000000,0.116086 
1515.000000,0.144989 
3496.000000,0.169089 
3779.000000,0.136684 
3627.000000,0.164825 
2792.000000,0.069359 
6800.000000,0.120804 
7256.000000,0.039441 
7196.000000,0.065079 
6495.000000,0.146413 
7350.000000,0.052669 
5526.000000,0.044443 
79.000000,0.085014 
1176.000000,0.044487 
424.000000,0.060695 
409.000000,0.019433 
8107.000000,0.079385 
9578.000000,0.042128 
8389.000000,0.153098 
8354.000000,0.154457 
110.000000,0.313848 
100.000000,0.137587 
1272.000000,0.089846 
760.000000,0.091914 
830.000000,0.019947 
1499.000000,0.136169 
9304.000000,0.153474 
9811.000000,0.043942 
2932.000000,0.088374 
4259.000000,0.071995 
4450.000000,0.078871 
4427.000000,0.087220 
5586.000000,0.095148 
4036.000000,0.083315 
4317.000000,0.056840 
2140.000000,0.046707 
4107.000000,0.055942 
9802.000000,0.132458 
2079.000000,0.104405 
4980.000000,0.090181 
4474.000000,0.138636 
3996.000000,0.129516 
2106.000000,0.148674 
1931.000000,0.039192 
9863.000000,0.183147 
955.000000,0.180095 
3218.000000,0.061447 
2981.000000,0.191994 
8799.000000,0.113558 
7644.000000,0.028270 
7658.000000,0.069249 
5955.000000,0.135562 
4530.000000,0.097510 
2937.000000,0.185090 
5079.000000,0.068018 
7872.000000,0.125615 
8155.000000,0.092718 
399.000000,0.031841 
5877.000000,0.087225 
5848.000000,0.040408 
5482.000000,0.067702 
7421.000000,0.044674 
7691.000000,0.021646 
7500.000000,0.208988 
7696.000000,0.182408 
888.000000,0.099714 
8339.000000,0.160000 
647.000000,0.131117 
8328.000000,0.157305 
8665.000000,0.149511 
529.000000,0.242918 
585.000000,0.120046 
1803.000000,0.142228 
6222.000000,0.139513 
3770.000000,0.142497 
3797.000000,0.141827 
828.000000,0.008766 
6173.000000,0.136316 
6365.000000,0.096774 
2616.000000,0.094592 
2532.000000,0.249711 
5813.000000,0.159476 
2390.000000,0.189232 
9375.000000,0.247938 
4965.000000,0.093746 
8054.000000,0.057744 
2494.000000,0.066867 
8405.000000,0.171984 
9374.000000,0.060816 
2149.000000,0.089619 
3621.000000,0.162661 
7994.000000,0.148762 
4809.000000,0.053226 
9270.000000,0.170188 
2926.000000,0.272382 
3271.000000,0.083190 
6041.000000,0.102834 
5110.000000,0.092565 
6401.000000,0.145794 
914.000000,0.266748 
967.000000,0.196419 
651.000000,0.067199 
742.000000,0.054446 
8650.000000,0.153006 
1762.000000,0.142677 
1510.000000,0.138821 
3550.000000,0.176717 
6471.000000,0.144005 
6167.000000,0.139523 
8075.000000,0.126974 
3771.000000,0.139313 
6457.000000,0.146613 
7669.000000,0.049530 
3001.000000,0.255543 
5575.000000,0.148613 
5019.000000,0.051338 
8033.000000,0.097453 
91.000000,0.256653 
8333.000000,0.141802 
5172.000000,0.156343 
7960.000000,0.054058 
389.000000,0.064402 
366.000000,0.186850 
3920.000000,0.104277 
5047.000000,0.130188 
6380.000000,0.146799 
656.000000,0.041592 
8661.000000,0.151028 
6197.000000,0.143912 
2645.000000,0.118038 
3583.000000,0.144162 
7534.000000,0.228538 
1948.000000,0.081906 
2.000000,0.067692 
3153.000000,0.080923 
6213.000000,0.139582 
1700.000000,0.093660 
1285.000000,0.116795 
6180.000000,0.120357 
3511.000000,0.169594 
3785.000000,0.123841 
0.114864 
0.100968 
