point, dist
8363.000000,0.124365 
8354.000000,0.126540 
8096.000000,0.195741 
9362.000000,0.145588 
8769.000000,0.109679 
8761.000000,0.107416 
1313.000000,0.152607 
1650.000000,0.083179 
1820.000000,0.119198 
1873.000000,0.123203 
1645.000000,0.070638 
3784.000000,0.065339 
3720.000000,0.038874 
4096.000000,0.024257 
7597.000000,0.039617 
7613.000000,0.038188 
7537.000000,0.051416 
7539.000000,0.057189 
9382.000000,0.152465 
9303.000000,0.149859 
8725.000000,0.110110 
8695.000000,0.105771 
9326.000000,0.150946 
6114.000000,0.104500 
6132.000000,0.101659 
5906.000000,0.091081 
7679.000000,0.040651 
2651.000000,0.063537 
61.000000,0.106562 
854.000000,0.195532 
9817.000000,0.162298 
9841.000000,0.167066 
31.000000,0.124407 
7484.000000,0.081931 
790.000000,0.158459 
7504.000000,0.072691 
1306.000000,0.143782 
7483.000000,0.051008 
9310.000000,0.149014 
2133.000000,0.018892 
2399.000000,0.097091 
7293.000000,0.092190 
2303.000000,0.224203 
7320.000000,0.110875 
2438.000000,0.092337 
815.000000,0.161333 
3383.000000,0.050886 
3204.000000,0.099497 
2100.000000,0.038809 
2228.000000,0.104102 
7709.000000,0.095803 
7852.000000,0.051812 
3673.000000,0.094964 
2282.000000,0.228402 
2265.000000,0.110283 
1828.000000,0.129247 
8027.000000,0.186474 
8094.000000,0.188876 
6257.000000,0.224867 
5851.000000,0.093675 
6315.000000,0.110431 
5912.000000,0.086769 
5711.000000,0.158726 
5771.000000,0.138777 
7260.000000,0.102182 
2884.000000,0.196369 
4090.000000,0.085879 
1863.000000,0.119577 
1829.000000,0.122026 
9706.000000,0.098689 
8593.000000,0.114575 
9704.000000,0.155376 
9199.000000,0.147934 
185.000000,0.146051 
113.000000,0.152305 
133.000000,0.128174 
1264.000000,0.146237 
718.000000,0.171512 
1407.000000,0.148979 
818.000000,0.192853 
847.000000,0.189914 
1665.000000,0.080479 
1490.000000,0.142524 
7830.000000,0.064160 
7650.000000,0.043020 
7649.000000,0.054480 
8030.000000,0.188497 
8357.000000,0.122426 
8370.000000,0.128766 
8028.000000,0.187114 
8291.000000,0.126794 
1831.000000,0.119472 
1652.000000,0.069314 
8709.000000,0.117381 
2539.000000,0.140933 
2499.000000,0.148661 
9155.000000,0.088522 
8649.000000,0.091373 
8657.000000,0.082397 
8678.000000,0.107457 
5067.000000,0.294525 
5089.000000,0.188151 
9167.000000,0.119347 
3756.000000,0.048684 
3813.000000,0.055383 
3833.000000,0.072981 
3530.000000,0.052418 
4669.000000,0.124765 
9879.000000,0.028290 
8063.000000,0.182067 
5667.000000,0.165324 
1846.000000,0.122937 
1693.000000,0.082620 
5678.000000,0.141852 
9785.000000,0.083973 
9798.000000,0.139178 
9775.000000,0.119083 
4263.000000,0.109461 
4236.000000,0.138134 
5927.000000,0.114161 
6068.000000,0.082675 
730.000000,0.154400 
7421.000000,0.099184 
747.000000,0.154319 
7443.000000,0.096661 
2648.000000,0.138149 
3865.000000,0.084625 
1277.000000,0.147216 
3856.000000,0.071466 
1307.000000,0.144003 
4067.000000,0.053129 
4064.000000,0.058708 
2029.000000,0.055150 
2025.000000,0.040064 
3179.000000,0.047603 
7498.000000,0.069627 
8383.000000,0.122787 
8111.000000,0.186813 
1671.000000,0.082804 
1673.000000,0.067452 
8615.000000,0.082528 
2398.000000,0.098511 
6576.000000,0.121541 
6745.000000,0.113051 
8663.000000,0.079706 
8603.000000,0.084996 
4989.000000,0.109191 
9333.000000,0.089700 
9159.000000,0.083521 
5016.000000,0.218048 
5207.000000,0.296803 
6769.000000,0.225109 
