point, dist
6247.000000,0.100829 
6256.000000,0.145900 
6242.000000,0.216157 
7960.000000,0.126919 
1738.000000,0.099245 
1735.000000,0.149317 
1703.000000,0.159558 
8873.000000,0.148888 
8871.000000,0.163613 
8754.000000,0.205729 
925.000000,0.179490 
886.000000,0.194436 
428.000000,0.205838 
1094.000000,0.114317 
8934.000000,0.169981 
9131.000000,0.162632 
1788.000000,0.116610 
7985.000000,0.150578 
7977.000000,0.205558 
1793.000000,0.132801 
1054.000000,0.192193 
928.000000,0.208732 
461.000000,0.224835 
9494.000000,0.189304 
9146.000000,0.163360 
9143.000000,0.158075 
178.000000,0.254982 
190.000000,0.236624 
173.000000,0.119341 
9851.000000,0.184105 
9846.000000,0.200483 
9449.000000,0.176780 
9093.000000,0.161328 
9083.000000,0.157545 
9536.000000,0.189645 
5957.000000,0.253212 
6236.000000,0.141327 
5958.000000,0.260769 
6493.000000,0.143783 
6481.000000,0.104764 
6471.000000,0.146066 
3634.000000,0.072399 
3834.000000,0.087264 
663.000000,0.207083 
3847.000000,0.069779 
1053.000000,0.193467 
883.000000,0.188981 
431.000000,0.222058 
1114.000000,0.130157 
3998.000000,0.074422 
3975.000000,0.101661 
451.000000,0.210622 
1089.000000,0.125473 
1226.000000,0.135715 
392.000000,0.217373 
9460.000000,0.191747 
567.000000,0.227583 
1097.000000,0.116581 
1115.000000,0.118386 
8863.000000,0.153378 
9600.000000,0.194144 
1732.000000,0.116373 
8456.000000,0.144530 
8446.000000,0.186845 
7519.000000,0.101421 
1383.000000,0.088147 
8009.000000,0.162851 
8015.000000,0.308072 
2166.000000,0.394048 
7873.000000,0.316197 
7993.000000,0.351967 
7497.000000,0.116031 
7481.000000,0.232043 
1379.000000,0.202642 
6180.000000,0.164950 
6214.000000,0.176608 
5921.000000,0.263306 
3318.000000,0.076549 
3362.000000,0.148423 
3305.000000,0.099199 
1212.000000,0.127463 
4044.000000,0.249433 
3812.000000,0.210402 
4035.000000,0.241690 
4048.000000,0.132524 
9854.000000,0.187854 
9861.000000,0.100911 
63.000000,0.106476 
7755.000000,0.429646 
7775.000000,0.335481 
2026.000000,0.305871 
7789.000000,0.279762 
2215.000000,0.428569 
79.000000,0.179932 
402.000000,0.203672 
105.000000,0.171687 
9778.000000,0.163597 
9758.000000,0.195916 
8869.000000,0.156461 
465.000000,0.210609 
6097.000000,0.130767 
6053.000000,0.122335 
3316.000000,0.139553 
3244.000000,0.140829 
6443.000000,0.106101 
6507.000000,0.146314 
8457.000000,0.137628 
8468.000000,0.129133 
1438.000000,0.036934 
1375.000000,0.233258 
6190.000000,0.240186 
6224.000000,0.116463 
5734.000000,0.122394 
6704.000000,0.218920 
5746.000000,0.140625 
5534.000000,0.097465 
5498.000000,0.227403 
5110.000000,0.099655 
6420.000000,0.131265 
6452.000000,0.078582 
6455.000000,0.107175 
1773.000000,0.116201 
8355.000000,0.159997 
1976.000000,0.104965 
2121.000000,0.067865 
1967.000000,0.179380 
8744.000000,0.203071 
8761.000000,0.204704 
938.000000,0.182922 
566.000000,0.226227 
874.000000,0.147854 
721.000000,0.169591 
621.000000,0.210495 
1224.000000,0.130497 
3898.000000,0.144125 
8881.000000,0.153520 
5918.000000,0.149665 
1181.000000,0.122212 
4002.000000,0.078491 
3911.000000,0.144820 
9631.000000,0.191811 
3854.000000,0.096097 
3869.000000,0.120269 
9120.000000,0.147024 
718.000000,0.170351 
9062.000000,0.144052 
1333.000000,0.105718 
7271.000000,0.220815 
7303.000000,0.105261 
1682.000000,0.204087 
9416.000000,0.240720 
7858.000000,0.056034 
475.000000,0.221902 
2014.000000,0.063988 
828.000000,0.194592 
188.000000,0.210180 
198.000000,0.193628 
179.000000,0.047634 
2250.000000,0.276456 
2127.000000,0.274076 
9866.000000,0.090363 
9896.000000,0.235152 
9922.000000,0.131694 
728.000000,0.157288 
490.000000,0.118278 
516.000000,0.102972 
2147.000000,0.261806 
9933.000000,0.159459 
3477.000000,0.134318 
3289.000000,0.086924 
3191.000000,0.059206 
6833.000000,0.074672 
3297.000000,0.061352 
4230.000000,0.035780 
3299.000000,0.097110 
4009.000000,0.188871 
9789.000000,0.209651 
1948.000000,0.205680 
7588.000000,0.230246 
1951.000000,0.317374 
7581.000000,0.403505 
373.000000,0.198182 
829.000000,0.139489 
9066.000000,0.141755 
9063.000000,0.148613 
608.000000,0.218759 
9873.000000,0.064333 
9634.000000,0.198531 
6000.000000,0.117056 
9145.000000,0.147353 
9119.000000,0.159388 
6389.000000,0.144505 
6727.000000,0.143377 
6396.000000,0.081457 
9053.000000,0.150499 
5653.000000,0.195290 
5696.000000,0.248044 
5688.000000,0.234767 
5656.000000,0.198188 
5037.000000,0.201923 
5043.000000,0.115188 
5063.000000,0.233639 
2824.000000,0.035349 
4564.000000,0.016133 
7145.000000,0.039287 
5357.000000,0.070680 
5164.000000,0.049383 
4790.000000,0.089221 
5580.000000,0.062398 
5780.000000,0.055131 
6614.000000,0.130490 
5769.000000,0.118391 
5781.000000,0.123236 
6679.000000,0.160393 
4387.000000,0.082571 
4585.000000,0.050287 
739.000000,0.175963 
740.000000,0.160465 
893.000000,0.141091 
506.000000,0.211123 
541.000000,0.093273 
3309.000000,0.090982 
3351.000000,0.121226 
3735.000000,0.088804 
6646.000000,0.173616 
6629.000000,0.171110 
6640.000000,0.116023 
6588.000000,0.195196 
6509.000000,0.095359 
5090.000000,0.252574 
3087.000000,0.113656 
6583.000000,0.200137 
5632.000000,0.051771 
5672.000000,0.080218 
9326.000000,0.258302 
4197.000000,0.074081 
4206.000000,0.078861 
5281.000000,0.252001 
7044.000000,0.258398 
7076.000000,0.276368 
5285.000000,0.234319 
5317.000000,0.123237 
8465.000000,0.092184 
6166.000000,0.089560 
6162.000000,0.154030 
697.000000,0.205078 
3632.000000,0.105179 
702.000000,0.205496 
9061.000000,0.168433 
9444.000000,0.253480 
6674.000000,0.124851 
6741.000000,0.115778 
529.000000,0.116628 
2781.000000,0.051008 
2766.000000,0.167867 
8771.000000,0.200483 
4030.000000,0.209245 
5978.000000,0.167080 
4144.000000,0.097838 
3936.000000,0.151455 
3833.000000,0.082251 
3519.000000,0.102463 
3605.000000,0.113406 
3931.000000,0.068243 
9510.000000,0.195315 
9632.000000,0.087757 
9056.000000,0.139090 
9252.000000,0.157811 
5434.000000,0.052061 
5225.000000,0.066319 
9595.000000,0.089583 
5234.000000,0.190473 
5233.000000,0.201484 
5269.000000,0.244691 
7505.000000,0.241040 
1640.000000,0.218569 
9792.000000,0.164352 
1786.000000,0.087497 
9502.000000,0.248695 
9091.000000,0.143372 
7868.000000,0.329122 
7881.000000,0.294103 
7859.000000,0.162885 
866.000000,0.186810 
9968.000000,0.203306 
9971.000000,0.198112 
2272.000000,0.350243 
7963.000000,0.335838 
2392.000000,0.446152 
9938.000000,0.151026 
9874.000000,0.071286 
8422.000000,0.031734 
3142.000000,0.222516 
1994.000000,0.325357 
7678.000000,0.409707 
8273.000000,0.081582 
8403.000000,0.090076 
8396.000000,0.096249 
1498.000000,0.097301 
8383.000000,0.108695 
1487.000000,0.165611 
6025.000000,0.200420 
8301.000000,0.061833 
8247.000000,0.101950 
2097.000000,0.140839 
7721.000000,0.331717 
4202.000000,0.213881 
3774.000000,0.080976 
552.000000,0.174541 
3803.000000,0.099403 
9482.000000,0.205016 
6108.000000,0.260824 
9593.000000,0.161692 
6134.000000,0.083045 
6100.000000,0.046260 
6320.000000,0.037404 
923.000000,0.179416 
560.000000,0.130700 
842.000000,0.173789 
5703.000000,0.259156 
5249.000000,0.096599 
9415.000000,0.108626 
9087.000000,0.143415 
2411.000000,0.039239 
8584.000000,0.056236 
7559.000000,0.059770 
7556.000000,0.063950 
2404.000000,0.065461 
3251.000000,0.169659 
5359.000000,0.068394 
3149.000000,0.089559 
5757.000000,0.237068 
4176.000000,0.010081 
3141.000000,0.087417 
8365.000000,0.149899 
8569.000000,0.078024 
8595.000000,0.057833 
2848.000000,0.087839 
3651.000000,0.079423 
2544.000000,0.054440 
2745.000000,0.065159 
1507.000000,0.047925 
722.000000,0.162921 
9152.000000,0.154392 
9140.000000,0.140463 
514.000000,0.101676 
9092.000000,0.140128 
9432.000000,0.097314 
6655.000000,0.111278 
6613.000000,0.207023 
6532.000000,0.221063 
6557.000000,0.204864 
5518.000000,0.267513 
5346.000000,0.108961 
5548.000000,0.133506 
5333.000000,0.217356 
5329.000000,0.130842 
3121.000000,0.254047 
3119.000000,0.231811 
4999.000000,0.072649 
9024.000000,0.173221 
9466.000000,0.093884 
5263.000000,0.242096 
7024.000000,0.197185 
7105.000000,0.240826 
7091.000000,0.111418 
5283.000000,0.224881 
5302.000000,0.253537 
3134.000000,0.107093 
6425.000000,0.095965 
6427.000000,0.150917 
5452.000000,0.200126 
3116.000000,0.245024 
1357.000000,0.168668 
7421.000000,0.190670 
7454.000000,0.240851 
3105.000000,0.193682 
9410.000000,0.262075 
9438.000000,0.265453 
6345.000000,0.111643 
6331.000000,0.139201 
8741.000000,0.210981 
1179.000000,0.141385 
1100.000000,0.117209 
8765.000000,0.201938 
1232.000000,0.127771 
8767.000000,0.200225 
4135.000000,0.091549 
3710.000000,0.136381 
1113.000000,0.127700 
9615.000000,0.187084 
8907.000000,0.147988 
9057.000000,0.155794 
762.000000,0.156128 
7211.000000,0.192857 
5236.000000,0.084668 
7037.000000,0.036195 
9078.000000,0.140847 
9462.000000,0.252521 
850.000000,0.156943 
499.000000,0.102467 
7529.000000,0.106204 
7316.000000,0.140069 
7525.000000,0.223056 
7266.000000,0.276460 
7917.000000,0.333682 
7908.000000,0.129320 
7929.000000,0.228221 
1654.000000,0.189901 
9254.000000,0.158041 
9625.000000,0.113095 
9102.000000,0.147839 
9524.000000,0.186212 
1623.000000,0.189702 
7328.000000,0.116543 
7129.000000,0.139870 
2193.000000,0.384434 
7780.000000,0.374302 
2041.000000,0.150313 
2054.000000,0.309750 
7701.000000,0.268090 
7823.000000,0.374762 
2076.000000,0.298272 
177.000000,0.071197 
14.000000,0.201123 
16.000000,0.105198 
9886.000000,0.210979 
2383.000000,0.414358 
2343.000000,0.406513 
9402.000000,0.266524 
2286.000000,0.437628 
7662.000000,0.347800 
1191.000000,0.137291 
3746.000000,0.138806 
4090.000000,0.230099 
8529.000000,0.078456 
8226.000000,0.047543 
8282.000000,0.126583 
8231.000000,0.091493 
8238.000000,0.106725 
5951.000000,0.215904 
1525.000000,0.118060 
8192.000000,0.101845 
1527.000000,0.091498 
8255.000000,0.111696 
1535.000000,0.107576 
4193.000000,0.203489 
3769.000000,0.206325 
6029.000000,0.107150 
6075.000000,0.140731 
9135.000000,0.146517 
867.000000,0.162184 
