point, dist
9575.000000,0.195625 
9671.000000,0.189591 
431.000000,0.165564 
9531.000000,0.224262 
6361.000000,0.086228 
6351.000000,0.116637 
6350.000000,0.198472 
9108.000000,0.172107 
9062.000000,0.298603 
1521.000000,0.344141 
9079.000000,0.178437 
405.000000,0.200956 
9564.000000,0.222098 
9890.000000,0.260335 
9822.000000,0.236044 
9826.000000,0.223116 
9646.000000,0.227565 
6381.000000,0.086846 
6561.000000,0.166054 
6347.000000,0.076818 
6344.000000,0.256121 
6332.000000,0.111338 
6637.000000,0.182068 
6349.000000,0.140197 
6105.000000,0.227268 
1529.000000,0.223959 
1522.000000,0.452352 
1512.000000,0.431627 
8317.000000,0.483394 
1490.000000,0.292763 
1486.000000,0.278317 
3213.000000,0.134104 
3208.000000,0.209179 
3241.000000,0.090593 
2909.000000,0.161633 
8935.000000,0.270143 
9014.000000,0.196491 
8943.000000,0.129961 
5584.000000,0.302632 
5570.000000,0.186897 
5553.000000,0.268713 
5568.000000,0.353815 
9697.000000,0.376723 
9710.000000,0.164107 
9657.000000,0.211151 
9917.000000,0.198197 
462.000000,0.235992 
9909.000000,0.248500 
1181.000000,0.179756 
1200.000000,0.197800 
1172.000000,0.170129 
1161.000000,0.137521 
1180.000000,0.183995 
1129.000000,0.132556 
8425.000000,0.448301 
1197.000000,0.161789 
8431.000000,0.425609 
9964.000000,0.105189 
9981.000000,0.139999 
46.000000,0.136393 
9964.000000,0.313905 
3.000000,0.155750 
6465.000000,0.174195 
6303.000000,0.145034 
6296.000000,0.150350 
6329.000000,0.182316 
6324.000000,0.123433 
6328.000000,0.201488 
6334.000000,0.199434 
1868.000000,0.544027 
1866.000000,0.517377 
8546.000000,0.315357 
8542.000000,0.538826 
9963.000000,0.349780 
9963.000000,0.146845 
9958.000000,0.207125 
9955.000000,0.412961 
3342.000000,0.100783 
3265.000000,0.157751 
3242.000000,0.177861 
3333.000000,0.104543 
3517.000000,0.088777 
3211.000000,0.135265 
518.000000,0.148827 
9487.000000,0.168115 
520.000000,0.120024 
9556.000000,0.192828 
9572.000000,0.214641 
9825.000000,0.221507 
9667.000000,0.232955 
9645.000000,0.201153 
9639.000000,0.198143 
433.000000,0.172939 
9625.000000,0.107954 
9725.000000,0.164496 
9728.000000,0.214491 
9631.000000,0.172749 
1205.000000,0.263140 
1218.000000,0.139855 
1156.000000,0.186070 
1168.000000,0.117786 
1224.000000,0.202419 
1236.000000,0.268570 
1239.000000,0.284258 
1292.000000,0.219580 
9151.000000,0.085438 
1154.000000,0.140275 
1211.000000,0.214090 
8458.000000,0.511100 
8451.000000,0.416367 
8432.000000,0.309124 
8452.000000,0.570920 
1910.000000,0.460175 
8440.000000,0.571850 
1283.000000,0.201574 
8430.000000,0.386319 
1247.000000,0.336294 
1109.000000,0.199320 
1189.000000,0.136398 
1120.000000,0.156978 
1195.000000,0.180944 
1136.000000,0.136676 
1147.000000,0.166892 
6380.000000,0.075973 
9823.000000,0.200071 
9680.000000,0.175361 
9785.000000,0.268635 
6346.000000,0.167739 
6345.000000,0.190591 
6357.000000,0.195490 
6666.000000,0.219740 
1303.000000,0.084973 
1349.000000,0.124735 
1394.000000,0.162667 
9723.000000,0.277030 
9800.000000,0.386849 
9029.000000,0.137788 
6397.000000,0.177004 
6410.000000,0.133182 
6408.000000,0.170552 
6409.000000,0.114956 
6401.000000,0.235454 
6420.000000,0.158525 
6421.000000,0.153314 
1050.000000,0.143030 
8550.000000,0.321148 
8553.000000,0.340951 
991.000000,0.242010 
8545.000000,0.430153 
5441.000000,0.170910 
5442.000000,0.214390 
5443.000000,0.206680 
6985.000000,0.217289 
3046.000000,0.215527 
3043.000000,0.175963 
6959.000000,0.187602 
1508.000000,0.452989 
8318.000000,0.550005 
8105.000000,0.520339 
8296.000000,0.512442 
823.000000,0.054662 
828.000000,0.099320 
9266.000000,0.095698 
1475.000000,0.257059 
3701.000000,0.152825 
3680.000000,0.167114 
3543.000000,0.097229 
3541.000000,0.111445 
1429.000000,0.406249 
8085.000000,0.450496 
8093.000000,0.466991 
8380.000000,0.487696 
1449.000000,0.418229 
8899.000000,0.135096 
1457.000000,0.365216 
1472.000000,0.212692 
1458.000000,0.291956 
3252.000000,0.114432 
3258.000000,0.147689 
346.000000,0.145886 
339.000000,0.155915 
402.000000,0.270639 
307.000000,0.171483 
8852.000000,0.121268 
8839.000000,0.160060 
8840.000000,0.077008 
8903.000000,0.135208 
