point, dist
9698.000000,0.293442 
9698.000000,0.316945 
9681.000000,0.310348 
30.000000,0.363376 
2145.000000,0.373533 
61.000000,0.243471 
68.000000,0.255836 
2145.000000,0.274609 
2414.000000,0.179475 
4695.000000,0.285436 
4836.000000,0.347297 
9108.000000,0.277136 
331.000000,0.486514 
9106.000000,0.459668 
7650.000000,0.274084 
448.000000,0.433777 
8765.000000,1.455382 
8710.000000,1.451532 
2159.000000,1.384958 
8685.000000,0.972458 
8685.000000,0.970265 
4839.000000,0.216709 
9830.000000,0.269321 
2587.000000,0.333142 
4567.000000,0.296393 
9846.000000,0.200660 
4567.000000,0.324600 
6472.000000,0.349977 
6472.000000,0.283055 
4921.000000,0.257740 
5332.000000,0.318230 
4921.000000,0.373164 
2421.000000,0.213019 
9839.000000,0.270744 
4700.000000,0.265114 
4523.000000,0.379115 
8741.000000,0.494821 
8741.000000,0.512972 
8707.000000,0.245402 
2131.000000,0.447492 
2158.000000,0.455152 
9683.000000,0.905766 
9679.000000,0.418307 
9679.000000,0.722859 
18.000000,0.325202 
9679.000000,0.279947 
23.000000,0.411874 
23.000000,0.805518 
24.000000,0.417413 
38.000000,0.959050 
13.000000,0.440290 
40.000000,0.295002 
22.000000,0.290552 
9696.000000,0.211983 
2158.000000,0.171087 
2139.000000,0.508641 
2139.000000,0.428133 
2149.000000,0.495260 
2158.000000,0.933678 
8762.000000,1.074960 
2125.000000,0.856075 
6276.000000,0.337981 
6208.000000,0.285499 
6368.000000,0.318499 
6369.000000,0.373913 
6030.000000,0.225394 
6237.000000,0.361215 
6237.000000,0.308956 
4602.000000,0.310836 
5103.000000,0.338603 
4466.000000,0.304657 
4833.000000,0.313212 
5103.000000,0.290265 
9847.000000,0.224068 
4751.000000,0.545173 
4782.000000,0.330221 
4632.000000,0.401152 
9678.000000,0.298345 
9698.000000,0.425490 
9835.000000,0.232720 
2458.000000,0.282248 
4836.000000,0.374617 
8691.000000,0.150984 
9784.000000,0.220877 
7232.000000,0.289872 
7232.000000,0.226912 
7463.000000,0.279865 
9791.000000,0.226775 
7448.000000,0.221816 
9683.000000,0.433129 
9691.000000,0.524339 
9682.000000,0.608757 
9687.000000,0.380367 
9687.000000,0.146540 
22.000000,0.428943 
7185.000000,0.318198 
7488.000000,0.288361 
7082.000000,0.220919 
23.000000,0.267177 
24.000000,0.266810 
13.000000,0.241179 
9373.000000,0.171469 
9374.000000,0.347336 
9438.000000,0.164323 
9433.000000,0.227507 
9425.000000,0.544011 
9394.000000,0.653845 
4749.000000,0.324929 
4434.000000,0.339340 
4380.000000,0.346670 
12.000000,0.238739 
7650.000000,0.230285 
7618.000000,0.158251 
7650.000000,0.642947 
8507.000000,0.339648 
285.000000,0.402383 
465.000000,0.319220 
360.000000,0.265431 
203.000000,0.326482 
2421.000000,0.347323 
4838.000000,0.350305 
2631.000000,0.223752 
2847.000000,0.136079 
2716.000000,0.318907 
2784.000000,0.242798 
2716.000000,0.273364 
2716.000000,0.648506 
2889.000000,0.640748 
9680.000000,0.283038 
9689.000000,0.204666 
12.000000,0.294826 
2158.000000,0.315030 
9275.000000,0.508204 
9299.000000,0.560465 
9275.000000,0.196757 
8683.000000,1.087553 
8765.000000,1.084570 
8683.000000,0.663266 
2159.000000,1.038281 
2125.000000,1.024096 
2157.000000,0.253987 
2125.000000,1.449047 
8710.000000,1.075077 
5944.000000,0.287662 
9232.000000,0.306661 
6411.000000,0.237241 
5727.000000,0.216764 
5402.000000,0.322557 
5858.000000,0.264332 
5502.000000,0.397024 
7668.000000,0.255813 
5460.000000,0.340059 
4404.000000,0.372878 
9374.000000,0.216152 
9372.000000,1.035635 
6991.000000,0.268163 
6865.000000,0.142112 
6636.000000,0.254688 
6054.000000,0.298196 
6109.000000,0.212207 
6351.000000,0.228949 
6351.000000,0.509077 
6413.000000,0.319674 
6295.000000,0.314220 
6282.000000,0.269080 
6331.000000,0.345269 
6034.000000,0.227470 
4574.000000,0.213858 
4415.000000,0.368547 
2581.000000,0.221176 
4415.000000,0.306932 
20.000000,0.463660 
15.000000,0.505889 
4661.000000,0.247941 
9685.000000,0.562906 
9685.000000,0.555410 
4632.000000,0.452430 
4670.000000,0.349778 
4606.000000,0.427139 
40.000000,0.364782 
30.000000,0.330182 
9679.000000,0.365234 
5058.000000,0.378479 
5380.000000,0.317253 
5058.000000,0.250930 
3541.000000,0.262287 
3541.000000,0.367082 
6358.000000,0.404865 
3541.000000,0.683810 
3557.000000,0.264214 
3557.000000,0.649944 
9209.000000,0.247283 
8719.000000,0.067086 
6774.000000,0.301079 
6774.000000,0.618408 
6712.000000,0.357559 
1899.000000,0.524961 
9281.000000,1.449631 
9281.000000,1.081377 
9355.000000,1.016527 
6686.000000,0.292868 
6875.000000,0.310121 
6638.000000,0.215169 
6970.000000,0.274409 
4703.000000,0.354532 
9822.000000,0.211607 
9780.000000,0.192340 
5373.000000,0.481530 
7352.000000,0.292480 
4627.000000,0.410096 
7255.000000,0.208319 
6525.000000,0.285266 
5327.000000,0.343181 
9778.000000,0.246550 
7209.000000,0.170271 
6609.000000,0.122888 
6597.000000,0.247272 
6550.000000,0.284831 
9357.000000,0.111739 
9290.000000,0.508606 
9357.000000,0.510382 
9352.000000,0.473608 
6645.000000,0.334958 
2127.000000,0.373089 
2149.000000,0.547631 
64.000000,0.285700 
64.000000,0.108813 
4.000000,0.259466 
9691.000000,0.218743 
9264.000000,1.012316 
9425.000000,0.621270 
9277.000000,0.475117 
9281.000000,0.309042 
9277.000000,0.459554 
5036.000000,0.227063 
37.000000,0.247926 
4701.000000,0.430024 
4336.000000,0.305450 
19.000000,0.293358 
8612.000000,0.192887 
7951.000000,0.180992 
4252.000000,0.227732 
1067.000000,0.443325 
1054.000000,0.451658 
3897.000000,0.402451 
2435.000000,0.395258 
4210.000000,0.191771 
3838.000000,0.134937 
2605.000000,0.363105 
2493.000000,0.180761 
2230.000000,0.260583 
2313.000000,0.220454 
2629.000000,0.503790 
3518.000000,0.300181 
3615.000000,0.280887 
3518.000000,0.367655 
3518.000000,0.376550 
224.000000,0.471915 
9197.000000,0.332080 
463.000000,0.422351 
4071.000000,0.273614 
4071.000000,0.178096 
4063.000000,0.243952 
3822.000000,0.178169 
2565.000000,0.240388 
3384.000000,0.395740 
2399.000000,0.484091 
4470.000000,0.291800 
2458.000000,0.375584 
2899.000000,0.257386 
3156.000000,0.407208 
1799.000000,0.494898 
2034.000000,0.439695 
2750.000000,0.268901 
3008.000000,0.227487 
2965.000000,0.224079 
6590.000000,0.298252 
6904.000000,0.289403 
6590.000000,0.177914 
6941.000000,0.194953 
6840.000000,0.230680 
9708.000000,0.368901 
6545.000000,0.266365 
6648.000000,0.273183 
6711.000000,0.153496 
1719.000000,0.162863 
1259.000000,0.131841 
1687.000000,0.256203 
1666.000000,0.219724 
3.000000,0.840330 
3.000000,1.210713 
8875.000000,0.511509 
8884.000000,0.510542 
9008.000000,0.512341 
8768.000000,1.124276 
8765.000000,0.610267 
8710.000000,0.593350 
8694.000000,0.286019 
8722.000000,0.627471 
8722.000000,0.531622 
8750.000000,1.000747 
8755.000000,1.004997 
8743.000000,1.018993 
8769.000000,0.377397 
62.000000,0.169066 
2140.000000,0.391506 
8770.000000,0.638510 
6069.000000,0.429262 
