point, dist
33.000000,0.124615 
9668.000000,0.313394 
24.000000,0.236989 
34.000000,0.343165 
9397.000000,0.368473 
9584.000000,0.207798 
9492.000000,0.253533 
9640.000000,0.334216 
9474.000000,0.247708 
240.000000,0.344892 
9422.000000,0.047552 
9562.000000,0.154875 
9811.000000,0.312263 
8019.000000,0.222759 
9811.000000,0.212428 
342.000000,0.344588 
335.000000,0.279807 
8302.000000,0.259612 
7452.000000,0.246093 
392.000000,0.381015 
4884.000000,0.317824 
4646.000000,0.276613 
4254.000000,0.507185 
9981.000000,0.316621 
6700.000000,0.124113 
6905.000000,0.485445 
6410.000000,0.185564 
6905.000000,0.221048 
7914.000000,0.383802 
7790.000000,0.245962 
7542.000000,0.272487 
8147.000000,0.185996 
7899.000000,0.234414 
8077.000000,0.148352 
7644.000000,0.180944 
8147.000000,0.328764 
7644.000000,0.308696 
2480.000000,0.099206 
2714.000000,0.368176 
2614.000000,0.240314 
3274.000000,0.213498 
2564.000000,0.090987 
2814.000000,0.197635 
3207.000000,0.087236 
8690.000000,0.343571 
9035.000000,0.217716 
3316.000000,0.151229 
8416.000000,0.212911 
7726.000000,0.248956 
4902.000000,0.279651 
3834.000000,0.286746 
3834.000000,0.291257 
3446.000000,0.191180 
3513.000000,0.259319 
1182.000000,0.528327 
4248.000000,0.338323 
4185.000000,0.336300 
3342.000000,0.222631 
4143.000000,0.223001 
4136.000000,0.225400 
4211.000000,0.203874 
4193.000000,0.278774 
1267.000000,0.250437 
1224.000000,0.209250 
1287.000000,0.266635 
9664.000000,0.284660 
4653.000000,0.184609 
4543.000000,0.163460 
4810.000000,0.299120 
240.000000,0.178355 
9474.000000,0.282717 
232.000000,0.302116 
685.000000,0.399489 
749.000000,0.556913 
744.000000,0.385498 
746.000000,0.407706 
6138.000000,0.291812 
774.000000,0.451323 
434.000000,0.406029 
446.000000,0.432598 
6418.000000,0.262158 
9914.000000,0.312419 
9881.000000,0.357609 
9881.000000,0.437349 
5689.000000,0.286769 
9395.000000,0.358632 
6546.000000,0.226458 
7302.000000,0.222931 
2924.000000,0.549774 
2519.000000,0.429114 
2974.000000,0.091196 
2709.000000,0.463048 
7891.000000,0.111157 
8207.000000,0.211229 
7914.000000,0.138900 
7417.000000,0.134746 
9042.000000,0.294363 
8620.000000,0.278493 
9234.000000,0.167923 
8147.000000,0.559265 
8147.000000,0.621508 
3316.000000,0.621327 
4902.000000,0.347808 
5021.000000,0.252646 
8690.000000,0.295011 
8629.000000,0.270867 
8064.000000,0.287326 
9287.000000,0.106313 
1182.000000,0.443694 
3614.000000,0.668137 
3499.000000,0.273762 
1058.000000,0.445261 
3921.000000,0.191919 
3549.000000,0.233288 
3340.000000,0.245867 
4193.000000,0.202507 
3818.000000,0.235984 
4283.000000,0.246569 
4317.000000,0.218816 
2993.000000,0.278504 
3311.000000,0.962621 
2735.000000,0.513961 
992.000000,0.830618 
3207.000000,0.385799 
1093.000000,0.815687 
6831.000000,0.384687 
1063.000000,0.579578 
1254.000000,0.547667 
1241.000000,0.457484 
9986.000000,0.388597 
5223.000000,0.178265 
5187.000000,0.369193 
4496.000000,0.218087 
5256.000000,0.329510 
5256.000000,0.245216 
171.000000,0.171321 
209.000000,0.950056 
9536.000000,0.480477 
9536.000000,0.910264 
1406.000000,0.975732 
9536.000000,0.910788 
1406.000000,0.995828 
9572.000000,0.922512 
3018.000000,0.968856 
3090.000000,0.974735 
738.000000,0.424715 
738.000000,0.495377 
6138.000000,0.156644 
5689.000000,0.179947 
628.000000,0.346649 
570.000000,0.330288 
717.000000,0.420703 
3357.000000,0.212380 
3890.000000,0.230254 
4012.000000,0.115638 
4048.000000,0.308447 
3358.000000,0.194193 
4832.000000,0.196960 
4412.000000,0.244533 
5344.000000,0.310015 
5033.000000,0.357915 
5092.000000,0.293424 
4821.000000,0.290559 
5117.000000,0.282998 
4105.000000,0.278456 
4194.000000,0.040876 
3521.000000,0.356160 
1041.000000,0.343870 
1216.000000,0.378674 
8380.000000,0.278584 
8828.000000,0.210906 
8513.000000,0.233949 
8513.000000,0.316150 
8946.000000,0.268761 
4205.000000,0.338519 
71.000000,0.082198 
265.000000,0.327072 
7867.000000,0.265452 
8292.000000,0.213389 
8332.000000,0.278975 
2098.000000,0.959935 
159.000000,0.902949 
159.000000,0.400284 
143.000000,0.422204 
8357.000000,0.303993 
8272.000000,0.158310 
7505.000000,0.248064 
8077.000000,0.548211 
8194.000000,0.335475 
7394.000000,0.108931 
8529.000000,0.323804 
8774.000000,0.214698 
8659.000000,0.190342 
8842.000000,0.291535 
8910.000000,0.215085 
8399.000000,0.338748 
8704.000000,0.333677 
9386.000000,0.228743 
8550.000000,0.302690 
9259.000000,0.223346 
8658.000000,0.282316 
9327.000000,0.248604 
9227.000000,0.159177 
8616.000000,0.206862 
8414.000000,0.290414 
9061.000000,0.168404 
9020.000000,0.230761 
8974.000000,0.138052 
7942.000000,0.338018 
8393.000000,0.235008 
8278.000000,0.149237 
9308.000000,0.408177 
7982.000000,0.243659 
8142.000000,0.296289 
8234.000000,0.198827 
8707.000000,0.103485 
8419.000000,0.224627 
8740.000000,0.106187 
9181.000000,0.282783 
9078.000000,0.199954 
8775.000000,0.273593 
8831.000000,0.194179 
8477.000000,0.169373 
9085.000000,0.238001 
9327.000000,0.278809 
8395.000000,0.377280 
8997.000000,0.318774 
8713.000000,0.219872 
7456.000000,0.216946 
7449.000000,0.302783 
7621.000000,0.266353 
7536.000000,0.332185 
8224.000000,0.268506 
7398.000000,0.278904 
8224.000000,0.289114 
7711.000000,0.193302 
8141.000000,0.172191 
9024.000000,0.305242 
9024.000000,0.428273 
8554.000000,0.209999 
352.000000,0.439458 
319.000000,0.298616 
