point, dist
123.000000,0.059914 
277.000000,0.105138 
298.000000,0.134633 
4940.000000,0.132584 
5305.000000,0.120912 
4762.000000,0.151231 
4940.000000,0.118331 
9592.000000,0.337836 
9867.000000,0.184423 
4203.000000,0.152613 
4277.000000,0.107763 
4350.000000,0.141754 
4172.000000,0.173233 
4539.000000,0.130931 
4425.000000,0.181999 
4398.000000,0.137953 
4512.000000,0.108732 
2970.000000,0.071843 
2567.000000,0.039994 
2845.000000,0.069158 
2423.000000,0.102877 
1192.000000,0.112074 
1167.000000,0.084485 
1307.000000,0.058474 
884.000000,0.212286 
4307.000000,0.208504 
4275.000000,0.119853 
216.000000,0.134379 
620.000000,0.099704 
501.000000,0.134643 
1193.000000,0.115391 
1218.000000,0.099382 
213.000000,0.077290 
739.000000,0.131468 
1183.000000,0.289954 
1183.000000,0.039717 
739.000000,0.315407 
885.000000,0.070736 
885.000000,0.292409 
9856.000000,0.122400 
9849.000000,0.186079 
4473.000000,0.158714 
4407.000000,0.162537 
4356.000000,0.148566 
3232.000000,0.140884 
9962.000000,0.113273 
4479.000000,0.197758 
3659.000000,0.142411 
3053.000000,0.027221 
7077.000000,0.071315 
7447.000000,0.099585 
7471.000000,0.061661 
7466.000000,0.100508 
2305.000000,0.121721 
2737.000000,0.089659 
2745.000000,0.005056 
2447.000000,0.101975 
882.000000,0.182439 
1072.000000,0.105603 
718.000000,0.124404 
1206.000000,0.040334 
1320.000000,0.075915 
1190.000000,0.053918 
1316.000000,0.096610 
1373.000000,0.063208 
1024.000000,0.131278 
1387.000000,0.077868 
1337.000000,0.119820 
44.000000,0.024624 
624.000000,0.106585 
7102.000000,0.065738 
697.000000,0.086561 
892.000000,0.108481 
1086.000000,0.096036 
836.000000,0.144613 
3363.000000,0.098547 
3238.000000,0.058515 
3238.000000,0.298079 
4618.000000,0.165384 
4708.000000,0.203496 
4197.000000,0.152570 
4255.000000,0.142178 
4214.000000,0.149047 
4846.000000,0.147050 
1195.000000,0.025671 
819.000000,0.110062 
1298.000000,0.042096 
1123.000000,0.111540 
4262.000000,0.147026 
618.000000,0.127288 
351.000000,0.051995 
422.000000,0.103964 
598.000000,0.080294 
364.000000,0.148707 
646.000000,0.121481 
74.000000,0.088263 
9533.000000,0.202161 
285.000000,0.049974 
61.000000,0.105415 
580.000000,0.076684 
148.000000,0.067305 
158.000000,0.141430 
96.000000,0.163733 
963.000000,0.097102 
1388.000000,0.116650 
963.000000,0.301001 
822.000000,0.311326 
961.000000,0.053218 
1063.000000,0.040071 
1091.000000,0.106488 
1081.000000,0.290251 
1081.000000,0.095533 
945.000000,0.121446 
717.000000,0.058836 
1063.000000,0.291051 
782.000000,0.124868 
1267.000000,0.045150 
1304.000000,0.060865 
1029.000000,0.135342 
1117.000000,0.193926 
1017.000000,0.136110 
767.000000,0.097963 
1167.000000,0.308379 
1200.000000,0.052855 
5487.000000,0.297115 
277.000000,0.302576 
639.000000,0.319160 
1110.000000,0.105566 
792.000000,0.089131 
760.000000,0.093484 
4358.000000,0.212353 
4293.000000,0.172980 
4318.000000,0.124822 
1131.000000,0.294457 
1131.000000,0.088552 
1233.000000,0.079666 
1301.000000,0.077124 
1270.000000,0.065000 
4515.000000,0.149752 
4534.000000,0.131808 
4239.000000,0.177329 
4289.000000,0.142332 
4196.000000,0.126789 
4251.000000,0.113917 
4164.000000,0.170528 
4339.000000,0.151761 
4254.000000,0.131265 
4560.000000,0.153961 
4397.000000,0.174087 
4386.000000,0.114672 
4554.000000,0.152023 
4523.000000,0.176527 
4448.000000,0.170216 
2961.000000,0.117983 
2460.000000,0.116572 
2658.000000,0.109054 
4431.000000,0.185060 
4562.000000,0.191528 
9979.000000,0.100564 
4543.000000,0.161780 
4457.000000,0.125534 
3126.000000,0.121029 
3347.000000,0.104651 
3201.000000,0.188220 
6002.000000,0.177930 
3128.000000,0.035264 
3346.000000,0.106058 
7824.000000,0.105271 
7827.000000,0.140375 
3207.000000,0.095670 
2462.000000,0.134679 
3426.000000,0.082306 
3385.000000,0.101533 
3032.000000,0.145302 
5994.000000,0.090696 
3317.000000,0.072723 
3587.000000,0.061260 
2435.000000,0.112486 
2435.000000,0.312034 
2942.000000,0.113524 
3095.000000,0.049384 
3525.000000,0.060201 
2595.000000,0.029040 
2729.000000,0.119509 
2886.000000,0.091590 
2743.000000,0.102174 
2980.000000,0.064176 
2512.000000,0.115188 
9492.000000,0.324933 
