point, dist
3582.000000,0.169736 
3568.000000,0.150920 
4721.000000,0.115257 
3564.000000,0.135150 
3570.000000,0.122890 
3589.000000,0.093961 
3608.000000,0.169180 
3590.000000,0.106431 
3588.000000,0.127683 
3457.000000,0.126351 
3472.000000,0.123175 
3482.000000,0.195579 
3386.000000,0.189515 
4995.000000,0.149447 
212.000000,0.276292 
6283.000000,0.225991 
3565.000000,0.197102 
3572.000000,0.091274 
3544.000000,0.133657 
3630.000000,0.234954 
3631.000000,0.224468 
3620.000000,0.179551 
4723.000000,0.096467 
3579.000000,0.177977 
3618.000000,0.100724 
5509.000000,0.088977 
3290.000000,0.108359 
5039.000000,0.131350 
5505.000000,0.091398 
3271.000000,0.182779 
5928.000000,0.146542 
4683.000000,0.126553 
4681.000000,0.218006 
4679.000000,0.225486 
1537.000000,0.219060 
9483.000000,0.228771 
1576.000000,0.156097 
9382.000000,0.137781 
4499.000000,0.042219 
3834.000000,0.166077 
9353.000000,0.139326 
4954.000000,0.226277 
4889.000000,0.081155 
4921.000000,0.190088 
4886.000000,0.118041 
4955.000000,0.206547 
4958.000000,0.188049 
4956.000000,0.203975 
4853.000000,0.186190 
3470.000000,0.192044 
6107.000000,0.189859 
4971.000000,0.097208 
3821.000000,0.145877 
9352.000000,0.174195 
9359.000000,0.145226 
4714.000000,0.195788 
4706.000000,0.127568 
4710.000000,0.148566 
4705.000000,0.213655 
4729.000000,0.097335 
3771.000000,0.157124 
3626.000000,0.157816 
4886.000000,0.184674 
1452.000000,0.159421 
5926.000000,0.068224 
1445.000000,0.240530 
3627.000000,0.199875 
5508.000000,0.147611 
3296.000000,0.200200 
3302.000000,0.183589 
3379.000000,0.267130 
299.000000,0.308784 
4752.000000,0.057082 
5461.000000,0.058875 
206.000000,0.321260 
4991.000000,0.061966 
198.000000,0.334765 
3168.000000,0.132320 
3165.000000,0.206588 
6475.000000,0.228784 
6471.000000,0.220026 
3188.000000,0.242270 
5526.000000,0.149118 
3171.000000,0.175201 
3177.000000,0.134154 
5040.000000,0.158060 
5035.000000,0.110311 
4674.000000,0.203009 
5932.000000,0.108823 
3612.000000,0.172100 
3585.000000,0.175617 
4929.000000,0.228166 
3557.000000,0.174391 
9380.000000,0.197786 
4687.000000,0.179765 
4691.000000,0.235159 
423.000000,0.338762 
9406.000000,0.158889 
9377.000000,0.107540 
9373.000000,0.077729 
9421.000000,0.178741 
9402.000000,0.152677 
9391.000000,0.154383 
4695.000000,0.225319 
3486.000000,0.155911 
6094.000000,0.227568 
3474.000000,0.209873 
3473.000000,0.157736 
6055.000000,0.069408 
9503.000000,0.188367 
9508.000000,0.167339 
9354.000000,0.137519 
9318.000000,0.235371 
3823.000000,0.111931 
9350.000000,0.073339 
9356.000000,0.155754 
4684.000000,0.110709 
9311.000000,0.194934 
9967.000000,0.148760 
9968.000000,0.160696 
9972.000000,0.184029 
3453.000000,0.120555 
3479.000000,0.103364 
3469.000000,0.167845 
4718.000000,0.146646 
9792.000000,0.204148 
9796.000000,0.207868 
9801.000000,0.119817 
7891.000000,0.220644 
2460.000000,0.147199 
2434.000000,0.125814 
9777.000000,0.235961 
9778.000000,0.119829 
9775.000000,0.191303 
4884.000000,0.167367 
4856.000000,0.165185 
4892.000000,0.105186 
4872.000000,0.168506 
3510.000000,0.170270 
3498.000000,0.219853 
4871.000000,0.159845 
4875.000000,0.174786 
4904.000000,0.123597 
4881.000000,0.086298 
4916.000000,0.151090 
4907.000000,0.073778 
3607.000000,0.135804 
9341.000000,0.163932 
9977.000000,0.218267 
9950.000000,0.220702 
9172.000000,0.154042 
9158.000000,0.243925 
9986.000000,0.183857 
5924.000000,0.089742 
4906.000000,0.176928 
4890.000000,0.157835 
4918.000000,0.185540 
