point, dist
8731.000000,0.244646 
8898.000000,0.139556 
8746.000000,0.314521 
8740.000000,0.143729 
8890.000000,0.146858 
8997.000000,0.210305 
8733.000000,0.171122 
8769.000000,0.275225 
8900.000000,0.152375 
8767.000000,0.206600 
8896.000000,0.158597 
9995.000000,0.393874 
9995.000000,0.147461 
9796.000000,0.208075 
9695.000000,0.907195 
9032.000000,0.184552 
9073.000000,0.138894 
9074.000000,0.317418 
9079.000000,0.605277 
9074.000000,0.253090 
9033.000000,0.070497 
8070.000000,0.121882 
7916.000000,0.249723 
8989.000000,0.158234 
8070.000000,0.210677 
7921.000000,0.141154 
7917.000000,0.138225 
7489.000000,0.157331 
3755.000000,0.166816 
3752.000000,0.173993 
3653.000000,0.294735 
9143.000000,0.213808 
9021.000000,0.249558 
9071.000000,0.136263 
9107.000000,0.219272 
8738.000000,0.287274 
8734.000000,0.264086 
8895.000000,0.235690 
8899.000000,0.088066 
7059.000000,0.040428 
6328.000000,0.276427 
7062.000000,0.268392 
9931.000000,0.214897 
9932.000000,0.140011 
9999.000000,0.297871 
9842.000000,0.268411 
9998.000000,0.220963 
8758.000000,0.285583 
8728.000000,0.155769 
2784.000000,0.203001 
2698.000000,0.266969 
2698.000000,0.248264 
8564.000000,0.147217 
8574.000000,0.287651 
8565.000000,0.170847 
8561.000000,0.171146 
8902.000000,0.187688 
8905.000000,0.205135 
9904.000000,0.618072 
9998.000000,0.568700 
9936.000000,0.246373 
9934.000000,0.250070 
9936.000000,0.285659 
9934.000000,0.178205 
9796.000000,0.216560 
9706.000000,0.196898 
9758.000000,0.889711 
9658.000000,0.915099 
9658.000000,0.454041 
9758.000000,0.473931 
9575.000000,0.163765 
9993.000000,0.169199 
9629.000000,0.383894 
9655.000000,0.155981 
9995.000000,0.409482 
9994.000000,0.075383 
9721.000000,0.151524 
9711.000000,0.929519 
9998.000000,0.674508 
9998.000000,0.095823 
9075.000000,0.204354 
9026.000000,0.247316 
8745.000000,0.297190 
8696.000000,0.237906 
8695.000000,0.193952 
8528.000000,0.257547 
8528.000000,0.153544 
9711.000000,0.280582 
9079.000000,0.594623 
9078.000000,0.639812 
9079.000000,0.285193 
4046.000000,0.201364 
3966.000000,0.157356 
3588.000000,0.260568 
3590.000000,0.174715 
9533.000000,0.176655 
9438.000000,0.127490 
9503.000000,0.117538 
7061.000000,0.041792 
7055.000000,0.277127 
7052.000000,0.093350 
7060.000000,0.267173 
9093.000000,0.246627 
9081.000000,0.732587 
9086.000000,1.169437 
9086.000000,0.817556 
3755.000000,0.135680 
8068.000000,0.173719 
9222.000000,0.278504 
9180.000000,0.365395 
9174.000000,0.190939 
9169.000000,0.218616 
9036.000000,0.126564 
9221.000000,0.247190 
9250.000000,0.126869 
9983.000000,0.168333 
9217.000000,0.296165 
9217.000000,0.454366 
7715.000000,0.250111 
7700.000000,0.138383 
7711.000000,0.280337 
9984.000000,0.156798 
7870.000000,0.139083 
8986.000000,0.191307 
7713.000000,0.269733 
7717.000000,0.118867 
7917.000000,0.273825 
8985.000000,0.096908 
7491.000000,0.177761 
3633.000000,0.178397 
8983.000000,0.119309 
