point, dist
3358.000000,0.084063 
9200.000000,0.032107 
3352.000000,0.108275 
4402.000000,0.195704 
3690.000000,0.078832 
3672.000000,0.075746 
1012.000000,0.183222 
4435.000000,0.107972 
9163.000000,0.082271 
3368.000000,0.089793 
3372.000000,0.134417 
4415.000000,0.172314 
3377.000000,0.110301 
1436.000000,0.107032 
2032.000000,0.118036 
1508.000000,0.093896 
1546.000000,0.071840 
3239.000000,0.162900 
3261.000000,0.159263 
3241.000000,0.150405 
1029.000000,0.074619 
4328.000000,0.109439 
4335.000000,0.124279 
9203.000000,0.179476 
9178.000000,0.145145 
3549.000000,0.076068 
3426.000000,0.099399 
4330.000000,0.103740 
4400.000000,0.185701 
3353.000000,0.071018 
3351.000000,0.065142 
9859.000000,0.182234 
9988.000000,0.182772 
9972.000000,0.181993 
9839.000000,0.146051 
9832.000000,0.189655 
3240.000000,0.165436 
1351.000000,0.092000 
3200.000000,0.157135 
3170.000000,0.192574 
1424.000000,0.064585 
1582.000000,0.069456 
1544.000000,0.060705 
1432.000000,0.094495 
8101.000000,0.113808 
8127.000000,0.120849 
7733.000000,0.071981 
477.000000,0.179841 
4176.000000,0.128473 
290.000000,0.226654 
931.000000,0.216858 
3700.000000,0.091462 
9163.000000,0.093291 
3402.000000,0.087515 
3670.000000,0.054872 
4484.000000,0.127082 
3674.000000,0.059587 
4423.000000,0.059521 
3237.000000,0.156916 
1466.000000,0.097716 
9445.000000,0.078267 
1478.000000,0.081224 
1131.000000,0.136133 
1151.000000,0.091439 
1265.000000,0.072250 
1268.000000,0.064847 
1205.000000,0.102051 
377.000000,0.175780 
270.000000,0.202161 
2874.000000,0.188379 
2967.000000,0.170507 
515.000000,0.192287 
3304.000000,0.182323 
1405.000000,0.085872 
1417.000000,0.099687 
3205.000000,0.181051 
3804.000000,0.148561 
5548.000000,0.164916 
3603.000000,0.078604 
3590.000000,0.124891 
4389.000000,0.175321 
3576.000000,0.073825 
9222.000000,0.070530 
3037.000000,0.160450 
310.000000,0.168346 
1543.000000,0.064268 
