point, dist
5316.000000,0.113869 
5354.000000,0.233228 
5337.000000,0.136689 
5316.000000,0.162806 
8852.000000,0.542896 
8843.000000,0.646008 
8846.000000,0.523197 
8769.000000,0.686339 
8801.000000,0.376531 
8814.000000,0.425097 
8778.000000,0.412103 
8795.000000,0.608140 
8780.000000,0.475315 
8794.000000,0.443072 
8823.000000,0.339529 
2471.000000,0.255757 
3023.000000,0.246629 
2521.000000,0.165130 
1401.000000,0.114251 
6145.000000,0.202433 
6166.000000,0.232299 
6123.000000,0.140393 
4397.000000,0.209651 
4392.000000,0.199069 
4381.000000,0.108495 
4378.000000,0.115313 
4408.000000,0.210214 
9521.000000,0.210233 
9633.000000,0.277849 
8788.000000,0.456997 
8836.000000,0.357864 
2635.000000,0.229779 
2734.000000,0.188525 
2634.000000,0.275642 
2695.000000,0.260561 
2719.000000,0.283480 
2856.000000,0.295555 
8775.000000,0.423876 
8785.000000,0.481491 
9453.000000,0.203396 
9388.000000,0.263749 
5608.000000,0.293131 
5618.000000,0.275767 
2965.000000,0.191621 
1839.000000,0.244211 
1806.000000,0.230075 
1836.000000,0.241246 
4383.000000,0.089781 
4422.000000,0.150346 
2785.000000,0.216709 
3879.000000,0.289249 
4369.000000,0.209416 
3882.000000,0.282125 
4407.000000,0.144400 
4403.000000,0.132493 
6133.000000,0.199526 
4404.000000,0.153467 
5330.000000,0.174314 
5330.000000,0.158559 
5306.000000,0.172841 
5326.000000,0.222052 
1628.000000,0.214246 
1852.000000,0.202333 
1628.000000,0.197908 
1841.000000,0.163918 
1831.000000,0.181754 
4418.000000,0.211140 
2689.000000,0.344591 
6154.000000,0.244927 
1865.000000,0.271153 
1879.000000,0.268236 
4337.000000,0.267528 
2531.000000,0.302004 
4500.000000,0.226860 
4999.000000,0.250162 
4606.000000,0.242504 
4554.000000,0.179220 
497.000000,0.368896 
465.000000,0.343879 
456.000000,0.378325 
4520.000000,0.224730 
4591.000000,0.233780 
4527.000000,0.180092 
4494.000000,0.313372 
2953.000000,0.310353 
2961.000000,0.252527 
2453.000000,0.201549 
3194.000000,0.260296 
3053.000000,0.252856 
723.000000,0.386036 
728.000000,0.366798 
5401.000000,0.284853 
767.000000,0.364811 
780.000000,0.418661 
730.000000,0.401574 
5350.000000,0.208468 
5344.000000,0.147373 
2422.000000,0.216816 
5310.000000,0.113311 
2478.000000,0.188455 
2524.000000,0.191300 
1859.000000,0.166578 
8805.000000,0.299882 
8838.000000,0.277612 
2938.000000,0.239358 
4043.000000,0.188224 
4027.000000,0.252250 
6331.000000,0.076760 
6347.000000,0.213311 
6310.000000,0.173949 
6318.000000,0.140844 
4360.000000,0.437868 
362.000000,0.374757 
4337.000000,0.270502 
4328.000000,0.208359 
2834.000000,0.243786 
2708.000000,0.280820 
4654.000000,0.249143 
3493.000000,0.165289 
1615.000000,0.276919 
3348.000000,0.262031 
3439.000000,0.215230 
3519.000000,0.159910 
3133.000000,0.178126 
3406.000000,0.239471 
3137.000000,0.303873 
3297.000000,0.217361 
3245.000000,0.207205 
6127.000000,0.159570 
6116.000000,0.181865 
6165.000000,0.210155 
2055.000000,0.281233 
6079.000000,0.261170 
6090.000000,0.243183 
6093.000000,0.266280 
4399.000000,0.185421 
4415.000000,0.226919 
4377.000000,0.096358 
4384.000000,0.211428 
1874.000000,0.206433 
2780.000000,0.226599 
2775.000000,0.294423 
2773.000000,0.240093 
8791.000000,0.228513 
8844.000000,0.338764 
8845.000000,0.280683 
4386.000000,0.140899 
2746.000000,0.121506 
1394.000000,0.282157 
1678.000000,0.100967 
2749.000000,0.513866 
2749.000000,0.083003 
345.000000,0.382951 
9462.000000,0.357573 
8806.000000,0.623678 
8830.000000,0.432437 
9835.000000,0.255499 
9866.000000,0.170943 
1994.000000,0.147657 
1948.000000,0.226100 
1835.000000,0.202388 
2906.000000,0.255119 
2115.000000,0.237772 
2905.000000,0.299731 
2011.000000,0.204813 
2075.000000,0.268635 
2083.000000,0.186097 
2928.000000,0.224329 
6111.000000,0.045318 
3863.000000,0.287525 
6126.000000,0.124573 
6150.000000,0.165704 
6125.000000,0.148974 
1958.000000,0.280758 
1919.000000,0.199672 
1992.000000,0.226103 
4714.000000,0.292724 
4351.000000,0.347899 
4330.000000,0.221617 
4323.000000,0.211313 
448.000000,0.385648 
615.000000,0.408691 
9679.000000,0.274004 
9715.000000,0.207767 
9765.000000,0.181874 
651.000000,0.373175 
4266.000000,0.377946 
4300.000000,0.209964 
4264.000000,0.268920 
6991.000000,0.223284 
6901.000000,0.195439 
6976.000000,0.162459 
2436.000000,0.218271 
2519.000000,0.199913 
2485.000000,0.232986 
3067.000000,0.209195 
4332.000000,0.116780 
4309.000000,0.178045 
4314.000000,0.293550 
3556.000000,0.219382 
2864.000000,0.331385 
3445.000000,0.219879 
2553.000000,0.266123 
5715.000000,0.175760 
5776.000000,0.274457 
5778.000000,0.151525 
775.000000,0.361135 
774.000000,0.370618 
792.000000,0.379721 
2308.000000,0.129140 
5727.000000,0.171136 
6010.000000,0.233264 
5998.000000,0.223904 
5400.000000,0.135719 
5400.000000,0.367796 
761.000000,0.397879 
5363.000000,0.234875 
5345.000000,0.245239 
5349.000000,0.303841 
3398.000000,0.224685 
767.000000,0.122641 
772.000000,0.204493 
6341.000000,0.175218 
1014.000000,0.364269 
1029.000000,0.302196 
1069.000000,0.297785 
1006.000000,0.337278 
6327.000000,0.122100 
5358.000000,0.220308 
5314.000000,0.148709 
5312.000000,0.156647 
5315.000000,0.178862 
2669.000000,0.271079 
2663.000000,0.228295 
2704.000000,0.217188 
2569.000000,0.292670 
4218.000000,0.269492 
4164.000000,0.261130 
4228.000000,0.246552 
1882.000000,0.271909 
2784.000000,0.319642 
1840.000000,0.239173 
4512.000000,0.170890 
1707.000000,0.224958 
5269.000000,0.113476 
4715.000000,0.189349 
4199.000000,0.234355 
4193.000000,0.226917 
4286.000000,0.173273 
4298.000000,0.198564 
4249.000000,0.373546 
5204.000000,0.232757 
5183.000000,0.147191 
5176.000000,0.104121 
5176.000000,0.136005 
6262.000000,0.196039 
6288.000000,0.155913 
6287.000000,0.220069 
4373.000000,0.105149 
3368.000000,0.172344 
3375.000000,0.177700 
3513.000000,0.188972 
3403.000000,0.271582 
2710.000000,0.194928 
4901.000000,0.154800 
1712.000000,0.178191 
2685.000000,0.220673 
7767.000000,0.243631 
8633.000000,0.270647 
8618.000000,0.257432 
7744.000000,0.223329 
6621.000000,0.252988 
3135.000000,0.220951 
2532.000000,0.250518 
3546.000000,0.196887 
2697.000000,0.193142 
2703.000000,0.219500 
3115.000000,0.204970 
3094.000000,0.177811 
3555.000000,0.209755 
3426.000000,0.264111 
2633.000000,0.289210 
4716.000000,0.169922 
5272.000000,0.222409 
4833.000000,0.179302 
4838.000000,0.189162 
4722.000000,0.160095 
6153.000000,0.260479 
6153.000000,0.235261 
6167.000000,0.207562 
4371.000000,0.194085 
2782.000000,0.295434 
1837.000000,0.189093 
1811.000000,0.257072 
1796.000000,0.154449 
1873.000000,0.226857 
2803.000000,0.231969 
6237.000000,0.371774 
6057.000000,0.499112 
4386.000000,0.204028 
4375.000000,0.221001 
1662.000000,0.302119 
3710.000000,0.179162 
3872.000000,0.222090 
3754.000000,0.188928 
3682.000000,0.267256 
1872.000000,0.202540 
1897.000000,0.248418 
1675.000000,0.232101 
4201.000000,0.253765 
3944.000000,0.218046 
4158.000000,0.231007 
4117.000000,0.222955 
4125.000000,0.150099 
4068.000000,0.200051 
3933.000000,0.263554 
4056.000000,0.157771 
9955.000000,0.185993 
3957.000000,0.317049 
3825.000000,0.164871 
3916.000000,0.202533 
3862.000000,0.230231 
3777.000000,0.290645 
9391.000000,0.176241 
9305.000000,0.354834 
8818.000000,0.279798 
8807.000000,0.309575 
8995.000000,0.164501 
9006.000000,0.154384 
9011.000000,0.190911 
7592.000000,0.119706 
7666.000000,0.214918 
7648.000000,0.154479 
371.000000,0.436355 
314.000000,0.365540 
7128.000000,0.243475 
8209.000000,0.322185 
7062.000000,0.167725 
8184.000000,0.242998 
8202.000000,0.254099 
8196.000000,0.288327 
8784.000000,0.282904 
486.000000,0.361348 
586.000000,0.387973 
4620.000000,0.248893 
4998.000000,0.172794 
5002.000000,0.165409 
7055.000000,0.203354 
7161.000000,0.286386 
7165.000000,0.281508 
7005.000000,0.179517 
7029.000000,0.248849 
6924.000000,0.243005 
2212.000000,0.177039 
2255.000000,0.237904 
693.000000,0.394232 
2081.000000,0.185444 
2241.000000,0.248863 
1672.000000,0.114023 
6135.000000,0.177430 
6290.000000,0.168307 
6282.000000,0.170234 
6249.000000,0.201447 
6274.000000,0.159015 
6148.000000,0.124964 
5655.000000,0.146700 
5658.000000,0.191017 
5647.000000,0.211020 
5408.000000,0.189015 
6005.000000,0.243076 
5995.000000,0.160891 
1767.000000,0.153633 
4523.000000,0.163102 
4653.000000,0.212598 
1761.000000,0.156359 
1959.000000,0.229848 
1929.000000,0.203275 
4660.000000,0.284682 
5667.000000,0.163349 
2969.000000,0.220174 
6451.000000,0.102696 
6450.000000,0.181421 
2989.000000,0.335092 
5660.000000,0.178205 
5663.000000,0.161454 
9605.000000,0.256765 
9771.000000,0.207423 
6725.000000,0.271839 
7833.000000,0.291585 
6717.000000,0.194320 
6784.000000,0.197284 
2906.000000,0.285024 
9790.000000,0.215999 
9772.000000,0.170032 
9842.000000,0.199559 
9530.000000,0.142012 
9451.000000,0.188122 
9472.000000,0.183141 
2500.000000,0.293768 
2509.000000,0.253918 
2507.000000,0.173677 
2452.000000,0.184560 
2429.000000,0.233848 
1426.000000,0.267149 
1433.000000,0.294568 
3431.000000,0.179965 
2450.000000,0.202181 
3280.000000,0.194624 
3021.000000,0.280739 
2504.000000,0.258875 
2501.000000,0.222550 
2321.000000,0.178182 
2379.000000,0.195071 
2389.000000,0.300566 
2527.000000,0.274363 
2444.000000,0.225428 
3562.000000,0.272307 
3567.000000,0.167550 
2480.000000,0.155603 
2325.000000,0.189166 
2520.000000,0.173019 
2456.000000,0.221916 
5372.000000,0.243520 
5796.000000,0.209071 
2293.000000,0.199362 
5716.000000,0.157406 
5797.000000,0.270650 
5774.000000,0.153819 
5375.000000,0.150775 
5720.000000,0.296741 
5763.000000,0.259057 
5769.000000,0.167624 
5367.000000,0.202725 
5380.000000,0.170928 
5750.000000,0.245807 
2287.000000,0.167065 
2394.000000,0.211515 
5396.000000,0.311774 
5694.000000,0.206005 
772.000000,0.399830 
5685.000000,0.189147 
5407.000000,0.155349 
5705.000000,0.194036 
5701.000000,0.204005 
5691.000000,0.206502 
5688.000000,0.200546 
5714.000000,0.255210 
5709.000000,0.168748 
738.000000,0.372296 
5311.000000,0.176367 
1439.000000,0.324291 
2692.000000,0.167064 
6330.000000,0.156829 
6307.000000,0.246533 
2312.000000,0.198376 
6373.000000,0.234735 
6412.000000,0.174774 
6412.000000,0.207744 
6380.000000,0.187990 
5336.000000,0.114717 
5342.000000,0.119170 
2853.000000,0.180310 
6472.000000,0.328133 
216.000000,0.351864 
358.000000,0.368416 
6474.000000,0.148960 
7727.000000,0.264496 
213.000000,0.328045 
7720.000000,0.235709 
1794.000000,0.207284 
1890.000000,0.234065 
1861.000000,0.229844 
2776.000000,0.293461 
2759.000000,0.167877 
1938.000000,0.224731 
4150.000000,0.236430 
1962.000000,0.152084 
1920.000000,0.250270 
1869.000000,0.208759 
4188.000000,0.304769 
4174.000000,0.286332 
4094.000000,0.292546 
3971.000000,0.156666 
4279.000000,0.187018 
4280.000000,0.130241 
1551.000000,0.402248 
1533.000000,0.386416 
1551.000000,0.209180 
1542.000000,0.369899 
1500.000000,0.369202 
4449.000000,0.250940 
1525.000000,0.356844 
4452.000000,0.152232 
4765.000000,0.313759 
2215.000000,0.136232 
6097.000000,0.306331 
6100.000000,0.308982 
6250.000000,0.219962 
6251.000000,0.184240 
6275.000000,0.112841 
4404.000000,0.209833 
3609.000000,0.166573 
3389.000000,0.149904 
4968.000000,0.172277 
9475.000000,0.314454 
9425.000000,0.201786 
9473.000000,0.247561 
7775.000000,0.178192 
6662.000000,0.145189 
7763.000000,0.231847 
6625.000000,0.282509 
9431.000000,0.224776 
407.000000,0.357901 
2688.000000,0.190608 
4620.000000,0.293525 
4521.000000,0.230874 
4600.000000,0.170715 
4555.000000,0.234813 
5088.000000,0.235423 
4984.000000,0.160307 
5091.000000,0.184034 
4887.000000,0.223213 
5278.000000,0.205130 
5227.000000,0.161775 
1533.000000,0.176834 
6253.000000,0.171262 
6286.000000,0.199204 
6248.000000,0.163380 
6284.000000,0.199413 
1024.000000,0.302498 
1055.000000,0.294209 
909.000000,0.286709 
6129.000000,0.194733 
6159.000000,0.204044 
6147.000000,0.225757 
6131.000000,0.201202 
1677.000000,0.186989 
1693.000000,0.212095 
3745.000000,0.190751 
3940.000000,0.228330 
3949.000000,0.170191 
1844.000000,0.217770 
1802.000000,0.291459 
1846.000000,0.226136 
4007.000000,0.235218 
3976.000000,0.256461 
1853.000000,0.252504 
988.000000,0.314867 
6279.000000,0.196971 
6257.000000,0.147306 
977.000000,0.343153 
6245.000000,0.219909 
6265.000000,0.155548 
1753.000000,0.075786 
987.000000,0.345016 
991.000000,0.288391 
930.000000,0.300450 
4420.000000,0.245763 
6271.000000,0.180771 
2756.000000,0.478732 
1660.000000,0.283347 
1647.000000,0.289123 
1821.000000,0.215823 
1639.000000,0.294004 
1633.000000,0.267094 
3758.000000,0.352953 
3859.000000,0.276936 
3706.000000,0.305266 
3651.000000,0.303715 
3678.000000,0.229543 
3785.000000,0.205654 
3843.000000,0.257733 
3779.000000,0.150898 
3658.000000,0.206483 
3673.000000,0.311160 
3790.000000,0.319311 
4026.000000,0.283334 
3908.000000,0.272532 
3991.000000,0.234996 
3838.000000,0.228793 
1681.000000,0.294029 
4044.000000,0.275841 
4037.000000,0.247568 
4173.000000,0.224235 
4009.000000,0.207528 
4123.000000,0.179281 
4045.000000,0.201388 
3986.000000,0.167987 
4028.000000,0.235692 
4243.000000,0.224504 
3960.000000,0.233549 
9945.000000,0.156362 
9954.000000,0.133500 
9958.000000,0.150747 
9842.000000,0.148188 
4017.000000,0.356012 
2936.000000,0.215712 
4130.000000,0.159533 
2945.000000,0.247919 
3764.000000,0.214956 
3934.000000,0.226978 
3848.000000,0.235558 
3647.000000,0.290661 
3663.000000,0.231325 
3821.000000,0.218369 
8833.000000,0.212926 
8882.000000,0.239173 
8901.000000,0.123408 
8902.000000,0.184130 
8989.000000,0.174082 
9035.000000,0.233236 
4702.000000,0.187702 
8674.000000,0.301200 
7705.000000,0.259773 
7723.000000,0.270921 
310.000000,0.346847 
361.000000,0.368349 
363.000000,0.367363 
7057.000000,0.181923 
7136.000000,0.267717 
7323.000000,0.248618 
7306.000000,0.144826 
7263.000000,0.265818 
7257.000000,0.243478 
8782.000000,0.393422 
7200.000000,0.219732 
7320.000000,0.166382 
7205.000000,0.245711 
1966.000000,0.177893 
1905.000000,0.180156 
1990.000000,0.331132 
4427.000000,0.168325 
4805.000000,0.238266 
4803.000000,0.231031 
4430.000000,0.115819 
4432.000000,0.216600 
1930.000000,0.197908 
1786.000000,0.186183 
1771.000000,0.178086 
4849.000000,0.161126 
4526.000000,0.158147 
4989.000000,0.150044 
4623.000000,0.246436 
4572.000000,0.294474 
4599.000000,0.227225 
5001.000000,0.164184 
5019.000000,0.303119 
4991.000000,0.159203 
4580.000000,0.253080 
4492.000000,0.279451 
490.000000,0.341781 
7082.000000,0.165588 
4269.000000,0.399750 
7047.000000,0.314623 
7026.000000,0.210686 
6992.000000,0.275910 
5640.000000,0.151455 
3784.000000,0.275713 
3945.000000,0.257916 
4227.000000,0.239111 
3969.000000,0.211554 
4060.000000,0.263020 
4225.000000,0.185896 
4135.000000,0.220935 
4114.000000,0.278541 
8084.000000,0.161107 
8081.000000,0.276316 
2010.000000,0.255832 
2064.000000,0.243805 
6125.000000,0.137262 
6289.000000,0.148598 
2058.000000,0.225247 
2086.000000,0.178061 
2062.000000,0.156074 
2045.000000,0.180877 
6098.000000,0.397446 
748.000000,0.180555 
2213.000000,0.081184 
2210.000000,0.096920 
2224.000000,0.159626 
3672.000000,0.309013 
2929.000000,0.245170 
2103.000000,0.264202 
2106.000000,0.286453 
6126.000000,0.194563 
6165.000000,0.236296 
5668.000000,0.218498 
590.000000,0.364641 
644.000000,0.387890 
5728.000000,0.182045 
1986.000000,0.241893 
1934.000000,0.153559 
1924.000000,0.188878 
4657.000000,0.172821 
4673.000000,0.229477 
1932.000000,0.198165 
2807.000000,0.229285 
1995.000000,0.170143 
1943.000000,0.148456 
4684.000000,0.194753 
1906.000000,0.159394 
4039.000000,0.249407 
4089.000000,0.220999 
7261.000000,0.277510 
7289.000000,0.103712 
529.000000,0.321901 
511.000000,0.308951 
1571.000000,0.312286 
664.000000,0.189593 
5792.000000,0.257602 
5808.000000,0.183610 
2984.000000,0.153906 
5596.000000,0.224254 
5604.000000,0.210920 
2460.000000,0.161294 
2487.000000,0.166518 
5432.000000,0.206289 
5569.000000,0.194209 
5546.000000,0.246187 
5744.000000,0.206469 
5792.000000,0.295412 
2095.000000,0.196829 
2136.000000,0.212777 
2126.000000,0.159827 
3661.000000,0.204910 
3650.000000,0.207655 
2939.000000,0.234774 
2947.000000,0.223747 
6515.000000,0.199718 
6872.000000,0.292576 
6869.000000,0.241801 
6782.000000,0.206744 
6873.000000,0.276397 
7929.000000,0.346251 
6871.000000,0.263858 
6650.000000,0.279787 
6660.000000,0.206164 
6645.000000,0.257809 
7758.000000,0.298960 
6644.000000,0.147078 
6715.000000,0.369249 
6741.000000,0.184988 
315.000000,0.366037 
293.000000,0.291952 
373.000000,0.358485 
2127.000000,0.196137 
9767.000000,0.183574 
9782.000000,0.229109 
9683.000000,0.258038 
7835.000000,0.105421 
6725.000000,0.255277 
5617.000000,0.224595 
5597.000000,0.149464 
5646.000000,0.195274 
6977.000000,0.194730 
9700.000000,0.215709 
9783.000000,0.142056 
9714.000000,0.280638 
9600.000000,0.250489 
9621.000000,0.208216 
2498.000000,0.209827 
2473.000000,0.218150 
6374.000000,0.244912 
6389.000000,0.239868 
6401.000000,0.213512 
6394.000000,0.149664 
2495.000000,0.262581 
2506.000000,0.270931 
2438.000000,0.219078 
2525.000000,0.195854 
3016.000000,0.276693 
3098.000000,0.243445 
3315.000000,0.243841 
3034.000000,0.264303 
3140.000000,0.261338 
3108.000000,0.229510 
3018.000000,0.235022 
3058.000000,0.163504 
3307.000000,0.179078 
2344.000000,0.161133 
3589.000000,0.190674 
