point, dist
3410.000000,0.149603 
3568.000000,0.154380 
3377.000000,0.210341 
6912.000000,0.243490 
6966.000000,0.197294 
6929.000000,0.171494 
8089.000000,0.285306 
2568.000000,0.267360 
2602.000000,0.253101 
3518.000000,0.232731 
2681.000000,0.258092 
2728.000000,0.168151 
2741.000000,0.238524 
6992.000000,0.233308 
6970.000000,0.167141 
6915.000000,0.226468 
6925.000000,0.198720 
6978.000000,0.245279 
6923.000000,0.270083 
6346.000000,0.139872 
6348.000000,0.159222 
6351.000000,0.184369 
6323.000000,0.159193 
6334.000000,0.204754 
6295.000000,0.239032 
6325.000000,0.090582 
8818.000000,0.473180 
9391.000000,0.165056 
9391.000000,0.242731 
8836.000000,0.449014 
8809.000000,0.379703 
8803.000000,0.586975 
1638.000000,0.230583 
3812.000000,0.205843 
2785.000000,0.234016 
3549.000000,0.263480 
3643.000000,0.283445 
3545.000000,0.183692 
5216.000000,0.258424 
5211.000000,0.150094 
5187.000000,0.133893 
8859.000000,0.545471 
8848.000000,0.536639 
8847.000000,0.289554 
8853.000000,0.362732 
5186.000000,0.110725 
5229.000000,0.249174 
5225.000000,0.211225 
5207.000000,0.261202 
7083.000000,0.223657 
6972.000000,0.195570 
6918.000000,0.157015 
8083.000000,0.291721 
6920.000000,0.154886 
9934.000000,0.043227 
9905.000000,0.221043 
9908.000000,0.061449 
9864.000000,0.205252 
8874.000000,0.189953 
8898.000000,0.217376 
6310.000000,0.172001 
8807.000000,0.363503 
9142.000000,0.216975 
9131.000000,0.213996 
9035.000000,0.250862 
9042.000000,0.250905 
2678.000000,0.279737 
8784.000000,0.430619 
8788.000000,0.502305 
8796.000000,0.341869 
8787.000000,0.663244 
3639.000000,0.167335 
2642.000000,0.337850 
3472.000000,0.163151 
2586.000000,0.274168 
3403.000000,0.167744 
3445.000000,0.244446 
4381.000000,0.169431 
9544.000000,0.205249 
8790.000000,0.367108 
9450.000000,0.351987 
5364.000000,0.195313 
5365.000000,0.224294 
5341.000000,0.131462 
5322.000000,0.167951 
5331.000000,0.190369 
5184.000000,0.124744 
2679.000000,0.146569 
2735.000000,0.231465 
2692.000000,0.205327 
7077.000000,0.302711 
4331.000000,0.219343 
2714.000000,0.242033 
3281.000000,0.215041 
8933.000000,0.205714 
8930.000000,0.109934 
8974.000000,0.142492 
9953.000000,0.149265 
9785.000000,0.260061 
9686.000000,0.284100 
8791.000000,0.264290 
9757.000000,0.201325 
8773.000000,0.275848 
9592.000000,0.271404 
9534.000000,0.299356 
5345.000000,0.194388 
5343.000000,0.146582 
5322.000000,0.198667 
5345.000000,0.221881 
5318.000000,0.152465 
5332.000000,0.124236 
5335.000000,0.201157 
5630.000000,0.164666 
2975.000000,0.141276 
2962.000000,0.156624 
2976.000000,0.228690 
6972.000000,0.208755 
7081.000000,0.184941 
6335.000000,0.172128 
6330.000000,0.150840 
6345.000000,0.154604 
6304.000000,0.094994 
6336.000000,0.183947 
6297.000000,0.152215 
6302.000000,0.103344 
6402.000000,0.217327 
6391.000000,0.088597 
6404.000000,0.187785 
6332.000000,0.152386 
1574.000000,0.381797 
1581.000000,0.155149 
1581.000000,0.376986 
1574.000000,0.166500 
1853.000000,0.253902 
1820.000000,0.213543 
1901.000000,0.191630 
1860.000000,0.248678 
1878.000000,0.194221 
1817.000000,0.165068 
1823.000000,0.269126 
8852.000000,0.265126 
8857.000000,0.270517 
8838.000000,0.345497 
9866.000000,0.159215 
9784.000000,0.185608 
9854.000000,0.114072 
2793.000000,0.295535 
2747.000000,0.218002 
2701.000000,0.239424 
2699.000000,0.254067 
3100.000000,0.195355 
3252.000000,0.208357 
3362.000000,0.209481 
3196.000000,0.204841 
3149.000000,0.167237 
3310.000000,0.187636 
3558.000000,0.176998 
3634.000000,0.210247 
9112.000000,0.256431 
9113.000000,0.225242 
8839.000000,0.427997 
8840.000000,0.217458 
2870.000000,0.236381 
2717.000000,0.226044 
2657.000000,0.150220 
2861.000000,0.180628 
4745.000000,0.163066 
2854.000000,0.238388 
2838.000000,0.201931 
4732.000000,0.275621 
430.000000,0.377946 
5283.000000,0.311780 
8811.000000,0.335679 
3256.000000,0.238564 
2743.000000,0.251419 
8970.000000,0.074688 
8903.000000,0.146439 
8900.000000,0.073260 
8904.000000,0.130663 
8920.000000,0.169532 
9112.000000,0.319119 
3577.000000,0.217244 
3589.000000,0.203540 
2903.000000,0.273377 
3635.000000,0.191953 
3533.000000,0.182893 
2588.000000,0.310639 
2573.000000,0.257098 
2670.000000,0.188847 
3390.000000,0.253301 
3394.000000,0.255130 
3469.000000,0.261325 
4421.000000,0.191712 
4388.000000,0.121709 
4420.000000,0.169317 
4410.000000,0.132723 
4434.000000,0.201589 
8792.000000,0.480611 
8793.000000,0.429609 
8781.000000,0.406733 
6413.000000,0.216730 
6415.000000,0.212636 
6396.000000,0.119696 
5323.000000,0.096720 
6396.000000,0.173691 
5213.000000,0.241275 
5183.000000,0.121894 
2715.000000,0.240374 
2707.000000,0.185651 
2668.000000,0.179026 
8070.000000,0.301865 
7082.000000,0.280937 
8051.000000,0.273596 
7064.000000,0.208644 
9930.000000,0.187237 
457.000000,0.383689 
2916.000000,0.180879 
2918.000000,0.224993 
7074.000000,0.228777 
7050.000000,0.259629 
7055.000000,0.221624 
9313.000000,0.198497 
9323.000000,0.263203 
9414.000000,0.190187 
9298.000000,0.263626 
9140.000000,0.262978 
9041.000000,0.230761 
9124.000000,0.259768 
2682.000000,0.214494 
6517.000000,0.108908 
6512.000000,0.171485 
6889.000000,0.293098 
6883.000000,0.217443 
6522.000000,0.062283 
6895.000000,0.277782 
6934.000000,0.254998 
8024.000000,0.320602 
7023.000000,0.177281 
7003.000000,0.279815 
8079.000000,0.339781 
6991.000000,0.165574 
6979.000000,0.244752 
7034.000000,0.108113 
6999.000000,0.225028 
7024.000000,0.226617 
8034.000000,0.288242 
7990.000000,0.221714 
7984.000000,0.235471 
7972.000000,0.286095 
3386.000000,0.228444 
3574.000000,0.278700 
1421.000000,0.219179 
3416.000000,0.236325 
9842.000000,0.144742 
9534.000000,0.340567 
5319.000000,0.160340 
5334.000000,0.143329 
5362.000000,0.294007 
5301.000000,0.116524 
5357.000000,0.278143 
5352.000000,0.210480 
3157.000000,0.230643 
3621.000000,0.295614 
3043.000000,0.221563 
2491.000000,0.159860 
3041.000000,0.252603 
3061.000000,0.272423 
6516.000000,0.118293 
2970.000000,0.201465 
6530.000000,0.162952 
6511.000000,0.124302 
2196.000000,0.196427 
2125.000000,0.159374 
5652.000000,0.167845 
2973.000000,0.232158 
2988.000000,0.194912 
2320.000000,0.233736 
5582.000000,0.285340 
2994.000000,0.233690 
2159.000000,0.269961 
6990.000000,0.190741 
7059.000000,0.139870 
3598.000000,0.332747 
5353.000000,0.180684 
1414.000000,0.261204 
5315.000000,0.192416 
2466.000000,0.195441 
2310.000000,0.221311 
2317.000000,0.215077 
2490.000000,0.220486 
6293.000000,0.124062 
6288.000000,0.201881 
6274.000000,0.265263 
6234.000000,0.268906 
995.000000,0.277352 
1053.000000,0.332969 
1036.000000,0.301776 
1017.000000,0.303258 
903.000000,0.323091 
881.000000,0.340494 
907.000000,0.352178 
1062.000000,0.308694 
1271.000000,0.336854 
1251.000000,0.298778 
1265.000000,0.290202 
1257.000000,0.313533 
1266.000000,0.320822 
6353.000000,0.151031 
1263.000000,0.272969 
1531.000000,0.355441 
5241.000000,0.400415 
1221.000000,0.275160 
877.000000,0.305210 
911.000000,0.269165 
886.000000,0.370285 
2236.000000,0.068968 
2494.000000,0.251053 
2510.000000,0.194064 
2495.000000,0.274023 
2669.000000,0.184282 
2662.000000,0.201576 
2730.000000,0.198154 
2551.000000,0.178737 
9598.000000,0.290051 
9552.000000,0.172542 
9637.000000,0.245978 
9523.000000,0.236332 
9532.000000,0.202333 
9767.000000,0.158964 
9716.000000,0.217556 
9781.000000,0.271325 
1863.000000,0.204016 
1928.000000,0.245763 
1914.000000,0.218968 
2008.000000,0.262450 
1983.000000,0.194959 
7286.000000,0.232973 
7360.000000,0.178981 
7368.000000,0.284482 
7284.000000,0.192246 
8995.000000,0.076529 
8890.000000,0.254586 
9000.000000,0.189523 
9059.000000,0.267913 
8997.000000,0.117055 
9167.000000,0.294006 
8982.000000,0.170558 
8978.000000,0.109183 
9099.000000,0.116750 
9072.000000,0.162540 
4371.000000,0.397530 
4359.000000,0.260150 
9870.000000,0.077458 
9851.000000,0.182950 
9886.000000,0.190699 
3986.000000,0.203822 
4041.000000,0.260813 
4225.000000,0.182101 
4172.000000,0.165357 
1834.000000,0.313557 
1964.000000,0.313716 
1877.000000,0.227996 
1836.000000,0.250728 
1876.000000,0.253017 
1940.000000,0.187839 
2732.000000,0.278228 
3256.000000,0.252066 
3289.000000,0.288579 
3260.000000,0.196879 
3154.000000,0.168210 
3113.000000,0.284944 
3521.000000,0.177528 
3636.000000,0.234374 
3606.000000,0.218710 
3494.000000,0.272301 
6509.000000,0.234328 
6429.000000,0.222756 
6502.000000,0.068539 
6504.000000,0.290500 
2691.000000,0.157697 
2696.000000,0.255714 
4729.000000,0.187590 
9022.000000,0.204915 
8994.000000,0.185563 
8934.000000,0.211901 
8927.000000,0.269099 
9004.000000,0.220297 
8941.000000,0.187194 
9025.000000,0.064300 
7106.000000,0.301805 
7088.000000,0.271522 
7033.000000,0.190425 
2606.000000,0.277241 
2734.000000,0.283204 
3397.000000,0.210102 
2605.000000,0.278388 
2572.000000,0.184190 
3442.000000,0.170145 
3583.000000,0.232939 
3116.000000,0.236095 
3156.000000,0.154643 
3537.000000,0.147764 
3600.000000,0.199611 
3388.000000,0.202026 
