point, dist
6393.000000,0.144136 
6372.000000,0.207019 
6417.000000,0.180355 
5217.000000,0.190211 
5225.000000,0.253736 
5200.000000,0.167474 
4433.000000,0.211719 
4423.000000,0.259421 
4414.000000,0.235438 
2221.000000,0.309475 
2173.000000,0.192247 
2221.000000,0.264285 
2137.000000,0.287356 
8778.000000,0.547219 
8779.000000,0.685100 
8860.000000,0.646301 
8858.000000,0.522046 
6377.000000,0.206164 
6401.000000,0.156059 
6290.000000,0.224459 
6283.000000,0.204755 
6294.000000,0.188173 
5334.000000,0.150458 
5363.000000,0.277751 
5353.000000,0.256478 
978.000000,0.290255 
981.000000,0.298495 
973.000000,0.312117 
6130.000000,0.141220 
2112.000000,0.342856 
6079.000000,0.269474 
6062.000000,0.061914 
6067.000000,0.507742 
1696.000000,0.195698 
6066.000000,0.125929 
6159.000000,0.135774 
6153.000000,0.228795 
6162.000000,0.257896 
6136.000000,0.184286 
6149.000000,0.156059 
3682.000000,0.219552 
2918.000000,0.296764 
3724.000000,0.224743 
6158.000000,0.231505 
6147.000000,0.185277 
6172.000000,0.229117 
4403.000000,0.156754 
4262.000000,0.340749 
4299.000000,0.198910 
2737.000000,0.249415 
2859.000000,0.261444 
4342.000000,0.268004 
2860.000000,0.360052 
6300.000000,0.231323 
6302.000000,0.204062 
6333.000000,0.124619 
5333.000000,0.092919 
5330.000000,0.205002 
6273.000000,0.056244 
6255.000000,0.188296 
6272.000000,0.144075 
3722.000000,0.156290 
6178.000000,0.171865 
6177.000000,0.202315 
8843.000000,0.451241 
8802.000000,0.484013 
8826.000000,0.339292 
8807.000000,0.231437 
9854.000000,0.148553 
9792.000000,0.186638 
9778.000000,0.164717 
9791.000000,0.213795 
9845.000000,0.087181 
9858.000000,0.129103 
6143.000000,0.209390 
6148.000000,0.196817 
6125.000000,0.140228 
1680.000000,0.152240 
6244.000000,0.219809 
6135.000000,0.143157 
6099.000000,0.280598 
6098.000000,0.267265 
6135.000000,0.209281 
6137.000000,0.184844 
6171.000000,0.248896 
6095.000000,0.282764 
6085.000000,0.305767 
6068.000000,0.140820 
6071.000000,0.113112 
6115.000000,0.298401 
6091.000000,0.270252 
6298.000000,0.147991 
6276.000000,0.211538 
6291.000000,0.210959 
4393.000000,0.176875 
6240.000000,0.190993 
4414.000000,0.179413 
6275.000000,0.170544 
4415.000000,0.212810 
4691.000000,0.243240 
2818.000000,0.150515 
4684.000000,0.223574 
3550.000000,0.202904 
1619.000000,0.241248 
3605.000000,0.244521 
2575.000000,0.214117 
2614.000000,0.294642 
2555.000000,0.191580 
4235.000000,0.214456 
2141.000000,0.202542 
3898.000000,0.194177 
3933.000000,0.185804 
3940.000000,0.283153 
3837.000000,0.187035 
3940.000000,0.154868 
3739.000000,0.189978 
7181.000000,0.271325 
7195.000000,0.259622 
7188.000000,0.303317 
7170.000000,0.216957 
9865.000000,0.196946 
9922.000000,0.074946 
9849.000000,0.095857 
9780.000000,0.240063 
4362.000000,0.260132 
4345.000000,0.218836 
3009.000000,0.233650 
3149.000000,0.254763 
4326.000000,0.248382 
4364.000000,0.281428 
2414.000000,0.212307 
2349.000000,0.222314 
2978.000000,0.196573 
2410.000000,0.286414 
3499.000000,0.252177 
3588.000000,0.285380 
3505.000000,0.229042 
3586.000000,0.246233 
4271.000000,0.388091 
4290.000000,0.217629 
4303.000000,0.219906 
8826.000000,0.318764 
1883.000000,0.198492 
2786.000000,0.198489 
2789.000000,0.204537 
4237.000000,0.260093 
1691.000000,0.239302 
1890.000000,0.254178 
5232.000000,0.208676 
5194.000000,0.191508 
8854.000000,0.439331 
1965.000000,0.185699 
2772.000000,0.200636 
1952.000000,0.256645 
2770.000000,0.231536 
9057.000000,0.216709 
8825.000000,0.330977 
9139.000000,0.306048 
1403.000000,0.346835 
2762.000000,0.528964 
6170.000000,0.229724 
3790.000000,0.174248 
3821.000000,0.204479 
3894.000000,0.226559 
3899.000000,0.170856 
5200.000000,0.138038 
6387.000000,0.165409 
6278.000000,0.189168 
6293.000000,0.177534 
6291.000000,0.136759 
6330.000000,0.140990 
6358.000000,0.273981 
1554.000000,0.361804 
1754.000000,0.173161 
1916.000000,0.158263 
1490.000000,0.362321 
6088.000000,0.334880 
6107.000000,0.355163 
2227.000000,0.112237 
2231.000000,0.043765 
6140.000000,0.196158 
3804.000000,0.211996 
6124.000000,0.144345 
6156.000000,0.196801 
8812.000000,0.351708 
8812.000000,0.264284 
8814.000000,0.600478 
8833.000000,0.437385 
8845.000000,0.466032 
8794.000000,0.477051 
8794.000000,0.348802 
8847.000000,0.323019 
9784.000000,0.140278 
4316.000000,0.176561 
8870.000000,0.347418 
6133.000000,0.123211 
6279.000000,0.074104 
6278.000000,0.207853 
6142.000000,0.166932 
6121.000000,0.275116 
6275.000000,0.137180 
2100.000000,0.251829 
1530.000000,0.381313 
1549.000000,0.366548 
1566.000000,0.364584 
1575.000000,0.367048 
1648.000000,0.303629 
1659.000000,0.241913 
2824.000000,0.194587 
3464.000000,0.158075 
3384.000000,0.146906 
3435.000000,0.232264 
3435.000000,0.319412 
3554.000000,0.345891 
3388.000000,0.201621 
3475.000000,0.237303 
5205.000000,0.179984 
1619.000000,0.183545 
2651.000000,0.155647 
2665.000000,0.250019 
2856.000000,0.188177 
2747.000000,0.180925 
2744.000000,0.183304 
2630.000000,0.160078 
2618.000000,0.152969 
2612.000000,0.224195 
2573.000000,0.203623 
3433.000000,0.274510 
3538.000000,0.298177 
3426.000000,0.261520 
3574.000000,0.266292 
3504.000000,0.220383 
3368.000000,0.246559 
3512.000000,0.221409 
3456.000000,0.214838 
3575.000000,0.163796 
3556.000000,0.164110 
3377.000000,0.248606 
3485.000000,0.215294 
3466.000000,0.201497 
3431.000000,0.225941 
4699.000000,0.160371 
4722.000000,0.155224 
4718.000000,0.155714 
2852.000000,0.148056 
4757.000000,0.160519 
3872.000000,0.195214 
4116.000000,0.149456 
4300.000000,0.078422 
485.000000,0.399935 
479.000000,0.378260 
600.000000,0.370060 
8284.000000,0.247261 
8238.000000,0.284349 
8202.000000,0.239222 
6567.000000,0.330992 
8313.000000,0.242504 
7313.000000,0.191886 
7318.000000,0.138432 
7202.000000,0.231951 
7046.000000,0.137136 
7052.000000,0.202767 
7038.000000,0.130521 
2158.000000,0.165780 
2197.000000,0.231912 
2203.000000,0.316987 
2047.000000,0.256915 
2220.000000,0.168980 
4042.000000,0.167496 
3995.000000,0.223008 
4194.000000,0.259317 
7796.000000,0.223662 
7737.000000,0.278972 
6687.000000,0.263081 
222.000000,0.316448 
6691.000000,0.252917 
4288.000000,0.191562 
2791.000000,0.219759 
4064.000000,0.231205 
7182.000000,0.237280 
8992.000000,0.227078 
8991.000000,0.105003 
8928.000000,0.111436 
8925.000000,0.147996 
8909.000000,0.186481 
9835.000000,0.087326 
9848.000000,0.146277 
9836.000000,0.215940 
9797.000000,0.259899 
9713.000000,0.259884 
1418.000000,0.241933 
3393.000000,0.188602 
5248.000000,0.197143 
3422.000000,0.170066 
3452.000000,0.194037 
3609.000000,0.192353 
2072.000000,0.220036 
5371.000000,0.247539 
3108.000000,0.228864 
3032.000000,0.257257 
3483.000000,0.196137 
3345.000000,0.340646 
1016.000000,0.280340 
1020.000000,0.292598 
1102.000000,0.302572 
1141.000000,0.305117 
2428.000000,0.161081 
3206.000000,0.243845 
2398.000000,0.217863 
3330.000000,0.302905 
3302.000000,0.170359 
3213.000000,0.248548 
3254.000000,0.260217 
3381.000000,0.239461 
3173.000000,0.178188 
3347.000000,0.221166 
8703.000000,0.236148 
7730.000000,0.219751 
7701.000000,0.312167 
7282.000000,0.139078 
7245.000000,0.194067 
7292.000000,0.120500 
7337.000000,0.229995 
7353.000000,0.258367 
7330.000000,0.304245 
2771.000000,0.210153 
7323.000000,0.161172 
7276.000000,0.221257 
4269.000000,0.404175 
9917.000000,0.170531 
9957.000000,0.122217 
9951.000000,0.156178 
9944.000000,0.069767 
9769.000000,0.218195 
9864.000000,0.194601 
9840.000000,0.181783 
8897.000000,0.151816 
8910.000000,0.106371 
8894.000000,0.196718 
8957.000000,0.085168 
1957.000000,0.181568 
2817.000000,0.253861 
7329.000000,0.181247 
8827.000000,0.259130 
9023.000000,0.189351 
9116.000000,0.298272 
9256.000000,0.157490 
4680.000000,0.216896 
4089.000000,0.240840 
5137.000000,0.145892 
1626.000000,0.171181 
3408.000000,0.225044 
3524.000000,0.216185 
1413.000000,0.086562 
5307.000000,0.071698 
1626.000000,0.217496 
1414.000000,0.229176 
5345.000000,0.159344 
5335.000000,0.295054 
3391.000000,0.159754 
3395.000000,0.191745 
3516.000000,0.152624 
3589.000000,0.225389 
3348.000000,0.172049 
3581.000000,0.275386 
3301.000000,0.232521 
8832.000000,0.610726 
8852.000000,0.362260 
9611.000000,0.301125 
8861.000000,0.295430 
7330.000000,0.263782 
3807.000000,0.254921 
3787.000000,0.206695 
3729.000000,0.284064 
3834.000000,0.223366 
4422.000000,0.202447 
3798.000000,0.249433 
3736.000000,0.221488 
3926.000000,0.295081 
1963.000000,0.202411 
6387.000000,0.217158 
5228.000000,0.256937 
5211.000000,0.243471 
5162.000000,0.304997 
5157.000000,0.312983 
5175.000000,0.400396 
5174.000000,0.390982 
1271.000000,0.308263 
1261.000000,0.304924 
1224.000000,0.317585 
1257.000000,0.327023 
1579.000000,0.379095 
1698.000000,0.139063 
