point, dist
1364.000000,0.298132 
5672.000000,0.087538 
407.000000,0.257871 
5700.000000,0.099794 
1366.000000,0.191944 
1042.000000,0.196680 
4802.000000,0.209257 
970.000000,0.260422 
3943.000000,0.196942 
9772.000000,0.182198 
746.000000,0.131573 
274.000000,0.204299 
2962.000000,0.322847 
2854.000000,0.257148 
2818.000000,0.204421 
5580.000000,0.092317 
1359.000000,0.186140 
385.000000,0.119662 
5635.000000,0.095862 
5587.000000,0.066827 
5544.000000,0.211283 
5886.000000,0.074853 
5934.000000,0.148875 
5912.000000,0.155055 
5017.000000,0.122832 
5020.000000,0.174361 
5020.000000,0.208641 
5026.000000,0.179660 
5227.000000,0.060914 
5031.000000,0.145899 
6336.000000,0.154886 
6379.000000,0.147466 
6340.000000,0.175992 
4959.000000,0.316160 
4972.000000,0.332897 
5025.000000,0.150379 
5009.000000,0.129647 
9837.000000,0.213148 
5478.000000,0.228145 
5471.000000,0.188380 
5339.000000,0.191812 
5322.000000,0.124761 
5221.000000,0.208637 
5240.000000,0.082640 
5262.000000,0.087018 
5247.000000,0.234561 
9611.000000,0.191673 
9607.000000,0.129253 
9627.000000,0.133374 
4294.000000,0.254471 
3612.000000,0.182778 
3612.000000,0.237238 
3460.000000,0.182684 
3471.000000,0.217852 
5594.000000,0.098424 
476.000000,0.138680 
5792.000000,0.217348 
9471.000000,0.160059 
9496.000000,0.092398 
9468.000000,0.226160 
4217.000000,0.213201 
4267.000000,0.190374 
3886.000000,0.167656 
3843.000000,0.218425 
4139.000000,0.219208 
4227.000000,0.380236 
3779.000000,0.224450 
3872.000000,0.200418 
3543.000000,0.073729 
3528.000000,0.093621 
3516.000000,0.205387 
3521.000000,0.202087 
6795.000000,0.139566 
5759.000000,0.184533 
5734.000000,0.129264 
2208.000000,0.194147 
2191.000000,0.098119 
2109.000000,0.086609 
2983.000000,0.269516 
2964.000000,0.151620 
3298.000000,0.250306 
2918.000000,0.209882 
2911.000000,0.204534 
2802.000000,0.218816 
5071.000000,0.503962 
5146.000000,0.499434 
5313.000000,0.171813 
5306.000000,0.476031 
5091.000000,0.501329 
3711.000000,0.438653 
710.000000,0.462635 
3689.000000,0.395435 
710.000000,0.449832 
9944.000000,0.233373 
6555.000000,0.360982 
1254.000000,0.182963 
6565.000000,0.494553 
1246.000000,0.080383 
1249.000000,0.258025 
6505.000000,0.078990 
3913.000000,0.182794 
3817.000000,0.218705 
3895.000000,0.229509 
4225.000000,0.206323 
4968.000000,0.336171 
4547.000000,0.324026 
4392.000000,0.191476 
2145.000000,0.107284 
2217.000000,0.045535 
1964.000000,0.207811 
1940.000000,0.166528 
2171.000000,0.241471 
2244.000000,0.207517 
2187.000000,0.051954 
2157.000000,0.220875 
2193.000000,0.187117 
962.000000,0.287079 
4688.000000,0.179102 
4623.000000,0.275167 
5283.000000,0.091353 
5214.000000,0.241510 
5360.000000,0.148994 
1678.000000,0.155804 
1866.000000,0.167824 
1871.000000,0.100795 
1798.000000,0.159431 
1758.000000,0.116713 
1852.000000,0.141547 
1924.000000,0.123685 
1684.000000,0.097586 
1655.000000,0.136660 
3568.000000,0.281945 
3613.000000,0.204124 
5675.000000,0.486891 
5754.000000,0.135926 
5662.000000,0.490779 
5697.000000,0.539267 
5862.000000,0.121503 
3463.000000,0.275132 
3464.000000,0.221970 
3762.000000,0.271659 
3873.000000,0.188669 
3831.000000,0.261015 
3981.000000,0.240024 
3741.000000,0.201475 
3818.000000,0.214978 
4270.000000,0.245623 
4048.000000,0.265153 
4196.000000,0.210525 
4147.000000,0.190880 
3885.000000,0.163224 
3786.000000,0.258479 
3931.000000,0.267880 
4429.000000,0.251558 
4757.000000,0.257919 
4583.000000,0.259121 
4067.000000,0.174134 
4215.000000,0.231135 
3880.000000,0.225206 
3773.000000,0.164698 
4259.000000,0.179723 
4091.000000,0.180631 
3975.000000,0.178860 
3979.000000,0.174153 
812.000000,0.154939 
756.000000,0.243826 
779.000000,0.230625 
607.000000,0.225058 
5503.000000,0.077526 
2651.000000,0.195986 
9785.000000,0.265758 
5532.000000,0.188055 
3074.000000,0.217937 
3047.000000,0.309113 
3108.000000,0.277000 
5490.000000,0.115488 
5487.000000,0.214694 
5493.000000,0.104970 
1801.000000,0.116060 
1832.000000,0.212870 
1587.000000,0.138415 
