point, dist
5442.000000,0.262448 
5376.000000,0.251646 
4600.000000,0.143512 
5441.000000,0.251706 
5500.000000,0.182140 
5545.000000,0.240650 
5502.000000,0.201323 
4141.000000,0.163226 
3641.000000,0.205447 
4396.000000,0.204779 
9524.000000,0.111576 
9509.000000,0.191300 
9523.000000,0.110963 
2900.000000,0.258425 
2939.000000,0.172154 
4808.000000,0.238331 
4807.000000,0.220456 
6742.000000,0.136554 
6778.000000,0.112649 
6741.000000,0.194815 
6747.000000,0.171921 
5417.000000,0.191700 
5539.000000,0.180443 
9410.000000,0.091082 
9415.000000,0.149601 
9401.000000,0.176308 
5337.000000,0.215434 
4943.000000,0.196031 
4996.000000,0.218172 
5345.000000,0.228108 
5336.000000,0.202567 
5342.000000,0.212900 
5511.000000,0.261467 
2768.000000,0.207494 
2685.000000,0.212535 
2765.000000,0.203130 
4986.000000,0.229296 
5361.000000,0.188869 
5356.000000,0.196151 
5358.000000,0.241136 
3650.000000,0.176736 
4027.000000,0.143375 
4441.000000,0.213540 
4248.000000,0.196985 
4169.000000,0.213422 
6143.000000,0.244190 
6136.000000,0.235219 
4326.000000,0.254569 
3944.000000,0.226872 
3957.000000,0.226089 
5443.000000,0.282235 
5458.000000,0.271184 
3800.000000,0.258975 
5547.000000,0.199719 
5558.000000,0.225905 
5543.000000,0.203541 
5533.000000,0.249615 
2475.000000,0.192254 
5409.000000,0.222773 
5383.000000,0.269429 
5431.000000,0.203352 
5452.000000,0.226739 
9524.000000,0.183623 
9514.000000,0.154133 
1616.000000,0.115810 
1728.000000,0.123250 
1728.000000,0.232721 
1751.000000,0.153730 
9516.000000,0.107987 
4523.000000,0.183745 
4684.000000,0.147995 
6009.000000,0.184623 
6005.000000,0.224614 
5966.000000,0.255133 
5990.000000,0.261832 
3056.000000,0.172474 
2994.000000,0.186705 
6833.000000,0.186603 
2679.000000,0.247986 
6848.000000,0.197152 
9413.000000,0.144235 
9410.000000,0.119779 
9399.000000,0.176976 
9378.000000,0.154034 
3990.000000,0.147603 
3715.000000,0.152344 
5521.000000,0.215342 
5510.000000,0.231860 
4686.000000,0.170766 
5161.000000,0.221698 
5107.000000,0.203050 
5166.000000,0.226376 
5057.000000,0.181204 
4952.000000,0.233542 
5357.000000,0.214789 
5332.000000,0.180778 
5360.000000,0.202041 
5355.000000,0.182861 
2491.000000,0.308034 
5321.000000,0.266805 
5311.000000,0.206165 
5262.000000,0.218769 
879.000000,0.437430 
438.000000,0.173866 
325.000000,0.422221 
380.000000,0.139011 
377.000000,0.091891 
334.000000,0.175932 
778.000000,0.476233 
868.000000,0.415316 
506.000000,0.493559 
5343.000000,0.279427 
4965.000000,0.268972 
3867.000000,0.168217 
6163.000000,0.199053 
6129.000000,0.214142 
6130.000000,0.204461 
6078.000000,0.221544 
3927.000000,0.138503 
2582.000000,0.337562 
2514.000000,0.296448 
2903.000000,0.174510 
6808.000000,0.169969 
6840.000000,0.153476 
6820.000000,0.135632 
3390.000000,0.351443 
3410.000000,0.141974 
3413.000000,0.216199 
3399.000000,0.160565 
3368.000000,0.213655 
5422.000000,0.223011 
5451.000000,0.240970 
5378.000000,0.206708 
5349.000000,0.225214 
5420.000000,0.199007 
5344.000000,0.218409 
4958.000000,0.324878 
4934.000000,0.222137 
4979.000000,0.274300 
1766.000000,0.097746 
1735.000000,0.113292 
5609.000000,0.250184 
5916.000000,0.282371 
5691.000000,0.264155 
5759.000000,0.234399 
5736.000000,0.203460 
5680.000000,0.218428 
5566.000000,0.201671 
4509.000000,0.216032 
6144.000000,0.235008 
6154.000000,0.191818 
972.000000,0.375711 
966.000000,0.324950 
6125.000000,0.202632 
4290.000000,0.163577 
9527.000000,0.153432 
3810.000000,0.170254 
5524.000000,0.217305 
5974.000000,0.186015 
2285.000000,0.169334 
5827.000000,0.280548 
8864.000000,0.170440 
8812.000000,0.131920 
8808.000000,0.119714 
8859.000000,0.114700 
5983.000000,0.197369 
6002.000000,0.227445 
5971.000000,0.212514 
5546.000000,0.216972 
5894.000000,0.236551 
5486.000000,0.232232 
5935.000000,0.249680 
5478.000000,0.198680 
5874.000000,0.215177 
1266.000000,0.215062 
3311.000000,0.117879 
9189.000000,0.182413 
9187.000000,0.182271 
9202.000000,0.164612 
9177.000000,0.187385 
9188.000000,0.132918 
1893.000000,0.286794 
1585.000000,0.297162 
2217.000000,0.135483 
4738.000000,0.272512 
2751.000000,0.137537 
2816.000000,0.184126 
2772.000000,0.157981 
2808.000000,0.179206 
1598.000000,0.204288 
9380.000000,0.172896 
9420.000000,0.214205 
9386.000000,0.153359 
9400.000000,0.194826 
9419.000000,0.190109 
9375.000000,0.142585 
3782.000000,0.207347 
3745.000000,0.148961 
3795.000000,0.177552 
9379.000000,0.193929 
9520.000000,0.152799 
9520.000000,0.203308 
9521.000000,0.174289 
3803.000000,0.207014 
3801.000000,0.161170 
3997.000000,0.145563 
3876.000000,0.224538 
3627.000000,0.157866 
1065.000000,0.291089 
1058.000000,0.302495 
6158.000000,0.215186 
4506.000000,0.224454 
4299.000000,0.275218 
439.000000,0.172938 
415.000000,0.111101 
459.000000,0.198192 
410.000000,0.096388 
5688.000000,0.205368 
5695.000000,0.208630 
5743.000000,0.260330 
5572.000000,0.181675 
5624.000000,0.220968 
5568.000000,0.191571 
5685.000000,0.261726 
5518.000000,0.191584 
7676.000000,0.159004 
5590.000000,0.239315 
5908.000000,0.277789 
1280.000000,0.297279 
5044.000000,0.217912 
5028.000000,0.182332 
5173.000000,0.232299 
5043.000000,0.205422 
4961.000000,0.181867 
5379.000000,0.215227 
5270.000000,0.223557 
5401.000000,0.198679 
1446.000000,0.223368 
4949.000000,0.236518 
9970.000000,0.087245 
9965.000000,0.252728 
6738.000000,0.170368 
6762.000000,0.190568 
6752.000000,0.181170 
6764.000000,0.201803 
5177.000000,0.213035 
5317.000000,0.178733 
5129.000000,0.211883 
5271.000000,0.224293 
5113.000000,0.198922 
5102.000000,0.232282 
5127.000000,0.253224 
5170.000000,0.230625 
5100.000000,0.254538 
5005.000000,0.227018 
4941.000000,0.219297 
4926.000000,0.228748 
4916.000000,0.205013 
5063.000000,0.246273 
3411.000000,0.125631 
3367.000000,0.159254 
3404.000000,0.190925 
3345.000000,0.157133 
2701.000000,0.251404 
2834.000000,0.203137 
5497.000000,0.246778 
3121.000000,0.173293 
3130.000000,0.147776 
5498.000000,0.307651 
2741.000000,0.218241 
2680.000000,0.206726 
2870.000000,0.249347 
2496.000000,0.210157 
4813.000000,0.204823 
4804.000000,0.233510 
1387.000000,0.287493 
1391.000000,0.141543 
1121.000000,0.192509 
6450.000000,0.181530 
6570.000000,0.259351 
696.000000,0.219182 
708.000000,0.135120 
546.000000,0.119207 
568.000000,0.215763 
4089.000000,0.237358 
5368.000000,0.332992 
5071.000000,0.264057 
666.000000,0.418114 
709.000000,0.433414 
713.000000,0.437028 
614.000000,0.448161 
4285.000000,0.185473 
3486.000000,0.141803 
3464.000000,0.179574 
3358.000000,0.182276 
3479.000000,0.186379 
4164.000000,0.168447 
4560.000000,0.139870 
4556.000000,0.210295 
3323.000000,0.199766 
4514.000000,0.215787 
3469.000000,0.137037 
3331.000000,0.166329 
3471.000000,0.175172 
3350.000000,0.233400 
841.000000,0.130698 
4078.000000,0.186342 
3730.000000,0.225343 
3854.000000,0.157247 
3965.000000,0.180365 
3642.000000,0.181542 
3785.000000,0.186666 
3604.000000,0.152546 
4294.000000,0.173170 
4009.000000,0.182860 
4178.000000,0.173950 
4542.000000,0.173413 
4097.000000,0.159337 
4239.000000,0.153665 
4230.000000,0.155361 
4538.000000,0.152501 
4158.000000,0.148449 
4258.000000,0.194648 
1054.000000,0.136680 
