point, dist
7128.000000,0.145744 
7130.000000,0.134542 
7116.000000,0.169205 
5996.000000,0.146674 
5996.000000,0.141452 
5938.000000,0.137298 
807.000000,0.342986 
5922.000000,0.058102 
6035.000000,0.162119 
6795.000000,0.189963 
6838.000000,0.150380 
6814.000000,0.136451 
6798.000000,0.177290 
1861.000000,0.276637 
1869.000000,0.294824 
2162.000000,0.272509 
6840.000000,0.157882 
6802.000000,0.094226 
6851.000000,0.096555 
6825.000000,0.072347 
3110.000000,0.187241 
3266.000000,0.189907 
6588.000000,0.198878 
884.000000,0.291234 
6695.000000,0.197662 
6708.000000,0.176849 
9710.000000,0.224882 
6318.000000,0.123974 
6368.000000,0.255836 
6366.000000,0.151949 
6343.000000,0.194380 
6300.000000,0.208251 
6312.000000,0.204543 
6302.000000,0.230428 
6298.000000,0.170926 
1937.000000,0.266599 
1921.000000,0.246055 
1821.000000,0.291784 
6123.000000,0.156803 
5780.000000,0.168653 
5724.000000,0.186865 
5788.000000,0.143595 
6609.000000,0.114687 
5900.000000,0.138735 
5921.000000,0.157299 
6042.000000,0.066866 
5258.000000,0.233680 
6207.000000,0.164919 
5878.000000,0.136391 
6806.000000,0.149873 
2633.000000,0.186289 
3849.000000,0.192476 
3743.000000,0.276027 
2635.000000,0.283904 
3157.000000,0.195008 
3391.000000,0.254134 
3332.000000,0.211002 
3136.000000,0.366986 
6322.000000,0.132126 
6846.000000,0.133415 
1189.000000,0.222052 
4765.000000,0.304195 
6853.000000,0.162561 
6850.000000,0.159348 
6861.000000,0.238039 
6837.000000,0.202624 
5573.000000,0.124892 
4856.000000,0.202390 
6286.000000,0.171917 
1088.000000,0.358886 
6730.000000,0.095752 
6712.000000,0.171745 
6747.000000,0.207144 
6484.000000,0.174364 
6467.000000,0.099620 
6768.000000,0.192181 
6358.000000,0.177183 
6740.000000,0.228824 
6696.000000,0.242449 
3716.000000,0.270088 
3032.000000,0.178000 
3593.000000,0.282261 
3820.000000,0.252305 
5707.000000,0.199907 
5744.000000,0.148808 
3847.000000,0.261989 
6204.000000,0.136388 
5670.000000,0.278464 
6203.000000,0.137114 
7150.000000,0.141219 
2131.000000,0.274427 
6174.000000,0.168482 
2133.000000,0.263630 
7165.000000,0.188982 
3485.000000,0.207504 
7206.000000,0.179075 
7167.000000,0.162546 
9904.000000,0.344076 
4139.000000,0.259864 
7210.000000,0.162643 
7177.000000,0.181738 
2510.000000,0.226671 
4141.000000,0.186942 
9450.000000,0.099113 
9429.000000,0.161024 
9437.000000,0.212407 
9431.000000,0.126316 
6911.000000,0.038009 
5920.000000,0.196881 
6040.000000,0.148899 
6923.000000,0.175810 
5726.000000,0.154646 
5721.000000,0.123039 
5737.000000,0.213528 
6841.000000,0.145740 
6849.000000,0.169353 
4751.000000,0.180809 
5486.000000,0.223449 
5479.000000,0.179703 
4312.000000,0.271054 
2049.000000,0.250495 
1993.000000,0.299594 
2161.000000,0.242602 
1459.000000,0.284824 
2002.000000,0.259238 
1668.000000,0.285838 
1445.000000,0.277149 
1603.000000,0.373288 
1625.000000,0.293792 
1607.000000,0.264196 
1550.000000,0.286931 
1647.000000,0.271311 
5943.000000,0.134706 
133.000000,0.325864 
90.000000,0.299095 
101.000000,0.303752 
6863.000000,0.171457 
6843.000000,0.131864 
8877.000000,0.174115 
8880.000000,0.163313 
8886.000000,0.210059 
8879.000000,0.194818 
6269.000000,0.170743 
6258.000000,0.074635 
6265.000000,0.165346 
2632.000000,0.173209 
2634.000000,0.275537 
3692.000000,0.226137 
6308.000000,0.135422 
9915.000000,0.159595 
6728.000000,0.158362 
1436.000000,0.297246 
9951.000000,0.214894 
