point, dist
6148.000000,0.129448 
6139.000000,0.168753 
5169.000000,0.176539 
6159.000000,0.201005 
1042.000000,0.259171 
5602.000000,0.135393 
5588.000000,0.127385 
5602.000000,0.179045 
1051.000000,0.178754 
5443.000000,0.196489 
6080.000000,0.168571 
9963.000000,0.184806 
6088.000000,0.125086 
8254.000000,0.089700 
8288.000000,0.291237 
8275.000000,0.306149 
6352.000000,0.184303 
6256.000000,0.104010 
6453.000000,0.137700 
6511.000000,0.155374 
6500.000000,0.125729 
6433.000000,0.131605 
5619.000000,0.159610 
5658.000000,0.208439 
5630.000000,0.175575 
3946.000000,0.176808 
778.000000,0.401439 
5628.000000,0.171138 
3465.000000,0.260069 
5886.000000,0.077103 
3465.000000,0.187967 
3871.000000,0.179544 
5598.000000,0.124002 
3408.000000,0.211212 
2100.000000,0.173205 
2004.000000,0.121550 
1982.000000,0.146982 
3047.000000,0.178970 
3303.000000,0.230992 
2863.000000,0.168023 
8980.000000,0.217362 
9749.000000,0.183685 
9767.000000,0.145302 
3926.000000,0.177371 
3919.000000,0.142578 
3899.000000,0.223220 
3636.000000,0.186075 
3329.000000,0.281237 
3314.000000,0.143137 
9687.000000,0.245176 
2802.000000,0.238354 
2802.000000,0.218375 
3259.000000,0.164132 
2747.000000,0.123814 
2939.000000,0.177676 
2769.000000,0.177000 
769.000000,0.323446 
2883.000000,0.207987 
3127.000000,0.125067 
2892.000000,0.151766 
2923.000000,0.204068 
6416.000000,0.169616 
6392.000000,0.155884 
8789.000000,0.199804 
371.000000,0.363047 
8096.000000,0.165577 
9680.000000,0.195429 
9681.000000,0.265480 
387.000000,0.347893 
4533.000000,0.343636 
6162.000000,0.144947 
1830.000000,0.187384 
1774.000000,0.179279 
1922.000000,0.077992 
1529.000000,0.054619 
1534.000000,0.161087 
1413.000000,0.158712 
5587.000000,0.126780 
3666.000000,0.155496 
5605.000000,0.188423 
9820.000000,0.197878 
5594.000000,0.188752 
5650.000000,0.125827 
5838.000000,0.140642 
5932.000000,0.164771 
5932.000000,0.202213 
5901.000000,0.128588 
2788.000000,0.149421 
772.000000,0.329324 
3244.000000,0.144915 
777.000000,0.369758 
3705.000000,0.245340 
3505.000000,0.176317 
3799.000000,0.175384 
5616.000000,0.159690 
3594.000000,0.172737 
5976.000000,0.065701 
5624.000000,0.196067 
5624.000000,0.216853 
3973.000000,0.202031 
3424.000000,0.147467 
3511.000000,0.223754 
3701.000000,0.187544 
7030.000000,0.232474 
2521.000000,0.248799 
3851.000000,0.136925 
1745.000000,0.136967 
2270.000000,0.088063 
2264.000000,0.101798 
1496.000000,0.128284 
1586.000000,0.140806 
1919.000000,0.146532 
1788.000000,0.059202 
1800.000000,0.207084 
2015.000000,0.197947 
1933.000000,0.074014 
2048.000000,0.200805 
5638.000000,0.107095 
5610.000000,0.133414 
5618.000000,0.135577 
5595.000000,0.182905 
5781.000000,0.264202 
5703.000000,0.213883 
5922.000000,0.224528 
5716.000000,0.062003 
9960.000000,0.157068 
5988.000000,0.110115 
1928.000000,0.151729 
9960.000000,0.184481 
6079.000000,0.147640 
5443.000000,0.159103 
5564.000000,0.313722 
3707.000000,0.194199 
3615.000000,0.132425 
2854.000000,0.161758 
3988.000000,0.219920 
3857.000000,0.160498 
3975.000000,0.162494 
3638.000000,0.176775 
3558.000000,0.190456 
3755.000000,0.190500 
3616.000000,0.184177 
3426.000000,0.190216 
4022.000000,0.142335 
4019.000000,0.126784 
3237.000000,0.189676 
3254.000000,0.198695 
3348.000000,0.226619 
2811.000000,0.170345 
2851.000000,0.152860 
3086.000000,0.159036 
3309.000000,0.126955 
2917.000000,0.156903 
3172.000000,0.212752 
2919.000000,0.216743 
2889.000000,0.174900 
3011.000000,0.212335 
3149.000000,0.186937 
2762.000000,0.206223 
3119.000000,0.197801 
3351.000000,0.157308 
3110.000000,0.160792 
3267.000000,0.176740 
3286.000000,0.209113 
3344.000000,0.187826 
2836.000000,0.160829 
2996.000000,0.160622 
3182.000000,0.204833 
3427.000000,0.202144 
3460.000000,0.152109 
4039.000000,0.187382 
3320.000000,0.121682 
3849.000000,0.177598 
2776.000000,0.179469 
686.000000,0.266599 
686.000000,0.165142 
952.000000,0.198063 
887.000000,0.331777 
2883.000000,0.207847 
361.000000,0.312279 
861.000000,0.323288 
6384.000000,0.181657 
6407.000000,0.194801 
9710.000000,0.322500 
6290.000000,0.129877 
8712.000000,0.238722 
8793.000000,0.238396 
6491.000000,0.120855 
8746.000000,0.373618 
8716.000000,0.117378 
8712.000000,0.203711 
9711.000000,0.310008 
374.000000,0.315916 
6285.000000,0.164570 
319.000000,0.274401 
373.000000,0.385748 
1436.000000,0.177740 
2029.000000,0.193201 
1729.000000,0.176655 
1810.000000,0.253355 
1873.000000,0.094358 
9054.000000,0.155690 
9924.000000,0.166509 
1221.000000,0.155598 
4340.000000,0.270434 
4054.000000,0.233778 
4651.000000,0.194861 
4440.000000,0.197389 
4544.000000,0.237055 
6915.000000,0.345012 
6904.000000,0.300791 
6908.000000,0.393748 
4116.000000,0.152628 
4260.000000,0.194774 
4665.000000,0.159197 
4152.000000,0.132501 
7800.000000,0.115528 
7797.000000,0.118367 
7822.000000,0.162196 
7953.000000,0.061372 
8439.000000,0.245388 
8443.000000,0.237367 
8450.000000,0.385112 
8442.000000,0.201011 
8448.000000,0.272895 
9606.000000,0.109244 
8130.000000,0.299450 
141.000000,0.406628 
6288.000000,0.119534 
8069.000000,0.170200 
8113.000000,0.161753 
8126.000000,0.133792 
8067.000000,0.242474 
8084.000000,0.172479 
898.000000,0.189399 
8123.000000,0.122472 
8127.000000,0.173606 
5267.000000,0.140021 
7553.000000,0.280825 
5213.000000,0.156833 
68.000000,0.334708 
78.000000,0.362904 
5312.000000,0.215720 
596.000000,0.345485 
6169.000000,0.132962 
6168.000000,0.058204 
2581.000000,0.318865 
4933.000000,0.170380 
5744.000000,0.096739 
5164.000000,0.219416 
14.000000,0.310041 
5936.000000,0.129237 
7793.000000,0.197842 
7807.000000,0.110253 
5314.000000,0.122981 
542.000000,0.319348 
497.000000,0.302218 
7283.000000,0.265936 
580.000000,0.260163 
6100.000000,0.163111 
6133.000000,0.162098 
1879.000000,0.219396 
1813.000000,0.152531 
1898.000000,0.134880 
1996.000000,0.206042 
1400.000000,0.127137 
1427.000000,0.130144 
1466.000000,0.186522 
1707.000000,0.047511 
2602.000000,0.260389 
8980.000000,0.180627 
2604.000000,0.084693 
9000.000000,0.154693 
2619.000000,0.226118 
2593.000000,0.107973 
5614.000000,0.174455 
3924.000000,0.203414 
2511.000000,0.305876 
4003.000000,0.177658 
7054.000000,0.136249 
3393.000000,0.161695 
7036.000000,0.192715 
3395.000000,0.157909 
3470.000000,0.189179 
5649.000000,0.133267 
5627.000000,0.179090 
5634.000000,0.162249 
5635.000000,0.133678 
3853.000000,0.238031 
3645.000000,0.185834 
3876.000000,0.217195 
733.000000,0.373001 
3546.000000,0.229377 
3605.000000,0.247320 
3797.000000,0.213737 
3931.000000,0.196828 
3682.000000,0.220356 
3550.000000,0.217938 
3658.000000,0.115189 
5594.000000,0.186910 
3872.000000,0.222348 
5617.000000,0.178162 
5597.000000,0.089254 
3971.000000,0.231598 
3831.000000,0.113616 
5652.000000,0.173752 
5653.000000,0.198879 
6061.000000,0.090050 
5607.000000,0.160692 
5889.000000,0.129914 
4071.000000,0.238849 
4049.000000,0.198983 
4657.000000,0.213027 
4344.000000,0.125210 
4127.000000,0.150243 
4615.000000,0.175168 
1205.000000,0.101390 
4203.000000,0.180241 
2503.000000,0.266993 
2495.000000,0.147600 
9741.000000,0.191719 
1545.000000,0.062298 
2348.000000,0.339965 
9957.000000,0.116340 
5668.000000,0.117785 
2642.000000,0.308633 
3570.000000,0.208205 
2526.000000,0.260924 
2525.000000,0.281251 
7056.000000,0.139500 
2278.000000,0.165043 
2109.000000,0.049984 
2255.000000,0.091929 
2341.000000,0.298921 
1995.000000,0.149082 
2073.000000,0.158617 
2081.000000,0.112199 
2065.000000,0.056207 
2021.000000,0.138265 
1858.000000,0.137650 
1963.000000,0.110732 
2265.000000,0.205095 
2247.000000,0.115268 
1755.000000,0.116480 
4010.000000,0.217011 
3941.000000,0.165319 
3750.000000,0.198117 
3336.000000,0.228211 
2830.000000,0.179479 
776.000000,0.278604 
763.000000,0.320718 
2766.000000,0.196816 
3318.000000,0.152229 
2858.000000,0.156802 
2959.000000,0.126902 
3623.000000,0.169173 
3680.000000,0.176405 
3432.000000,0.146940 
3890.000000,0.164153 
3535.000000,0.219876 
3776.000000,0.168176 
5611.000000,0.155609 
5593.000000,0.183169 
5596.000000,0.208999 
1969.000000,0.077892 
2006.000000,0.140958 
1484.000000,0.175077 
5663.000000,0.155267 
5667.000000,0.170870 
5641.000000,0.167442 
2481.000000,0.057014 
5893.000000,0.163239 
3555.000000,0.231255 
3856.000000,0.205974 
5755.000000,0.108772 
6870.000000,0.275849 
6869.000000,0.175622 
8098.000000,0.158887 
5762.000000,0.113686 
5828.000000,0.502097 
104.000000,0.314543 
5928.000000,0.078786 
6089.000000,0.093659 
9965.000000,0.058893 
2009.000000,0.146330 
1988.000000,0.086970 
1840.000000,0.120818 
1844.000000,0.095405 
2636.000000,0.218776 
2659.000000,0.167672 
2649.000000,0.169469 
3661.000000,0.227932 
4046.000000,0.208350 
3708.000000,0.129645 
3808.000000,0.172678 
3548.000000,0.186469 
4011.000000,0.179038 
3630.000000,0.188327 
3679.000000,0.170419 
3534.000000,0.145797 
3447.000000,0.173827 
4023.000000,0.201437 
3718.000000,0.131938 
3982.000000,0.228324 
3509.000000,0.134406 
2993.000000,0.220030 
3228.000000,0.216263 
2856.000000,0.260351 
2979.000000,0.159301 
2774.000000,0.186025 
2908.000000,0.142942 
3016.000000,0.177552 
3474.000000,0.181122 
2731.000000,0.185217 
3296.000000,0.109695 
2834.000000,0.248697 
3769.000000,0.240955 
2817.000000,0.110578 
3037.000000,0.121124 
3167.000000,0.195952 
2903.000000,0.215120 
3287.000000,0.121554 
3302.000000,0.174364 
3371.000000,0.151464 
3239.000000,0.113319 
2732.000000,0.133018 
2780.000000,0.174535 
2983.000000,0.137790 
3103.000000,0.170501 
3020.000000,0.165783 
3153.000000,0.162849 
2743.000000,0.196950 
2965.000000,0.142093 
2868.000000,0.163368 
2735.000000,0.148535 
3028.000000,0.174679 
3216.000000,0.110545 
3245.000000,0.140983 
2820.000000,0.184846 
3014.000000,0.155799 
