point, dist
2276.000000,0.247633 
2146.000000,0.160791 
2211.000000,0.140667 
1275.000000,0.296560 
8444.000000,0.280113 
4097.000000,0.162873 
8426.000000,0.149371 
8429.000000,0.155312 
1601.000000,0.111945 
1550.000000,0.168507 
4843.000000,0.267041 
4839.000000,0.266675 
2252.000000,0.284359 
2204.000000,0.185017 
2210.000000,0.166533 
2196.000000,0.160412 
9398.000000,0.143414 
2487.000000,0.299852 
9391.000000,0.155730 
9632.000000,0.216956 
1823.000000,0.245732 
7342.000000,0.117183 
7375.000000,0.040063 
1753.000000,0.221505 
1837.000000,0.221693 
1742.000000,0.223048 
2272.000000,0.268676 
3859.000000,0.179093 
8237.000000,0.289392 
8238.000000,0.287424 
8238.000000,0.083877 
8014.000000,0.111087 
2738.000000,0.185404 
3072.000000,0.183600 
2794.000000,0.180074 
2974.000000,0.144019 
7283.000000,0.086952 
3042.000000,0.160440 
6864.000000,0.058626 
2929.000000,0.191168 
9716.000000,0.171234 
3169.000000,0.152220 
2996.000000,0.191354 
3047.000000,0.172739 
756.000000,0.218282 
6970.000000,0.083120 
7261.000000,0.099661 
7429.000000,0.042093 
7569.000000,0.097652 
5221.000000,0.090879 
4429.000000,0.217300 
6128.000000,0.070379 
4677.000000,0.229372 
6066.000000,0.008950 
6065.000000,0.106936 
4875.000000,0.300384 
6151.000000,0.107092 
5261.000000,0.066523 
6161.000000,0.100362 
235.000000,0.213476 
4685.000000,0.162367 
168.000000,0.217390 
214.000000,0.196105 
4361.000000,0.154329 
4378.000000,0.171274 
4620.000000,0.148911 
4694.000000,0.197145 
7635.000000,0.087219 
7724.000000,0.131546 
7688.000000,0.090411 
7634.000000,0.109697 
4779.000000,0.125928 
4785.000000,0.145946 
4872.000000,0.315034 
4319.000000,0.158270 
4258.000000,0.191040 
1894.000000,0.222546 
2008.000000,0.212630 
1632.000000,0.220711 
1940.000000,0.255495 
1999.000000,0.258213 
2118.000000,0.232028 
1606.000000,0.159218 
2365.000000,0.135690 
6543.000000,0.301935 
5146.000000,0.093910 
5147.000000,0.050751 
2399.000000,0.194646 
2067.000000,0.210546 
1604.000000,0.133125 
2060.000000,0.251216 
5875.000000,0.155382 
5921.000000,0.075028 
5915.000000,0.044777 
5602.000000,0.079333 
2274.000000,0.268976 
2369.000000,0.152417 
2322.000000,0.067531 
2507.000000,0.191373 
2642.000000,0.146542 
2353.000000,0.134799 
3506.000000,0.163319 
2182.000000,0.159366 
2318.000000,0.279134 
2186.000000,0.142842 
9521.000000,0.239664 
3407.000000,0.152967 
3691.000000,0.150148 
3287.000000,0.160142 
3594.000000,0.154220 
1630.000000,0.216240 
1734.000000,0.246125 
1657.000000,0.237947 
2350.000000,0.074389 
2334.000000,0.129723 
4719.000000,0.130673 
4899.000000,0.265613 
8178.000000,0.291466 
8119.000000,0.141597 
8132.000000,0.117615 
8085.000000,0.358147 
8060.000000,0.352061 
8177.000000,0.295813 
2503.000000,0.282476 
3486.000000,0.179063 
3687.000000,0.147717 
3329.000000,0.192784 
6826.000000,0.111687 
7117.000000,0.132259 
7435.000000,0.062422 
2947.000000,0.165255 
2907.000000,0.150884 
3145.000000,0.171437 
1167.000000,0.214704 
3831.000000,0.180875 
3833.000000,0.143957 
4071.000000,0.195575 
4113.000000,0.158251 
5890.000000,0.063823 
9552.000000,0.195898 
5682.000000,0.057519 
187.000000,0.195446 
222.000000,0.182691 
4396.000000,0.168104 
4560.000000,0.169426 
4301.000000,0.188180 
4671.000000,0.196744 
189.000000,0.217612 
4316.000000,0.155287 
5164.000000,0.021442 
230.000000,0.166627 
273.000000,0.202161 
254.000000,0.191671 
48.000000,0.165098 
7332.000000,0.045845 
7384.000000,0.061578 
7249.000000,0.085490 
6447.000000,0.074568 
7397.000000,0.063170 
6763.000000,0.050570 
6847.000000,0.082576 
6650.000000,0.110631 
4869.000000,0.300942 
4812.000000,0.163591 
4798.000000,0.141354 
4532.000000,0.173783 
4473.000000,0.190428 
4291.000000,0.193998 
154.000000,0.213365 
4227.000000,0.189697 
7655.000000,0.094339 
3839.000000,0.208709 
7651.000000,0.087695 
3860.000000,0.229745 
6687.000000,0.017592 
7665.000000,0.078649 
7574.000000,0.032402 
1965.000000,0.213032 
5837.000000,0.081432 
2954.000000,0.169826 
3000.000000,0.160482 
1574.000000,0.112878 
1597.000000,0.110676 
6060.000000,0.131220 
6537.000000,0.116301 
3158.000000,0.170402 
2822.000000,0.163532 
3647.000000,0.174817 
2062.000000,0.221244 
5919.000000,0.077222 
5885.000000,0.092882 
5061.000000,0.110576 
5048.000000,0.077498 
5051.000000,0.048370 
4931.000000,0.096192 
6082.000000,0.118824 
5872.000000,0.171077 
6000.000000,0.080012 
3569.000000,0.193020 
3566.000000,0.190141 
3656.000000,0.170455 
3608.000000,0.171567 
2227.000000,0.218955 
6542.000000,0.112655 
7450.000000,0.123798 
1747.000000,0.258725 
2330.000000,0.139609 
6596.000000,0.026738 
6553.000000,0.060262 
2258.000000,0.286938 
1798.000000,0.220070 
1650.000000,0.224239 
1652.000000,0.232394 
1649.000000,0.219373 
2066.000000,0.225821 
3590.000000,0.162951 
3589.000000,0.166944 
3212.000000,0.180761 
3221.000000,0.171527 
3459.000000,0.158307 
2373.000000,0.106747 
1721.000000,0.235616 
1758.000000,0.223003 
1536.000000,0.149749 
7420.000000,0.089536 
7312.000000,0.110432 
1835.000000,0.226155 
2413.000000,0.124911 
7535.000000,0.073843 
7556.000000,0.049507 
4752.000000,0.117286 
4893.000000,0.278184 
1588.000000,0.156398 
3896.000000,0.168085 
3771.000000,0.215326 
3811.000000,0.231108 
4021.000000,0.187774 
4063.000000,0.161717 
3869.000000,0.171582 
6560.000000,0.071776 
7517.000000,0.110003 
7218.000000,0.101639 
6800.000000,0.098045 
7019.000000,0.124440 
