point, dist
1426.000000,0.140461 
9867.000000,0.175021 
9865.000000,0.144547 
7136.000000,0.077875 
7110.000000,0.110598 
7101.000000,0.103932 
8739.000000,0.121829 
8737.000000,0.132122 
8762.000000,0.126837 
7332.000000,0.183203 
9039.000000,0.082363 
7402.000000,0.050678 
963.000000,0.222509 
7091.000000,0.112067 
6990.000000,0.090476 
8835.000000,0.228489 
1497.000000,0.195935 
9782.000000,0.365420 
9735.000000,0.111051 
9749.000000,0.221668 
9747.000000,0.231878 
3252.000000,0.191666 
8869.000000,0.183361 
4600.000000,0.207081 
2616.000000,0.141703 
2547.000000,0.107046 
2341.000000,0.119953 
2381.000000,0.185868 
2344.000000,0.065711 
8529.000000,0.117422 
8564.000000,0.069070 
8523.000000,0.132204 
8562.000000,0.112341 
1440.000000,0.143146 
1460.000000,0.242002 
9873.000000,0.214007 
1425.000000,0.174512 
7061.000000,0.114656 
1475.000000,0.190519 
1482.000000,0.234760 
1656.000000,0.216112 
4775.000000,0.192385 
4835.000000,0.153908 
1658.000000,0.162458 
8912.000000,0.216238 
3445.000000,0.223514 
3919.000000,0.163364 
3939.000000,0.205378 
8932.000000,0.219578 
6824.000000,0.126241 
3851.000000,0.198048 
6826.000000,0.097192 
6840.000000,0.192977 
3865.000000,0.175998 
3668.000000,0.171986 
1386.000000,0.229307 
1414.000000,0.199095 
8884.000000,0.173042 
7475.000000,0.126801 
7054.000000,0.097999 
9788.000000,0.374939 
5361.000000,0.180927 
598.000000,0.205242 
5290.000000,0.162807 
5433.000000,0.171363 
491.000000,0.212029 
5521.000000,0.186527 
5260.000000,0.151707 
5755.000000,0.216472 
520.000000,0.250329 
5754.000000,0.153070 
3999.000000,0.217021 
4510.000000,0.191777 
4186.000000,0.251943 
9104.000000,0.067183 
9103.000000,0.052141 
2051.000000,0.101787 
2263.000000,0.170631 
5453.000000,0.155981 
5778.000000,0.166727 
8188.000000,0.178992 
8168.000000,0.157372 
8788.000000,0.128724 
8231.000000,0.122225 
2330.000000,0.095299 
2078.000000,0.059064 
2170.000000,0.096787 
7740.000000,0.172885 
7770.000000,0.340129 
7902.000000,0.255186 
7765.000000,0.344700 
1048.000000,0.162626 
9143.000000,0.151359 
816.000000,0.171545 
832.000000,0.186812 
1459.000000,0.236321 
