point, dist
9002.000000,0.177901 
3575.000000,0.227932 
3643.000000,0.206919 
979.000000,0.165062 
1006.000000,0.229937 
1073.000000,0.170865 
1094.000000,0.227420 
2554.000000,0.283858 
2604.000000,0.185447 
2718.000000,0.314442 
6727.000000,0.154544 
1158.000000,0.228721 
4249.000000,0.227083 
3966.000000,0.218301 
6170.000000,0.143170 
2724.000000,0.293303 
2806.000000,0.136705 
2853.000000,0.153180 
2729.000000,0.403933 
2573.000000,0.102292 
2568.000000,0.169592 
2711.000000,0.314751 
6868.000000,0.150863 
6948.000000,0.099312 
6812.000000,0.150352 
3638.000000,0.242526 
3420.000000,0.166304 
3683.000000,0.222477 
1035.000000,0.153536 
227.000000,0.184595 
6631.000000,0.159960 
6656.000000,0.153377 
6642.000000,0.101562 
1724.000000,0.181221 
1679.000000,0.045349 
9132.000000,0.086727 
2513.000000,0.139779 
2148.000000,0.101479 
2201.000000,0.049183 
6692.000000,0.196003 
6664.000000,0.179128 
6652.000000,0.187800 
5269.000000,0.195716 
9169.000000,0.198692 
5565.000000,0.171890 
1462.000000,0.339712 
2584.000000,0.231027 
2598.000000,0.233932 
2031.000000,0.104985 
2210.000000,0.061303 
839.000000,0.152199 
1026.000000,0.183912 
7771.000000,0.192412 
7931.000000,0.256416 
7742.000000,0.354370 
3304.000000,0.129344 
3393.000000,0.139220 
3696.000000,0.176517 
2749.000000,0.312541 
2738.000000,0.296801 
3028.000000,0.254396 
8859.000000,0.193339 
3033.000000,0.192745 
8720.000000,0.151334 
2581.000000,0.123209 
2735.000000,0.347942 
1822.000000,0.134069 
9124.000000,0.181348 
7133.000000,0.216332 
2106.000000,0.114083 
3665.000000,0.165889 
3813.000000,0.141145 
3771.000000,0.186017 
887.000000,0.198505 
274.000000,0.230745 
250.000000,0.185652 
268.000000,0.177099 
6586.000000,0.179352 
6577.000000,0.095383 
6264.000000,0.133298 
6581.000000,0.093896 
6570.000000,0.157983 
2456.000000,0.070408 
2486.000000,0.120321 
2470.000000,0.074461 
2422.000000,0.179664 
2326.000000,0.124963 
6647.000000,0.092740 
6584.000000,0.123810 
6646.000000,0.178093 
6591.000000,0.113547 
2097.000000,0.051137 
2364.000000,0.070169 
2109.000000,0.055834 
2762.000000,0.291777 
2698.000000,0.114197 
2768.000000,0.293808 
4478.000000,0.166573 
3103.000000,0.072552 
3087.000000,0.153923 
915.000000,0.192377 
3676.000000,0.159306 
933.000000,0.193682 
276.000000,0.172425 
7715.000000,0.338157 
3728.000000,0.210208 
9089.000000,0.122612 
6336.000000,0.079813 
6358.000000,0.106400 
72.000000,0.170974 
199.000000,0.228173 
997.000000,0.208708 
4069.000000,0.116587 
240.000000,0.229123 
6475.000000,0.473727 
59.000000,0.214046 
4431.000000,0.218618 
6336.000000,0.439511 
6112.000000,0.190295 
4151.000000,0.202549 
4372.000000,0.204108 
3359.000000,0.216899 
3906.000000,0.228512 
3702.000000,0.192125 
3599.000000,0.190605 
3786.000000,0.216084 
3344.000000,0.165973 
3713.000000,0.177760 
3820.000000,0.176633 
1011.000000,0.169117 
3756.000000,0.188916 
3422.000000,0.134742 
1370.000000,0.217987 
3768.000000,0.217117 
1224.000000,0.150912 
1124.000000,0.177903 
1146.000000,0.229610 
1135.000000,0.175795 
1287.000000,0.200585 
3645.000000,0.230808 
6679.000000,0.170562 
6685.000000,0.170898 
3342.000000,0.263556 
6731.000000,0.167736 
6709.000000,0.162122 
6719.000000,0.089777 
5236.000000,0.259866 
6659.000000,0.096925 
6619.000000,0.072722 
5355.000000,0.214802 
9166.000000,0.197931 
6110.000000,0.174610 
6150.000000,0.127854 
6144.000000,0.124514 
6104.000000,0.176557 
6126.000000,0.128804 
2968.000000,0.340222 
4024.000000,0.189091 
7062.000000,0.055420 
7077.000000,0.243164 
9121.000000,0.155185 
9123.000000,0.143204 
2180.000000,0.100330 
2123.000000,0.158916 
2096.000000,0.105630 
9126.000000,0.191504 
2825.000000,0.205276 
3044.000000,0.182061 
6767.000000,0.490209 
6849.000000,0.181973 
6813.000000,0.458346 
2570.000000,0.123431 
8866.000000,0.139405 
8834.000000,0.175039 
8844.000000,0.134037 
8858.000000,0.184558 
8833.000000,0.147518 
5076.000000,0.250439 
1732.000000,0.104684 
1696.000000,0.154397 
3552.000000,0.132861 
3745.000000,0.142572 
8993.000000,0.175869 
3882.000000,0.118475 
3772.000000,0.181159 
9006.000000,0.238353 
3815.000000,0.130554 
7772.000000,0.304735 
7788.000000,0.058979 
7776.000000,0.120643 
7839.000000,0.118037 
7869.000000,0.762656 
7835.000000,0.071405 
1092.000000,0.215703 
3775.000000,0.161528 
3592.000000,0.168734 
275.000000,0.113956 
2929.000000,0.151259 
613.000000,0.240677 
5515.000000,0.180537 
5592.000000,0.198895 
1060.000000,0.155640 
6788.000000,0.482862 
6879.000000,0.171067 
6996.000000,0.068375 
6941.000000,0.188613 
7908.000000,0.172190 
7712.000000,0.383640 
7839.000000,0.302035 
9820.000000,0.298499 
9661.000000,0.327184 
9779.000000,0.310124 
9704.000000,0.400745 
3806.000000,0.183715 
3888.000000,0.220807 
3892.000000,0.211482 
3801.000000,0.160779 
3603.000000,0.218864 
3426.000000,0.154201 
3817.000000,0.139853 
3611.000000,0.149370 
3825.000000,0.153885 
3061.000000,0.137340 
8967.000000,0.201454 
3912.000000,0.147926 
3358.000000,0.227445 
3290.000000,0.170189 
3887.000000,0.146747 
3341.000000,0.230007 
3527.000000,0.181067 
2839.000000,0.184740 
8836.000000,0.140438 
8856.000000,0.208772 
2833.000000,0.154550 
2820.000000,0.210695 
2742.000000,0.349506 
2175.000000,0.079506 
2865.000000,0.183998 
2863.000000,0.165900 
1211.000000,0.169978 
9270.000000,0.091303 
9251.000000,0.097798 
608.000000,0.174130 
612.000000,0.163056 
444.000000,0.211914 
8939.000000,0.178919 
1742.000000,0.108715 
9152.000000,0.226061 
5150.000000,0.242463 
9148.000000,0.081389 
5079.000000,0.249531 
5173.000000,0.228190 
4590.000000,0.153687 
4948.000000,0.202669 
4760.000000,0.250864 
1965.000000,0.165029 
1918.000000,0.099058 
2116.000000,0.123472 
2169.000000,0.159858 
2122.000000,0.123655 
2101.000000,0.048972 
2605.000000,0.105422 
1974.000000,0.091985 
2815.000000,0.176497 
2468.000000,0.162268 
1782.000000,0.095012 
2082.000000,0.113831 
1791.000000,0.164221 
2337.000000,0.199847 
2179.000000,0.222132 
2026.000000,0.061088 
4967.000000,0.258607 
5020.000000,0.254177 
7214.000000,0.165278 
7215.000000,0.158456 
3407.000000,0.154405 
3384.000000,0.143661 
6639.000000,0.167535 
6654.000000,0.241824 
6630.000000,0.093376 
6645.000000,0.140604 
5758.000000,0.135341 
6625.000000,0.099946 
6257.000000,0.062492 
6610.000000,0.106657 
6435.000000,0.074002 
6626.000000,0.084260 
6640.000000,0.207147 
8028.000000,0.167250 
1471.000000,0.183987 
8002.000000,0.144984 
1456.000000,0.188569 
1466.000000,0.170144 
5163.000000,0.155514 
5737.000000,0.236387 
6450.000000,0.173035 
6465.000000,0.528731 
6247.000000,0.545970 
6333.000000,0.503547 
6270.000000,0.200325 
6360.000000,0.158570 
6340.000000,0.067217 
6300.000000,0.515857 
33.000000,0.210190 
46.000000,0.178679 
8926.000000,0.202524 
7934.000000,0.288011 
7937.000000,0.283959 
262.000000,0.177851 
22.000000,0.236682 
58.000000,0.189603 
9183.000000,0.052877 
6555.000000,0.197521 
2458.000000,0.170969 
2412.000000,0.197695 
2409.000000,0.250840 
2527.000000,0.109242 
6661.000000,0.142425 
6268.000000,0.162673 
9064.000000,0.147444 
9080.000000,0.207002 
5483.000000,0.146924 
156.000000,0.184770 
5666.000000,0.148020 
5230.000000,0.148441 
5299.000000,0.217293 
168.000000,0.147700 
5286.000000,0.154826 
6344.000000,0.096031 
6383.000000,0.110979 
6328.000000,0.128874 
9093.000000,0.143228 
1394.000000,0.187603 
27.000000,0.228795 
2.000000,0.198889 
6378.000000,0.062740 
1408.000000,0.183650 
2435.000000,0.110342 
6658.000000,0.166314 
6633.000000,0.159858 
6508.000000,0.144427 
6549.000000,0.146884 
6153.000000,0.224130 
6155.000000,0.068800 
6522.000000,0.131064 
6151.000000,0.142246 
1737.000000,0.128690 
5034.000000,0.203690 
7210.000000,0.146305 
4830.000000,0.214096 
4684.000000,0.265125 
5206.000000,0.242169 
2614.000000,0.215312 
2747.000000,0.371628 
2631.000000,0.165708 
2052.000000,0.052791 
1993.000000,0.114299 
2195.000000,0.148190 
2015.000000,0.136494 
2118.000000,0.110464 
8938.000000,0.204435 
3170.000000,0.260990 
3088.000000,0.232026 
8387.000000,0.180635 
3147.000000,0.076059 
8966.000000,0.113491 
8392.000000,0.114661 
8961.000000,0.103913 
3118.000000,0.097479 
4149.000000,0.166628 
8937.000000,0.201884 
4529.000000,0.213032 
4121.000000,0.153216 
3079.000000,0.092493 
4471.000000,0.181704 
3194.000000,0.091545 
8860.000000,0.245014 
3042.000000,0.196208 
4400.000000,0.127431 
3396.000000,0.206315 
4171.000000,0.221760 
4259.000000,0.165392 
986.000000,0.197715 
3896.000000,0.164326 
870.000000,0.263386 
3325.000000,0.219328 
991.000000,0.498728 
3984.000000,0.153454 
4507.000000,0.214947 
258.000000,0.283336 
958.000000,0.188173 
3673.000000,0.123734 
4429.000000,0.224267 
3647.000000,0.117375 
3800.000000,0.177766 
3725.000000,0.203496 
2315.000000,0.157472 
2436.000000,0.135174 
2391.000000,0.187803 
2523.000000,0.048017 
2271.000000,0.053963 
2443.000000,0.181811 
2332.000000,0.148567 
2504.000000,0.181643 
67.000000,0.176290 
4207.000000,0.110492 
4348.000000,0.169470 
4504.000000,0.130507 
9021.000000,0.226295 
4545.000000,0.177515 
4098.000000,0.197380 
4465.000000,0.177628 
4285.000000,0.154078 
3704.000000,0.124769 
3832.000000,0.153068 
3338.000000,0.120257 
3576.000000,0.177879 
3748.000000,0.253350 
3659.000000,0.184537 
1077.000000,0.214741 
3500.000000,0.222439 
1107.000000,0.179580 
3884.000000,0.235276 
1152.000000,0.290646 
1296.000000,0.202793 
1259.000000,0.245459 
6984.000000,0.110183 
8917.000000,0.238878 
153.000000,0.179854 
6680.000000,0.131755 
3546.000000,0.284996 
3409.000000,0.251434 
3274.000000,0.198164 
3559.000000,0.148284 
3694.000000,0.196506 
3366.000000,0.224179 
8930.000000,0.197442 
6688.000000,0.082668 
6675.000000,0.128871 
6805.000000,0.519871 
6097.000000,0.303317 
6073.000000,0.306580 
1872.000000,0.198579 
5528.000000,0.205124 
5331.000000,0.193461 
6635.000000,0.247359 
9208.000000,0.105561 
5956.000000,0.240789 
6565.000000,0.068487 
1455.000000,0.186104 
1479.000000,0.259469 
5970.000000,0.181342 
5979.000000,0.162349 
6131.000000,0.149127 
6127.000000,0.119379 
6111.000000,0.103858 
6553.000000,0.114177 
6447.000000,0.125499 
6478.000000,0.227067 
6512.000000,0.158442 
6533.000000,0.159518 
6139.000000,0.137267 
6129.000000,0.099417 
4193.000000,0.179830 
8085.000000,0.187341 
4281.000000,0.237174 
4153.000000,0.184223 
4530.000000,0.181710 
4221.000000,0.228050 
4096.000000,0.203601 
4523.000000,0.142989 
4501.000000,0.141369 
4196.000000,0.186592 
4158.000000,0.214048 
2032.000000,0.121593 
6747.000000,0.210562 
7091.000000,0.212843 
7068.000000,0.478412 
7050.000000,0.479014 
1961.000000,0.149874 
7027.000000,0.498851 
6800.000000,0.172222 
7020.000000,0.265709 
7048.000000,0.142625 
7096.000000,0.187904 
7107.000000,0.215856 
6973.000000,0.184028 
7021.000000,0.514583 
