point, dist
6426.000000,0.300903 
6469.000000,0.234015 
9731.000000,0.276658 
4235.000000,0.235795 
4744.000000,0.291124 
6434.000000,0.271364 
6880.000000,0.259946 
2141.000000,0.137313 
6878.000000,0.311462 
3347.000000,0.151829 
3349.000000,0.291557 
4227.000000,0.201454 
6458.000000,0.304622 
3151.000000,0.112231 
6438.000000,0.312687 
3350.000000,0.320990 
4515.000000,0.225556 
4793.000000,0.197801 
4758.000000,0.138644 
5817.000000,0.129700 
5582.000000,0.142127 
5712.000000,0.119569 
6449.000000,0.256423 
6499.000000,0.284017 
6443.000000,0.266511 
9430.000000,0.210478 
9429.000000,0.148761 
9462.000000,0.138310 
9286.000000,0.182719 
9288.000000,0.080872 
9278.000000,0.109493 
6427.000000,0.299503 
3346.000000,0.277491 
7686.000000,0.153869 
7688.000000,0.163522 
3440.000000,0.291731 
4868.000000,0.209037 
4599.000000,0.260983 
3593.000000,0.223050 
4246.000000,0.182081 
4730.000000,0.177446 
941.000000,0.225755 
1105.000000,0.256961 
3893.000000,0.170465 
1250.000000,0.263106 
6816.000000,0.267481 
6785.000000,0.263408 
6435.000000,0.291426 
6459.000000,0.247610 
4860.000000,0.304619 
4802.000000,0.188198 
4468.000000,0.300218 
50.000000,0.235654 
1258.000000,0.211877 
5960.000000,0.236256 
5773.000000,0.182457 
5654.000000,0.267277 
277.000000,0.300157 
9239.000000,0.144309 
9234.000000,0.183005 
9241.000000,0.096435 
6478.000000,0.249564 
6497.000000,0.272869 
6807.000000,0.326807 
6482.000000,0.265829 
4293.000000,0.248935 
4380.000000,0.278927 
4262.000000,0.238371 
9092.000000,0.201610 
9111.000000,0.194748 
9092.000000,0.199249 
9083.000000,0.165315 
6895.000000,0.306445 
6918.000000,0.323505 
1685.000000,0.258029 
6917.000000,0.262252 
5403.000000,0.256028 
7418.000000,0.289837 
7441.000000,0.273844 
5073.000000,0.228740 
7459.000000,0.237835 
5974.000000,0.145855 
6063.000000,0.148005 
5752.000000,0.124033 
3657.000000,0.250902 
3616.000000,0.251926 
4045.000000,0.148217 
3937.000000,0.214043 
3927.000000,0.177809 
4071.000000,0.252377 
3861.000000,0.250245 
3861.000000,0.264387 
3781.000000,0.201670 
3990.000000,0.161014 
4099.000000,0.149863 
4176.000000,0.172071 
4391.000000,0.117194 
3687.000000,0.236373 
4072.000000,0.203411 
4101.000000,0.210109 
9005.000000,0.178112 
8990.000000,0.141154 
8986.000000,0.091610 
8993.000000,0.144066 
4700.000000,0.187324 
4566.000000,0.259572 
4686.000000,0.241714 
3828.000000,0.164052 
3783.000000,0.278075 
4155.000000,0.218416 
3769.000000,0.189067 
7199.000000,0.290719 
5567.000000,0.134911 
5564.000000,0.134325 
5798.000000,0.160911 
568.000000,0.270685 
9859.000000,0.208531 
6090.000000,0.178884 
6122.000000,0.123513 
2512.000000,0.090623 
6849.000000,0.240299 
6784.000000,0.293392 
9446.000000,0.184657 
3874.000000,0.154110 
3761.000000,0.131633 
1028.000000,0.269876 
3357.000000,0.306213 
3502.000000,0.195928 
192.000000,0.198332 
365.000000,0.184580 
201.000000,0.190821 
78.000000,0.210750 
64.000000,0.259319 
1043.000000,0.207114 
9791.000000,0.218802 
1109.000000,0.257211 
481.000000,0.277816 
422.000000,0.250781 
7138.000000,0.286547 
427.000000,0.247194 
9842.000000,0.180710 
40.000000,0.186902 
649.000000,0.219957 
190.000000,0.224547 
3826.000000,0.184981 
9229.000000,0.167729 
9269.000000,0.123298 
9227.000000,0.224118 
9137.000000,0.157867 
9128.000000,0.154966 
9129.000000,0.178629 
3097.000000,0.222780 
9714.000000,0.295940 
6982.000000,0.316278 
3087.000000,0.125171 
4773.000000,0.274067 
9809.000000,0.305642 
6436.000000,0.260485 
6440.000000,0.271453 
6779.000000,0.271586 
6835.000000,0.297724 
6791.000000,0.235050 
9280.000000,0.174448 
869.000000,0.240409 
602.000000,0.274970 
5983.000000,0.172039 
597.000000,0.199477 
5625.000000,0.167195 
5214.000000,0.252594 
5445.000000,0.282462 
5422.000000,0.283688 
5096.000000,0.137229 
1570.000000,0.331215 
2417.000000,0.132678 
2188.000000,0.118632 
2259.000000,0.266306 
2208.000000,0.097394 
2295.000000,0.192388 
2213.000000,0.135519 
2321.000000,0.166633 
9636.000000,0.169354 
9624.000000,0.230520 
9633.000000,0.154734 
9663.000000,0.093292 
4152.000000,0.210563 
4810.000000,0.125882 
2795.000000,0.046009 
2724.000000,0.142776 
2492.000000,0.108276 
3045.000000,0.257906 
8947.000000,0.196059 
3027.000000,0.266185 
6466.000000,0.245760 
3233.000000,0.345610 
3540.000000,0.315748 
3221.000000,0.314190 
4037.000000,0.179615 
3627.000000,0.226906 
4120.000000,0.214594 
3877.000000,0.199575 
3763.000000,0.139259 
3962.000000,0.236472 
5072.000000,0.227851 
7436.000000,0.283441 
5113.000000,0.221555 
4889.000000,0.279456 
5245.000000,0.199211 
7265.000000,0.242227 
7261.000000,0.268076 
7189.000000,0.245679 
7064.000000,0.228961 
6319.000000,0.151287 
6907.000000,0.280419 
6853.000000,0.339356 
2129.000000,0.176244 
2615.000000,0.229957 
2760.000000,0.089868 
217.000000,0.202661 
6464.000000,0.227224 
2512.000000,0.247937 
395.000000,0.231339 
41.000000,0.213850 
9880.000000,0.280740 
6601.000000,0.274428 
282.000000,0.264914 
6764.000000,0.242929 
6789.000000,0.331929 
6812.000000,0.323340 
6834.000000,0.359154 
6823.000000,0.326877 
6850.000000,0.340626 
6846.000000,0.365623 
6830.000000,0.288505 
6805.000000,0.272428 
6778.000000,0.307807 
