point, dist
3300.000000,0.061524 
3280.000000,0.070034 
3270.000000,0.045883 
2435.000000,0.090694 
9351.000000,0.291426 
2641.000000,0.072717 
3326.000000,0.170317 
8144.000000,0.166159 
9275.000000,0.278738 
8129.000000,0.191593 
9566.000000,0.289594 
2477.000000,0.112925 
9325.000000,0.284977 
5211.000000,0.122191 
786.000000,0.274553 
5179.000000,0.182665 
8836.000000,0.259190 
8989.000000,0.577358 
8021.000000,0.305201 
8022.000000,0.271564 
8011.000000,0.138558 
9315.000000,0.059541 
1853.000000,0.162142 
1840.000000,0.072938 
1792.000000,0.094458 
9388.000000,0.279979 
1856.000000,0.144381 
4591.000000,0.129991 
4686.000000,0.206104 
3276.000000,0.150626 
2645.000000,0.103503 
2401.000000,0.143113 
9524.000000,0.289089 
2600.000000,0.071428 
1179.000000,0.285942 
3352.000000,0.118125 
6313.000000,0.218880 
5361.000000,0.228692 
3402.000000,0.126129 
3314.000000,0.134017 
4792.000000,0.104163 
4760.000000,0.113254 
4659.000000,0.072535 
4757.000000,0.124734 
1757.000000,0.111992 
9449.000000,0.201927 
9417.000000,0.163595 
4586.000000,0.107681 
8568.000000,0.058736 
8571.000000,0.133478 
8585.000000,0.110853 
7177.000000,0.247401 
7807.000000,0.179028 
7806.000000,0.114440 
7067.000000,0.507004 
7165.000000,0.341940 
7164.000000,0.448753 
8975.000000,0.558405 
9012.000000,0.561213 
8984.000000,0.559640 
5602.000000,0.253408 
5720.000000,0.193890 
5334.000000,0.219445 
5475.000000,0.204856 
5654.000000,0.260888 
5124.000000,0.157355 
4966.000000,0.119362 
5256.000000,0.117530 
5006.000000,0.109917 
4928.000000,0.144122 
4578.000000,0.111195 
4630.000000,0.082279 
4804.000000,0.083561 
4705.000000,0.112891 
4846.000000,0.114370 
4911.000000,0.138453 
4853.000000,0.145405 
4880.000000,0.067133 
4839.000000,0.169276 
8563.000000,0.083941 
8592.000000,0.142481 
6233.000000,0.212783 
6045.000000,0.173519 
5879.000000,0.181146 
5836.000000,0.199246 
5156.000000,0.170911 
5141.000000,0.143525 
4982.000000,0.070623 
4768.000000,0.105542 
4927.000000,0.208026 
773.000000,0.284196 
817.000000,0.276634 
5404.000000,0.230093 
5514.000000,0.197976 
5406.000000,0.205642 
6559.000000,0.322004 
806.000000,0.263064 
6680.000000,0.171330 
9013.000000,0.555902 
8984.000000,0.207582 
9013.000000,0.216820 
3259.000000,0.148294 
8428.000000,0.123758 
8433.000000,0.151683 
8432.000000,0.073344 
8951.000000,0.576969 
8943.000000,0.561460 
8900.000000,0.576159 
8885.000000,0.558377 
2834.000000,0.147338 
4619.000000,0.136466 
1753.000000,0.108395 
1896.000000,0.115784 
1897.000000,0.158275 
6391.000000,0.083310 
1894.000000,0.111063 
1851.000000,0.070763 
5973.000000,0.230499 
5455.000000,0.333835 
5635.000000,0.347629 
5672.000000,0.202246 
5591.000000,0.345613 
1847.000000,0.370988 
1893.000000,0.379800 
5722.000000,0.188107 
5592.000000,0.191584 
5748.000000,0.181332 
5679.000000,0.190876 
4740.000000,0.145088 
4931.000000,0.496285 
4735.000000,0.427700 
2644.000000,0.127006 
8866.000000,0.562135 
8917.000000,0.569825 
8001.000000,0.347357 
8135.000000,0.118978 
3284.000000,0.072542 
3419.000000,0.110893 
3181.000000,0.152427 
90.000000,0.270551 
3182.000000,0.110403 
1130.000000,0.287011 
1141.000000,0.293296 
1172.000000,0.284605 
3315.000000,0.089246 
3386.000000,0.106918 
5557.000000,0.189098 
5755.000000,0.205535 
5479.000000,0.385364 
5698.000000,0.322863 
4604.000000,0.163490 
9639.000000,0.096857 
1785.000000,0.337072 
4802.000000,0.134945 
4932.000000,0.087705 
1801.000000,0.385070 
9895.000000,0.272868 
2355.000000,0.147616 
9923.000000,0.295759 
4733.000000,0.127065 
4811.000000,0.079465 
1806.000000,0.056298 
1828.000000,0.126329 
1811.000000,0.056830 
2902.000000,0.060831 
9426.000000,0.178038 
2833.000000,0.109351 
2828.000000,0.131516 
2917.000000,0.032426 
658.000000,0.271256 
711.000000,0.264295 
583.000000,0.252080 
9468.000000,0.093508 
9451.000000,0.164627 
8592.000000,0.137528 
2938.000000,0.154755 
2837.000000,0.164962 
2817.000000,0.127276 
7982.000000,0.286980 
8082.000000,0.100344 
8083.000000,0.177139 
2719.000000,0.130832 
2682.000000,0.098627 
9455.000000,0.113209 
9519.000000,0.267327 
2441.000000,0.144253 
9373.000000,0.283213 
9418.000000,0.127108 
2874.000000,0.042059 
2843.000000,0.116512 
638.000000,0.265960 
724.000000,0.297952 
5735.000000,0.179429 
5399.000000,0.221044 
5374.000000,0.234568 
5782.000000,0.198568 
5972.000000,0.211431 
5741.000000,0.198638 
5476.000000,0.217139 
5324.000000,0.216526 
5619.000000,0.214624 
243.000000,0.271573 
242.000000,0.264166 
247.000000,0.250356 
3590.000000,0.203277 
3705.000000,0.234389 
5126.000000,0.135235 
5150.000000,0.139704 
5283.000000,0.092433 
4743.000000,0.062046 
5190.000000,0.085909 
5216.000000,0.060592 
6603.000000,0.066503 
5144.000000,0.126733 
6682.000000,0.124889 
5135.000000,0.139022 
6597.000000,0.272455 
6719.000000,0.121447 
6733.000000,0.130296 
5086.000000,0.081072 
6679.000000,0.131918 
7450.000000,0.139949 
6623.000000,0.040048 
7377.000000,0.081351 
7348.000000,0.275754 
7437.000000,0.162263 
6725.000000,0.127055 
7449.000000,0.108911 
1861.000000,0.104094 
5191.000000,0.145746 
4616.000000,0.131870 
4896.000000,0.094813 
5113.000000,0.129843 
4934.000000,0.160323 
4584.000000,0.091433 
4678.000000,0.069995 
4835.000000,0.077560 
4909.000000,0.446208 
4892.000000,0.453722 
4670.000000,0.127194 
4806.000000,0.133200 
5077.000000,0.143203 
4810.000000,0.155635 
792.000000,0.251115 
801.000000,0.269209 
800.000000,0.259762 
744.000000,0.328187 
809.000000,0.305463 
5491.000000,0.191148 
7794.000000,0.285208 
7765.000000,0.261381 
7918.000000,0.198437 
8986.000000,0.568070 
1082.000000,0.278529 
7195.000000,0.107013 
148.000000,0.245603 
8022.000000,0.046917 
1923.000000,0.119413 
8409.000000,0.193700 
1644.000000,0.092832 
2050.000000,0.120116 
5492.000000,0.175910 
5390.000000,0.179049 
5744.000000,0.176789 
5774.000000,0.255743 
5840.000000,0.207605 
5913.000000,0.212121 
4625.000000,0.140687 
1894.000000,0.133338 
2840.000000,0.103905 
1883.000000,0.142752 
1880.000000,0.116038 
6407.000000,0.126728 
6388.000000,0.099321 
6395.000000,0.153967 
6411.000000,0.087056 
6393.000000,0.119704 
6331.000000,0.208289 
9414.000000,0.168031 
9397.000000,0.271497 
2830.000000,0.166202 
9423.000000,0.133011 
9429.000000,0.131892 
5707.000000,0.362748 
5146.000000,0.116850 
2875.000000,0.114670 
5740.000000,0.174582 
5691.000000,0.207139 
5743.000000,0.186844 
5350.000000,0.194303 
5685.000000,0.179522 
5791.000000,0.188662 
5663.000000,0.174740 
5634.000000,0.208881 
5347.000000,0.202728 
2965.000000,0.168288 
2776.000000,0.042701 
2963.000000,0.135448 
2687.000000,0.065435 
2967.000000,0.198136 
5386.000000,0.287326 
