point, dist
3994.000000,0.192244 
4414.000000,0.200723 
4460.000000,0.275660 
4668.000000,0.221075 
4218.000000,0.240625 
4389.000000,0.230717 
4161.000000,0.237066 
3818.000000,0.224501 
3847.000000,0.203894 
4063.000000,0.242645 
3917.000000,0.208349 
4222.000000,0.232411 
4657.000000,0.235258 
5215.000000,0.104800 
5226.000000,0.193125 
5406.000000,0.093505 
4608.000000,0.247384 
3861.000000,0.259220 
3721.000000,0.256923 
4768.000000,0.226850 
3638.000000,0.077221 
3635.000000,0.100119 
3649.000000,0.111530 
3602.000000,0.076713 
3544.000000,0.145315 
3628.000000,0.088786 
3550.000000,0.091569 
4856.000000,0.277455 
5122.000000,0.129583 
5049.000000,0.096388 
147.000000,0.294931 
3791.000000,0.213181 
370.000000,0.306918 
3914.000000,0.246980 
8926.000000,0.559054 
8924.000000,0.570163 
8944.000000,0.563525 
8919.000000,0.600804 
416.000000,0.313048 
8933.000000,0.222811 
5337.000000,0.175437 
5889.000000,0.288969 
5319.000000,0.065677 
8281.000000,0.094371 
8281.000000,0.112858 
8301.000000,0.085232 
8301.000000,0.190269 
8252.000000,0.109413 
8258.000000,0.100436 
8258.000000,0.146706 
8252.000000,0.155815 
3592.000000,0.109439 
3584.000000,0.074827 
4115.000000,0.207952 
4797.000000,0.219721 
4500.000000,0.243337 
4605.000000,0.242600 
4839.000000,0.300117 
4758.000000,0.244090 
4343.000000,0.278975 
4239.000000,0.192603 
4106.000000,0.216882 
3962.000000,0.222022 
4026.000000,0.209981 
4051.000000,0.213535 
3856.000000,0.246283 
3738.000000,0.242739 
9987.000000,0.354366 
3972.000000,0.237837 
250.000000,0.294844 
657.000000,0.273784 
553.000000,0.267988 
554.000000,0.276092 
560.000000,0.255659 
4286.000000,0.212913 
4672.000000,0.241271 
4544.000000,0.211507 
1387.000000,0.306915 
1384.000000,0.285200 
3504.000000,0.223182 
3515.000000,0.112095 
566.000000,0.298900 
497.000000,0.298053 
9195.000000,0.291575 
946.000000,0.311859 
5400.000000,0.091500 
422.000000,0.250436 
411.000000,0.256433 
8938.000000,0.231279 
8926.000000,0.234080 
56.000000,0.231615 
52.000000,0.259511 
1507.000000,0.265453 
8709.000000,0.375960 
9219.000000,0.291252 
8916.000000,0.553987 
8933.000000,0.557104 
3452.000000,0.170184 
7381.000000,0.139431 
7391.000000,0.165952 
412.000000,0.241870 
404.000000,0.293680 
7396.000000,0.086407 
5062.000000,0.070916 
5178.000000,0.137979 
5186.000000,0.183110 
5096.000000,0.180049 
5039.000000,0.142943 
4296.000000,0.276644 
4303.000000,0.274559 
9761.000000,0.115620 
2579.000000,0.299181 
2347.000000,0.239177 
2370.000000,0.262566 
4800.000000,0.299749 
1655.000000,0.302789 
3401.000000,0.099093 
3700.000000,0.096540 
1617.000000,0.283278 
3377.000000,0.122935 
4521.000000,0.211663 
8389.000000,0.144891 
4338.000000,0.261219 
1652.000000,0.175608 
8395.000000,0.070130 
8299.000000,0.117197 
8282.000000,0.142054 
8299.000000,0.191644 
8282.000000,0.118176 
9594.000000,0.067243 
2012.000000,0.259081 
2980.000000,0.259249 
8163.000000,0.151193 
4530.000000,0.227280 
4579.000000,0.247359 
3296.000000,0.208697 
9912.000000,0.263359 
9772.000000,0.151354 
9679.000000,0.259566 
3651.000000,0.232730 
3677.000000,0.114872 
3683.000000,0.058179 
3652.000000,0.147821 
3657.000000,0.095842 
3680.000000,0.165014 
3660.000000,0.068973 
3674.000000,0.085360 
3083.000000,0.291928 
3121.000000,0.266991 
3116.000000,0.295775 
3532.000000,0.129632 
3590.000000,0.139741 
3516.000000,0.131359 
3617.000000,0.144012 
3679.000000,0.180760 
3664.000000,0.150252 
3626.000000,0.124942 
3650.000000,0.110194 
3653.000000,0.128938 
4130.000000,0.202886 
4128.000000,0.213911 
3926.000000,0.205262 
3953.000000,0.201435 
4447.000000,0.232674 
3729.000000,0.211883 
4176.000000,0.270438 
3850.000000,0.196229 
3719.000000,0.229138 
4213.000000,0.302797 
4564.000000,0.220363 
4654.000000,0.253934 
4850.000000,0.305307 
3865.000000,0.204599 
4125.000000,0.224636 
1141.000000,0.275287 
1328.000000,0.259313 
1297.000000,0.293313 
1349.000000,0.254541 
1290.000000,0.236868 
7704.000000,0.316476 
7692.000000,0.243060 
7697.000000,0.253311 
1505.000000,0.287928 
3560.000000,0.091830 
8908.000000,0.334208 
8919.000000,0.321279 
8027.000000,0.284191 
8085.000000,0.194487 
7437.000000,0.226859 
8942.000000,0.562469 
8860.000000,0.567055 
8915.000000,0.559065 
8834.000000,0.553383 
8935.000000,0.568908 
8801.000000,0.494982 
8813.000000,0.457151 
8823.000000,0.583835 
8789.000000,0.265094 
8806.000000,0.283698 
8746.000000,0.306488 
9194.000000,0.317564 
8884.000000,0.568491 
8731.000000,0.328524 
4796.000000,0.268629 
3796.000000,0.218122 
4227.000000,0.267532 
9603.000000,0.148930 
5130.000000,0.106831 
5038.000000,0.218401 
5047.000000,0.089712 
4946.000000,0.068972 
4885.000000,0.156820 
4993.000000,0.154670 
4610.000000,0.343007 
592.000000,0.258995 
4387.000000,0.232810 
4789.000000,0.221043 
4720.000000,0.224342 
4628.000000,0.214308 
4777.000000,0.204758 
4542.000000,0.213258 
4765.000000,0.267128 
4631.000000,0.251785 
1386.000000,0.314862 
1408.000000,0.299784 
6261.000000,0.267731 
6303.000000,0.236351 
498.000000,0.275097 
9944.000000,0.313294 
8741.000000,0.267166 
9949.000000,0.337162 
3518.000000,0.109762 
3514.000000,0.130586 
3826.000000,0.222667 
4015.000000,0.213397 
3751.000000,0.214614 
4209.000000,0.235196 
4187.000000,0.224518 
3740.000000,0.221931 
8717.000000,0.322501 
3444.000000,0.055638 
9946.000000,0.282896 
850.000000,0.288578 
963.000000,0.315198 
979.000000,0.311660 
900.000000,0.293638 
5153.000000,0.098719 
5230.000000,0.061054 
5167.000000,0.133020 
8938.000000,0.559215 
8916.000000,0.209921 
552.000000,0.305868 
567.000000,0.268582 
563.000000,0.270190 
4955.000000,0.153298 
5121.000000,0.156548 
5113.000000,0.174479 
4900.000000,0.104317 
5077.000000,0.462442 
4976.000000,0.153069 
5129.000000,0.445652 
5090.000000,0.121619 
5091.000000,0.146620 
5005.000000,0.192997 
4876.000000,0.449481 
4916.000000,0.417314 
2556.000000,0.270703 
2069.000000,0.256838 
2341.000000,0.235414 
9758.000000,0.123393 
9752.000000,0.236815 
9758.000000,0.253763 
8227.000000,0.070429 
1177.000000,0.258521 
1206.000000,0.314742 
1226.000000,0.252747 
1174.000000,0.271232 
1234.000000,0.272465 
1306.000000,0.257527 
9583.000000,0.147864 
5024.000000,0.083088 
5367.000000,0.167418 
5408.000000,0.453233 
5420.000000,0.166827 
5149.000000,0.440444 
4967.000000,0.151166 
1701.000000,0.329291 
2227.000000,0.256501 
2127.000000,0.250927 
2266.000000,0.289710 
1676.000000,0.243524 
6615.000000,0.118063 
6612.000000,0.124215 
6618.000000,0.128442 
4911.000000,0.158808 
5004.000000,0.170291 
9233.000000,0.179965 
1686.000000,0.248670 
5283.000000,0.446855 
5384.000000,0.135497 
5105.000000,0.480125 
5217.000000,0.178731 
9755.000000,0.164109 
2531.000000,0.246540 
9744.000000,0.122385 
2301.000000,0.280553 
9740.000000,0.113980 
2549.000000,0.242088 
9764.000000,0.087201 
9263.000000,0.269557 
9261.000000,0.254643 
9764.000000,0.238271 
4246.000000,0.199398 
9730.000000,0.104986 
2557.000000,0.278257 
1571.000000,0.340249 
8331.000000,0.124006 
8354.000000,0.163093 
8328.000000,0.060417 
8329.000000,0.156314 
8333.000000,0.024100 
8359.000000,0.179376 
3750.000000,0.232344 
4086.000000,0.202778 
3813.000000,0.263287 
3867.000000,0.220663 
3921.000000,0.295586 
9665.000000,0.115858 
9662.000000,0.151246 
9693.000000,0.265325 
9635.000000,0.141412 
2498.000000,0.275758 
9748.000000,0.231736 
9748.000000,0.067319 
9762.000000,0.279214 
8213.000000,0.143216 
1959.000000,0.267812 
4346.000000,0.226053 
8192.000000,0.175864 
8184.000000,0.181662 
8184.000000,0.136776 
8192.000000,0.106595 
4554.000000,0.216491 
3288.000000,0.254219 
4567.000000,0.219916 
8139.000000,0.082818 
8144.000000,0.182185 
8142.000000,0.138986 
8142.000000,0.109989 
4406.000000,0.214614 
8246.000000,0.160185 
8228.000000,0.068060 
3709.000000,0.191857 
3494.000000,0.144512 
3450.000000,0.180237 
3492.000000,0.103436 
3448.000000,0.161403 
3475.000000,0.069573 
3442.000000,0.158645 
9329.000000,0.077913 
3110.000000,0.277494 
8389.000000,0.111649 
8698.000000,0.161660 
8686.000000,0.122207 
8698.000000,0.110436 
3692.000000,0.103028 
2516.000000,0.277971 
2489.000000,0.256552 
2426.000000,0.209091 
3522.000000,0.070638 
3533.000000,0.163894 
3570.000000,0.091818 
3614.000000,0.158707 
276.000000,0.242422 
273.000000,0.234349 
280.000000,0.262804 
7066.000000,0.141452 
4804.000000,0.238653 
3422.000000,0.178709 
3493.000000,0.118441 
3405.000000,0.071461 
4802.000000,0.368208 
3893.000000,0.216050 
3808.000000,0.235170 
4166.000000,0.244604 
4233.000000,0.198945 
364.000000,0.283600 
1342.000000,0.262501 
1160.000000,0.233519 
1284.000000,0.235519 
1295.000000,0.237396 
1232.000000,0.291000 
321.000000,0.288469 
1348.000000,0.256291 
330.000000,0.292036 
7316.000000,0.267676 
8001.000000,0.131221 
1485.000000,0.247816 
212.000000,0.242882 
220.000000,0.246049 
54.000000,0.273320 
366.000000,0.274963 
197.000000,0.265765 
7539.000000,0.250421 
7550.000000,0.105851 
984.000000,0.235477 
564.000000,0.229852 
9986.000000,0.262958 
997.000000,0.235638 
9996.000000,0.245833 
241.000000,0.274329 
104.000000,0.242716 
7782.000000,0.170234 
309.000000,0.262844 
7099.000000,0.134178 
7709.000000,0.280059 
7162.000000,0.468825 
7162.000000,0.109328 
7766.000000,0.102930 
7104.000000,0.437577 
1019.000000,0.267321 
1359.000000,0.303995 
8904.000000,0.218568 
426.000000,0.274055 
8837.000000,0.560569 
8903.000000,0.562932 
8907.000000,0.585360 
8892.000000,0.552362 
8801.000000,0.258365 
9232.000000,0.320332 
9197.000000,0.296481 
8927.000000,0.565388 
9232.000000,0.397866 
8744.000000,0.308317 
8925.000000,0.558092 
4717.000000,0.223406 
3752.000000,0.289259 
4012.000000,0.271001 
4410.000000,0.224143 
696.000000,0.281373 
585.000000,0.302114 
480.000000,0.260177 
589.000000,0.265882 
3944.000000,0.211240 
4105.000000,0.277503 
3949.000000,0.263111 
3713.000000,0.316513 
3937.000000,0.287199 
3397.000000,0.156836 
4873.000000,0.111114 
4891.000000,0.163912 
6889.000000,0.086535 
3237.000000,0.271212 
6888.000000,0.048804 
3268.000000,0.317621 
5115.000000,0.135756 
4529.000000,0.268712 
4666.000000,0.294852 
4835.000000,0.282024 
602.000000,0.294801 
360.000000,0.297662 
3901.000000,0.210265 
595.000000,0.240681 
479.000000,0.314770 
691.000000,0.243639 
865.000000,0.246206 
4775.000000,0.237478 
4847.000000,0.238512 
4485.000000,0.200303 
4381.000000,0.244675 
4623.000000,0.194191 
4528.000000,0.226391 
4426.000000,0.227809 
4761.000000,0.341164 
5048.000000,0.095837 
117.000000,0.268016 
7187.000000,0.099065 
7196.000000,0.142808 
6585.000000,0.201632 
1003.000000,0.283541 
3520.000000,0.112426 
216.000000,0.287235 
7157.000000,0.476654 
7105.000000,0.431941 
1341.000000,0.275725 
1212.000000,0.245803 
551.000000,0.263662 
7152.000000,0.194699 
4256.000000,0.228115 
3933.000000,0.300248 
3827.000000,0.213959 
4138.000000,0.231827 
4469.000000,0.225821 
3496.000000,0.081911 
3498.000000,0.152300 
3466.000000,0.155843 
3473.000000,0.101283 
9220.000000,0.281136 
5964.000000,0.235624 
8908.000000,0.557795 
5165.000000,0.114610 
5334.000000,0.134949 
5236.000000,0.440592 
840.000000,0.281080 
924.000000,0.297835 
999.000000,0.282248 
6912.000000,0.156875 
7547.000000,0.194877 
7543.000000,0.165253 
5163.000000,0.163327 
5388.000000,0.432178 
5171.000000,0.129579 
5301.000000,0.461796 
5350.000000,0.450585 
5341.000000,0.121306 
5179.000000,0.387228 
5162.000000,0.408390 
5199.000000,0.394525 
5148.000000,0.513796 
4913.000000,0.498402 
4930.000000,0.479337 
4924.000000,0.496020 
6721.000000,0.124910 
6721.000000,0.572049 
6702.000000,0.093705 
5069.000000,0.179383 
4958.000000,0.057649 
5045.000000,0.120312 
9720.000000,0.239520 
