point, dist
3641.000000,0.179095 
118.000000,0.313617 
2832.000000,0.090421 
2860.000000,0.123185 
9756.000000,0.111598 
7316.000000,0.116019 
9746.000000,0.117549 
9755.000000,0.134025 
1684.000000,0.087664 
1697.000000,0.047728 
5381.000000,0.116469 
1691.000000,0.059033 
1688.000000,0.042354 
4844.000000,0.111908 
2861.000000,0.091944 
2831.000000,0.097200 
9325.000000,0.145200 
4423.000000,0.041309 
4422.000000,0.295896 
4412.000000,0.286879 
3157.000000,0.128995 
8739.000000,0.112710 
8990.000000,0.059887 
1988.000000,0.083476 
8746.000000,0.133895 
8669.000000,0.126484 
8440.000000,0.140223 
9932.000000,0.126885 
9025.000000,0.121471 
9288.000000,0.149738 
3208.000000,0.183817 
9306.000000,0.166685 
1746.000000,0.073709 
4443.000000,0.061151 
9492.000000,0.187738 
9422.000000,0.108365 
9430.000000,0.106324 
2770.000000,0.070636 
2757.000000,0.084979 
2759.000000,0.080279 
2785.000000,0.058791 
9742.000000,0.070686 
9741.000000,0.093766 
9731.000000,0.079143 
9730.000000,0.082738 
9712.000000,0.089539 
6889.000000,0.115887 
4456.000000,0.010997 
9445.000000,0.103128 
9761.000000,0.090407 
8366.000000,0.098674 
9944.000000,0.108148 
9037.000000,0.097074 
9029.000000,0.109172 
9319.000000,0.111603 
9256.000000,0.176492 
5959.000000,0.114621 
6250.000000,0.115236 
6246.000000,0.124242 
4683.000000,0.171304 
4756.000000,0.114663 
4684.000000,0.128380 
4697.000000,0.145327 
4685.000000,0.129583 
4593.000000,0.160084 
4558.000000,0.068627 
3801.000000,0.166844 
4533.000000,0.125814 
3792.000000,0.109222 
2898.000000,0.081401 
8752.000000,0.129087 
9026.000000,0.106440 
9316.000000,0.116548 
5229.000000,0.043835 
2353.000000,0.052921 
2356.000000,0.086313 
6893.000000,0.136473 
2440.000000,0.061743 
5220.000000,0.047701 
6724.000000,0.093774 
9725.000000,0.131266 
6781.000000,0.119887 
9719.000000,0.095981 
7367.000000,0.130565 
1736.000000,0.066947 
2409.000000,0.064662 
4987.000000,0.071143 
4990.000000,0.070536 
2256.000000,0.060751 
631.000000,0.065402 
2477.000000,0.073925 
2483.000000,0.062697 
4928.000000,0.122820 
6727.000000,0.118169 
6778.000000,0.099848 
5070.000000,0.113423 
8462.000000,0.129125 
1740.000000,0.051901 
5365.000000,0.083662 
1728.000000,0.097171 
9166.000000,0.101682 
9185.000000,0.063850 
9446.000000,0.124995 
8398.000000,0.111602 
8660.000000,0.121493 
8375.000000,0.110012 
8960.000000,0.104563 
6123.000000,0.106651 
6129.000000,0.097928 
5960.000000,0.134646 
9627.000000,0.140442 
5597.000000,0.117997 
4678.000000,0.155299 
2934.000000,0.280838 
5490.000000,0.108482 
5778.000000,0.175728 
5790.000000,0.134946 
5479.000000,0.111902 
4492.000000,0.131845 
3653.000000,0.171643 
