point, dist
5630.000000,0.198888 
6209.000000,0.086648 
6214.000000,0.086779 
5325.000000,0.098718 
5304.000000,0.120424 
4082.000000,0.057750 
2828.000000,0.263067 
4000.000000,0.043192 
3021.000000,0.265738 
5331.000000,0.113360 
5356.000000,0.255537 
5388.000000,0.088908 
1493.000000,0.020140 
7511.000000,0.068230 
1534.000000,0.006192 
4661.000000,0.043710 
4797.000000,0.077383 
4832.000000,0.024997 
3060.000000,0.185109 
4897.000000,0.245424 
3157.000000,0.130227 
2454.000000,0.260839 
4616.000000,0.055201 
4634.000000,0.048861 
4847.000000,0.027208 
4814.000000,0.067960 
3105.000000,0.056489 
2932.000000,0.271303 
273.000000,0.273902 
3096.000000,0.171514 
2487.000000,0.260631 
4990.000000,0.246641 
4981.000000,0.242870 
2066.000000,0.028424 
2252.000000,0.299442 
4983.000000,0.246225 
57.000000,0.272237 
4297.000000,0.066705 
2662.000000,0.269567 
4046.000000,0.105502 
2655.000000,0.266570 
4075.000000,0.071739 
5679.000000,0.191913 
6238.000000,0.193393 
6275.000000,0.127425 
8858.000000,0.109850 
6769.000000,0.116616 
5217.000000,0.099677 
6694.000000,0.102012 
5219.000000,0.093491 
5379.000000,0.107942 
5307.000000,0.102678 
5453.000000,0.186436 
5933.000000,0.101651 
5908.000000,0.089816 
1442.000000,0.016474 
1513.000000,0.013878 
1527.000000,0.048117 
7646.000000,0.246169 
4273.000000,0.142412 
1446.000000,0.055050 
1433.000000,0.025946 
5935.000000,0.109720 
5787.000000,0.194362 
2618.000000,0.259106 
209.000000,0.069949 
4647.000000,0.035404 
4545.000000,0.064896 
7685.000000,0.235741 
4126.000000,0.114167 
2927.000000,0.299321 
1720.000000,0.294954 
3061.000000,0.148271 
1887.000000,0.272375 
3087.000000,0.121081 
7461.000000,0.156286 
1910.000000,0.271686 
4494.000000,0.054461 
4672.000000,0.028709 
9356.000000,0.102120 
9365.000000,0.110618 
9945.000000,0.106446 
4695.000000,0.028923 
8159.000000,0.187207 
7623.000000,0.246204 
4630.000000,0.041136 
4816.000000,0.037211 
4636.000000,0.045969 
4844.000000,0.036589 
5014.000000,0.131721 
6316.000000,0.132908 
4918.000000,0.242483 
2761.000000,0.267871 
2720.000000,0.265165 
2725.000000,0.265272 
4047.000000,0.048319 
5825.000000,0.189191 
5695.000000,0.192555 
