point, dist
3266.000000,0.245124 
2474.000000,0.180477 
3217.000000,0.221521 
2476.000000,0.063531 
70.000000,0.122925 
50.000000,0.111382 
3807.000000,0.142452 
6859.000000,0.615483 
6871.000000,0.618960 
6862.000000,0.249082 
6853.000000,0.266498 
9966.000000,0.129010 
9967.000000,0.195207 
9965.000000,0.064854 
9975.000000,0.149394 
3788.000000,0.196215 
1120.000000,0.188985 
2276.000000,0.117696 
7856.000000,0.166831 
9807.000000,0.153043 
7666.000000,0.152828 
1081.000000,0.199859 
2567.000000,0.113875 
2159.000000,0.318829 
760.000000,0.042687 
3379.000000,0.240027 
751.000000,0.099540 
2323.000000,0.078917 
3224.000000,0.229687 
3366.000000,0.216763 
3361.000000,0.177838 
6846.000000,0.237548 
6760.000000,0.126338 
6848.000000,0.125378 
6763.000000,0.099846 
6770.000000,0.140719 
7650.000000,0.104620 
8013.000000,0.202036 
7653.000000,0.104919 
9795.000000,0.170618 
9797.000000,0.179804 
7975.000000,0.190145 
6851.000000,0.684388 
6868.000000,0.719560 
2562.000000,0.612601 
2562.000000,0.159969 
9222.000000,0.091109 
9336.000000,0.224379 
9227.000000,0.087967 
9168.000000,0.143911 
4441.000000,0.201901 
4491.000000,0.122917 
4438.000000,0.120366 
4525.000000,0.155645 
4403.000000,0.220546 
4417.000000,0.196288 
4410.000000,0.188618 
4602.000000,0.115468 
4424.000000,0.298007 
4422.000000,0.191417 
4505.000000,0.188218 
4503.000000,0.137256 
4550.000000,0.122424 
7654.000000,0.168827 
9902.000000,0.104177 
9894.000000,0.103400 
9903.000000,0.556392 
9904.000000,0.524296 
1220.000000,0.160659 
1217.000000,0.287059 
1217.000000,0.115170 
751.000000,0.325217 
4484.000000,0.215944 
4484.000000,0.133588 
3277.000000,0.244495 
2481.000000,0.076403 
9057.000000,0.119473 
9111.000000,0.227934 
9061.000000,0.117052 
9803.000000,0.081608 
6766.000000,0.083814 
6755.000000,0.134542 
1204.000000,0.187490 
6849.000000,0.211522 
9966.000000,0.569057 
9898.000000,1.021243 
9976.000000,0.574731 
9898.000000,0.991157 
1084.000000,0.197975 
3784.000000,0.097583 
1094.000000,0.207304 
3779.000000,0.101675 
3795.000000,0.135435 
1550.000000,0.336237 
7841.000000,0.457736 
7824.000000,0.521522 
7779.000000,0.142802 
7841.000000,0.956281 
7778.000000,0.062425 
9422.000000,0.341046 
9427.000000,0.020418 
9422.000000,0.202803 
6851.000000,0.372531 
9353.000000,0.130322 
9350.000000,0.181657 
9367.000000,0.121148 
2557.000000,0.080982 
2579.000000,0.145806 
2424.000000,0.589683 
6628.000000,0.336008 
2419.000000,0.121210 
1206.000000,0.220628 
2563.000000,0.432740 
1140.000000,0.208037 
9428.000000,0.342802 
4602.000000,0.420171 
4597.000000,0.077722 
9336.000000,0.154376 
9339.000000,0.146982 
9342.000000,0.150403 
9333.000000,0.619538 
9333.000000,0.642696 
4528.000000,0.130743 
4544.000000,0.156193 
4393.000000,0.197103 
4994.000000,0.108495 
4981.000000,0.180092 
4330.000000,0.181479 
4517.000000,0.140849 
4524.000000,0.168152 
4299.000000,0.155779 
4639.000000,0.090783 
7953.000000,0.448962 
8036.000000,0.129446 
7936.000000,0.474172 
8045.000000,0.164377 
9899.000000,0.575286 
9899.000000,0.117598 
8882.000000,0.965959 
8882.000000,0.464912 
8986.000000,0.959449 
9996.000000,0.117680 
9994.000000,0.571999 
9994.000000,0.163412 
9996.000000,0.477823 
9916.000000,0.982636 
9915.000000,0.378308 
4139.000000,0.178679 
4260.000000,0.199339 
5027.000000,0.160815 
4242.000000,0.166816 
4251.000000,0.224465 
4273.000000,0.787712 
376.000000,0.709025 
8868.000000,0.067209 
8882.000000,0.092320 
8986.000000,0.067661 
8963.000000,0.092070 
6424.000000,0.061745 
9920.000000,0.528874 
9920.000000,0.130342 
9920.000000,0.467675 
9922.000000,0.550505 
9923.000000,0.127139 
5917.000000,0.955444 
6407.000000,0.459081 
5922.000000,0.947508 
9848.000000,1.012989 
8143.000000,0.267397 
8244.000000,0.931401 
3365.000000,0.178579 
3245.000000,0.228827 
3485.000000,0.125810 
3434.000000,0.046088 
3422.000000,0.256204 
2118.000000,0.270666 
3389.000000,0.179975 
2141.000000,0.298579 
2131.000000,0.284124 
3391.000000,0.132452 
3385.000000,0.155359 
2156.000000,0.291163 
3381.000000,0.137169 
2126.000000,0.288738 
2145.000000,0.276756 
2101.000000,0.294306 
7082.000000,0.429478 
5150.000000,0.941633 
5150.000000,0.456058 
2479.000000,0.102589 
4446.000000,0.672612 
3934.000000,0.408231 
3237.000000,0.221287 
9085.000000,0.180667 
9402.000000,0.163797 
9383.000000,0.117559 
1364.000000,0.283223 
6828.000000,0.306550 
6802.000000,0.068412 
39.000000,0.116498 
3111.000000,0.327478 
1360.000000,0.287552 
1402.000000,0.275920 
1343.000000,0.294813 
3624.000000,0.268474 
3632.000000,0.279522 
9254.000000,0.164284 
9079.000000,0.126133 
9248.000000,0.170881 
9149.000000,0.266594 
9359.000000,0.162632 
9112.000000,0.229924 
9945.000000,0.159717 
9948.000000,0.162153 
9960.000000,0.188160 
6618.000000,0.307910 
9426.000000,0.704855 
9305.000000,0.173032 
6850.000000,0.202776 
9567.000000,0.286526 
9613.000000,0.264337 
9655.000000,0.225900 
9610.000000,0.621732 
6856.000000,0.214416 
6316.000000,0.433756 
6385.000000,0.430543 
6316.000000,0.935278 
933.000000,0.120235 
6316.000000,0.104204 
4264.000000,0.267335 
4176.000000,0.132421 
4163.000000,0.091263 
4263.000000,0.262115 
4240.000000,0.230837 
323.000000,0.035603 
4893.000000,0.612644 
184.000000,0.088359 
4782.000000,0.104678 
247.000000,0.135537 
9305.000000,0.188990 
9299.000000,0.210971 
1576.000000,0.299653 
3601.000000,0.312511 
3596.000000,0.303251 
7963.000000,0.153182 
8578.000000,0.768089 
7963.000000,0.423120 
8005.000000,0.127699 
7041.000000,0.765632 
7957.000000,0.082933 
9237.000000,0.144125 
9089.000000,0.130869 
9086.000000,0.060903 
9271.000000,0.095439 
9387.000000,0.233863 
9293.000000,0.112674 
9299.000000,0.251466 
9334.000000,0.307233 
9439.000000,0.079208 
6868.000000,0.340969 
1006.000000,0.695918 
1175.000000,0.185140 
1172.000000,0.176120 
2284.000000,0.300678 
9332.000000,0.694021 
9335.000000,0.662685 
2567.000000,0.607357 
7247.000000,0.485073 
7824.000000,0.824118 
4601.000000,0.106503 
9226.000000,0.463752 
8657.000000,0.927752 
4507.000000,0.148605 
4521.000000,0.171398 
9734.000000,0.163932 
6983.000000,0.163738 
9741.000000,0.154608 
6966.000000,0.122553 
7882.000000,0.449694 
7898.000000,0.449491 
7882.000000,0.126005 
7907.000000,0.312201 
7883.000000,0.140850 
7907.000000,0.132938 
4647.000000,0.302552 
7177.000000,0.162854 
4655.000000,0.284745 
4351.000000,0.145611 
4318.000000,0.207323 
4609.000000,0.099254 
9170.000000,0.232579 
7850.000000,0.427271 
7851.000000,0.118876 
7850.000000,0.110786 
7927.000000,0.944326 
8525.000000,0.471969 
7924.000000,0.948807 
8516.000000,0.456823 
7927.000000,0.442818 
7929.000000,0.942943 
7924.000000,0.452296 
5643.000000,0.450806 
5224.000000,0.960181 
5643.000000,0.945880 
7270.000000,0.088818 
7850.000000,0.828090 
7270.000000,0.381612 
7679.000000,0.837806 
5632.000000,0.943076 
5221.000000,0.481165 
5637.000000,0.945749 
3428.000000,0.256383 
3466.000000,0.297305 
5755.000000,0.096858 
8066.000000,0.061608 
7216.000000,0.459300 
7376.000000,0.206269 
7376.000000,0.546880 
7823.000000,0.946402 
7823.000000,0.447229 
7817.000000,0.443045 
7829.000000,0.445088 
7829.000000,0.945392 
9899.000000,0.520989 
6384.000000,0.431650 
4228.000000,0.106287 
1970.000000,0.280120 
161.000000,0.108551 
1986.000000,0.273509 
6422.000000,0.463163 
6422.000000,0.105810 
6433.000000,0.101426 
5845.000000,0.956460 
5845.000000,0.463829 
6426.000000,0.961632 
9825.000000,0.148552 
9829.000000,0.537648 
9830.000000,0.090032 
5840.000000,0.126832 
9981.000000,0.079362 
9981.000000,0.204109 
9679.000000,0.088790 
9660.000000,0.213511 
9577.000000,0.086456 
9577.000000,0.495389 
9679.000000,0.481215 
9983.000000,0.171618 
1433.000000,0.288506 
1437.000000,0.267068 
1433.000000,0.100462 
4171.000000,0.386744 
4286.000000,0.751592 
4261.000000,0.668143 
6384.000000,0.930051 
6384.000000,0.130196 
9915.000000,0.170126 
9917.000000,0.115744 
9916.000000,0.166332 
9909.000000,0.126371 
9920.000000,0.986000 
8261.000000,0.958468 
9849.000000,0.539188 
8261.000000,0.472228 
8157.000000,0.091701 
9852.000000,0.530258 
9852.000000,0.135712 
