point, dist
7251.000000,0.815781 
7522.000000,0.783039 
7536.000000,0.756130 
9841.000000,0.860130 
9666.000000,0.247714 
5261.000000,0.223528 
5223.000000,0.130754 
4938.000000,0.109449 
4938.000000,0.129574 
5011.000000,0.271003 
5184.000000,0.220757 
5204.000000,0.181710 
5203.000000,0.169139 
47.000000,0.475537 
5161.000000,0.730329 
43.000000,0.454646 
5149.000000,0.730427 
9657.000000,0.258174 
9615.000000,0.235993 
9657.000000,0.127532 
13.000000,0.166246 
32.000000,0.173340 
3980.000000,0.222711 
9729.000000,0.596940 
9737.000000,0.146643 
9730.000000,0.484499 
3971.000000,0.164538 
3942.000000,0.236328 
4004.000000,0.190604 
3376.000000,0.120769 
1077.000000,0.106852 
1077.000000,0.338034 
1084.000000,0.462065 
5171.000000,0.722691 
3946.000000,0.214108 
4978.000000,0.274584 
4942.000000,0.130782 
9662.000000,0.231186 
5298.000000,0.137685 
5190.000000,0.725195 
5187.000000,0.205486 
5190.000000,0.320709 
5156.000000,0.237990 
5479.000000,0.100268 
9680.000000,0.184306 
5489.000000,0.158824 
4946.000000,0.121312 
4940.000000,0.183468 
5011.000000,0.221895 
5013.000000,0.160957 
5216.000000,0.136004 
1142.000000,0.171949 
3721.000000,0.150923 
1142.000000,0.298434 
9595.000000,0.720010 
4887.000000,0.197149 
7.000000,0.114642 
9597.000000,0.719504 
33.000000,0.194054 
4905.000000,0.163104 
671.000000,0.154736 
4691.000000,0.253502 
618.000000,0.218787 
4283.000000,0.146721 
2214.000000,0.277138 
7806.000000,0.838171 
2316.000000,0.334599 
600.000000,0.107236 
2311.000000,0.315556 
2288.000000,0.289565 
1296.000000,0.073685 
7571.000000,0.128298 
1291.000000,0.199335 
4716.000000,0.234088 
9917.000000,1.017612 
9917.000000,0.657414 
9917.000000,0.465558 
9595.000000,0.336217 
9402.000000,0.136964 
9990.000000,0.054341 
9983.000000,0.262934 
9493.000000,0.209123 
4910.000000,0.235162 
8497.000000,0.144960 
8505.000000,0.547173 
8497.000000,0.513381 
9917.000000,0.124931 
8501.000000,0.135483 
8560.000000,0.466613 
8560.000000,0.900452 
8508.000000,0.075249 
8571.000000,0.450965 
8571.000000,0.892443 
8513.000000,0.466505 
4297.000000,0.060331 
2174.000000,0.327633 
1598.000000,0.326532 
4293.000000,0.166604 
9837.000000,0.126793 
7454.000000,0.166788 
9836.000000,0.283334 
601.000000,0.158794 
9747.000000,0.116029 
9747.000000,0.107789 
9746.000000,0.222985 
9704.000000,0.162730 
9706.000000,0.162344 
9706.000000,0.050175 
5794.000000,0.165073 
8066.000000,0.809212 
7715.000000,0.571945 
7761.000000,0.613406 
5435.000000,0.904636 
9674.000000,1.016374 
43.000000,0.158240 
45.000000,0.172387 
3961.000000,0.230004 
9731.000000,0.518131 
6200.000000,0.945225 
9731.000000,1.023460 
9841.000000,0.351619 
9611.000000,0.157558 
9611.000000,0.267953 
9612.000000,0.350403 
9639.000000,0.108341 
9635.000000,0.067473 
9616.000000,0.246623 
1973.000000,0.309771 
1921.000000,0.312941 
1907.000000,0.337335 
1905.000000,0.333335 
