point, dist
3973.000000,0.247951 
52.000000,0.140778 
3937.000000,0.200691 
51.000000,0.173238 
3941.000000,0.261621 
3938.000000,0.249770 
3955.000000,0.252642 
5062.000000,0.179712 
5077.000000,0.141175 
5083.000000,0.304089 
3946.000000,0.296837 
3966.000000,0.187253 
3942.000000,0.283611 
3963.000000,0.184770 
9614.000000,0.683279 
399.000000,0.160834 
364.000000,0.212591 
426.000000,0.157159 
4879.000000,0.215240 
1025.000000,0.240468 
431.000000,0.190624 
425.000000,0.117644 
1009.000000,0.204529 
4891.000000,0.304142 
4913.000000,0.101174 
4906.000000,0.108238 
9642.000000,0.745433 
9993.000000,0.384872 
9998.000000,0.184967 
6453.000000,0.070304 
6437.000000,0.197511 
6460.000000,0.143187 
6492.000000,0.230818 
3977.000000,0.239549 
3983.000000,0.193492 
3976.000000,0.262665 
3103.000000,0.338531 
3098.000000,0.364573 
3094.000000,0.269765 
43.000000,0.163385 
38.000000,0.284566 
5079.000000,0.170836 
5061.000000,0.179198 
2547.000000,0.309386 
2545.000000,0.286734 
1522.000000,0.142259 
7273.000000,0.346212 
7204.000000,0.157925 
7211.000000,0.096418 
3969.000000,0.142468 
3335.000000,0.236184 
1062.000000,0.620445 
1062.000000,0.251766 
1064.000000,0.572109 
5122.000000,0.155096 
5998.000000,0.221815 
6076.000000,0.253014 
6077.000000,0.286501 
2529.000000,0.294475 
2542.000000,0.319744 
2549.000000,0.340444 
9441.000000,0.298786 
9470.000000,0.163819 
9529.000000,0.239387 
9467.000000,0.116956 
1024.000000,0.180665 
4887.000000,0.229177 
4880.000000,0.169099 
4886.000000,0.125203 
1018.000000,0.282226 
3952.000000,0.205355 
9455.000000,0.288565 
4911.000000,0.073751 
5175.000000,0.240189 
5140.000000,0.066319 
5178.000000,0.258389 
3953.000000,0.271122 
3956.000000,0.299717 
9916.000000,0.575641 
9916.000000,0.137900 
9915.000000,0.116075 
9932.000000,0.598319 
8785.000000,0.159177 
9936.000000,0.181056 
8485.000000,0.974158 
9914.000000,1.070539 
9920.000000,0.252867 
9954.000000,0.297858 
9958.000000,0.284964 
9025.000000,0.028822 
9365.000000,0.513674 
9938.000000,0.161304 
8808.000000,0.078581 
9941.000000,0.219958 
9085.000000,0.219070 
3980.000000,0.189368 
48.000000,0.488800 
5100.000000,0.716704 
93.000000,0.212807 
3129.000000,0.290176 
5082.000000,0.266940 
5017.000000,0.326763 
5087.000000,0.613467 
5075.000000,0.294643 
5097.000000,0.650327 
33.000000,0.094908 
36.000000,0.258252 
5114.000000,0.227931 
5114.000000,0.236963 
5083.000000,0.193180 
9675.000000,0.230089 
9673.000000,0.055388 
9673.000000,0.136849 
5413.000000,0.156778 
9726.000000,0.180167 
9730.000000,0.190250 
6048.000000,0.200797 
9917.000000,1.066596 
9919.000000,0.460726 
