point, dist
1573.000000,0.407657 
4199.000000,0.301315 
1533.000000,0.385811 
3952.000000,0.290272 
1461.000000,0.260199 
1443.000000,0.285265 
1160.000000,0.668950 
1322.000000,0.201643 
1167.000000,0.341586 
5126.000000,0.333713 
1443.000000,0.351960 
4199.000000,0.081480 
3952.000000,0.136645 
5203.000000,0.378606 
5246.000000,0.205310 
1522.000000,0.275791 
1256.000000,0.289166 
5322.000000,0.254056 
5366.000000,0.185857 
5314.000000,0.082389 
688.000000,0.291973 
437.000000,0.381843 
480.000000,0.697337 
514.000000,0.157395 
4968.000000,0.360837 
5360.000000,0.233013 
1167.000000,0.247613 
1131.000000,0.226946 
1460.000000,0.349965 
1247.000000,0.258516 
1245.000000,0.273299 
1424.000000,0.334264 
2196.000000,0.393790 
5504.000000,0.269921 
477.000000,0.277613 
5510.000000,0.091210 
1160.000000,0.707369 
1125.000000,0.215843 
1510.000000,0.354920 
3469.000000,0.337777 
1575.000000,0.350480 
5684.000000,0.331133 
5690.000000,0.200413 
5698.000000,0.289635 
5688.000000,0.204319 
5220.000000,0.133257 
1529.000000,0.303210 
1540.000000,0.260459 
3469.000000,0.220242 
4043.000000,0.356039 
2470.000000,0.193928 
3876.000000,0.092279 
4166.000000,0.148473 
2532.000000,0.350352 
5815.000000,0.281739 
5818.000000,0.164027 
5827.000000,0.193469 
3525.000000,0.186513 
4095.000000,0.290906 
4095.000000,0.292065 
5217.000000,0.361284 
5264.000000,0.317354 
5180.000000,0.130644 
5180.000000,0.250416 
8552.000000,0.246153 
8554.000000,0.236108 
8566.000000,0.174631 
5286.000000,0.061877 
5295.000000,0.229385 
5376.000000,0.157134 
5190.000000,0.153096 
5347.000000,0.209928 
5424.000000,0.283090 
680.000000,0.186424 
5424.000000,0.231535 
616.000000,0.217535 
5418.000000,0.224931 
750.000000,0.289115 
1321.000000,0.212689 
1437.000000,0.275457 
1208.000000,0.528422 
1216.000000,0.359540 
1316.000000,0.255835 
9804.000000,0.265990 
9812.000000,0.282884 
9808.000000,0.213023 
8530.000000,0.290054 
8533.000000,0.250980 
8539.000000,0.250204 
8531.000000,0.316877 
8558.000000,0.173952 
5289.000000,0.224061 
5384.000000,0.199378 
5441.000000,0.153282 
5441.000000,0.231180 
5475.000000,0.135483 
5381.000000,0.238092 
5393.000000,0.321207 
5448.000000,0.148472 
441.000000,0.217462 
1827.000000,0.250898 
1826.000000,0.297877 
7532.000000,0.273872 
1546.000000,0.398067 
5227.000000,0.241190 
2502.000000,0.342894 
5189.000000,0.204640 
1538.000000,0.308677 
5703.000000,0.233390 
1553.000000,0.256400 
1558.000000,0.249225 
1524.000000,0.246231 
1528.000000,0.274812 
5260.000000,0.136528 
5363.000000,0.299158 
5339.000000,0.310380 
5339.000000,0.091016 
3808.000000,0.156068 
3808.000000,0.308560 
3952.000000,0.216712 
4020.000000,0.266933 
4220.000000,0.236839 
4043.000000,0.224467 
4913.000000,0.343634 
3071.000000,0.305595 
3120.000000,0.233837 
2775.000000,0.138152 
2852.000000,0.163411 
3276.000000,0.163505 
2919.000000,0.291514 
3371.000000,0.144926 
3189.000000,0.030144 
3690.000000,0.220311 
3855.000000,0.286915 
4087.000000,0.282873 
4255.000000,0.139396 
5413.000000,0.319238 
5449.000000,0.036278 
399.000000,0.276748 
417.000000,0.314880 
5422.000000,0.097669 
417.000000,0.335321 
640.000000,0.261214 
530.000000,0.676699 
515.000000,0.370370 
5273.000000,0.397875 
4095.000000,0.196329 
3071.000000,0.082046 
4299.000000,0.277303 
5372.000000,0.185588 
5360.000000,0.203227 
5285.000000,0.179780 
4333.000000,0.439707 
4297.000000,0.354845 
5338.000000,0.124360 
4310.000000,0.357552 
5352.000000,0.183274 
5524.000000,0.298162 
5564.000000,0.349334 
2183.000000,0.304199 
2176.000000,0.292876 
5486.000000,0.099674 
5221.000000,0.174144 
5255.000000,0.158917 
5255.000000,0.247370 
5245.000000,0.182767 
5458.000000,0.108231 
5473.000000,0.073761 
5466.000000,0.132084 
595.000000,0.675104 
8559.000000,0.235173 
5211.000000,0.196006 
1272.000000,0.236122 
5286.000000,0.382596 
5346.000000,0.193271 
5187.000000,0.214948 
5226.000000,0.294338 
5213.000000,0.128434 
5191.000000,0.225729 
5241.000000,0.367432 
3379.000000,0.044452 
5430.000000,0.129968 
5430.000000,0.400960 
5378.000000,0.190644 
675.000000,0.390074 
541.000000,0.335031 
674.000000,0.278512 
1258.000000,0.408852 
1147.000000,0.248593 
5375.000000,0.289638 
5315.000000,0.356104 
2459.000000,0.341626 
3929.000000,0.161022 
4211.000000,0.339928 
4194.000000,0.143640 
4066.000000,0.167918 
2802.000000,0.261058 
3670.000000,0.211006 
2709.000000,0.056645 
2761.000000,0.152453 
295.000000,0.843760 
295.000000,0.835714 
65.000000,0.805635 
65.000000,0.875200 
8815.000000,0.286968 
8805.000000,0.292554 
8808.000000,0.166016 
8812.000000,0.294507 
3819.000000,0.231277 
3850.000000,0.249445 
