point, dist
1042.000000,0.235270 
5135.000000,0.183348 
1042.000000,0.206654 
5427.000000,0.193943 
5503.000000,0.160872 
5499.000000,0.242882 
5512.000000,0.251579 
5319.000000,0.305857 
5376.000000,0.291999 
4971.000000,0.358177 
1226.000000,0.113669 
5291.000000,0.253509 
1329.000000,0.113762 
1111.000000,0.128959 
5297.000000,0.243301 
1155.000000,0.266758 
1378.000000,0.080411 
5498.000000,0.206656 
5515.000000,0.191083 
5480.000000,0.219514 
5525.000000,0.152035 
5222.000000,0.327684 
5145.000000,0.353436 
5260.000000,0.317149 
5178.000000,0.268709 
5159.000000,0.274489 
3231.000000,0.217230 
3093.000000,0.182101 
2749.000000,0.176656 
2907.000000,0.160622 
3804.000000,0.296896 
4218.000000,0.087039 
4218.000000,0.287978 
1408.000000,0.067203 
4492.000000,0.310639 
4482.000000,0.281567 
4491.000000,0.351990 
4507.000000,0.291536 
5036.000000,0.295288 
342.000000,0.735457 
362.000000,0.748859 
6634.000000,0.294195 
6629.000000,0.298448 
4450.000000,0.311837 
4451.000000,0.342232 
4087.000000,0.247583 
4130.000000,0.029865 
3692.000000,0.311394 
3927.000000,0.094933 
2826.000000,0.288894 
2791.000000,0.139158 
2826.000000,0.090026 
6341.000000,0.197755 
6342.000000,0.213488 
6353.000000,0.225668 
6344.000000,0.217353 
322.000000,0.283290 
196.000000,0.108440 
382.000000,0.190957 
5434.000000,0.171927 
5437.000000,0.178862 
5530.000000,0.159595 
5499.000000,0.246194 
5511.000000,0.241469 
4999.000000,0.370024 
3298.000000,0.223737 
2669.000000,0.170876 
4775.000000,0.366124 
4786.000000,0.339323 
3307.000000,0.293696 
5379.000000,0.306008 
3221.000000,0.114396 
3069.000000,0.056644 
3069.000000,0.298315 
5379.000000,0.270343 
5342.000000,0.257289 
5273.000000,0.245305 
1111.000000,0.140311 
1117.000000,0.334024 
4452.000000,0.366520 
4456.000000,0.319406 
6959.000000,0.223237 
1370.000000,0.175877 
5547.000000,0.237457 
5579.000000,0.194698 
5500.000000,0.259472 
5550.000000,0.226784 
9371.000000,0.155445 
9402.000000,0.189016 
9374.000000,0.240802 
9397.000000,0.241523 
5265.000000,0.231542 
5260.000000,0.275352 
5159.000000,0.313477 
3239.000000,0.121420 
2840.000000,0.228042 
2812.000000,0.228184 
3370.000000,0.219800 
2615.000000,0.312957 
2696.000000,0.130019 
2784.000000,0.108074 
2995.000000,0.157699 
3512.000000,0.192509 
4178.000000,0.176317 
3472.000000,0.178293 
3773.000000,0.040969 
3956.000000,0.041279 
2791.000000,0.158199 
5226.000000,0.303541 
5247.000000,0.247806 
5204.000000,0.276394 
5134.000000,0.219781 
3577.000000,0.094055 
3881.000000,0.171733 
3855.000000,0.165041 
3875.000000,0.284285 
6312.000000,0.265815 
6324.000000,0.137642 
6325.000000,0.117920 
800.000000,0.299265 
734.000000,0.770167 
800.000000,0.677486 
1554.000000,0.275531 
1547.000000,0.322286 
1495.000000,0.296334 
5283.000000,0.255983 
5400.000000,0.177643 
5322.000000,0.187101 
5378.000000,0.184150 
5251.000000,0.240451 
4495.000000,0.316140 
4505.000000,0.308881 
6925.000000,0.178439 
4455.000000,0.437606 
4466.000000,0.274838 
6960.000000,0.227579 
4972.000000,0.355546 
4964.000000,0.385896 
4992.000000,0.345119 
4292.000000,0.275934 
4319.000000,0.326511 
5989.000000,0.216544 
2393.000000,0.318667 
2447.000000,0.305041 
3825.000000,0.236027 
3926.000000,0.152065 
6002.000000,0.202707 
6005.000000,0.236737 
6015.000000,0.209343 
6019.000000,0.214638 
5523.000000,0.181584 
5540.000000,0.200097 
4976.000000,0.383179 
319.000000,0.099936 
5837.000000,0.228937 
5843.000000,0.205771 
5838.000000,0.187339 
5281.000000,0.251883 
5292.000000,0.287259 
5345.000000,0.207374 
5377.000000,0.266841 
1125.000000,0.188325 
5355.000000,0.313899 
5314.000000,0.251272 
5303.000000,0.211550 
5296.000000,0.286289 
5399.000000,0.219845 
5339.000000,0.282956 
1249.000000,0.702071 
1249.000000,0.701082 
1259.000000,0.589995 
1258.000000,0.644328 
4264.000000,0.305746 
4309.000000,0.281911 
5290.000000,0.224832 
5395.000000,0.223979 
5318.000000,0.276459 
5332.000000,0.167804 
1392.000000,0.321982 
5270.000000,0.237253 
5349.000000,0.196517 
5366.000000,0.162630 
4979.000000,0.287428 
5409.000000,0.301921 
3655.000000,0.215524 
5425.000000,0.391469 
5531.000000,0.183912 
5529.000000,0.168931 
5662.000000,0.227644 
5473.000000,0.225341 
5599.000000,0.276759 
5570.000000,0.265904 
2193.000000,0.387116 
2162.000000,0.396635 
5816.000000,0.251519 
4307.000000,0.317785 
4329.000000,0.368040 
4328.000000,0.301497 
5444.000000,0.220222 
5461.000000,0.152489 
4973.000000,0.351744 
4980.000000,0.334539 
4988.000000,0.370342 
4996.000000,0.303630 
4960.000000,0.414565 
1422.000000,0.349059 
1207.000000,0.348799 
1141.000000,0.328775 
1350.000000,0.610546 
1112.000000,0.312453 
1402.000000,0.604676 
1394.000000,0.241643 
1171.000000,0.206591 
3818.000000,0.238203 
2733.000000,0.184609 
3893.000000,0.113532 
3516.000000,0.086338 
3385.000000,0.175138 
2886.000000,0.168847 
3013.000000,0.118120 
3266.000000,0.233625 
3162.000000,0.160538 
2741.000000,0.231888 
3015.000000,0.117300 
3141.000000,0.188589 
3322.000000,0.167461 
3153.000000,0.153549 
5922.000000,0.205216 
4254.000000,0.330801 
4248.000000,0.366605 
5988.000000,0.257386 
2750.000000,0.315698 
4336.000000,0.339772 
4382.000000,0.354266 
4306.000000,0.308834 
4299.000000,0.273492 
4317.000000,0.400986 
3307.000000,0.037184 
3347.000000,0.167394 
3184.000000,0.139570 
3347.000000,0.334387 
3184.000000,0.329589 
4387.000000,0.335600 
4357.000000,0.418588 
6298.000000,0.074781 
5398.000000,0.184736 
4455.000000,0.390313 
8648.000000,0.141015 
4635.000000,0.378995 
4680.000000,0.374112 
4693.000000,0.354407 
8994.000000,0.218729 
8514.000000,0.243369 
4960.000000,0.332473 
9416.000000,0.219185 
4937.000000,0.276128 
4931.000000,0.470035 
4943.000000,0.351682 
4939.000000,0.364449 
1252.000000,0.217778 
1283.000000,0.192290 
1338.000000,0.596267 
1384.000000,0.642925 
5202.000000,0.323386 
5173.000000,0.224629 
9712.000000,0.187848 
9724.000000,0.194781 
9741.000000,0.192002 
9711.000000,0.272697 
3444.000000,0.268071 
3632.000000,0.105488 
3548.000000,0.144051 
3878.000000,0.181058 
5649.000000,0.282289 
5615.000000,0.190917 
3399.000000,0.181076 
3021.000000,0.147297 
2677.000000,0.254892 
3099.000000,0.309760 
5548.000000,0.322329 
5429.000000,0.139883 
5467.000000,0.267724 
5509.000000,0.142061 
5485.000000,0.238849 
5446.000000,0.155249 
4121.000000,0.335566 
4121.000000,0.143527 
2636.000000,0.315807 
3803.000000,0.175971 
4957.000000,0.363166 
4070.000000,0.056799 
5276.000000,0.276012 
5313.000000,0.216865 
5336.000000,0.253600 
5383.000000,0.214723 
5240.000000,0.212253 
5388.000000,0.331086 
5142.000000,0.185301 
5261.000000,0.273906 
5160.000000,0.190274 
7009.000000,0.236604 
7011.000000,0.231569 
7014.000000,0.248108 
7009.000000,0.215213 
2791.000000,0.309505 
5226.000000,0.245931 
5229.000000,0.150048 
5174.000000,0.308484 
1512.000000,0.378607 
3804.000000,0.113099 
3431.000000,0.180522 
2615.000000,0.210584 
3295.000000,0.114796 
3017.000000,0.310732 
2681.000000,0.175434 
3137.000000,0.078904 
2813.000000,0.252885 
2840.000000,0.247355 
5165.000000,0.252321 
3234.000000,0.236940 
2829.000000,0.157848 
2873.000000,0.135594 
2753.000000,0.053313 
6347.000000,0.200768 
6336.000000,0.279872 
6332.000000,0.221755 
770.000000,0.805382 
806.000000,0.798915 
770.000000,0.864935 
1133.000000,0.590574 
1339.000000,0.740854 
1089.000000,0.739659 
1081.000000,0.762682 
1081.000000,0.769225 
859.000000,0.742977 
969.000000,0.746529 
1041.000000,0.766280 
4128.000000,0.115325 
5176.000000,0.151901 
1505.000000,0.379334 
5138.000000,0.237194 
5166.000000,0.274779 
5195.000000,0.327237 
5199.000000,0.283446 
1041.000000,0.359934 
5403.000000,0.286870 
5328.000000,0.192761 
1253.000000,0.213940 
5277.000000,0.217927 
1127.000000,0.208316 
5368.000000,0.302894 
5364.000000,0.226709 
5301.000000,0.196844 
5284.000000,0.227496 
5308.000000,0.212153 
5351.000000,0.259861 
5344.000000,0.254666 
5360.000000,0.243822 
5402.000000,0.291148 
5341.000000,0.239884 
1529.000000,0.275799 
4398.000000,0.275326 
4415.000000,0.274991 
4414.000000,0.413856 
4404.000000,0.355694 
2971.000000,0.235718 
4426.000000,0.344907 
4429.000000,0.308761 
6628.000000,0.105671 
4403.000000,0.331365 
4423.000000,0.279410 
4422.000000,0.302859 
4443.000000,0.335951 
9399.000000,0.262683 
7162.000000,0.399080 
7260.000000,0.255793 
4494.000000,0.339719 
6955.000000,0.217153 
4458.000000,0.292287 
4517.000000,0.298158 
