point, dist
32.000000,0.351778 
4871.000000,0.192220 
4746.000000,0.088079 
9268.000000,0.343938 
3418.000000,0.243148 
1100.000000,0.222990 
237.000000,0.256911 
5170.000000,0.188822 
5176.000000,0.096496 
5217.000000,0.193313 
5214.000000,0.275292 
529.000000,0.283648 
5357.000000,0.222359 
5306.000000,0.255934 
9448.000000,0.415139 
5159.000000,0.262470 
1838.000000,0.190889 
2402.000000,0.251675 
1829.000000,0.206103 
114.000000,0.357513 
4750.000000,0.255406 
4754.000000,0.155145 
120.000000,0.267271 
119.000000,0.210761 
4744.000000,0.195732 
3415.000000,0.139674 
4784.000000,0.105134 
5103.000000,0.189755 
5113.000000,0.164806 
5143.000000,0.108772 
7713.000000,1.024692 
7135.000000,1.190143 
8530.000000,1.397222 
5105.000000,0.286039 
2379.000000,0.199698 
2391.000000,0.166216 
2361.000000,0.232543 
5380.000000,0.215971 
5360.000000,0.144148 
9440.000000,0.264916 
5342.000000,0.097300 
5387.000000,0.152572 
5325.000000,0.169166 
5344.000000,0.213142 
5238.000000,0.163833 
5242.000000,0.233912 
5241.000000,0.175118 
5220.000000,0.121136 
5330.000000,0.227653 
5375.000000,0.150992 
5385.000000,0.284092 
9443.000000,0.906309 
9443.000000,0.491772 
9447.000000,0.126897 
7002.000000,0.255786 
6889.000000,0.348835 
7000.000000,0.242007 
6170.000000,0.186901 
6348.000000,0.258110 
6351.000000,0.207290 
6350.000000,0.279212 
241.000000,0.119046 
238.000000,0.341184 
1111.000000,0.155721 
5005.000000,0.164125 
5006.000000,0.212604 
5004.000000,0.105192 
4974.000000,0.058981 
5019.000000,0.169438 
4906.000000,0.083492 
47.000000,0.288027 
51.000000,0.354707 
313.000000,0.122506 
105.000000,0.246216 
117.000000,0.228276 
108.000000,0.236804 
110.000000,0.131128 
103.000000,0.267007 
40.000000,0.332368 
69.000000,0.224393 
122.000000,0.263780 
68.000000,0.232043 
4800.000000,0.130374 
253.000000,0.223140 
4773.000000,0.168612 
3416.000000,0.162581 
3421.000000,0.193920 
3428.000000,0.190746 
3425.000000,0.174479 
9399.000000,0.266377 
9388.000000,0.282604 
1816.000000,0.223622 
4994.000000,0.181575 
4811.000000,0.219292 
4747.000000,0.149785 
4700.000000,0.111627 
4723.000000,0.221764 
