point, dist
500.000000,0.230478 
498.000000,0.205938 
550.000000,0.188043 
549.000000,0.148192 
31.000000,0.619003 
70.000000,0.592007 
124.000000,0.561259 
8228.000000,0.228337 
8269.000000,0.165607 
8271.000000,0.182787 
4946.000000,0.201402 
3041.000000,0.291793 
4946.000000,0.364649 
8159.000000,0.163819 
8159.000000,0.433704 
8163.000000,0.172146 
8163.000000,0.429634 
15.000000,0.620199 
8161.000000,0.124855 
10.000000,0.163262 
8227.000000,0.173957 
8234.000000,0.136023 
8234.000000,0.404379 
8227.000000,0.443324 
5056.000000,0.181852 
705.000000,0.079849 
4955.000000,0.181811 
493.000000,0.186339 
499.000000,0.121793 
8230.000000,0.199841 
8288.000000,0.143545 
8294.000000,0.249024 
4132.000000,0.282102 
7879.000000,0.199330 
90.000000,0.623263 
105.000000,0.605189 
8174.000000,0.179553 
8186.000000,0.308096 
134.000000,0.596200 
33.000000,0.614621 
111.000000,0.601751 
80.000000,0.601902 
8168.000000,0.193577 
8173.000000,0.092070 
8175.000000,0.146991 
8162.000000,0.214669 
7213.000000,0.261268 
6856.000000,0.261924 
7148.000000,0.167985 
7043.000000,0.136726 
5015.000000,0.060454 
7294.000000,0.117875 
6819.000000,0.185461 
85.000000,0.608017 
100.000000,0.604636 
563.000000,0.616730 
709.000000,0.647824 
679.000000,0.630026 
620.000000,0.669510 
685.000000,0.615636 
609.000000,0.512663 
569.000000,0.465157 
637.000000,0.524835 
571.000000,0.477931 
4777.000000,0.187023 
6296.000000,0.258194 
4684.000000,0.225909 
7770.000000,0.096286 
7717.000000,0.087471 
7512.000000,0.132641 
3276.000000,0.058666 
2858.000000,0.229454 
2758.000000,0.300233 
2870.000000,0.232858 
2964.000000,0.234012 
2942.000000,0.215911 
2615.000000,0.255592 
2502.000000,0.303452 
2578.000000,0.266332 
261.000000,0.467798 
260.000000,0.184821 
154.000000,0.112523 
400.000000,0.151151 
491.000000,0.156106 
4823.000000,0.185986 
37.000000,0.601869 
72.000000,0.632094 
54.000000,0.625540 
671.000000,0.600683 
674.000000,0.606136 
643.000000,0.596222 
589.000000,0.628832 
3216.000000,0.051052 
3473.000000,0.130459 
3354.000000,0.096626 
7113.000000,0.072398 
7170.000000,0.046446 
4957.000000,0.145863 
4937.000000,0.356667 
4132.000000,0.139026 
5092.000000,0.132281 
3399.000000,0.158522 
7646.000000,0.037174 
2278.000000,0.186440 
7695.000000,0.113411 
7645.000000,0.131495 
3136.000000,0.433046 
2704.000000,0.269915 
2703.000000,0.293515 
3914.000000,0.040698 
6958.000000,0.050586 
7048.000000,0.113026 
7214.000000,0.263179 
