point, dist
9590.000000,0.050680 
9587.000000,0.171571 
9595.000000,0.127602 
2915.000000,0.204681 
2763.000000,0.260324 
2899.000000,0.247303 
2980.000000,0.250137 
9987.000000,0.203746 
1051.000000,0.201844 
1061.000000,0.262818 
1048.000000,0.138914 
9986.000000,0.170168 
8183.000000,0.195275 
8163.000000,0.108564 
4851.000000,0.189628 
8155.000000,0.214200 
743.000000,0.559428 
734.000000,0.508843 
862.000000,0.513394 
8270.000000,0.227148 
8270.000000,0.640131 
7953.000000,0.166526 
5107.000000,0.653528 
4951.000000,0.138154 
4951.000000,0.348224 
4967.000000,0.091322 
2352.000000,0.303945 
721.000000,0.156603 
2554.000000,0.245110 
3056.000000,0.350244 
733.000000,0.147819 
9979.000000,0.240946 
1050.000000,0.198040 
9596.000000,0.147402 
2506.000000,0.764481 
2643.000000,0.134085 
2514.000000,0.218482 
2523.000000,0.416355 
778.000000,0.478733 
4969.000000,0.242203 
765.000000,0.468170 
4936.000000,0.219925 
707.000000,0.502583 
724.000000,0.526736 
888.000000,0.490927 
8231.000000,0.184156 
8276.000000,0.231181 
8290.000000,0.142826 
4972.000000,0.236719 
9604.000000,0.217996 
9624.000000,0.162502 
9604.000000,0.137791 
9604.000000,0.231271 
9609.000000,0.209005 
2696.000000,0.324143 
4967.000000,0.337990 
913.000000,0.125750 
1481.000000,0.391219 
2740.000000,0.316588 
2964.000000,0.261840 
1056.000000,0.159444 
1057.000000,0.125386 
1061.000000,0.152440 
1067.000000,0.123945 
9586.000000,0.172351 
9572.000000,0.223038 
9588.000000,0.156296 
9582.000000,0.207384 
1063.000000,0.240715 
1062.000000,0.111701 
1113.000000,0.214210 
1105.000000,0.129517 
577.000000,0.606821 
8236.000000,0.416292 
651.000000,0.613521 
670.000000,0.616265 
2806.000000,0.233993 
1086.000000,0.243182 
1100.000000,0.245966 
9984.000000,0.255813 
639.000000,0.525466 
4885.000000,0.199857 
637.000000,0.481002 
209.000000,0.256549 
252.000000,0.199738 
263.000000,0.242207 
338.000000,0.453638 
8236.000000,0.092677 
8287.000000,0.129672 
8289.000000,0.205479 
8243.000000,0.218289 
8288.000000,0.115243 
8237.000000,0.127115 
3685.000000,0.223077 
3725.000000,0.188495 
3836.000000,0.206795 
7943.000000,0.191650 
