point, dist
9863.000000,0.107084 
9923.000000,0.098507 
9865.000000,0.102960 
2468.000000,0.085581 
2067.000000,0.082648 
6036.000000,0.205938 
6030.000000,0.159036 
9873.000000,0.094757 
9874.000000,0.122473 
4873.000000,0.148976 
5224.000000,0.158965 
4950.000000,0.165791 
4906.000000,0.184382 
9942.000000,0.114794 
9822.000000,0.134654 
2885.000000,0.086354 
2667.000000,0.078124 
2728.000000,0.015954 
3060.000000,0.055012 
6034.000000,0.163930 
6092.000000,0.148337 
6029.000000,0.169092 
3139.000000,0.116476 
5812.000000,0.161182 
5883.000000,0.160954 
9838.000000,0.129562 
8767.000000,0.121346 
8761.000000,0.106441 
8698.000000,0.114641 
689.000000,0.101135 
6203.000000,0.150938 
6314.000000,0.181621 
6910.000000,0.238912 
6926.000000,0.127628 
6898.000000,0.037247 
5009.000000,0.181450 
4357.000000,0.048984 
5596.000000,0.180490 
5403.000000,0.162578 
2140.000000,0.048752 
1722.000000,0.046027 
1928.000000,0.137922 
1843.000000,0.037320 
9847.000000,0.125565 
4901.000000,0.170940 
4856.000000,0.176082 
2426.000000,0.089230 
64.000000,0.096752 
77.000000,0.207841 
5432.000000,0.164496 
1725.000000,0.115398 
1888.000000,0.046652 
1985.000000,0.103190 
2423.000000,0.017103 
5965.000000,0.158533 
6052.000000,0.152513 
2246.000000,0.123723 
1756.000000,0.076762 
5858.000000,0.163230 
893.000000,0.181453 
4886.000000,0.194209 
6918.000000,0.183570 
2362.000000,0.109104 
2409.000000,0.094051 
2886.000000,0.090419 
2582.000000,0.084702 
1934.000000,0.069134 
2000.000000,0.126945 
2032.000000,0.076590 
2058.000000,0.119840 
670.000000,0.225637 
737.000000,0.223273 
6214.000000,0.171263 
6259.000000,0.160555 
6219.000000,0.167182 
6407.000000,0.161131 
8779.000000,0.111193 
8784.000000,0.091956 
8783.000000,0.106966 
6928.000000,0.051421 
1024.000000,0.188889 
1042.000000,0.191787 
1087.000000,0.158801 
1062.000000,0.160498 
1061.000000,0.175742 
9205.000000,0.202099 
9248.000000,0.072890 
3503.000000,0.056815 
3441.000000,0.096575 
4017.000000,0.052801 
4030.000000,0.081156 
4663.000000,0.082046 
3829.000000,0.044116 
4251.000000,0.045475 
4707.000000,0.078561 
4521.000000,0.105031 
4507.000000,0.055153 
4156.000000,0.115539 
5313.000000,0.197329 
7594.000000,0.113106 
7586.000000,0.112590 
7573.000000,0.114877 
7588.000000,0.094148 
2755.000000,0.050845 
3075.000000,0.117900 
2313.000000,0.076470 
2875.000000,0.071408 
2076.000000,0.090271 
2238.000000,0.108151 
2179.000000,0.059956 
2688.000000,0.097907 
2038.000000,0.088187 
1990.000000,0.120961 
2092.000000,0.065313 
5206.000000,0.156418 
2607.000000,0.099465 
2947.000000,0.088728 
5146.000000,0.163400 
5152.000000,0.157339 
2381.000000,0.031751 
2630.000000,0.092909 
5400.000000,0.154908 
62.000000,0.218217 
82.000000,0.224418 
38.000000,0.284463 
6941.000000,0.113426 
7065.000000,0.113331 
7064.000000,0.115890 
6958.000000,0.148978 
7556.000000,0.131369 
7041.000000,0.095425 
7016.000000,0.116339 
7034.000000,0.102423 
7051.000000,0.114606 
6428.000000,0.154496 
3250.000000,0.142989 
6126.000000,0.170423 
5566.000000,0.158143 
5322.000000,0.178753 
5447.000000,0.187067 
96.000000,0.220675 
7563.000000,0.101216 
232.000000,0.230067 
7579.000000,0.089159 
4316.000000,0.111214 
5398.000000,0.192245 
4170.000000,0.093518 
4171.000000,0.081051 
4706.000000,0.116520 
3298.000000,0.129053 
5507.000000,0.167493 
5413.000000,0.174661 
1595.000000,0.201764 
2611.000000,0.082925 
1607.000000,0.186599 
2106.000000,0.030928 
3185.000000,0.149737 
2279.000000,0.153425 
9831.000000,0.129121 
1767.000000,0.057082 
9915.000000,0.117390 
2733.000000,0.076422 
4957.000000,0.166144 
5120.000000,0.172418 
5238.000000,0.197144 
5252.000000,0.201161 
6937.000000,0.083071 
986.000000,0.196128 
2561.000000,0.023701 
2492.000000,0.058326 
2366.000000,0.060294 
1841.000000,0.117725 
1916.000000,0.071191 
1937.000000,0.046465 
1981.000000,0.091746 
1799.000000,0.027731 
5712.000000,0.192105 
5864.000000,0.170753 
6466.000000,0.142148 
5707.000000,0.171503 
5886.000000,0.144266 
6438.000000,0.145584 
5304.000000,0.185414 
5321.000000,0.148392 
5335.000000,0.161096 
5337.000000,0.185581 
1777.000000,0.092575 
1977.000000,0.084427 
9835.000000,0.128258 
607.000000,0.231548 
744.000000,0.218238 
9709.000000,0.131822 
9789.000000,0.123772 
9787.000000,0.092836 
9750.000000,0.108060 
5248.000000,0.172244 
5008.000000,0.158368 
3439.000000,0.094030 
3755.000000,0.062424 
1028.000000,0.179085 
1052.000000,0.188928 
995.000000,0.173141 
6908.000000,0.161973 
4499.000000,0.110758 
4281.000000,0.061865 
4692.000000,0.054566 
4293.000000,0.127899 
4157.000000,0.029319 
3314.000000,0.166055 
3299.000000,0.153506 
138.000000,0.231290 
7622.000000,0.139333 
7607.000000,0.114606 
127.000000,0.217665 
1789.000000,0.104721 
1927.000000,0.038604 
2557.000000,0.057748 
2747.000000,0.036741 
3074.000000,0.020424 
2600.000000,0.042084 
1993.000000,0.123877 
2117.000000,0.007879 
2309.000000,0.070470 
2210.000000,0.073873 
1761.000000,0.061524 
1826.000000,0.032838 
2768.000000,0.070965 
2887.000000,0.053210 
4911.000000,0.170326 
5263.000000,0.146698 
2505.000000,0.042546 
5212.000000,0.156437 
2749.000000,0.067819 
2507.000000,0.046103 
2555.000000,0.065040 
2413.000000,0.047708 
3238.000000,0.157418 
5163.000000,0.148134 
5544.000000,0.158996 
4956.000000,0.142949 
5074.000000,0.177111 
5706.000000,0.167441 
6106.000000,0.180658 
1547.000000,0.195816 
9264.000000,0.172854 
9263.000000,0.198063 
5788.000000,0.157707 
5759.000000,0.153229 
5519.000000,0.150283 
5602.000000,0.141194 
5613.000000,0.164809 
4897.000000,0.193818 
5568.000000,0.176954 
5450.000000,0.149020 
5462.000000,0.154488 
5107.000000,0.164736 
4854.000000,0.143330 
2581.000000,0.127007 
1874.000000,0.033119 
2790.000000,0.063489 
2080.000000,0.089657 
1854.000000,0.025494 
93.000000,0.237599 
3301.000000,0.139728 
5300.000000,0.160846 
5593.000000,0.170343 
5416.000000,0.148252 
5339.000000,0.164157 
5455.000000,0.213673 
7548.000000,0.115878 
7559.000000,0.122821 
5500.000000,0.174439 
5351.000000,0.152438 
5528.000000,0.162423 
5308.000000,0.149077 
5342.000000,0.167716 
5586.000000,0.148687 
5488.000000,0.179993 
5295.000000,0.193387 
4864.000000,0.158507 
5195.000000,0.146696 
5406.000000,0.169715 
5030.000000,0.152111 
4665.000000,0.079006 
1184.000000,0.174291 
8899.000000,0.212510 
