point, dist
1949.000000,0.616709 
6148.000000,0.446605 
1934.000000,1.046625 
2230.000000,0.306347 
1969.000000,0.368109 
1969.000000,0.238233 
3282.000000,0.320988 
1938.000000,0.416964 
3244.000000,0.394378 
3238.000000,0.317643 
921.000000,0.305408 
3224.000000,0.222693 
3238.000000,0.383355 
6384.000000,0.417542 
3217.000000,0.280007 
3219.000000,0.395050 
3227.000000,0.523917 
3225.000000,0.388836 
6491.000000,0.396461 
3221.000000,0.387445 
3241.000000,0.360157 
3236.000000,0.562049 
3236.000000,0.332093 
3241.000000,0.312565 
1177.000000,0.211626 
1558.000000,0.914774 
1187.000000,0.287312 
1623.000000,0.992467 
1604.000000,0.591785 
1607.000000,0.581511 
1607.000000,0.671505 
4446.000000,0.125882 
4446.000000,0.332160 
4431.000000,0.266783 
1492.000000,0.424548 
1178.000000,0.485610 
2283.000000,0.401125 
2223.000000,0.282624 
2097.000000,0.338848 
9593.000000,0.366029 
9981.000000,0.338363 
9602.000000,0.283726 
3220.000000,0.160359 
3225.000000,0.461264 
3220.000000,0.399072 
3220.000000,0.423232 
6497.000000,0.183978 
6493.000000,0.554287 
6497.000000,0.440289 
6512.000000,1.009927 
6513.000000,0.947054 
6518.000000,0.944675 
3217.000000,0.596384 
6492.000000,0.540534 
4446.000000,0.368782 
3219.000000,0.871799 
6364.000000,0.577233 
6261.000000,0.420049 
6364.000000,0.311998 
6292.000000,0.788671 
3901.000000,0.504093 
3901.000000,0.257857 
1046.000000,0.558902 
9600.000000,0.272350 
9592.000000,0.191918 
9606.000000,0.460247 
8112.000000,0.318696 
8082.000000,0.470086 
8088.000000,0.353701 
8084.000000,0.468671 
8098.000000,0.460704 
8100.000000,0.401163 
8098.000000,0.163838 
4445.000000,0.387709 
4466.000000,0.394455 
4445.000000,0.311942 
1558.000000,0.927440 
1206.000000,0.333683 
1187.000000,0.433171 
4435.000000,0.303650 
3167.000000,0.452824 
3166.000000,0.499521 
3171.000000,0.145684 
3166.000000,0.230133 
3164.000000,0.290349 
3166.000000,0.358021 
3166.000000,0.399720 
3173.000000,0.274103 
1328.000000,0.972685 
310.000000,0.319409 
326.000000,0.432213 
337.000000,0.281759 
322.000000,0.250514 
650.000000,0.446919 
936.000000,0.279205 
704.000000,0.253681 
859.000000,0.247011 
766.000000,0.285826 
791.000000,0.419596 
6092.000000,0.548701 
424.000000,0.106860 
464.000000,0.261250 
1184.000000,0.942378 
1597.000000,0.978425 
8535.000000,0.282688 
8535.000000,0.334089 
8535.000000,0.318588 
1441.000000,0.566165 
1441.000000,0.561792 
1249.000000,0.641707 
9954.000000,0.511549 
9055.000000,0.298107 
9954.000000,0.227452 
3675.000000,0.422382 
3675.000000,0.605004 
8510.000000,0.189313 
6630.000000,0.322585 
8510.000000,0.285539 
6620.000000,0.377107 
6580.000000,0.288109 
6573.000000,0.417045 
6586.000000,0.140678 
6623.000000,0.103319 
1440.000000,0.900785 
8633.000000,0.197907 
1440.000000,1.014846 
1333.000000,1.033638 
2249.000000,0.353459 
2307.000000,0.376978 
2307.000000,0.576308 
1540.000000,0.397080 
1540.000000,0.502874 
1540.000000,0.490494 
6383.000000,0.468024 
6383.000000,0.626000 
6383.000000,0.258988 
5915.000000,0.283405 
1937.000000,0.361820 
1954.000000,0.422216 
1940.000000,0.256443 
5317.000000,0.503500 
5591.000000,0.512690 
5317.000000,0.644647 
6375.000000,0.344300 
1944.000000,0.153909 
6375.000000,0.215538 
1949.000000,0.483594 
6321.000000,0.389270 
5165.000000,0.568844 
6320.000000,0.179848 
8577.000000,0.636755 
8577.000000,1.304305 
8577.000000,1.033797 
8577.000000,0.898018 
8577.000000,0.378372 
8581.000000,1.117456 
936.000000,0.294712 
816.000000,0.341853 
6540.000000,0.514362 
6540.000000,0.427557 
2223.000000,0.379725 
2223.000000,0.386384 
1959.000000,0.195447 
2231.000000,0.498723 
2231.000000,0.324516 
3278.000000,0.214213 
3272.000000,0.593256 
3295.000000,0.389300 
6494.000000,0.529684 
3222.000000,0.304340 
8351.000000,0.398475 
8326.000000,0.301081 
8351.000000,0.866462 
8399.000000,0.365070 
8414.000000,0.474877 
8403.000000,0.450605 
8427.000000,0.303502 
874.000000,0.418330 
3228.000000,0.504896 
719.000000,0.422736 
3243.000000,0.306992 
3231.000000,0.292337 
887.000000,0.351197 
3253.000000,0.421485 
3252.000000,0.204450 
3861.000000,0.222132 
3253.000000,0.472594 
3221.000000,0.473522 
3747.000000,0.490670 
3747.000000,0.692293 
3747.000000,0.228161 
3740.000000,0.528857 
1031.000000,0.336489 
1069.000000,0.324301 
1031.000000,0.296390 
1008.000000,0.434502 
3901.000000,0.474147 
2167.000000,0.944630 
2014.000000,0.897650 
2167.000000,0.914076 
8028.000000,0.356007 
8051.000000,0.228458 
8043.000000,0.283625 
8051.000000,0.476947 
8096.000000,0.375995 
8096.000000,0.074436 
8084.000000,0.424034 
8088.000000,0.596522 
8086.000000,0.314553 
8098.000000,0.300598 
8105.000000,0.398851 
8083.000000,0.422966 
8083.000000,0.356111 
8105.000000,0.221598 
8079.000000,0.620688 
8117.000000,0.476509 
8079.000000,1.020283 
8340.000000,0.368699 
8403.000000,0.214695 
8335.000000,0.373307 
8365.000000,0.471310 
8365.000000,0.297896 
6588.000000,0.378036 
6582.000000,0.488363 
6588.000000,0.249189 
6585.000000,0.138907 
6571.000000,0.370076 
6575.000000,0.429627 
3167.000000,0.328100 
3173.000000,0.394254 
3173.000000,0.436314 
6454.000000,0.094098 
6478.000000,1.247876 
6628.000000,0.386624 
6641.000000,0.334082 
6611.000000,0.232844 
983.000000,0.516631 
983.000000,0.158991 
987.000000,0.340698 
46.000000,0.343803 
6074.000000,0.482515 
6070.000000,0.495293 
1004.000000,0.271669 
6231.000000,0.295957 
6278.000000,0.418140 
6272.000000,0.653300 
6468.000000,0.259530 
6470.000000,0.680360 
3137.000000,0.319467 
6470.000000,0.495714 
3657.000000,0.219132 
3194.000000,0.361837 
6179.000000,0.507782 
1195.000000,0.632260 
1195.000000,0.438811 
6300.000000,0.447591 
6300.000000,0.190608 
1185.000000,0.310848 
9926.000000,0.360252 
9926.000000,0.151197 
9926.000000,0.290618 
8594.000000,0.363581 
8583.000000,0.377210 
974.000000,0.330714 
1000.000000,0.360902 
404.000000,0.225725 
341.000000,0.813546 
983.000000,0.346354 
372.000000,0.141196 
708.000000,0.231023 
859.000000,0.357967 
6105.000000,0.530536 
1377.000000,1.046239 
1377.000000,0.996789 
1397.000000,0.906858 
1377.000000,0.900563 
1597.000000,0.903949 
6277.000000,0.482654 
3197.000000,0.323043 
1144.000000,0.398304 
6535.000000,0.349113 
1191.000000,0.454074 
1191.000000,0.426174 
1393.000000,0.474620 
6534.000000,0.379580 
1393.000000,0.490941 
1404.000000,0.922587 
1404.000000,0.975894 
1404.000000,0.958143 
1472.000000,0.639481 
1461.000000,0.609617 
1472.000000,0.538770 
1582.000000,0.471839 
1582.000000,0.574987 
1486.000000,0.550451 
1579.000000,0.527794 
8535.000000,0.266248 
7477.000000,0.397795 
7477.000000,0.420152 
7477.000000,0.387181 
7477.000000,0.489925 
8519.000000,0.552647 
6945.000000,0.290036 
8519.000000,0.384169 
6926.000000,0.211302 
1669.000000,0.697278 
1605.000000,0.492731 
1605.000000,0.673933 
1677.000000,0.613066 
1677.000000,0.551399 
1677.000000,0.637469 
9190.000000,0.472844 
3628.000000,0.410684 
3627.000000,0.524350 
3627.000000,0.446095 
1472.000000,0.619983 
1231.000000,0.577474 
1399.000000,0.609362 
1231.000000,0.518992 
1577.000000,0.630888 
1577.000000,0.589305 
1548.000000,0.630588 
7510.000000,0.384117 
7501.000000,0.366780 
7491.000000,0.456437 
7491.000000,0.296970 
7512.000000,0.437061 
7485.000000,0.328526 
7488.000000,0.375036 
7482.000000,0.418363 
2230.000000,0.375283 
2230.000000,0.462187 
3272.000000,0.351013 
3274.000000,0.339952 
8403.000000,0.517229 
8415.000000,0.546744 
6544.000000,0.322831 
1116.000000,0.179222 
1116.000000,0.239797 
1010.000000,0.359055 
6617.000000,0.353998 
8631.000000,0.455081 
8633.000000,0.365243 
8648.000000,0.400492 
6569.000000,0.382877 
6623.000000,0.337167 
4458.000000,0.275398 
4456.000000,0.274849 
1334.000000,0.996368 
1259.000000,0.981123 
1334.000000,0.895385 
1259.000000,0.970403 
1405.000000,0.917670 
1323.000000,0.950542 
1323.000000,0.904616 
1334.000000,0.986884 
1958.000000,0.437588 
2202.000000,0.928378 
2180.000000,0.930270 
2202.000000,0.978926 
2107.000000,1.010354 
6283.000000,0.578235 
6283.000000,0.313478 
6283.000000,0.624952 
6283.000000,0.205059 
6261.000000,0.373543 
2279.000000,0.525276 
