point, dist
6237.000000,0.229737 
6234.000000,0.188896 
6222.000000,0.232318 
6217.000000,0.179883 
2395.000000,0.032941 
2044.000000,0.188436 
2855.000000,0.186522 
2558.000000,0.210530 
1085.000000,0.161752 
6206.000000,0.141638 
1095.000000,0.185402 
9956.000000,0.183981 
9950.000000,0.166393 
9998.000000,0.167380 
5447.000000,0.170930 
5627.000000,0.308706 
5126.000000,0.171830 
5082.000000,0.101558 
9551.000000,0.169298 
9570.000000,0.193960 
9562.000000,0.225737 
5789.000000,0.203852 
5826.000000,0.165839 
5800.000000,0.160198 
5838.000000,0.256829 
5802.000000,0.227859 
5838.000000,0.300041 
5847.000000,0.183211 
22.000000,0.213102 
5913.000000,0.317235 
18.000000,0.177698 
5924.000000,0.211109 
6332.000000,0.186790 
6322.000000,0.200472 
6330.000000,0.171835 
6336.000000,0.163691 
6541.000000,0.172009 
6541.000000,0.217102 
6564.000000,0.270748 
7515.000000,0.221414 
5640.000000,0.139886 
3995.000000,0.223949 
2304.000000,0.229739 
2599.000000,0.281228 
2188.000000,0.115832 
2450.000000,0.234689 
5814.000000,0.233423 
5793.000000,0.202372 
5833.000000,0.335745 
5805.000000,0.210912 
5807.000000,0.242059 
3153.000000,0.232177 
5947.000000,0.318318 
3274.000000,0.131844 
3895.000000,0.136098 
3113.000000,0.198558 
2642.000000,0.203147 
2217.000000,0.190400 
3816.000000,0.235396 
6040.000000,0.229976 
5990.000000,0.299568 
9945.000000,0.137874 
811.000000,0.209090 
803.000000,0.172516 
800.000000,0.147631 
9928.000000,0.179709 
3831.000000,0.206777 
2627.000000,0.320887 
3828.000000,0.182806 
6211.000000,0.108906 
3848.000000,0.206064 
3234.000000,0.106148 
6226.000000,0.237062 
6228.000000,0.158709 
2821.000000,0.183079 
2478.000000,0.060819 
2425.000000,0.172426 
2340.000000,0.097366 
1840.000000,0.231290 
4145.000000,0.302150 
4240.000000,0.280796 
9760.000000,0.133344 
9752.000000,0.178923 
9755.000000,0.105345 
2658.000000,0.141428 
2315.000000,0.224021 
2761.000000,0.152909 
2792.000000,0.161177 
2185.000000,0.085736 
9825.000000,0.229830 
9830.000000,0.137496 
9833.000000,0.208942 
5970.000000,0.230752 
2729.000000,0.149554 
6086.000000,0.242125 
4479.000000,0.076399 
4747.000000,0.273592 
4592.000000,0.048004 
4794.000000,0.070553 
11.000000,0.318722 
1086.000000,0.228996 
5884.000000,0.263640 
5840.000000,0.279854 
5916.000000,0.247065 
5849.000000,0.237887 
5224.000000,0.189093 
2536.000000,0.210659 
2392.000000,0.243400 
2388.000000,0.245732 
5862.000000,0.208088 
3015.000000,0.160665 
5797.000000,0.239703 
5830.000000,0.188354 
2183.000000,0.179788 
6334.000000,0.181457 
5135.000000,0.180363 
1152.000000,0.226708 
5187.000000,0.184528 
4963.000000,0.079228 
5396.000000,0.200863 
5742.000000,0.086678 
963.000000,0.204664 
4012.000000,0.167495 
5194.000000,0.061806 
5591.000000,0.096962 
5046.000000,0.135295 
5011.000000,0.244321 
4402.000000,0.205527 
4160.000000,0.141408 
1810.000000,0.175492 
4393.000000,0.121714 
2587.000000,0.256841 
2052.000000,0.146309 
2430.000000,0.136507 
2258.000000,0.139079 
5859.000000,0.241560 
3015.000000,0.216376 
3000.000000,0.219216 
3269.000000,0.124790 
2157.000000,0.209193 
2074.000000,0.172818 
3411.000000,0.207838 
3139.000000,0.152140 
3508.000000,0.155996 
2388.000000,0.211653 
2150.000000,0.130120 
2820.000000,0.174835 
2660.000000,0.118521 
6094.000000,0.300599 
816.000000,0.249525 
9946.000000,0.223985 
9961.000000,0.181351 
5327.000000,0.217187 
5295.000000,0.287063 
5596.000000,0.070137 
5754.000000,0.226493 
5479.000000,0.204254 
819.000000,0.229340 
3829.000000,0.191375 
2769.000000,0.168588 
6232.000000,0.235569 
9823.000000,0.257974 
2243.000000,0.111565 
7634.000000,0.176929 
7616.000000,0.168160 
7615.000000,0.068521 
3926.000000,0.063955 
5311.000000,0.203693 
4014.000000,0.226891 
3965.000000,0.221128 
6756.000000,0.129106 
6757.000000,0.185534 
6756.000000,0.238363 
6757.000000,0.138759 
2128.000000,0.121467 
2869.000000,0.172963 
2307.000000,0.092018 
2418.000000,0.249285 
2585.000000,0.143866 
2400.000000,0.214764 
2532.000000,0.208799 
2273.000000,0.277401 
2260.000000,0.240505 
2865.000000,0.208027 
2461.000000,0.174538 
9680.000000,0.161520 
9690.000000,0.151996 
9676.000000,0.174893 
2078.000000,0.163285 
2485.000000,0.192894 
2662.000000,0.126468 
2473.000000,0.128751 
2261.000000,0.185130 
3594.000000,0.212480 
1966.000000,0.208511 
1952.000000,0.215116 
3696.000000,0.140717 
2169.000000,0.239606 
2493.000000,0.363922 
2493.000000,0.060578 
6031.000000,0.232551 
5973.000000,0.231833 
2335.000000,0.114470 
2041.000000,0.208005 
2028.000000,0.144156 
3077.000000,0.117291 
3478.000000,0.157006 
3519.000000,0.195928 
3486.000000,0.220501 
2939.000000,0.169741 
3540.000000,0.131117 
3147.000000,0.064354 
9814.000000,0.087975 
9799.000000,0.188949 
9814.000000,0.250691 
7636.000000,0.165650 
7613.000000,0.169558 
7618.000000,0.176024 
2208.000000,0.092856 
2878.000000,0.381958 
2318.000000,0.213738 
2817.000000,0.134198 
9942.000000,0.238689 
4102.000000,0.200207 
4617.000000,0.261777 
4606.000000,0.134725 
5936.000000,0.242302 
5495.000000,0.323569 
5414.000000,0.179755 
5079.000000,0.373201 
5895.000000,0.341575 
5217.000000,0.346702 
5567.000000,0.336452 
6314.000000,0.410043 
6261.000000,0.206737 
5528.000000,0.352823 
6312.000000,0.252608 
1116.000000,0.204649 
1113.000000,0.278588 
1112.000000,0.158181 
1120.000000,0.181340 
1115.000000,0.238964 
5883.000000,0.337126 
1114.000000,0.197598 
6210.000000,0.225107 
5801.000000,0.293783 
5920.000000,0.221235 
5932.000000,0.301882 
4533.000000,0.309374 
5617.000000,0.315632 
4533.000000,0.052719 
5438.000000,0.213219 
5484.000000,0.143161 
5561.000000,0.227830 
4999.000000,0.221277 
4107.000000,0.031118 
4295.000000,0.179332 
4368.000000,0.260235 
4116.000000,0.284770 
4492.000000,0.149891 
1874.000000,0.253725 
1859.000000,0.294675 
3387.000000,0.179753 
3504.000000,0.161676 
2141.000000,0.061545 
2058.000000,0.209968 
2372.000000,0.353115 
2701.000000,0.336243 
1744.000000,0.178887 
3874.000000,0.156848 
12.000000,0.230699 
28.000000,0.140952 
6035.000000,0.283796 
6546.000000,0.189702 
2312.000000,0.241109 
2704.000000,0.177482 
3882.000000,0.231808 
3781.000000,0.284735 
6215.000000,0.161342 
14.000000,0.174191 
3010.000000,0.303613 
5911.000000,0.212654 
5873.000000,0.205104 
4008.000000,0.264648 
5871.000000,0.250973 
5888.000000,0.268163 
6441.000000,0.161354 
6446.000000,0.189726 
6446.000000,0.177712 
5049.000000,0.220029 
6079.000000,0.178576 
4560.000000,0.303911 
6046.000000,0.188773 
4560.000000,0.249529 
6032.000000,0.257148 
6071.000000,0.241582 
5170.000000,0.098772 
5358.000000,0.146286 
5587.000000,0.169462 
5534.000000,0.194694 
5548.000000,0.195375 
4962.000000,0.119533 
5285.000000,0.233652 
5694.000000,0.120060 
5404.000000,0.256926 
5622.000000,0.090862 
4037.000000,0.258848 
4025.000000,0.263752 
4011.000000,0.125009 
7184.000000,0.165726 
1021.000000,0.238908 
55.000000,0.204881 
959.000000,0.294324 
4010.000000,0.221011 
6985.000000,0.212174 
3996.000000,0.144909 
5430.000000,0.027297 
6546.000000,0.190056 
6565.000000,0.161677 
6540.000000,0.225308 
5203.000000,0.189953 
5546.000000,0.209167 
5494.000000,0.151604 
5042.000000,0.224595 
5668.000000,0.097900 
5343.000000,0.266839 
